,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,In,ADP,19.413850784301758,13280,En,ADP,33.29425811767578,13280
1,my,DET,24.484495162963867,13280,mi,DET,33.25243377685547,13280
2,lab,NOUN,20.247148513793945,13280,laboratorio,NOUN,32.023136138916016,13280
3,",",PUNCT,21.548686981201172,13280,",",PUNCT,30.316267013549805,13280
4,we,PRON,23.866771697998047,13280,0,0,0.0,0
5,build,VERB,22.807098388671875,13280,construimos,VERB,33.286399841308594,13280
6,autonomous,ADJ,21.027101516723633,13280,aéreos,ADJ,33.73870849609375,13280
7,aerial,ADJ,19.711713790893555,13280,autónomos,ADJ,32.110389709472656,13280
8,robots,NOUN,21.68820571899414,13280,robots,NOUN,34.02815246582031,13280
9,like,SCONJ,20.43120765686035,16960,como,SCONJ,34.83683395385742,16960
10,the,DET,20.717357635498047,16960,el,DET,32.9248046875,16960
11,one,NOUN,18.126991271972656,16960,0,0,0.0,0
12,you,PRON,22.738405227661133,16960,que,PRON,33.12003707885742,16960
13,see,VERB,23.416072845458984,16960,volar,VERB,35.846256256103516,16960
14,flying,VERB,22.7523193359375,16960,ven,VERB,36.675010681152344,16960
15,here,ADV,22.200435638427734,16960,aquí,ADV,35.78285217285156,16960
16,.,PUNCT,22.630468368530273,16960,.,PUNCT,32.881988525390625,16960
17,Unlike,ADP,20.92296600341797,20720,A,ADP,33.14574432373047,20720
18,0,0,0.0,0,diferencia,NOUN,31.96314239501953,20720
19,available,ADJ,19.187334060668945,20720,de,ADP,30.99029541015625,20720
20,the,DET,23.566923141479492,20720,los,DET,32.887237548828125,20720
21,drones,NOUN,21.755306243896484,20720,drones,NOUN,35.273101806640625,20720
22,that,SCONJ,22.143762588500977,20720,que,PRON,34.522438049316406,20720
23,you,PRON,24.653406143188477,20720,se,PRON,32.01288604736328,20720
24,can,VERB,22.775239944458008,20720,pueden,AUX,37.067535400390625,20720
25,buy,VERB,23.818674087524414,20720,comprar,VERB,38.17938995361328,20720
26,commercially,ADV,22.32349395751953,20720,hoy,ADV,35.947471618652344,20720
27,0,0,0.0,0,en,ADP,33.079673767089844,20720
28,0,0,0.0,0,el,DET,34.764102935791016,20720
29,today,NOUN,23.023401260375977,20720,mercado,NOUN,31.88314437866211,20720
30,",",PUNCT,22.451847076416016,20720,",",PUNCT,29.408267974853516,20720
31,this,DET,23.46808624267578,24440,este,DET,35.7578239440918,24440
32,robot,NOUN,21.5953426361084,24440,robot,NOUN,31.11848258972168,24440
33,does,AUX,25.492101669311523,24440,no,ADV,35.236045837402344,24440
