,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,and,CCONJ,19.74116325378418,20160,y,CONJ,35.12175750732422,20160
1,I,PRON,25.559534072875977,20160,probé,VERB,33.94622039794922,20160
2,had,AUX,23.582416534423828,20160,el,DET,33.84025192260742,20160
3,the,DET,22.269336700439453,20160,mi,DET,35.033817291259766,20160
4,best,ADJ,20.594926834106445,20160,mejor,ADJ,33.270912170410156,20160
5,foie,NOUN,21.40896987915039,20160,gras,NOUN,32.53846740722656,20160
6,gras,NOUN,20.2352294921875,20160,foie,NOUN,34.1439208984375,20160
7,of,ADP,23.6539363861084,20160,de,ADP,33.115238189697266,20160
8,my,DET,22.004972457885742,20160,La,DET,33.965187072753906,26160
9,life,NOUN,18.135255813598633,20160,vida,NOUN,30.884960174560547,20160
10,.,PUNCT,21.96816062927246,20160,.,PUNCT,33.094459533691406,20160
11,The,DET,19.739486694335938,26160,mi,DET,35.48490524291992,26160
12,best,ADJ,21.361913681030273,26160,mejor,ADJ,35.394737243652344,26160
13,culinary,ADJ,20.700176239013672,26160,culinaria,ADJ,35.9731330871582,26160
14,experience,NOUN,21.225505828857422,26160,experiencia,NOUN,33.53587341308594,26160
15,of,ADP,23.701974868774414,26160,de,ADP,30.357877731323242,26160
16,my,DET,21.823497772216797,26160,lo,DET,33.247650146484375,30160
17,life,NOUN,18.38833236694336,26160,vida,NOUN,30.96962547302246,26160
18,.,PUNCT,22.031143188476562,26160,.,PUNCT,33.1080436706543,26160
19,Because,SCONJ,21.072608947753906,30160,Porque,SCONJ,33.46409606933594,30160
20,what,PRON,22.123945236206055,30160,que,PRON,31.128620147705078,30160
21,I,PRON,26.207155227661133,30160,",",PUNCT,30.49881362915039,30160
22,saw,VERB,24.602067947387695,30160,vi,VERB,32.384761810302734,30160
23,",",PUNCT,21.41143226623535,30160,",",PUNCT,29.9697322845459,30160
24,I,PRON,24.640352249145508,30160,el,DET,35.83452224731445,30160
25,'m,AUX,23.346773147583008,30160,estoy,AUX,35.91428756713867,30160
26,convinced,ADJ,22.270610809326172,30160,convencido,ADJ,34.604217529296875,30160
27,",",PUNCT,20.897602081298828,30160,.,PUNCT,33.730857849121094,30160
28,is,AUX,21.309860229492188,30160,es,AUX,33.17302322387695,30160
29,the,DET,21.43425750732422,30160,la,DET,33.071529388427734,30160
30,future,NOUN,19.14935302734375,30160,futuro,NOUN,31.178619384765625,30160
31,of,ADP,24.288599014282227,30160,de,ADP,30.35675811767578,30160
32,cooking,NOUN,20.336292266845703,30160,cocina,NOUN,32.49910354614258,30160
33,.,PUNCT,22.320219039916992,30160,",",PUNCT,31.69135856628418,37160
34,Ridiculous,ADJ,21.278810501098633,37160,Ridículo,ADJ,31.124557495117188,37160
35,",",PUNCT,21.30339241027832,37160,¿,PUNCT,30.64139747619629,37160
36,right,ADJ,22.664865493774414,37160,no,ADV,31.634376525878906,37160
37,?,PUNCT,22.262657165527344,37160,?,PUNCT,31.96613883972168,37160
38,Foie,PROPN,19.801389694213867,38160,Foie,PROPN,31.608264923095703,38160
39,gras,NOUN,21.353845596313477,38160,gras,NOUN,32.2048454284668,38160
40,and,CCONJ,21.252037048339844,38160,y,CONJ,32.400123596191406,38160
41,the,DET,20.106220245361328,38160,el,DET,35.77949142456055,38160
42,future,NOUN,17.691186904907227,38160,futuro,NOUN,30.9661865234375,38160
43,of,ADP,23.323383331298828,38160,de,ADP,30.335474014282227,38160
44,cooking,NOUN,20.25969696044922,38160,cocina,NOUN,32.49910354614258,38160
45,.,PUNCT,22.320219039916992,38160,.,PUNCT,33.730857849121094,38160
46,There,PRON,21.664329528808594,40160,la,DET,33.05058288574219,38160
47,'s,AUX,22.163782119750977,40160,No,ADV,33.91371536254883,40160
48,not,PART,22.954744338989258,40160,existe,VERB,36.30724334716797,40160
49,a,DET,21.634328842163086,40160,un,DET,37.59269714355469,40160
50,food,NOUN,20.39055824279785,40160,alimento,NOUN,31.992271423339844,40160
51,today,NOUN,21.400712966918945,40160,hoy,ADV,36.584190368652344,40160
52,that,DET,20.070728302001953,40160,que,SCONJ,32.60369110107422,40160
53,'s,AUX,22.93767738342285,40160,sea,AUX,35.684146881103516,40160
54,more,ADV,22.727277755737305,40160,más,ADV,38.10892105102539,40160
55,maligned,ADJ,21.60717010498047,40160,criticado,ADJ,34.47166442871094,40160
56,than,SCONJ,22.00196647644043,40160,que,SCONJ,32.04342269897461,40160
57,foie,PROPN,18.89655876159668,40160,gras,PROPN,33.25075912475586,40160
58,gras,NOUN,19.180545806884766,40160,foie,NOUN,32.34587860107422,40160
59,",",PUNCT,19.74681282043457,40160,",",PUNCT,30.7695255279541,40160
60,right,ADJ,20.428752899169922,40160,el,DET,35.20180892944336,40160
61,?,PUNCT,21.51632308959961,40160,¿,PUNCT,30.961374282836914,40160
62,I,PRON,25.77703857421875,43160,no,ADV,31.560163497924805,40160
63,mean,VERB,21.70955467224121,43160,Quiero,VERB,34.283538818359375,43160
64,",",PUNCT,20.1751766204834,43160,?,PUNCT,31.986263275146484,40160
65,it,PRON,22.516176223754883,43160,decir,VERB,35.469688415527344,43160
66,'s,AUX,21.124637603759766,43160,",",PUNCT,30.74656867980957,43160
67,crucified,VERB,20.794748306274414,43160,crucifican,VERB,33.958099365234375,43160
68,.,PUNCT,20.803586959838867,43160,.,PUNCT,32.487335205078125,43160
69,It,PRON,24.037145614624023,45160,lo,PRON,31.15692138671875,43160
70,was,AUX,23.927967071533203,45160,ilegal,ADJ,33.9561882019043,45160
71,outlawed,VERB,22.21532440185547,45160,declaró,VERB,36.1917839050293,45160
72,in,ADP,21.857975006103516,45160,en,ADP,32.97186279296875,45160
73,Chicago,PROPN,23.480209350585938,45160,Chicago,PROPN,36.459163665771484,45160
74,for,ADP,20.69139289855957,45160,durante,ADP,33.766143798828125,45160
75,a,DET,20.81812286376953,45160,un,DET,36.8101921081543,45160
76,while,NOUN,19.262611389160156,45160,tiempo,NOUN,33.11948776245117,45160
77,.,PUNCT,21.210542678833008,45160,.,PUNCT,31.34021759033203,45160
78,It,PRON,23.03852653503418,47160,Se,PRON,32.069766998291016,45160
79,'s,AUX,23.596094131469727,47160,Está,AUX,34.37394714355469,47160
80,pending,VERB,21.431791305541992,47160,pendiente,ADJ,33.67035675048828,47160
81,here,ADV,21.52348518371582,47160,aquí,ADV,33.57810592651367,47160
82,in,ADP,20.2536563873291,47160,en,ADP,32.04847717285156,47160
83,California,PROPN,22.544374465942383,47160,California,PROPN,37.48291778564453,47160
84,",",PUNCT,21.8388671875,47160,",",PUNCT,29.145885467529297,47160
85,and,CCONJ,21.697120666503906,47160,y,CONJ,32.92011642456055,47160
86,just,ADV,25.216053009033203,47160,muy,ADV,36.228816986083984,47160
87,recently,ADV,23.048765182495117,47160,poco,ADV,35.93788146972656,47160
88,in,ADP,21.08367156982422,47160,en,ADP,30.674898147583008,47160
89,New,PROPN,21.68067169189453,47160,York,PROPN,36.05511474609375,47160
90,York,PROPN,20.985797882080078,47160,Nueva,PROPN,36.63382339477539,47160
91,.,PUNCT,19.988725662231445,47160,.,PUNCT,32.60819625854492,47160
92,It,PRON,22.62468910217285,52160,hace,AUX,36.226043701171875,47160
93,'s,AUX,23.058551788330078,52160,Es,AUX,34.441036224365234,52160
94,like,SCONJ,22.208057403564453,52160,como,SCONJ,32.146636962890625,52160
95,if,SCONJ,20.936386108398438,52160,si,SCONJ,34.309967041015625,52160
96,you,PRON,22.94799041748047,52160,cocinero,PROPN,31.483537673950195,52160
97,'re,AUX,22.471464157104492,52160,eres,AUX,31.381479263305664,52160
98,a,DET,22.841482162475586,52160,tu,DET,31.250394821166992,52160
99,chef,NOUN,17.707866668701172,52160,pones,NOUN,31.241315841674805,52160
100,and,CCONJ,21.212100982666016,52160,y,CONJ,32.45729064941406,52160
101,you,PRON,23.08562660217285,52160,lo,PRON,31.637407302856445,52160
102,put,VERB,23.652759552001953,52160,corres,VERB,32.458072662353516,55160
103,it,PRON,23.081710815429688,52160,menú,NOUN,30.184701919555664,52160
104,on,ADP,18.48662757873535,52160,en,ADP,32.337650299072266,52160
105,your,DET,22.885181427001953,52160,el,DET,34.02294158935547,55160
106,menu,NOUN,20.160436630249023,52160,riesgo,NOUN,31.13351821899414,55160
107,",",PUNCT,22.10070037841797,52160,",",PUNCT,30.20509147644043,52160
108,you,PRON,22.539045333862305,55160,de,ADP,31.423452377319336,55160
109,risk,VERB,21.167137145996094,55160,atacado,VERB,35.93928146362305,55160
110,being,AUX,22.104219436645508,55160,ser,AUX,38.434505462646484,55160
111,attacked,VERB,21.037687301635742,55160,De,ADP,33.038841247558594,57160
112,.,PUNCT,21.292211532592773,55160,.,PUNCT,34.32133102416992,55160
113,Really,ADV,21.10315704345703,57160,verdad,NOUN,31.842235565185547,57160
114,",",PUNCT,19.67266273498535,57160,",",PUNCT,31.739337921142578,57160
115,it,PRON,24.287513732910156,57160,le,PRON,32.1017951965332,57160
116,happened,VERB,24.974367141723633,57160,ocurrió,VERB,38.46675491333008,57160
117,here,ADV,21.619871139526367,57160,aquí,ADV,36.931217193603516,57160
118,in,ADP,19.886402130126953,57160,en,ADP,32.1844482421875,57160
119,San,PROPN,22.535430908203125,57160,San,PROPN,35.539772033691406,57160
120,Francisco,PROPN,22.929784774780273,57160,Francisco,PROPN,37.24816131591797,57160
121,to,ADP,21.129413604736328,57160,a,ADP,31.903806686401367,57160
122,a,DET,23.753374099731445,57160,un,DET,34.3104248046875,57160
123,famous,ADJ,21.992624282836914,57160,famoso,ADJ,35.11701965332031,57160
124,chef,NOUN,20.99358558654785,57160,cocinero,NOUN,33.1679801940918,57160
125,.,PUNCT,20.595434188842773,57160,.,PUNCT,32.05957794189453,57160
126,I,PRON,25.043718338012695,61160,Yo,PRON,33.59355163574219,61160
127,'m,AUX,23.035736083984375,61160,no,ADV,34.3300895690918,61160
128,not,PART,24.868619918823242,61160,no,ADV,34.74858093261719,61160
129,saying,VERB,22.281278610229492,61160,digo,VERB,38.07061767578125,61160
130,that,SCONJ,19.27989959716797,61160,que,SCONJ,33.97478485107422,61160
131,there,PRON,23.848974227905273,61160,se,PRON,32.15790939331055,69160
132,'s,AUX,22.078672409057617,61160,haya,AUX,33.19758605957031,61160
133,not,PART,22.38179588317871,61160,lógica,ADJ,34.284454345703125,61160
134,a,DET,22.207548141479492,61160,una,DET,35.669883728027344,61160
135,rationale,NOUN,21.900285720825195,61160,base,NOUN,34.45501708984375,61160
136,for,ADP,22.17363739013672,67160,para,ADP,33.47691345214844,67160
137,being,AUX,24.93341064453125,67160,gras,NOUN,33.51633071899414,67160
138,opposed,VERB,22.5100154876709,67160,foie,NOUN,31.337553024291992,67160
139,to,ADP,20.661149978637695,67160,al,ADP,34.324317932128906,67160
140,foie,PROPN,20.029354095458984,67160,oponerse,PROPN,34.0726318359375,67160
141,gras,NOUN,19.95366668701172,67160,razones,NOUN,35.050743103027344,69160
142,.,PUNCT,19.992752075195312,67160,.,PUNCT,32.800392150878906,67160
143,The,DET,22.098617553710938,69160,Las,DET,32.26179122924805,69160
144,reasons,NOUN,22.356718063354492,69160,gavage,NOUN,34.57389450073242,69160
145,usually,ADV,23.660104751586914,69160,normalmente,ADV,32.331642150878906,69160
146,just,ADV,25.374008178710938,69160,"""",PUNCT,31.31951904296875,69160
147,boil,VERB,19.825544357299805,69160,reducen,VERB,38.6192626953125,69160
148,down,ADP,21.780908584594727,69160,al,ADP,34.980140686035156,69160
