,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,The,DET,24.112363815307617,12747,el,DET,34.49579620361328,12747
1,year,NOUN,20.735490798950195,12747,año,NOUN,32.12335968017578,12747
2,is,AUX,23.697185516357422,12747,Corre,VERB,32.6536979675293,12747
3,1800,NUM,20.656267166137695,12747,1800,NUM,34.2645378112793,12747
4,.,PUNCT,21.02594757080078,12747,.,PUNCT,33.21977615356445,12747
5,A,DET,21.65300941467285,15070,un,DET,33.94852828979492,15070
6,curious,ADJ,23.2526798248291,15070,pequeño,ADJ,33.7572135925293,15070
7,little,ADJ,20.104900360107422,15070,curioso,ADJ,32.48316955566406,15070
8,invention,NOUN,19.818225860595703,15070,invento,NOUN,32.92095184326172,15070
9,is,AUX,24.48964500427246,15070,Se,PRON,33.5439338684082,15070
10,being,AUX,23.124834060668945,15070,y,CONJ,32.75165557861328,15070
11,talked,VERB,20.990718841552734,15070,habla,VERB,36.93266296386719,15070
12,about,ADP,21.273052215576172,15070,de,ADP,30.166175842285156,15070
13,.,PUNCT,21.74477767944336,15070,.,PUNCT,32.495704650878906,15070
14,It,PRON,22.59809684753418,18126,Se,PRON,32.871299743652344,18126
15,'s,AUX,21.437427520751953,18126,0,0,0.0,0
16,called,VERB,19.715129852294922,18126,llama,VERB,35.931373596191406,18126
17,a,DET,22.709218978881836,18126,0,0,0.0,0
18,microscope,NOUN,19.281444549560547,18126,microscopio,NOUN,30.482606887817383,18126
19,.,PUNCT,21.4515380859375,18126,.,PUNCT,33.26852035522461,18126
20,What,PRON,22.33779525756836,21207,Nos,PRON,34.24977493286133,21207
21,it,PRON,25.535390853881836,21207,0,0,0.0,0
22,allows,VERB,25.403759002685547,21207,permite,VERB,35.45686721801758,21207
23,you,PRON,22.794498443603516,21207,0,0,0.0,0
24,to,PART,22.23102569580078,21207,0,0,0.0,0
25,do,AUX,23.465530395507812,21207,0,0,0.0,0
26,is,AUX,22.43911361694336,22986,diminutas,NOUN,31.921884536743164,22986
27,see,VERB,20.80435562133789,22986,ver,VERB,34.61441421508789,22986
28,tiny,ADJ,19.653343200683594,22986,formas,NOUN,35.78839111328125,22986
29,little,ADJ,20.146604537963867,22986,de,ADP,30.502920150756836,22986
30,lifeforms,NOUN,22.858213424682617,22986,vida,NOUN,31.53399658203125,22986
31,that,DET,20.652385711669922,25628,0,0,0.0,0
32,are,AUX,23.654773712158203,25628,0,0,0.0,0
33,invisible,ADJ,20.53400993347168,25628,simple,ADJ,32.65100860595703,25628
34,to,ADP,22.642044067382812,25628,a,ADP,30.814044952392578,25628
35,the,DET,23.369997024536133,25628,0,0,0.0,0
36,naked,ADJ,19.44354820251465,25628,invisibles,ADJ,33.92384338378906,25628
37,eye,NOUN,18.805559158325195,25628,vista,NOUN,32.16408920288086,25628
38,.,PUNCT,21.998470306396484,25628,.,PUNCT,33.87845230102539,25628
39,Soon,ADV,21.849966049194336,28115,Pronto,ADV,35.69118881225586,28115
40,comes,VERB,22.41273307800293,28115,llega,VERB,36.220359802246094,28115
41,the,DET,21.202550888061523,28115,el,DET,36.69659423828125,28115
42,medical,ADJ,20.313987731933594,28115,médico,ADJ,32.99728012084961,28115
43,discovery,NOUN,19.541105270385742,28115,descubrimiento,NOUN,32.84070587158203,28115
44,0,0,0.0,0,de,ADP,33.08049392700195,30143
45,that,SCONJ,19.53179931640625,30143,que,SCONJ,31.7744140625,30143
46,many,ADJ,21.634180068969727,30143,muchas,PRON,33.83842849731445,30143
47,of,ADP,23.273269653320312,30143,de,ADP,31.6593074798584,30143
48,these,DET,24.434614181518555,30143,estas,DET,33.925376892089844,30143
49,lifeforms,NOUN,23.59351921081543,30143,formas,NOUN,36.06172561645508,30143
50,actually,ADV,24.715070724487305,30143,de,ADP,30.695953369140625,30143
51,causes,NOUN,19.675233840942383,30143,vida,NOUN,33.3690185546875,30143
52,0,0,0.0,0,en,ADP,33.86064147949219,30143
53,0,0,0.0,0,realidad,NOUN,33.144073486328125,30143
54,are,AUX,23.514968872070312,30143,son,AUX,33.64329528808594,30143
55,0,0,0.0,0,la,DET,32.799381256103516,30143
56,0,0,0.0,0,causa,NOUN,30.551820755004883,30143
57,of,ADP,21.588287353515625,33228,de,ADP,31.22280502319336,33228
58,terrible,ADJ,19.456026077270508,33228,humanas,ADJ,36.068946838378906,33228
59,human,ADJ,20.146013259887695,33228,terribles,ADJ,35.561771392822266,33228
60,diseases,NOUN,22.376365661621094,33228,enfermedades,NOUN,36.132545471191406,33228
61,.,PUNCT,20.93893814086914,33228,.,PUNCT,34.52165985107422,33228
62,Imagine,VERB,20.24861717224121,35419,Imagínese,VERB,28.70455551147461,35419
63,0,0,0.0,0,lo,DET,33.384403228759766,35419
64,what,PRON,23.089454650878906,35419,que,PRON,32.087520599365234,35419
65,0,0,0.0,0,le,PRON,32.17128372192383,35419
66,happened,VERB,24.282732009887695,35419,pasó,VERB,37.20718002319336,35419
67,to,ADP,20.23459243774414,35419,a,ADP,33.56986618041992,35419
68,the,DET,21.42872428894043,35419,la,DET,34.07613754272461,35419
69,society,NOUN,19.075674057006836,35419,sociedad,NOUN,33.45441818237305,35419
70,when,ADV,23.49005126953125,38204,cuando,SCONJ,36.6532096862793,38204
71,they,PRON,25.68736457824707,38204,se,PRON,32.66343307495117,38204
72,realized,VERB,24.710927963256836,38204,dio,VERB,33.80769729614258,38204
73,0,0,0.0,0,cuenta,NOUN,31.685121536254883,38204
74,0,0,0.0,0,de,ADP,32.625770568847656,40192
75,that,SCONJ,18.569700241088867,40192,que,SCONJ,33.33268737792969,40192
76,an,DET,22.25092315673828,40192,una,DET,35.00960159301758,40192
77,mom,NOUN,20.038408279418945,40192,mamá,NOUN,31.899778366088867,40192
78,English,ADJ,22.992475509643555,40192,inglesa,ADJ,36.34614181518555,40192
79,in,ADP,21.05877685546875,40192,en,ADP,33.03671646118164,40192
80,her,DET,22.05988121032715,40192,su,DET,34.186927795410156,40192
81,teacup,NOUN,17.711132049560547,40192,taza,NOUN,31.789846420288086,40192
82,0,0,0.0,0,de,ADP,31.37775230407715,40192
83,0,0,0.0,0,té,NOUN,29.445947647094727,40192
84,actually,ADV,22.30850601196289,43008,0,0,0.0,0
85,was,AUX,22.665266036987305,43008,estaba,AUX,37.09157180786133,43008
86,drinking,VERB,24.765504837036133,43008,bebiendo,VERB,35.296443939208984,43008
87,a,DET,22.680130004882812,43008,una,DET,34.77212905883789,43008
88,monster,NOUN,19.13841438293457,43008,monstruosa,ADJ,34.493473052978516,43008
89,soup,NOUN,18.396873474121094,43008,sopa,NOUN,32.3817024230957,43008
90,",",PUNCT,19.661054611206055,43008,",",PUNCT,31.938335418701172,43008
91,not,PART,22.00053596496582,46144,no,ADV,33.08791732788086,46144
92,very,ADV,26.16387176513672,46144,muy,ADV,35.034584045410156,46144
93,far,ADV,22.82645034790039,46144,lejos,ADV,36.7006721496582,46144
94,from,ADP,20.15789031982422,46144,de,ADP,31.427946090698242,46144
95,here,ADV,19.785446166992188,46144,aquí,ADV,32.96758270263672,46144
96,.,PUNCT,20.439857482910156,46144,.,PUNCT,31.718589782714844,46144
97,This,DET,23.1112003326416,46144,Esto,PRON,33.042724609375,46144
98,is,AUX,23.853796005249023,46144,es,AUX,34.28845977783203,46144
99,from,ADP,21.253461837768555,46144,de,ADP,28.610319137573242,46144
100,London,PROPN,22.37574005126953,46144,Londres,PROPN,35.485191345214844,46144
101,.,PUNCT,20.289905548095703,46144,.,PUNCT,31.84418296813965,46144
102,Fast,VERB,19.21396827697754,49293,Avanzamos,VERB,28.63810157775879,49293
103,forward,ADV,20.36186408996582,49293,0,0,0.0,0
104,200,NUM,25.001188278198242,49293,200,NUM,36.0015754699707,49293
105,years,NOUN,22.267324447631836,49293,años,NOUN,35.91795349121094,49293
106,.,PUNCT,20.8436279296875,49293,.,PUNCT,33.25485610961914,49293
107,We,PRON,25.44294548034668,52135,rodeados,ADJ,34.28923416137695,52135
108,still,ADV,26.605636596679688,52135,Todavía,ADV,34.473060607910156,52135
109,have,AUX,21.23160743713379,52135,estamos,AUX,34.20417022705078,52135
110,this,DET,22.616790771484375,52135,esa,DET,34.98050308227539,52135
111,monster,NOUN,18.77570915222168,52135,por,ADP,33.225006103515625,52135
112,soup,NOUN,20.052549362182617,52135,sopa,NOUN,34.38364028930664,52135
113,around,ADV,21.7600154876709,52135,monstruosa,ADJ,34.738502502441406,52135
114,",",PUNCT,19.752517700195312,52135,0,0,0.0,0
115,and,CCONJ,20.31373405456543,54267,y,CONJ,32.70254898071289,54267
116,it,PRON,24.569438934326172,54267,se,PRON,33.85183334350586,54267
117,'s,AUX,22.3536376953125,54267,ha,AUX,36.022254943847656,54267
118,taken,VERB,22.187068939208984,54267,afianzado,VERB,36.07246398925781,54267
119,in,ADP,22.773283004760742,54267,en,ADP,32.64518737792969,54267
120,the,DET,21.873733520507812,54267,los,DET,35.3953971862793,54267
121,hold,NOUN,19.928346633911133,54267,países,NOUN,36.4373779296875,54267
122,developing,VERB,21.197315216064453,54267,en,ADP,33.41291809082031,54267
123,countries,NOUN,18.74620246887207,54267,desarrollo,NOUN,29.466482162475586,54267
124,0,0,0.0,0,",",PUNCT,30.867794036865234,54267
125,around,ADP,19.389602661132812,57122,en,ADP,32.219364166259766,57122
126,the,DET,21.986316680908203,57122,todo,DET,34.882747650146484,57122
127,0,0,0.0,0,el,DET,36.12327194213867,57122
128,belt,NOUN,18.89196014404297,57122,cinturón,NOUN,32.15119552612305,57122
129,tropical,ADJ,20.135313034057617,57122,tropical,ADJ,33.53257751464844,57122
130,.,PUNCT,20.43906593322754,57122,.,PUNCT,32.680091857910156,57122
131,Just,ADV,21.924083709716797,59538,Solo,ADJ,33.29696273803711,59538
132,for,ADP,21.175872802734375,59538,de,ADP,29.852394104003906,59538
133,malaria,PROPN,19.3190860748291,59538,malaria,PROPN,30.783626556396484,59538
134,itself,PRON,20.748106002807617,59538,0,0,0.0,0
135,",",PUNCT,21.50555992126465,59538,0,0,0.0,0
136,there,PRON,22.89412498474121,62101,millón,NOUN,31.27815055847168,62101
137,are,AUX,23.265100479125977,62101,hay,AUX,34.854888916015625,62101
138,a,DET,21.73137092590332,62101,de,ADP,33.2908821105957,62101
139,million,NUM,21.76337242126465,62101,un,NUM,35.52375793457031,62101
140,deaths,NOUN,21.327299118041992,62101,muertes,NOUN,32.71689224243164,62101
141,a,DET,23.302032470703125,62101,al,ADP,33.852787017822266,62101
142,year,NOUN,19.09662437438965,62101,año,NOUN,32.80717086791992,62101
143,",",PUNCT,21.595062255859375,62101,",",PUNCT,29.413761138916016,62101
144,and,CCONJ,19.953805923461914,64546,y,CONJ,34.27955627441406,64546
145,more,ADJ,19.149810791015625,64546,más,ADV,34.96781921386719,64546
146,than,SCONJ,22.026498794555664,64546,de,ADP,31.227031707763672,64546
147,billion,NUM,20.53095054626465,64546,1000,NUM,35.6628532409668,64546
148,a,DET,18.964221954345703,64546,millones,NOUN,34.06932830810547,64546
149,0,0,0.0,0,de,ADP,32.36697769165039,64546
150,people,NOUN,19.636629104614258,64546,personas,NOUN,34.940032958984375,64546
151,that,DET,21.617769241333008,66292,a,ADP,33.28486251831055,66292
152,need,VERB,21.762737274169922,66292,examinar,VERB,35.594852447509766,66292
153,to,PART,22.703821182250977,66292,debido,ADJ,32.260860443115234,66292
154,be,AUX,25.78336524963379,66292,a,ADP,30.245450973510742,66292
155,tested,VERB,24.229524612426758,66292,0,0,0.0,0
156,because,SCONJ,20.771915435791016,66292,que,SCONJ,32.77345275878906,66292
157,they,PRON,25.074697494506836,66292,0,0,0.0,0
158,are,AUX,23.794910430908203,66292,están,AUX,33.779335021972656,66292
159,at,ADP,22.58022117614746,66292,en,ADP,34.825714111328125,66292
160,risk,NOUN,20.87992286682129,66292,riesgo,NOUN,31.9569034576416,66292
161,for,ADP,20.774513244628906,68940,de,ADP,31.39926528930664,68940
162,different,ADJ,19.78514862060547,68940,contraer,VERB,37.08698654174805,68940
163,0,0,0.0,0,distintas,DET,36.01030349731445,68940
164,species,NOUN,19.71892738342285,68940,especies,NOUN,36.10873794555664,68940
165,malarial,ADJ,20.87163543701172,68940,de,ADP,31.891437530517578,68940
166,infections,NOUN,21.202896118164062,68940,infecciones,NOUN,33.264503479003906,68940
167,of,ADP,25.207094192504883,68940,de,ADP,33.36186599731445,68940
168,0,0,0.0,0,malaria,PROPN,32.41303634643555,68940
169,.,PUNCT,21.411495208740234,68940,.,PUNCT,33.56940841674805,68940
170,Now,ADV,23.051856994628906,72175,Pero,CONJ,33.88716506958008,72175
171,it,PRON,24.62148094177246,72175,0,0,0.0,0
172,'s,AUX,21.445335388183594,72175,es,AUX,32.91771697998047,72175
173,actually,ADV,25.5352725982666,72175,muy,ADV,38.773136138916016,72175
174,very,ADV,24.643863677978516,72175,0,0,0.0,0
175,simple,ADJ,21.69823455810547,72175,fácil,ADJ,35.121463775634766,72175
176,to,PART,22.712244033813477,72175,0,0,0.0,0
177,put,VERB,23.979881286621094,72175,ponerle,VERB,30.680757522583008,72175
178,a,DET,21.801633834838867,72175,un,DET,33.683658599853516,72175
179,face,NOUN,20.885953903198242,72175,rostro,NOUN,31.51253890991211,72175
180,to,ADP,21.75310707092285,74986,a,ADP,33.275089263916016,74986
181,many,ADJ,20.781152725219727,74986,muchos,PRON,35.609901428222656,74986
182,of,ADP,23.358362197875977,74986,de,ADP,30.09650230407715,74986
183,these,DET,23.894018173217773,74986,estos,DET,35.953617095947266,74986
184,monsters,NOUN,21.276779174804688,74986,monstruos,NOUN,35.79010772705078,74986
185,.,PUNCT,20.183582305908203,74986,.,PUNCT,31.845706939697266,74986
186,You,PRON,24.146501541137695,76781,Con,ADP,33.56081771850586,76781
187,take,VERB,23.805259704589844,76781,una,DET,34.8684196472168,76781
188,stain,NOUN,18.93132209777832,76781,mancha,NOUN,31.45478630065918,76781
189,",",PUNCT,18.582046508789062,76781,",",PUNCT,30.60624885559082,76781
190,like,SCONJ,20.774152755737305,76781,como,SCONJ,35.180213928222656,76781
191,a,DET,21.776744842529297,76781,el,DET,33.9317512512207,76781
192,orange,PROPN,18.146007537841797,76781,naranja,PROPN,27.981760025024414,76781
193,0,0,0.0,0,de,ADP,31.030094146728516,76781
194,acridine,NOUN,20.006298065185547,76781,acridina,NOUN,30.40620994567871,76781
195,or,CCONJ,19.468473434448242,79408,o,CONJ,33.02269744873047,79408
196,a,DET,21.424047470092773,79408,una,DET,35.09473419189453,79408
197,fluorescent,NOUN,20.136613845825195,79408,mancha,NOUN,31.86319923400879,79408
198,stain,NOUN,21.599271774291992,79408,fluorescente,ADJ,33.29833221435547,79408
199,or,CCONJ,21.880905151367188,79408,o,CONJ,32.731136322021484,79408
200,0,0,0.0,0,de,ADP,28.74530029296875,79408
201,Giemsa,PROPN,18.69963836669922,79408,Giemsa,PROPN,36.8659782409668,79408
202,",",PUNCT,21.20248794555664,79408,",",PUNCT,30.454566955566406,79408
203,and,CCONJ,18.92159652709961,81525,y,CONJ,32.400672912597656,81525
204,a,DET,21.127986907958984,81525,un,DET,36.829402923583984,81525
205,microscope,NOUN,17.629657745361328,81525,microscopio,NOUN,30.481884002685547,81525
206,",",PUNCT,21.314252853393555,81525,",",PUNCT,30.452096939086914,81525
207,and,CCONJ,20.611679077148438,81525,pueden,AUX,36.291748046875,81525
208,you,PRON,23.855539321899414,81525,se,PRON,31.41792869567871,81525
209,look,VERB,21.49243927001953,81525,ver,VERB,36.443302154541016,81525
210,at,ADP,23.92109489440918,81525,0,0,0.0,0
211,them,PRON,24.42049217224121,81525,0,0,0.0,0
212,.,PUNCT,22.130617141723633,81525,.,PUNCT,34.305335998535156,81525
213,They,PRON,23.37967872619629,84638,Todos,PRON,32.00667953491211,84638
214,all,DET,22.644927978515625,84638,tienen,VERB,35.16497039794922,84638
215,have,AUX,22.162147521972656,84638,0,0,0.0,0
216,faces,NOUN,23.14980125427246,84638,rostros,NOUN,34.51383590698242,84638
217,.,PUNCT,20.198673248291016,84638,.,PUNCT,34.30836868286133,84638
218,Why,ADV,20.81016731262207,87018,Entonces,ADV,32.429962158203125,87018
219,is,AUX,20.599843978881836,87018,0,0,0.0,0
