,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Last,ADJ,21.524892807006836,12852,pasado,ADJ,32.5998649597168,12852
1,summer,NOUN,21.32821273803711,12852,verano,NOUN,31.318845748901367,12852
2,",",PUNCT,22.658584594726562,12852,El,DET,35.80826950073242,12852
3,I,PRON,24.72272300720215,12852,recibí,PROPN,31.701824188232422,12852
4,got,VERB,23.777833938598633,12852,0,0,0.0,0
5,a,DET,22.592391967773438,12852,una,DET,32.496829986572266,12852
6,call,NOUN,20.718053817749023,12852,llamada,NOUN,31.335805892944336,12852
7,from,ADP,20.83878517150879,12852,de,ADP,31.48117446899414,12852
8,a,DET,22.531631469726562,12852,una,DET,33.87620544433594,12852
9,woman,NOUN,21.874618530273438,12852,mujer,NOUN,33.382293701171875,12852
10,named,VERB,23.331470489501953,12852,llamada,ADJ,31.52289390563965,12852
11,Ellie,PROPN,21.347267150878906,12852,Ellie,PROPN,35.05419921875,12852
12,.,PUNCT,18.097171783447266,12852,.,PUNCT,33.703758239746094,12852
13,And,CCONJ,20.423803329467773,16049,0,0,0.0,0
14,she,PRON,25.53169059753418,16049,oído,VERB,33.052772521972656,15929
15,had,AUX,24.129108428955078,16049,Había,AUX,35.40739822387695,15929
16,heard,VERB,22.886577606201172,16049,hablar,VERB,36.5528450012207,15929
17,about,ADP,21.39044761657715,16049,de,ADP,30.735740661621094,15929
18,the,DET,22.13623809814453,16049,las,DET,33.7270622253418,15929
19,family,NOUN,18.610692977905273,16049,familiares,ADJ,34.79408264160156,15929
20,separations,NOUN,20.292150497436523,16049,separaciones,NOUN,34.703277587890625,15929
21,at,ADP,22.43768882751465,16049,en,ADP,32.06785583496094,15929
22,the,DET,21.50876808166504,16049,la,DET,33.6822509765625,15929
23,southern,ADJ,18.637229919433594,16049,sur,ADJ,33.03620910644531,15929
24,border,NOUN,18.511503219604492,16049,frontera,NOUN,32.89958953857422,15929
25,and,CCONJ,20.613882064819336,19313,y,CONJ,33.165504455566406,19313
26,wanted,VERB,22.15777587890625,19313,quería,VERB,33.08204650878906,19313
27,to,PART,22.305221557617188,19313,saber,AUX,35.29216766357422,19313
28,know,VERB,23.855449676513672,19313,hacer,VERB,34.57408142089844,19313
29,what,PRON,20.69829750061035,19313,qué,PRON,32.700565338134766,19313
30,she,PRON,27.07586097717285,19313,0,0,0.0,0
31,could,VERB,25.351825714111328,19313,para,ADP,33.32382583618164,19313
32,do,AUX,24.326627731323242,19313,podía,AUX,34.21418380737305,19313
33,to,PART,22.86992645263672,19313,0,0,0.0,0
34,help,VERB,25.236572265625,19313,ayudar,VERB,36.34165573120117,19313
35,.,PUNCT,23.31894302368164,19313,.,PUNCT,33.9605598449707,19313
36,She,PRON,22.702159881591797,21839,Me,PRON,32.332393646240234,21839
37,told,VERB,26.93558120727539,21839,contó,VERB,36.75605392456055,21839
38,me,PRON,23.105478286743164,21839,0,0,0.0,0
39,the,DET,21.10184097290039,21839,la,DET,33.491851806640625,21839
40,story,NOUN,18.231334686279297,21839,historia,NOUN,32.60231018066406,21839
41,of,ADP,21.739185333251953,21839,de,ADP,31.40591049194336,21839
42,her,DET,19.82430076599121,21839,su,DET,32.86317443847656,21839
43,grandfather,NOUN,17.847944259643555,21839,abuelo,NOUN,31.582820892333984,21839
44,and,CCONJ,23.034881591796875,21839,y,CONJ,33.68866729736328,21839
45,his,DET,23.694164276123047,21839,su,DET,35.3471794128418,21839
46,father,NOUN,20.22307777404785,21839,padre,NOUN,33.723167419433594,21839
47,.,PUNCT,21.071706771850586,21839,.,PUNCT,32.24373245239258,21839
48,When,ADV,23.387041091918945,26285,Cuando,SCONJ,35.46181869506836,26285
49,they,PRON,24.694019317626953,26285,0,0,0.0,0
50,were,AUX,23.682161331176758,26285,eran,AUX,35.99934387207031,26285
51,kids,NOUN,21.522605895996094,26285,niños,NOUN,33.8101692199707,26285
52,in,ADP,21.40068817138672,26285,en,ADP,32.222618103027344,26285
53,Poland,PROPN,22.15363121032715,26285,Polonia,PROPN,36.497413635253906,26285
54,",",PUNCT,21.33060646057129,26285,",",PUNCT,30.441823959350586,26285
55,their,DET,23.342205047607422,28397,su,DET,34.141380310058594,28397
56,father,NOUN,19.18099021911621,28397,padre,NOUN,32.83731460571289,28397
57,",",PUNCT,20.998064041137695,28397,",",PUNCT,29.496482849121094,28397
58,fearing,VERB,23.027286529541016,29664,temiendo,VERB,36.5972900390625,29664
59,for,ADP,20.976076126098633,29664,por,ADP,33.63895034790039,29664
60,his,DET,24.20823097229004,29664,la,DET,33.202239990234375,29664
61,son,NOUN,19.2086238861084,29664,seguridad,NOUN,31.63114356994629,29664
62,'s,PART,21.826950073242188,29664,de,ADP,31.24040412902832,29664
63,0,0,0.0,0,su,DET,32.75108337402344,29664
64,safety,NOUN,19.17776107788086,29664,hijo,NOUN,32.33875274658203,29664
65,",",PUNCT,20.015565872192383,29664,",",PUNCT,28.3236083984375,29664
66,them,PRON,22.674503326416016,31592,les,PRON,30.94920539855957,31592
67,gave,VERB,23.068248748779297,31592,dio,VERB,33.84417724609375,31592
68,a,DET,23.0042667388916,31592,un,DET,31.349912643432617,31592
69,little,ADJ,19.943344116210938,31592,poco,PRON,33.2410774230957,31592
70,of,ADP,24.045061111450195,31592,de,ADP,29.87255096435547,31592
71,bit,NOUN,20.400070190429688,31592,dinero,NOUN,30.024295806884766,31592
72,and,CCONJ,20.76291847229004,31592,y,CONJ,32.645511627197266,31592
73,them,PRON,24.20358657836914,31592,les,PRON,31.91512107849121,31592
74,told,VERB,24.92705726623535,31592,dijo,VERB,36.719024658203125,31592
75,to,PART,22.763769149780273,31592,que,SCONJ,31.335342407226562,31592
76,walk,VERB,22.937686920166016,31592,caminaran,VERB,33.215476989746094,31592
77,0,0,0.0,0,hacia,ADP,35.4394416809082,31592
78,west,PROPN,19.953649520874023,31592,el,DET,34.317161560058594,31592
79,money,NOUN,19.79325294494629,31592,oeste,NOUN,30.00757598876953,31592
80,",",PUNCT,20.194501876831055,31592,;,PUNCT,29.61637306213379,31592
81,to,PART,22.530282974243164,34750,que,SCONJ,30.376609802246094,34730
82,just,ADV,25.63349723815918,34750,0,0,0.0,0
83,keep,VERB,23.124738693237305,34750,siguieran,VERB,35.17984390258789,34730
84,walking,VERB,23.266117095947266,34750,el,DET,35.073951721191406,34730
85,west,NOUN,20.228517532348633,34750,oeste,NOUN,32.8131103515625,34730
86,across,ADP,22.837858200073242,34750,hacia,ADP,34.59111785888672,34730
87,Europe,PROPN,22.69892692565918,34750,Europa,PROPN,34.84297180175781,34730
