,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,(,PUNCT,18.674592971801758,16260,(,PUNCT,29.855510711669922,16260
1,Music,NOUN,22.019737243652344,16260,Música,PROPN,34.05133819580078,16260
2,),PUNCT,21.842891693115234,16260,),PUNCT,31.957921981811523,16260
3,[,PUNCT,19.82528305053711,58260,[,PROPN,34.84935760498047,58260
4,Sanskrit,PROPN,21.271018981933594,58260,Sánscrito,PROPN,35.46152114868164,58260
5,],PUNCT,23.594694137573242,58260,],PROPN,29.94664764404297,58260
6,This,DET,23.26464080810547,65260,Esta,PRON,32.17872619628906,65260
7,is,AUX,24.16776466369629,65260,es,AUX,34.196983337402344,65260
8,an,DET,23.16320037841797,65260,una,DET,31.52593421936035,65260
9,ode,NOUN,19.299625396728516,65260,oda,NOUN,32.45136260986328,65260
10,to,ADP,21.305458068847656,65260,a,ADP,33.0119514465332,65260
11,the,DET,23.285327911376953,65260,la,DET,33.4583854675293,65260
12,mother,NOUN,17.390390396118164,65260,diosa,ADJ,32.89780807495117,65260
13,goddess,NOUN,18.304426193237305,65260,madre,NOUN,32.44281005859375,65260
14,",",PUNCT,20.122472763061523,65260,",",PUNCT,30.09199333190918,65260
15,that,SCONJ,19.876516342163086,67260,que,SCONJ,31.9588680267334,67260
16,most,ADJ,21.191967010498047,67260,la,DET,35.08962631225586,67260
17,0,0,0.0,0,mayoría,NOUN,31.560815811157227,67260
18,of,ADP,24.347267150878906,67260,de,ADP,29.767908096313477,67260
19,us,PRON,23.03726577758789,67260,nosotros,PRON,29.678890228271484,67260
20,in,ADP,19.70043182373047,67260,en,ADP,32.191505432128906,67260
21,when,ADV,22.552278518676758,67260,la,DET,32.439781188964844,67260
22,India,PROPN,23.01632308959961,67260,India,PROPN,36.09400939941406,67260
23,learn,VERB,19.431215286254883,67260,aprendemos,VERB,31.382917404174805,67260
24,we,PRON,24.762582778930664,67260,cuando,SCONJ,34.22209167480469,67260
25,are,AUX,24.25629997253418,67260,somos,AUX,34.31771469116211,67260
26,children,NOUN,21.705875396728516,67260,niños,NOUN,32.6949462890625,67260
27,.,PUNCT,22.049057006835938,67260,.,PUNCT,33.03567886352539,67260
28,I,PRON,24.413267135620117,73260,Lo,DET,31.56008529663086,73260
29,learned,VERB,26.308095932006836,73260,aprendí,VERB,31.930387496948242,73260
30,it,PRON,22.38574981689453,73260,cuando,SCONJ,35.69424057006836,73260
31,when,ADV,22.977582931518555,73260,tenia,NUM,32.51061248779297,73260
32,I,PRON,25.065338134765625,73260,0,0,0.0,0
33,was,AUX,23.55742835998535,73260,años,NOUN,35.20174026489258,73260
34,four,NUM,21.788476943969727,73260,4,NUM,32.745887756347656,73260
35,at,ADP,22.28504753112793,75260,en,ADP,34.350555419921875,75260
36,my,DET,22.342130661010742,75260,la,DET,33.92347717285156,75260
37,mother,NOUN,18.508926391601562,75260,rodilla,NOUN,32.291690826416016,75260
38,'s,PART,20.66897201538086,75260,de,ADP,30.37983512878418,75260
39,0,0,0.0,0,mi,DET,34.24321365356445,75260
40,knee,NOUN,17.978343963623047,75260,madre,NOUN,31.346494674682617,75260
41,.,PUNCT,20.358257293701172,75260,.,PUNCT,33.16919708251953,75260
42,That,DET,22.277313232421875,80260,Ese,DET,31.41407012939453,80260
43,year,NOUN,20.165443420410156,80260,año,NOUN,33.07087326049805,80260
44,she,PRON,23.832881927490234,80260,ella,PRON,28.760875701904297,80260
45,introduced,VERB,24.93730926513672,80260,introdujo,VERB,35.34799575805664,80260
46,me,PRON,24.812301635742188,80260,me,PRON,32.26050567626953,80260
47,to,PART,20.07698631286621,80260,al,ADP,36.02033996582031,80260
48,dance,VERB,22.074254989624023,80260,baile,NOUN,33.28076934814453,80260
49,",",PUNCT,21.018085479736328,80260,.,PUNCT,31.422866821289062,80260
50,and,CCONJ,21.435138702392578,83260,Y,CONJ,35.3656005859375,83260
51,thus,ADV,22.3438777923584,83260,asi,PROPN,33.405696868896484,83260
52,began,VERB,21.287195205688477,83260,empezó,VERB,35.33441925048828,83260
53,my,DET,21.726980209350586,85260,mi,DET,32.631385803222656,85260
54,tryst,NOUN,17.835712432861328,85260,encuentro,NOUN,32.138675689697266,85260
55,with,ADP,19.22063446044922,85260,con,ADP,32.39958190917969,85260
56,0,0,0.0,0,el,DET,35.31763458251953,85260
57,dance,NOUN,20.054174423217773,85260,baile,NOUN,32.35761642456055,85260
58,classical,ADJ,20.1485595703125,85260,clásico,ADJ,32.95789337158203,85260
59,.,PUNCT,21.516185760498047,85260,.,PUNCT,32.685691833496094,85260
60,Since,SCONJ,21.752695083618164,88260,Desde,ADP,34.255611419677734,88260
61,then,ADV,21.481277465820312,88260,ya,ADV,35.07604217529297,88260
62,--,PUNCT,17.828468322753906,88260,entonces--,PROPN,34.35602951049805,88260
63,it,PRON,24.44281005859375,88260,0,0,0.0,0
64,'s,AUX,21.545629501342773,88260,hace,AUX,34.478126525878906,88260
65,been,AUX,22.999614715576172,88260,0,0,0.0,0
66,four,NUM,23.945693969726562,88260,4,NUM,33.53244400024414,88260
67,decades,NOUN,21.28392791748047,88260,décadas,NOUN,35.466800689697266,88260
68,now,ADV,20.929380416870117,88260,0,0,0.0,0
69,--,PUNCT,21.845243453979492,88260,--,PUNCT,31.30097770690918,88260
70,I,PRON,24.19005584716797,92260,me,PRON,32.22913360595703,92260
71,'ve,AUX,22.34010124206543,92260,he,AUX,35.6165885925293,92260
72,trained,VERB,21.18292999267578,92260,entrenado,VERB,35.00479507446289,92260
73,with,ADP,20.18351936340332,92260,con,ADP,33.26753234863281,92260
74,the,DET,20.490509033203125,92260,lo,DET,32.662628173828125,92260
75,best,ADJ,22.10276985168457,92260,mejor,ADJ,32.71592330932617,92260
76,in,ADP,21.797622680664062,92260,en,ADP,32.45794677734375,92260
77,the,DET,22.206506729125977,92260,el,DET,34.00620651245117,92260
78,field,NOUN,18.697566986083984,92260,campo,NOUN,32.627952575683594,92260
79,",",PUNCT,19.775028228759766,92260,",",PUNCT,30.06096839904785,92260
80,0,0,0.0,0,me,PRON,31.780742645263672,94260
81,0,0,0.0,0,he,AUX,35.914100646972656,94260
82,performed,VERB,21.611127853393555,94260,presentado,VERB,36.963809967041016,94260
83,the,DET,22.532583236694336,94260,alrededor,ADV,34.595909118652344,94260
84,across,ADP,21.865520477294922,94260,del,ADP,34.625370025634766,94260
85,globe,NOUN,18.33721160888672,94260,mundo,NOUN,30.220043182373047,94260
86,",",PUNCT,20.297473907470703,94260,",",PUNCT,29.771331787109375,94260
87,young,ADJ,21.436813354492188,96260,he,AUX,35.27809143066406,96260
88,taught,VERB,18.235427856445312,96260,enseñado,VERB,33.55644607543945,96260
89,and,CCONJ,21.506202697753906,96260,a,ADP,32.99153137207031,96260
90,0,0,0.0,0,jóvenes,NOUN,33.4758415222168,96260
91,alike,ADV,19.56459617614746,96260,y,CONJ,34.53264236450195,96260
92,old,ADJ,19.157093048095703,96260,viejos,ADJ,33.301021575927734,96260
93,",",PUNCT,21.040557861328125,96260,",",PUNCT,31.47740364074707,96260
94,created,VERB,19.132614135742188,99260,creado,ADJ,34.32137680053711,99260
95,",",PUNCT,22.095630645751953,99260,",",PUNCT,27.935497283935547,99260
96,collaborated,VERB,20.192216873168945,99260,colaborado,ADJ,33.94273376464844,99260
97,",",PUNCT,18.89812660217285,99260,",",PUNCT,29.587322235107422,99260
98,choreographed,VERB,21.17399024963379,101260,coreografeado,ADJ,32.61949920654297,101260
99,",",PUNCT,20.594236373901367,101260,",",PUNCT,28.58859634399414,101260
100,and,CCONJ,20.818777084350586,103260,y,CONJ,32.2515983581543,103260
101,0,0,0.0,0,he,AUX,35.51310729980469,103260
102,wove,VERB,20.161602020263672,103260,tejido,VERB,33.55735778808594,103260
