,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Virtual,ADJ,20.880863189697266,13354,virtual,ADJ,34.08208465576172,13354
1,reality,NOUN,22.026094436645508,13354,realidad,NOUN,32.03759765625,13354
2,started,VERB,21.814607620239258,13354,empezó,VERB,33.749794006347656,13354
3,for,ADP,23.653553009033203,13354,La,DET,34.630313873291016,13354
4,me,PRON,23.123977661132812,13354,mí,PRON,33.63102722167969,13354
5,in,ADP,20.705562591552734,13354,para,ADP,31.5489559173584,13354
6,sort,ADV,22.425823211669922,13354,0,0,0.0,0
7,of,ADP,22.079261779785156,13354,en,ADP,32.73632049560547,13354
8,an,DET,21.528905868530273,13354,un,DET,37.75978088378906,13354
9,unusual,ADJ,22.167156219482422,13354,inusual,ADJ,33.690635681152344,13354
10,place,NOUN,21.808456420898438,13354,lugar,NOUN,32.550758361816406,13354
11,.,PUNCT,22.56051254272461,13354,.,PUNCT,33.54572296142578,13354
12,It,PRON,23.869068145751953,18976,En,ADP,32.93194580078125,18976
13,was,AUX,24.56064796447754,18976,0,0,0.0,0
14,the,DET,23.32439422607422,18976,los,DET,34.460201263427734,18976
15,1970s,NOUN,19.872867584228516,18976,70,NUM,33.26811599731445,18976
16,.,PUNCT,20.984582901000977,18976,.,PUNCT,33.676856994628906,18976
17,I,PRON,25.132274627685547,21173,esto,PRON,32.59575653076172,21173
18,got,VERB,23.57523536682129,21173,tenía,VERB,37.07172393798828,21173
19,into,ADP,20.52052879333496,21173,en,ADP,34.769996643066406,21173
20,the,DET,22.56389808654785,21173,0,0,0.0,0
21,field,NOUN,19.011743545532227,21173,0,0,0.0,0
22,very,ADV,23.458839416503906,21173,muy,ADV,35.21345520019531,21173
23,young,ADJ,20.689428329467773,21173,joven,ADJ,33.94904708862305,21173
24,:,PUNCT,21.015413284301758,21173,",",PUNCT,33.42308044433594,21173
25,I,PRON,23.79465675354004,21173,0,0,0.0,0
26,was,AUX,23.046798706054688,21173,Empecé,AUX,33.00336456298828,21173
