,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,My,DET,23.888324737548828,12694,Me,PRON,28.724912643432617,12694
1,name,NOUN,20.95099639892578,12694,llamo,VERB,34.333866119384766,12694
2,is,AUX,23.7354679107666,12694,0,0,0.0,0
3,Stuart,PROPN,22.000625610351562,12694,Duncan,PROPN,37.19247817993164,12694
4,Duncan,PROPN,20.958486557006836,12694,Stuart,PROPN,34.076637268066406,12694
5,",",PUNCT,19.93448257446289,12694,",",PUNCT,30.568937301635742,12694
6,but,CCONJ,20.703845977783203,14635,pero,CONJ,35.55333709716797,14635
7,I,PRON,25.16657829284668,14635,0,0,0.0,0
8,'m,AUX,23.217973709106445,14635,sea,AUX,34.215702056884766,14635
9,actually,ADV,26.46192169189453,14635,más,ADV,38.17740249633789,14635
10,probably,ADV,23.871477127075195,14635,conocido,ADJ,37.24421691894531,14635
11,better,ADV,22.106353759765625,14635,en,ADP,32.31307601928711,14635
12,known,VERB,20.438995361328125,14635,línea,NOUN,31.286230087280273,14635
13,online,ADV,20.66193962097168,14635,probablemente,ADV,35.04224395751953,14635
14,as,SCONJ,19.26093101501465,14635,como,SCONJ,34.752254486083984,14635
15,"""",PUNCT,19.966875076293945,14635,"""",PUNCT,31.641721725463867,14635
16,AutismFather,PROPN,21.796966552734375,14635,AutismFather,PROPN,32.225807189941406,14635
17,.,PUNCT,17.905418395996094,14635,.,PUNCT,33.03071212768555,14635
18,"""",PUNCT,22.123653411865234,14635,"""",PUNCT,32.24575424194336,14635
19,That,DET,19.376495361328125,19709,Ese,DET,33.160247802734375,19709
20,'s,AUX,22.419952392578125,19709,soy,AUX,32.99361801147461,19709
21,me,PRON,20.95773696899414,19709,yo,PRON,32.20133972167969,19709
22,on,ADP,20.465564727783203,19709,en,ADP,31.67647933959961,19709
23,the,DET,21.010591506958008,19709,Internet,PROPN,34.80028533935547,19709
24,internet,NOUN,20.295597076416016,19709,0,0,0.0,0
