,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,Actualmente,ADV,31.119979858398438,13560
1,",",PUNCT,22.187471389770508,13560,en,ADP,31.530393600463867,13560
2,there,PRON,24.132415771484375,13560,el,DET,34.35288619995117,13560
3,Today,NOUN,22.19878387451172,13560,mundo,NOUN,31.901342391967773,13560
4,are,AUX,23.64137840270996,13560,hay,AUX,32.815494537353516,13560
5,billion,NUM,23.76228141784668,13560,1.800,NUM,38.21287536621094,13560
6,young,ADJ,22.452342987060547,13560,millones,NOUN,36.009708404541016,13560
7,1.8,NUM,23.095176696777344,13560,de,ADP,31.293842315673828,13560
8,people,NOUN,21.408605575561523,13560,jóvenes,NOUN,32.40714645385742,13560
9,between,ADP,24.032489776611328,18280,entre,ADP,34.0589485168457,18280
10,the,DET,22.74114418029785,18280,los,DET,33.16004180908203,18280
11,ages,NOUN,21.153823852539062,18280,años,NOUN,35.77267837524414,18280
12,of,ADP,24.756488800048828,18280,y,CONJ,33.815086364746094,18280
13,10,NUM,23.512069702148438,18280,24,NUM,32.807857513427734,18280
14,and,CCONJ,23.52379608154297,18280,0,0,0.0,0
15,24,NUM,18.964725494384766,18280,10,NUM,33.90666961669922,18280
16,in,ADP,21.66606330871582,18280,de,ADP,34.244441986083984,18280
17,the,DET,23.492870330810547,18280,0,0,0.0,0
18,world,NOUN,19.127260208129883,18280,edad,NOUN,30.847291946411133,18280
19,.,PUNCT,21.89912986755371,18280,.,PUNCT,33.477577209472656,18280
20,is,AUX,24.903797149658203,22920,Es,AUX,35.1121826171875,22920
21,the,DET,23.92985725402832,22920,la,DET,33.37841796875,22920
22,largest,ADJ,22.28640365600586,22920,cohorte,ADJ,31.099491119384766,22920
23,It,PRON,23.9154109954834,22920,más,ADV,36.84351348876953,22920
24,human,ADJ,18.35563087463379,22920,grande,ADJ,34.99745559692383,22920
25,in,ADP,20.22138023376465,22920,en,ADP,32.891883850097656,22920
26,0,0,0.0,0,la,DET,33.84308624267578,22920
27,history,NOUN,19.156795501708984,22920,historia,NOUN,32.4012451171875,22920
28,0,0,0.0,0,de,ADP,31.91092300415039,22920
29,0,0,0.0,0,la,DET,31.480146408081055,22920
30,cohort,NOUN,19.87836456298828,22920,humanidad,NOUN,32.96309280395508,22920
