,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,A,DET,21.955081939697266,12572,un,DET,33.419647216796875,12572
1,couple,NOUN,19.46363067626953,12572,par,NOUN,31.507049560546875,12572
2,of,ADP,23.127422332763672,12572,de,ADP,32.11954116821289,12572
3,years,NOUN,20.94171142578125,12572,años,NOUN,32.85435104370117,12572
4,ago,ADV,20.810998916625977,12572,Hace,AUX,35.414649963378906,12572
5,",",PUNCT,21.811323165893555,12572,",",PUNCT,30.73676109313965,12572
6,0,0,0.0,0,la,DET,32.648658752441406,14023
7,Business,PROPN,20.549654006958008,14023,Escuela,PROPN,36.298728942871094,14023
8,0,0,0.0,0,de,ADP,29.490642547607422,14023
9,School,PROPN,22.66986846923828,14023,Negocios,PROPN,36.52072525024414,14023
10,0,0,0.0,0,de,ADP,29.023658752441406,14023
11,Harvard,PROPN,20.688297271728516,14023,Harvard,PROPN,37.97296905517578,14023
12,chose,VERB,21.312252044677734,14023,eligió,VERB,34.276493072509766,14023
13,the,DET,19.257654190063477,16241,el,DET,35.640403747558594,16241
14,best,ADJ,19.585594177246094,16241,mejor,ADJ,35.356292724609375,16241
15,business,NOUN,18.001373291015625,16241,modelo,NOUN,30.6004638671875,16241
16,of,ADP,24.18848419189453,16241,de,ADP,29.490503311157227,16241
17,model,NOUN,19.010454177856445,16241,negocio,NOUN,28.604999542236328,16241
18,0,0,0.0,0,de,ADP,30.155941009521484,16241
19,that,DET,22.337003707885742,16241,ese,DET,34.96100997924805,16241
20,year,NOUN,19.98423957824707,16241,año,NOUN,33.24479675292969,16241
21,.,PUNCT,22.461044311523438,16241,.,PUNCT,31.240148544311523,16241
22,chose,VERB,23.691492080688477,18990,Eligió,VERB,32.55351638793945,18990
23,It,PRON,23.207962036132812,18990,a,ADP,32.770477294921875,18990
24,Somali,ADJ,22.133563995361328,18990,la,DET,32.74502182006836,18990
25,piracy,NOUN,18.352529525756836,18990,piratería,NOUN,32.20105743408203,18990
26,0,0,0.0,0,somalí,VERB,34.97352600097656,18990
27,.,PUNCT,21.1164493560791,18990,.,PUNCT,31.950420379638672,18990
28,Pretty,ADV,22.750473022460938,23054,Más,ADV,35.512752532958984,23054
29,much,ADV,24.183624267578125,23054,menos,ADV,35.704017639160156,23054
30,around,ADP,19.68212890625,23054,al,ADP,34.85476303100586,23054
31,the,DET,21.1519718170166,23054,mismo,DET,35.187557220458984,23054
32,same,ADJ,21.4229736328125,23054,o,CONJ,33.4542121887207,23054
33,time,NOUN,21.026714324951172,23054,tiempo,NOUN,32.81636047363281,23054
34,",",PUNCT,20.914758682250977,23054,",",PUNCT,28.159955978393555,23054
35,I,PRON,25.407472610473633,25270,0,0,0.0,0
36,discovered,VERB,24.170364379882812,25270,descubrí,VERB,32.626888275146484,25270
37,that,SCONJ,20.95501136779785,25270,que,SCONJ,33.933101654052734,25270
38,there,PRON,23.058992385864258,25270,0,0,0.0,0
39,were,AUX,24.548625946044922,25270,había,AUX,33.91490173339844,25270
40,544,NUM,24.552227020263672,25270,544,NUM,33.806095123291016,25270
41,seafarers,NOUN,19.775367736816406,25270,marineros,NOUN,34.670833587646484,25270
42,being,AUX,23.336618423461914,31103,como,SCONJ,34.41409683227539,31103
43,held,VERB,22.131000518798828,31103,0,0,0.0,0
44,hostage,NOUN,20.679840087890625,31103,rehenes,NOUN,33.123878479003906,31103
45,on,ADP,21.521968841552734,31103,en,ADP,33.31360626220703,31103
46,ships,NOUN,19.851669311523438,31103,barcos,NOUN,34.652854919433594,31103
47,",",PUNCT,20.10327911376953,31103,",",PUNCT,30.534271240234375,31103
48,often,ADV,19.7164363861084,34489,a,ADP,32.91591262817383,34489
49,0,0,0.0,0,menudo,NOUN,32.43674087524414,34489
50,Somali,ADJ,20.2927188873291,34489,anclados,ADJ,31.357202529907227,34489
51,just,ADV,22.25333595275879,34489,frente,NOUN,33.45443344116211,34489
52,off,ADP,20.65911102294922,34489,a,ADP,32.055057525634766,34489
53,the,DET,21.513866424560547,34489,la,DET,33.463829040527344,34489
54,coast,NOUN,19.399227142333984,34489,costa,NOUN,32.41766357421875,34489
55,anchored,VERB,24.006725311279297,34489,somalí,VERB,35.85737228393555,34489
56,in,ADP,20.00579833984375,36579,a,ADP,32.604976654052734,36579
57,plain,ADJ,20.04252815246582,36579,plena,ADJ,33.43340301513672,36579
58,sight,NOUN,18.58880043029785,36579,vista,NOUN,32.50053405761719,36579
59,.,PUNCT,20.115421295166016,36579,.,PUNCT,33.5974235534668,36579
60,And,CCONJ,19.801219940185547,39007,de,ADP,31.27328872680664,39007
61,I,PRON,26.217439651489258,39007,estos,PRON,32.04946517944336,39007
62,learned,VERB,25.093042373657227,39007,Supe,VERB,29.810997009277344,39007
63,these,DET,19.762939453125,39007,0,0,0.0,0
64,two,NUM,22.36811637878418,39007,2,NUM,34.86344909667969,39007
65,facts,NOUN,20.546676635742188,39007,hechos,NOUN,33.25459671020508,39007
66,",",PUNCT,21.898672103881836,39007,:,PUNCT,31.926485061645508,39007
67,and,CCONJ,19.277685165405273,39007,y,CONJ,35.928958892822266,39007
68,I,PRON,24.858898162841797,39007,0,0,0.0,0
69,thought,VERB,24.240442276000977,39007,pensé,VERB,32.397621154785156,39007
70,",",PUNCT,20.49489402770996,39007,0,0,0.0,0
71,'s,AUX,22.632413864135742,41632,¿,PUNCT,31.53278160095215,41632
