,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,90,NUM,23.667692184448242,20330,90,NUM,33.79884338378906,20330
1,percent,NOUN,21.440645217895508,20330,el,DET,32.70404052734375,20330
2,of,ADP,22.28451156616211,20330,por,ADP,36.57213592529297,20330
3,my,DET,21.088592529296875,20330,mi,DET,34.0186767578125,20330
4,photographic,ADJ,19.258224487304688,20330,fotográfico,ADJ,34.354400634765625,20330
5,process,NOUN,19.132572174072266,20330,ciento,NUM,36.970436096191406,20330
6,is,AUX,20.702953338623047,23330,es,AUX,34.90178680419922,23330
7,",",PUNCT,21.181947708129883,23330,no,ADV,33.669830322265625,23330
8,in,ADP,21.677907943725586,23330,de,ADP,31.339693069458008,20330
9,fact,NOUN,20.174413681030273,23330,proceso,NOUN,34.307456970214844,20330
10,",",PUNCT,20.76626968383789,23330,",",PUNCT,32.66434097290039,23330
11,not,PART,21.450397491455078,23330,de,ADP,32.4833984375,23330
12,photographic,ADJ,17.849166870117188,23330,fotográfico,ADJ,30.998332977294922,23330
13,.,PUNCT,21.950302124023438,23330,",",PUNCT,28.047988891601562,23330
14,It,PRON,23.134611129760742,25330,.,PUNCT,31.840341567993164,23330
15,involves,VERB,26.866483688354492,25330,Incluye,VERB,34.67290115356445,25330
16,a,DET,24.37673568725586,25330,una,DET,32.98228073120117,25330
17,campaign,NOUN,20.21887969970703,25330,hecho,NOUN,30.609392166137695,23330
18,of,ADP,24.667430877685547,25330,en,ADP,31.7275333404541,25330
19,letter,NOUN,19.056081771850586,25330,campaña,NOUN,32.851558685302734,25330
20,writing,NOUN,19.763023376464844,25330,la,DET,35.33982467651367,25330
21,",",PUNCT,20.346145629882812,25330,",",PUNCT,30.717449188232422,25330
22,research,NOUN,19.284637451171875,28330,escribo,VERB,34.40073013305664,25330
23,and,CCONJ,22.871845245361328,28330,que,PRON,33.739532470703125,25330
24,phone,NOUN,19.815128326416016,28330,cartas,NOUN,32.81156921386719,25330
25,calls,NOUN,21.833913803100586,28330,investigo,PROPN,32.43218994140625,28330
26,to,PART,22.80162239074707,30330,y,CONJ,31.448610305786133,28330
27,access,VERB,23.578977584838867,30330,hago,VERB,33.630836486816406,28330
28,my,DET,23.08610725402832,30330,telefónicas,ADJ,34.31547927856445,28330
29,subjects,NOUN,19.5303955078125,30330,llamadas,NOUN,32.84714126586914,28330
30,",",PUNCT,20.375093460083008,30330,",",PUNCT,31.3855037689209,30330
31,which,DET,24.163753509521484,32330,mis,DET,35.33441925048828,30330
