,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Thank,VERB,21.96343421936035,13167,tengo,VERB,33.57230758666992,14474
1,you,PRON,23.480247497558594,13167,Gracias,NOUN,29.708393096923828,13167
2,.,PUNCT,21.49152946472168,13167,.,PUNCT,31.750553131103516,13167
3,I,PRON,24.872892379760742,14474,algo,PRON,35.013092041015625,15983
4,have,AUX,23.199493408203125,14474,minutos,NOUN,34.296810150146484,14474
5,only,ADV,22.23398208618164,14474,Solo,ADV,34.25910568237305,14474
6,got,VERB,21.038143157958984,14474,explicar,VERB,37.18851852416992,15983
7,18,NUM,25.204851150512695,14474,18,NUM,33.49432373046875,14474
8,minutes,NOUN,21.71378517150879,14474,horas,NOUN,32.37406539916992,15983
9,to,PART,22.599172592163086,15983,para,ADP,36.2426872253418,15983
10,explain,VERB,25.1876220703125,15983,dura,VERB,31.906375885009766,15983
11,something,PRON,22.456985473632812,15983,que,PRON,31.306306838989258,15983
12,that,DET,22.601442337036133,15983,y,CONJ,33.405128479003906,15983
13,lasts,VERB,23.715360641479492,15983,",",PUNCT,31.543970108032227,15983
14,for,ADP,22.719993591308594,15983,con,ADP,32.96300506591797,21102
15,hours,NOUN,20.765300750732422,15983,días,NOUN,33.332542419433594,15983
16,and,CCONJ,23.3701114654541,15983,que,SCONJ,32.56433868408203,18832
17,days,NOUN,19.154315948486328,15983,clip,NOUN,30.154151916503906,21102
18,",",PUNCT,19.76193618774414,15983,.,PUNCT,34.163387298583984,18832
19,so,ADV,18.109853744506836,18832,mejor,ADV,30.750843048095703,18832
20,I,PRON,23.953556060791016,18832,empiezo,ADJ,31.383821487426758,18832
21,'d,VERB,20.834646224975586,18832,Empecemos,VERB,32.57951736450195,21102
22,better,ADV,22.64274024963379,18832,así,ADV,36.72570037841797,18832
23,get,AUX,22.99839210510254,18832,un,DET,34.05449676513672,21102
24,started,VERB,21.0599365234375,18832,de,ADP,32.73486328125,21102
25,.,PUNCT,22.087488174438477,18832,.,PUNCT,32.01895523071289,21102
26,Let,VERB,21.766061782836914,21102,Puesto,PROPN,28.601518630981445,21102
27,'s,PRON,22.23361587524414,21102,Escucha,PROPN,35.92145538330078,21102
28,start,VERB,24.913589477539062,21102,de,ADP,26.48033905029297,21102
29,with,ADP,22.451751708984375,21102,Al,ADP,34.42831802368164,21102
30,a,DET,20.726224899291992,21102,un,DET,36.05366516113281,26649
31,clip,NOUN,23.283201217651367,21102,país,NOUN,31.91156768798828,26649
32,from,ADP,20.98866844177246,21102,de,ADP,29.79719352722168,21102
33,Al,PROPN,22.11202049255371,21102,Gizbert,PROPN,34.36935043334961,26649
34,Jazeera,PROPN,21.627119064331055,21102,Richard,PROPN,34.6571159362793,26649
35,'s,PART,19.562381744384766,21102,es,AUX,32.71213150024414,26649
36,Listening,PROPN,19.90592384338379,21102,Noruega,PROPN,32.1708869934082,26649
37,Post,PROPN,20.390602111816406,21102,Jazeera,PROPN,36.86193084716797,21102
38,.,PUNCT,20.566165924072266,21102,:,PUNCT,30.17020034790039,26649
39,Richard,PROPN,23.200223922729492,26649,que,PRON,33.58376693725586,28696
40,Gizbert,PROPN,22.200651168823242,26649,tiene,VERB,37.78025817871094,28696
41,:,PUNCT,20.270076751708984,26649,.,PUNCT,33.45661163330078,28696
42,Norway,PROPN,23.8165340423584,26649,relativamente,ADV,38.737953186035156,28696
43,is,AUX,22.990264892578125,26649,mediática,ADJ,34.340667724609375,28696
44,a,DET,24.234394073486328,26649,poca,DET,34.5126953125,28696
45,country,NOUN,21.456470489501953,26649,cobertura,NOUN,33.13180923461914,28696
46,that,DET,22.908279418945312,26649,las,DET,33.87409591674805,30496
47,gets,VERB,26.346349716186523,26649,pasaron,VERB,35.14433288574219,30496
48,relatively,ADV,24.14691734313965,26649,Incluso,ADV,33.532657623291016,30496
49,little,ADJ,21.143888473510742,26649,de,ADP,34.08525085449219,30496
50,media,NOUN,20.108543395996094,26649,elecciones,NOUN,35.20268630981445,30496
51,coverage,NOUN,18.483116149902344,26649,semana,NOUN,32.70724105834961,30496
52,.,PUNCT,20.75787353515625,26649,.,PUNCT,32.486270904541016,30496
53,Even,ADV,21.48310661315918,30496,sin,ADP,33.807090759277344,30496
54,the,DET,21.358102798461914,30496,la,DET,32.8859977722168,30496
55,elections,NOUN,19.454036712646484,30496,drama,NOUN,33.05445861816406,30496
56,this,DET,20.210430145263672,30496,mucho,DET,35.72247314453125,30496
57,past,ADJ,19.830881118774414,30496,pasada,ADJ,32.224891662597656,30496
58,week,NOUN,19.07975959777832,30496,Y,CONJ,32.74992752075195,33487
59,passed,VERB,21.618993759155273,30496,eso,PRON,33.54298782348633,33487
