,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,At,ADP,20.201719284057617,12912,En,ADP,32.382591247558594,12912
1,some,DET,25.095722198486328,12912,algún,DET,36.259376525878906,12912
2,point,NOUN,21.565673828125,12912,momento,NOUN,30.884876251220703,12912
3,in,ADP,21.524120330810547,12912,de,ADP,29.68431854248047,12912
4,our,DET,24.62108039855957,12912,la,DET,33.02588653564453,12912
5,lives,NOUN,20.258163452148438,12912,vida,NOUN,31.0399112701416,12912
6,",",PUNCT,20.642663955688477,12912,",",PUNCT,30.72309112548828,12912
7,almost,ADV,22.170284271240234,14882,casi,ADV,35.29785919189453,14882
8,every,DET,21.62734031677246,14882,una,DET,35.38999557495117,14882
9,one,NUM,20.870662689208984,14882,0,0,0.0,0
10,of,ADP,24.695329666137695,14882,por,ADP,35.103477478027344,14882
11,us,PRON,24.396228790283203,14882,todos,PRON,32.35074996948242,14882
12,will,VERB,23.592498779296875,14882,pasaremos,VERB,33.8309440612793,14882
13,have,AUX,25.55485725402832,14882,amorosa,ADJ,34.04221725463867,14882
14,our,DET,22.605791091918945,14882,0,0,0.0,0
15,heart,NOUN,21.22198486328125,14882,ruptura,NOUN,32.803199768066406,14882
16,broken,VERB,20.47602653503418,14882,0,0,0.0,0
17,.,PUNCT,21.25800323486328,14882,.,PUNCT,33.63397979736328,14882
18,My,DET,22.846349716186523,18831,Mi,DET,32.28319549560547,18831
19,patient,NOUN,20.930458068847656,18831,paciente,NOUN,33.59183120727539,18831
20,Kathy,PROPN,22.824138641357422,18831,Kathy,PROPN,35.637123107910156,18831
21,planned,VERB,24.53123664855957,18831,planeó,VERB,35.173091888427734,18831
22,her,DET,23.2149715423584,18831,su,DET,35.357940673828125,18831
23,wedding,NOUN,19.71776008605957,18831,boda,NOUN,31.707935333251953,18831
24,when,ADV,22.251707077026367,18831,estando,VERB,33.469139099121094,18831
25,she,PRON,25.56007957458496,18831,0,0,0.0,0
26,was,AUX,24.8682918548584,18831,la,DET,32.568965911865234,18831
27,in,ADP,22.151094436645508,18831,en,ADP,33.99777603149414,18831
28,middle,ADJ,19.453065872192383,18831,secundaria,ADJ,32.96651077270508,18831
29,school,NOUN,19.087825775146484,18831,escuela,NOUN,31.18505096435547,18831
30,.,PUNCT,21.565153121948242,18831,.,PUNCT,33.738548278808594,18831
31,She,PRON,23.863666534423828,23227,a,ADP,32.108985900878906,23227
32,would,VERB,26.754924774169922,23227,Conocería,VERB,30.439517974853516,23227
33,meet,VERB,25.090906143188477,23227,su,DET,34.26649475097656,23227
34,her,DET,22.23058319091797,23227,los,DET,33.6603889465332,23227
35,future,ADJ,19.660409927368164,23227,esposo,ADJ,32.94126892089844,23227
36,husband,NOUN,18.782224655151367,23227,futuro,NOUN,34.43436813354492,23227
37,by,ADP,20.98509979248047,25088,a,ADP,31.063106536865234,23227
38,age,NOUN,19.04048728942871,25088,años,NOUN,35.276981353759766,23227
39,27,NUM,19.776174545288086,25088,27,NUM,35.526222229003906,23227
40,",",PUNCT,21.570066452026367,25088,",",PUNCT,31.224571228027344,23227
41,get,AUX,22.00122833251953,26745,se,PRON,33.285037994384766,26745
42,engaged,VERB,21.065929412841797,26745,comprometería,VERB,36.27013397216797,26745
43,a,DET,22.8610897064209,26745,un,DET,34.31801223754883,26745
44,year,NOUN,20.075944900512695,26745,año,NOUN,32.19430160522461,26745
45,later,ADV,21.006763458251953,26745,después,ADV,33.28696823120117,26745
46,and,CCONJ,21.700925827026367,28556,y,CONJ,32.97007369995117,28556
47,get,AUX,22.55869483947754,28556,se,PRON,32.04458999633789,28556
48,married,VERB,18.435564041137695,28556,casaría,VERB,37.17464828491211,28556
49,a,DET,22.217973709106445,28556,0,0,0.0,0
50,year,NOUN,21.112293243408203,28556,año,NOUN,33.73114013671875,28556
51,after,ADP,21.794147491455078,28556,al,ADP,33.6535758972168,28556
52,that,DET,21.265594482421875,28556,siguiente,ADJ,33.66013717651367,28556
53,.,PUNCT,21.405780792236328,28556,.,PUNCT,33.52872848510742,28556
54,But,CCONJ,21.326364517211914,31576,Pero,CONJ,31.640295028686523,31576
55,when,ADV,23.117488861083984,31576,cuando,SCONJ,33.36777114868164,31576
56,Kathy,PROPN,24.896949768066406,31576,Kathy,PROPN,36.17057800292969,31576
57,turned,VERB,24.275327682495117,31576,cumplió,VERB,32.00735092163086,31576
58,27,NUM,20.836711883544922,31576,27,NUM,33.6393928527832,31576
59,",",PUNCT,23.015304565429688,31576,",",PUNCT,32.244834899902344,31576
60,she,PRON,25.188953399658203,31576,no,ADV,32.230010986328125,31576
61,did,AUX,25.06120491027832,31576,0,0,0.0,0
62,n't,PART,25.229711532592773,31576,0,0,0.0,0
63,find,VERB,20.9716854095459,31576,encontró,VERB,35.345428466796875,31576
64,a,DET,21.854103088378906,31576,un,DET,37.261741638183594,31576
65,husband,NOUN,21.577228546142578,31576,marido,NOUN,32.39637756347656,31576
66,.,PUNCT,22.48770523071289,31576,",",PUNCT,29.02486228942871,31576
67,found,VERB,26.173856735229492,35540,sino,CONJ,33.45884704589844,35540
68,a,DET,23.995817184448242,35540,un,DET,36.971168518066406,35540
69,lump,NOUN,21.25565528869629,35540,bulto,NOUN,32.710941314697266,35540
70,in,ADP,23.327075958251953,35540,en,ADP,33.364593505859375,35540
71,She,PRON,23.741247177124023,35540,uno,PRON,32.75101089477539,35540
72,0,0,0.0,0,de,ADP,29.659360885620117,35540
73,her,DET,22.924463272094727,35540,sus,DET,32.472164154052734,35540
74,breast,NOUN,19.107789993286133,35540,pechos,NOUN,35.37395477294922,35540
75,.,PUNCT,21.688522338867188,35540,.,PUNCT,33.6785774230957,35540
76,She,PRON,24.45940399169922,38295,Se,PRON,32.783203125,38295
77,went,VERB,26.465129852294922,38295,sometió,VERB,36.3678092956543,38295
78,through,ADP,22.4979305267334,38295,a,ADP,33.27342224121094,38295
79,many,ADJ,22.60661506652832,38295,meses,NOUN,35.895606994628906,38295
80,of,ADP,23.753337860107422,38295,de,ADP,30.411977767944336,38295
81,harsh,ADJ,19.23210334777832,38295,crueles,ADJ,34.593772888183594,38295
82,months,NOUN,20.88397979736328,38295,sesiones,NOUN,36.3213005065918,38295
83,0,0,0.0,0,de,ADP,32.03294372558594,38295
84,chemotherapy,NOUN,18.147520065307617,38295,quimioterapia,NOUN,31.581361770629883,38295
85,and,CCONJ,19.552398681640625,41427,y,CONJ,33.326698303222656,41427
86,0,0,0.0,0,a,ADP,31.732040405273438,41427
87,surgeries,NOUN,19.627626419067383,41427,dolorosas,NOUN,34.31244659423828,41427
88,painful,ADJ,19.560274124145508,41427,cirugías,ADJ,33.757686614990234,41427
89,",",PUNCT,19.538549423217773,41427,",",PUNCT,30.81127166748047,41427
90,and,CCONJ,20.41588020324707,43225,pero,CONJ,33.4319953918457,43225
91,then,ADV,21.376386642456055,43225,",",PUNCT,28.834543228149414,43225
92,just,ADV,21.624801635742188,43225,justo,ADV,34.43976974487305,43225
93,as,SCONJ,20.05571746826172,43225,cuando,SCONJ,35.02850341796875,43225
94,she,PRON,24.62333106994629,43225,0,0,0.0,0
95,was,AUX,25.99477767944336,43225,estaba,AUX,35.25360107421875,43225
96,ready,ADJ,23.789386749267578,43225,lista,ADJ,32.11568832397461,43225
97,to,PART,25.01654815673828,43225,para,ADP,35.34188461303711,43225
98,jump,VERB,26.09942626953125,43225,volver,AUX,37.9284782409668,43225
99,back,ADV,21.39055633544922,43225,ya,ADV,35.090972900390625,43225
100,into,ADP,20.57743263244629,43225,a,ADP,32.52583312988281,43225
101,the,DET,21.228614807128906,43225,0,0,0.0,0
102,dating,VERB,20.745357513427734,43225,buscar,VERB,36.695926666259766,43225
103,world,NOUN,20.987655639648438,43225,pareja,NOUN,29.31443214416504,43225
104,",",PUNCT,22.5601863861084,43225,",",PUNCT,29.795469284057617,43225
105,she,PRON,25.253232955932617,47753,0,0,0.0,0
106,found,VERB,25.74212646484375,47753,encontró,VERB,34.204647064208984,47753
107,a,DET,23.842844009399414,47753,un,DET,37.53666687011719,47753
108,lump,NOUN,20.983989715576172,47753,bulto,NOUN,32.52127456665039,47753
109,in,ADP,23.01870346069336,47753,en,ADP,32.344696044921875,47753
110,her,DET,22.114774703979492,47753,otra,DET,33.42351150512695,47753
111,other,ADJ,19.89628028869629,47753,la,DET,31.634716033935547,47753
112,breast,NOUN,18.544099807739258,47753,mama,NOUN,34.190975189208984,47753
113,and,CCONJ,20.351215362548828,50147,y,CONJ,35.348602294921875,50147
114,had,AUX,22.597623825073242,50147,tuvo,VERB,35.48243713378906,50147
115,to,PART,21.34950828552246,50147,que,SCONJ,30.3742733001709,50147
116,do,AUX,24.121234893798828,50147,pasar,VERB,33.76824951171875,50147
117,0,0,0.0,0,por,ADP,32.574867248535156,50147
