,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,How,ADV,21.988967895507812,12837,¿,PUNCT,30.252578735351562,12837
1,much,ADJ,22.943214416503906,12837,0,0,0.0,0
2,do,AUX,21.734914779663086,12837,0,0,0.0,0
3,you,PRON,24.304574966430664,12837,Cuánto,PRON,28.991445541381836,12837
4,need,VERB,21.91836166381836,12837,saber,VERB,34.584381103515625,12837
5,to,PART,23.392005920410156,12837,0,0,0.0,0
6,know,VERB,25.24519157409668,12837,necesitan,VERB,36.27313995361328,12837
7,about,ADP,19.772701263427734,12837,de,ADP,30.76551628112793,12837
8,a,DET,21.97525978088379,12837,una,DET,34.35004806518555,12837
9,person,NOUN,20.976207733154297,12837,persona,NOUN,32.2320556640625,12837
10,you,PRON,22.630416870117188,14862,antes,ADV,34.469581604003906,14862
11,before,ADP,20.957231521606445,14862,de,ADP,29.77288246154785,14862
12,'d,VERB,22.421730041503906,14862,sentirse,NOUN,33.74184799194336,14862
13,comfortable,ADJ,21.476131439208984,14862,cómodos,ADJ,33.93090057373047,14862
14,feel,VERB,23.311613082885742,14862,al,ADP,33.61810302734375,14862
15,making,VERB,24.118549346923828,14862,darles,ADJ,32.35215759277344,14862
16,a,DET,22.33198356628418,14862,un,DET,33.58607864379883,14862
17,loan,NOUN,20.32094955444336,14862,crédito,NOUN,31.626882553100586,14862
18,?,PUNCT,22.248184204101562,14862,?,PUNCT,32.817466735839844,14862
19,Suppose,VERB,19.95415496826172,18044,Supongan,VERB,30.0799560546875,18044
20,you,PRON,25.134103775024414,18044,que,SCONJ,32.35442352294922,18044
21,wanted,VERB,24.673200607299805,18044,querían,VERB,31.462135314941406,18044
22,to,PART,24.12874984741211,18044,USD,PROPN,32.36627960205078,18044
23,lend,VERB,26.360244750976562,18044,prestar,VERB,35.18260192871094,18044
24,"1,000",NUM,24.658161163330078,18044,1000,NUM,32.33128356933594,18044
25,dollars,NOUN,20.58011817932129,18044,0,0,0.0,0
26,to,ADP,21.490747451782227,20523,a,ADP,35.04834747314453,20523
27,the,DET,23.964296340942383,20523,la,DET,33.32221984863281,20523
28,person,NOUN,19.704256057739258,20523,persona,NOUN,34.08466720581055,20523
29,you,PRON,24.789304733276367,20523,que,PRON,33.43641662597656,20523
30,sitting,VERB,24.65856170654297,20523,está,AUX,37.0444450378418,20523
31,0,0,0.0,0,sentada,ADJ,31.977441787719727,20523
32,two,NUM,23.531099319458008,20523,dos,NUM,34.0698127746582,20523
33,rows,NOUN,23.267066955566406,20523,filas,NOUN,33.9603385925293,20523
34,.,PUNCT,21.648935317993164,20523,detrás,ADV,33.25682830810547,20523
35,behind,ADP,21.513153076171875,20523,de,ADP,30.286518096923828,20523
36,0,0,0.0,0,Uds.,PROPN,36.32362747192383,20523
37,What,PRON,21.528602600097656,23190,¿,PUNCT,30.510326385498047,23277
38,would,VERB,25.304473876953125,23190,tendrían,VERB,34.313907623291016,23277
39,you,PRON,24.01527976989746,23190,Qué,PRON,29.32717514038086,23277
