,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Menstruation,NOUN,20.941162109375,13150,Menstruación,NOUN,32.13824462890625,13150
1,.,PUNCT,20.442148208618164,13150,0,0,0.0,0
2,A,DET,21.323915481567383,14921,Una,DET,32.22452926635742,14921
3,simple,ADJ,20.401447296142578,14921,simple,ADJ,34.842529296875,14921
4,word,NOUN,20.01032829284668,14921,palabra,NOUN,34.34089279174805,14921
5,",",PUNCT,21.723426818847656,14921,que,PRON,33.91248321533203,14921
6,describing,VERB,24.565549850463867,14921,describe,VERB,35.44063949584961,14921
7,a,DET,20.76082992553711,14921,un,DET,37.96138381958008,14921
8,process,NOUN,20.22291374206543,14921,proceso,NOUN,34.49692916870117,14921
9,biological,ADJ,19.961591720581055,14921,biológico,ADJ,34.016563415527344,14921
10,natural,ADJ,21.34180450439453,14921,natural,ADJ,33.848697662353516,14921
11,weighed,VERB,21.182464599609375,18902,cargado,ADJ,33.20436477661133,18902
12,down,ADP,21.340435028076172,18902,de,ADP,29.873228073120117,18902
13,by,ADP,20.691844940185547,18902,durante,ADP,33.5745964050293,18902
14,centuries,NOUN,21.277812957763672,18902,estigmas,NOUN,34.24823760986328,18902
15,of,ADP,25.09799575805664,18902,0,0,0.0,0
16,stigma,NOUN,19.422454833984375,18902,siglos,NOUN,35.23379135131836,18902
17,",",PUNCT,20.294200897216797,18902,0,0,0.0,0
18,has,AUX,22.276485443115234,21312,y,CONJ,35.671207427978516,21312
19,0,0,0.0,0,que,SCONJ,34.343631744384766,21312
20,something,PRON,20.966278076171875,21312,se,PRON,32.888858795166016,21312
21,been,AUX,25.266143798828125,21312,ha,AUX,36.1121711730957,21312
22,transformed,VERB,23.135053634643555,21312,transformado,VERB,35.78527069091797,21312
23,into,ADP,20.65140724182129,21312,en,ADP,34.311500549316406,21312
24,most,ADJ,22.064043045043945,21312,algo,PRON,33.303401947021484,21312
25,of,ADP,25.06041717529297,21312,de,ADP,28.916406631469727,21312
26,can,VERB,24.48954963684082,21312,lo,DET,33.71046447753906,21312
27,us,PRON,23.83112335205078,21312,que,PRON,34.58159255981445,21312
28,only,ADV,23.33175277709961,21312,solo,ADV,31.9407958984375,21312
29,about,ADP,20.451587677001953,21312,podemos,AUX,32.680458068847656,21312
30,speak,VERB,22.120962142944336,21312,hablar,VERB,35.7593879699707,21312
31,in,ADP,20.72123908996582,25132,entre,ADP,34.283355712890625,25132
32,whispers,NOUN,21.353315353393555,25132,susurros,NOUN,33.307804107666016,25132
33,.,PUNCT,20.242860794067383,25132,.,PUNCT,33.431312561035156,25132
34,But,CCONJ,20.823518753051758,26568,¿,PUNCT,30.810413360595703,26568
35,why,ADV,21.62424087524414,26568,Por,ADP,32.83551788330078,26568
36,0,0,0.0,0,qué,PRON,31.51730728149414,26568
37,?,PUNCT,22.875316619873047,26568,?,PUNCT,34.48092269897461,26568
38,As,SCONJ,20.160825729370117,27751,Mientras,SCONJ,34.15449523925781,27751
39,I,PRON,26.346176147460938,27751,les,PRON,29.556318283081055,27751
40,speak,VERB,22.733186721801758,27751,hablo,VERB,34.4660758972168,27751
41,to,ADP,20.20720863342285,27751,en,ADP,34.75689697265625,27751
42,you,PRON,23.854341506958008,27751,este,DET,36.483299255371094,27751
43,right,ADV,23.582103729248047,27751,momento,NOUN,31.647438049316406,27751
44,now,ADV,25.23953628540039,27751,0,0,0.0,0
45,",",PUNCT,21.16518783569336,27751,",",PUNCT,27.651086807250977,27751
46,more,ADJ,20.330652236938477,29392,más,ADV,35.38079071044922,29582
