,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,If,SCONJ,21.249881744384766,18330,Si,SCONJ,33.55619430541992,18330
1,I,PRON,24.993305206298828,18330,yo,PRON,34.9957275390625,18330
2,could,VERB,25.48960304260254,18330,pudiera,AUX,35.66534423828125,18330
3,reveal,VERB,24.87798309326172,18330,revelar,VERB,36.21781921386719,18330
4,anything,PRON,20.429590225219727,18330,algo,PRON,36.06938552856445,18330
5,that,DET,18.62152099609375,22330,que,SCONJ,34.48942184448242,22330
6,is,AUX,25.158857345581055,22330,podemos,AUX,36.09664535522461,22330
7,hidden,VERB,22.2008056640625,22330,ver,VERB,35.22917556762695,22330
8,from,ADP,22.962541580200195,22330,al,ADP,35.607234954833984,24330
9,us,PRON,24.346845626831055,22330,no,ADV,34.3123893737793,22330
10,",",PUNCT,20.910770416259766,22330,",",PUNCT,31.428096771240234,22330
11,at,ADP,21.29261589050293,24330,en,ADP,32.12724685668945,24330
12,least,ADJ,19.213876724243164,24330,menos,ADV,33.726951599121094,24330
13,in,ADP,20.71224594116211,24330,las,DET,33.34746551513672,24330
14,modern,ADJ,21.830968856811523,24330,modernas,ADJ,36.13095474243164,24330
15,cultures,NOUN,21.590627670288086,24330,culturas,NOUN,35.77577590942383,24330
16,",",PUNCT,20.995668411254883,24330,",",PUNCT,30.534269332885742,24330
17,it,PRON,25.07698631286621,28330,algo,PRON,34.536922454833984,28330
18,would,VERB,26.21771240234375,28330,revelaría,VERB,34.57050704956055,28330
19,be,AUX,24.98337745666504,28330,hemos,AUX,33.06647872924805,28330
20,to,PART,24.910900115966797,28330,que,PRON,31.267515182495117,28330
21,reveal,VERB,25.588722229003906,28330,olvidado,VERB,35.10272216796875,28330
22,something,PRON,21.49966049194336,28330,algo,PRON,35.66326904296875,32330
23,that,DET,20.625873565673828,28330,la,DET,32.281795501708984,34330
24,we,PRON,22.93918228149414,28330,que,PRON,32.12070846557617,32330
25,'ve,AUX,22.945737838745117,28330,antes,ADV,35.7467041015625,32330
26,forgotten,VERB,20.897077560424805,28330,sabíamos,VERB,32.447044372558594,32330
27,",",PUNCT,20.68952751159668,28330,",",PUNCT,29.77751350402832,28330
28,that,SCONJ,20.917972564697266,32330,con,ADP,33.5597038269043,34330
29,we,PRON,24.854753494262695,32330,misma,DET,34.38818359375,34330
30,used,VERB,22.261966705322266,32330,certeza,NOUN,34.265533447265625,34330
31,to,PART,21.625444412231445,32330,con,ADP,32.835140228271484,34330
32,know,VERB,24.171627044677734,32330,conocemos,VERB,34.35092544555664,34330
33,as,ADV,21.026390075683594,34330,la,DET,34.79301071166992,34330
34,well,ADV,23.76289939880371,34330,nombres,NOUN,36.97121810913086,34330
35,as,SCONJ,19.489160537719727,34330,nuestros,DET,32.21841812133789,34330
36,we,PRON,24.002120971679688,34330,que,PRON,34.27227783203125,34330
37,knew,VERB,23.963685989379883,34330,y,CONJ,34.1322021484375,38330
38,our,DET,21.946252822875977,34330,esa,DET,33.62818145751953,38330
39,own,ADJ,20.61920738220215,34330,propios,ADJ,37.22119903564453,34330
40,names,NOUN,22.005949020385742,34330,cosa,NOUN,33.13760757446289,38330
41,.,PUNCT,22.351673126220703,34330,",",PUNCT,30.901689529418945,38330
42,And,CCONJ,19.588329315185547,38330,vivimos,VERB,34.29927062988281,38330
43,that,DET,18.886075973510742,38330,un,DET,38.157955169677734,38330
44,is,AUX,22.68268585205078,38330,es,AUX,33.06282043457031,38330
45,that,SCONJ,20.47977066040039,38330,que,SCONJ,33.61410903930664,38330
46,we,PRON,23.960187911987305,38330,universo,NOUN,32.41282653808594,38330
47,live,VERB,22.074050903320312,38330,formamos,VERB,33.793792724609375,42330
48,in,ADP,22.271240234375,38330,en,ADP,35.301368713378906,38330
49,a,DET,22.082271575927734,38330,un,DET,37.201541900634766,42330
50,competent,ADJ,19.08741569519043,38330,competente,ADJ,33.38987350463867,38330
51,universe,NOUN,18.19561004638672,38330,parte,NOUN,33.126895904541016,42330
52,",",PUNCT,21.48027801513672,38330,",",PUNCT,29.483348846435547,38330
53,that,SCONJ,20.866302490234375,42330,que,SCONJ,31.809804916381836,42330
54,we,PRON,24.383970260620117,42330,brillante,ADJ,34.76941680908203,42330
55,are,AUX,23.997146606445312,42330,estamos,AUX,34.16107177734375,45330
56,part,NOUN,20.596641540527344,42330,planeta,NOUN,32.69146728515625,42330
57,of,ADP,23.355348587036133,42330,de,ADP,30.826696395874023,42330
58,a,DET,21.639402389526367,42330,Y,CONJ,35.1788330078125,45330
59,brilliant,ADJ,18.461790084838867,42330,rodeados,ADJ,33.46035385131836,45330
60,planet,NOUN,20.61933708190918,42330,genialidad,NOUN,31.736448287963867,45330
61,",",PUNCT,21.32276725769043,42330,.,PUNCT,32.50376892089844,42330
62,and,CCONJ,18.77107810974121,45330,de,ADP,33.36452102661133,45330
63,that,SCONJ,19.857633590698242,45330,que,SCONJ,32.92472839355469,45330
64,we,PRON,25.467145919799805,45330,La,DET,31.73514747619629,49330
65,are,AUX,25.781476974487305,45330,es,AUX,32.724212646484375,49330
66,surrounded,VERB,22.663188934326172,45330,intenta,VERB,35.630558013916016,52330
67,by,ADP,22.935121536254883,45330,de,ADP,32.135986328125,52330
68,genius,NOUN,20.016925811767578,45330,disciplina,NOUN,33.967567443847656,49330
69,.,PUNCT,20.376358032226562,45330,.,PUNCT,33.428871154785156,45330
70,Biomimicry,PROPN,23.145671844482422,49330,Biomimética,PROPN,35.671424865722656,49330
71,is,AUX,21.086780548095703,49330,que,SCONJ,34.54917526245117,52330
72,a,DET,24.349069595336914,49330,una,DET,35.378421783447266,49330
73,new,ADJ,23.130037307739258,49330,nueva,ADJ,34.688053131103516,49330
74,discipline,NOUN,19.005388259887695,49330,genios,NOUN,34.68054962158203,52330
75,that,DET,18.52547264099121,52330,esos,DET,37.38420867919922,52330
76,tries,VERB,23.605501174926758,52330,aprender,VERB,36.68099594116211,52330
77,to,PART,21.990419387817383,52330,",",PUNCT,30.467756271362305,52330
78,learn,VERB,23.613645553588867,52330,y,CONJ,32.26646423339844,54330
79,from,ADP,22.8221435546875,52330,de,ADP,30.770029067993164,54330
80,those,DET,22.65508460998535,52330,sus,DET,34.360443115234375,54330
81,geniuses,NOUN,22.02147674560547,52330,consejos,NOUN,34.38983154296875,54330
82,",",PUNCT,20.7611026763916,52330,",",PUNCT,32.142337799072266,54330
83,and,CCONJ,20.339508056640625,54330,Ahí,ADV,33.15749740600586,58330
84,take,VERB,22.19269561767578,54330,seguir,VERB,36.098236083984375,54330
85,advice,NOUN,19.503341674804688,54330,consejos,NOUN,32.92728805541992,54330
86,from,ADP,21.808156967163086,54330,de,ADP,29.680246353149414,54330
87,them,PRON,23.173954010009766,54330,donde,PRON,32.980289459228516,58330
88,",",PUNCT,20.2208251953125,54330,.,PUNCT,33.33745193481445,54330
