,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.499046325683594,12546,Estaba,VERB,34.82347869873047,12546
1,was,AUX,23.96812629699707,12546,el,DET,33.16941452026367,12546
2,in,ADP,20.01268768310547,12546,en,ADP,32.66892623901367,12546
3,New,PROPN,21.874486923217773,12546,York,PROPN,34.370208740234375,12546
4,York,PROPN,20.94356918334961,12546,Nueva,PROPN,36.740516662597656,12546
5,during,ADP,23.885862350463867,12546,durante,ADP,32.74442672729492,12546
6,Hurricane,PROPN,21.582977294921875,12546,huracán,NOUN,30.81734275817871,12546
7,Sandy,PROPN,19.49172592163086,12546,Sandy,PROPN,35.56360626220703,12546
8,",",PUNCT,20.072839736938477,12546,",",PUNCT,29.83115005493164,12546
9,and,CCONJ,18.94443702697754,14793,y,CONJ,33.61823654174805,14793
10,this,DET,21.293081283569336,14793,este,DET,35.817501068115234,14793
11,dog,NOUN,18.851940155029297,14793,perrito,NOUN,32.48424530029297,14793
12,white,ADJ,19.309354782104492,14793,blanco,ADJ,33.366764068603516,14793
13,little,ADJ,19.097379684448242,14793,que,PRON,33.24446105957031,14793
14,0,0,0.0,0,se,PRON,32.845115661621094,14793
15,called,VERB,20.877819061279297,14793,llama,VERB,35.0906982421875,14793
16,Maui,PROPN,22.01279640197754,14793,Maui,PROPN,35.55426025390625,14793
17,was,AUX,21.662109375,17033,estaba,AUX,33.83327865600586,17033
18,staying,VERB,23.63016128540039,17033,0,0,0.0,0
19,with,ADP,21.150068283081055,17033,0,0,0.0,0
20,me,PRON,25.188146591186523,17033,conmigo,PRON,33.65388107299805,17033
21,.,PUNCT,20.338109970092773,17033,.,PUNCT,33.544654846191406,17033
22,Half,DET,19.589479446411133,18918,La,DET,34.161624908447266,18918
23,city,NOUN,20.1989803314209,18918,mitad,NOUN,31.35056495666504,18918
24,0,0,0.0,0,de,ADP,29.931638717651367,18918
25,the,DET,20.83258628845215,18918,la,DET,33.64192199707031,18918
26,because,SCONJ,19.778520584106445,18918,ciudad,NOUN,32.536678314208984,18918
27,was,AUX,24.67191505432129,18918,estaba,AUX,33.06843566894531,18918
28,dark,ADJ,22.663148880004883,18918,oscura,ADJ,33.857017517089844,18918
29,0,0,0.0,0,debido,ADJ,31.806875228881836,18918
30,of,ADP,21.33219337463379,18918,a,ADP,30.561765670776367,18918
31,a,DET,23.1759033203125,18918,un,DET,35.75498962402344,18918
32,cut,NOUN,20.130342483520508,18918,corte,NOUN,29.996543884277344,18918
33,0,0,0.0,0,de,ADP,33.741188049316406,18918
34,power,NOUN,20.274295806884766,18918,energía,NOUN,30.172882080078125,18918
35,",",PUNCT,20.678312301635742,18918,",",PUNCT,31.542675018310547,18918
36,and,CCONJ,19.795730590820312,21390,y,CONJ,33.664039611816406,21390
37,I,PRON,25.490604400634766,21390,yo,PRON,33.39787673950195,21390
38,was,AUX,25.7198486328125,21390,estaba,AUX,37.10565948486328,21390
39,living,VERB,22.88151741027832,21390,viviendo,VERB,34.50130081176758,21390
40,on,ADP,21.687183380126953,21390,en,ADP,33.8882942199707,21390
41,the,DET,21.86386489868164,21390,el,DET,34.271697998046875,21390
42,dark,ADJ,21.73444938659668,21390,oscuro,ADJ,33.54887771606445,21390
43,side,NOUN,18.96178436279297,21390,lado,NOUN,29.99823570251465,21390
44,.,PUNCT,21.82204818725586,21390,.,PUNCT,32.75947952270508,21390
45,Now,ADV,22.820823669433594,23614,0,0,0.0,0
46,",",PUNCT,21.73031234741211,23614,0,0,0.0,0
47,Maui,PROPN,23.025108337402344,23614,Maui,PROPN,34.36143493652344,23614
48,was,AUX,22.53314781188965,23614,miedo,NOUN,32.0494384765625,23614
49,terrified,VERB,20.361177444458008,23614,tenía,VERB,33.56391906738281,23614
50,of,ADP,23.85501480102539,23614,a,ADP,33.03315353393555,23614
51,the,DET,22.364444732666016,23614,la,DET,33.30522155761719,23614
52,dark,NOUN,19.538345336914062,23614,oscuridad,NOUN,31.469276428222656,23614
53,",",PUNCT,19.38724136352539,23614,",",PUNCT,29.86094093322754,23614
54,so,CCONJ,18.236244201660156,25723,así,ADV,36.91266632080078,25723
55,I,PRON,24.125646591186523,25723,que,SCONJ,30.0545654296875,25723
56,had,AUX,23.187585830688477,25723,tuve,VERB,33.996395111083984,25723
57,to,PART,22.727527618408203,25723,que,SCONJ,30.021631240844727,25723
58,carry,VERB,25.930301666259766,25723,cargarlo,VERB,33.6558723449707,25723
59,him,PRON,26.011598587036133,25723,0,0,0.0,0
60,up,ADP,23.827104568481445,25723,por,ADP,33.07497024536133,25723
61,the,DET,21.356182098388672,25723,las,DET,33.95693588256836,25723
