,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,that,SCONJ,20.31656265258789,17770,que,SCONJ,31.471153259277344,17770
1,I,PRON,25.44424819946289,17770,debería,AUX,32.915470123291016,17770
2,should,VERB,26.409082412719727,17770,0,0,0.0,0
3,be,AUX,24.63430404663086,17770,ser,AUX,34.832210540771484,17770
4,fired,VERB,22.475557327270508,17770,despedida,VERB,33.940101623535156,17770
5,",",PUNCT,18.9873104095459,17770,",",PUNCT,30.946191787719727,17770
6,away,ADV,22.800233840942383,19322,que,SCONJ,32.537559509277344,19322
7,have,AUX,20.243505477905273,19322,deberían,AUX,32.334842681884766,19322
8,taken,VERB,23.42629623413086,19322,quitarme,VERB,30.81525993347168,19322
9,my,DET,21.995973587036133,19322,la,DET,36.605873107910156,19322
10,license,NOUN,20.477338790893555,19322,licencia,NOUN,32.50738525390625,19322
11,medical,ADJ,20.712650299072266,19322,médica,ADJ,34.071739196777344,19322
12,",",PUNCT,20.226587295532227,19322,",",PUNCT,30.75098419189453,19322
13,that,SCONJ,20.36337661743164,21961,que,SCONJ,31.52266502380371,21961
14,I,PRON,25.16347885131836,21961,0,0,0.0,0
15,should,VERB,26.140737533569336,21961,regresara,VERB,35.327022552490234,21961
16,go,VERB,24.919157028198242,21961,mi,DET,30.686134338378906,21961
17,back,ADV,22.44829750061035,21961,0,0,0.0,0
18,to,ADP,21.40452003479004,21961,a,ADP,33.405479431152344,21961
19,my,DET,22.675397872924805,21961,propio,DET,34.194149017333984,21961
20,own,ADJ,20.202577590942383,21961,0,0,0.0,0
21,country,NOUN,20.11049461364746,21961,país,NOUN,32.48748016357422,21961
22,.,PUNCT,21.80278205871582,21961,.,PUNCT,32.300418853759766,21961
23,My,DET,22.777620315551758,26375,Mi,DET,32.0093879699707,26375
24,email,NOUN,21.657379150390625,26375,e,CONJ,29.505943298339844,26375
25,got,VERB,21.623750686645508,26375,-,PUNCT,32.96603775024414,26375
26,0,0,0.0,0,mail,PROPN,31.560731887817383,26375
27,0,0,0.0,0,fue,AUX,35.32487106323242,26375
28,hacked,VERB,21.295520782470703,26375,pirateado,VERB,35.45262908935547,26375
29,.,PUNCT,21.86847686767578,26375,.,PUNCT,34.11505889892578,26375
30,In,ADP,20.30381965637207,28018,En,ADP,33.217689514160156,28018
31,a,DET,23.001079559326172,28018,un,DET,37.61945343017578,28018
32,discussion,NOUN,20.068511962890625,28018,foro,NOUN,31.296594619750977,28018
33,for,ADP,23.93389129638672,28018,de,ADP,30.68395233154297,28018
34,forum,NOUN,19.728052139282227,28018,debate,NOUN,30.314083099365234,28018
35,other,ADJ,21.986913681030273,28018,con,ADP,33.87049102783203,28018
36,0,0,0.0,0,otros,DET,33.61069869995117,28018
37,doctors,NOUN,22.575517654418945,28018,médicos,NOUN,35.907432556152344,28018
38,",",PUNCT,20.123165130615234,28018,",",PUNCT,30.908023834228516,28018
39,someone,PRON,23.024860382080078,31160,alguien,PRON,33.997711181640625,31160
40,0,0,0.0,0,se,PRON,31.01714515686035,31160
41,took,VERB,24.408950805664062,31160,atribuyó,VERB,36.928157806396484,31160
42,credit,NOUN,20.076148986816406,31160,el,DET,34.92975997924805,31160
43,"""",PUNCT,21.30631446838379,31160,"""",PUNCT,31.549396514892578,31160
44,Twitter,NOUN,20.34400177001953,31160,bombardeo,NOUN,31.971303939819336,31160
45,-,PUNCT,19.729839324951172,31160,"""",PUNCT,30.96027374267578,31160
46,for,ADP,23.136388778686523,31160,a,ADP,30.95865821838379,31160
47,my,DET,20.467561721801758,31160,mi,DET,33.09346389770508,31160
48,bombing,NOUN,19.622896194458008,31160,cuenta,NOUN,31.79439353942871,31160
49,account,NOUN,18.350101470947266,31160,en,ADP,32.82863235473633,31160
