,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Salaam,X,17.833608627319336,16260,Salaam,PROPN,27.886640548706055,16260
1,.,PUNCT,17.877717971801758,16260,.,PUNCT,34.1920166015625,16260
2,Namaskar,ADJ,19.10795021057129,16260,Namaskar,PROPN,30.400278091430664,16260
3,.,PUNCT,17.6772518157959,16260,.,PUNCT,33.6568489074707,16260
4,Good,ADJ,19.32961082458496,18260,Buenos,ADJ,33.18754577636719,18260
5,morning,NOUN,18.127838134765625,18260,días,NOUN,33.992881774902344,18260
6,.,PUNCT,21.791719436645508,18260,.,PUNCT,32.010318756103516,18260
7,Given,VERB,20.298734664916992,20260,Dado,NOUN,34.67972183227539,20260
8,my,DET,21.302478790283203,20260,mi,DET,32.28264617919922,20260
9,profile,NOUN,21.015153884887695,20260,perfil,NOUN,31.535682678222656,20260
10,you,PRON,23.448570251464844,20260,en,ADP,34.33102035522461,20260
11,TED,PROPN,21.827444076538086,20260,TED,PROPN,35.762420654296875,20260
12,",",PUNCT,19.878278732299805,20260,",",PUNCT,29.869569778442383,20260
13,might,VERB,24.98949432373047,20260,ustedes,NOUN,33.42237854003906,20260
14,be,AUX,26.585432052612305,20260,quizás,ADV,32.090789794921875,20260
15,expecting,VERB,21.287799835205078,20260,esperan,VERB,35.08914566040039,20260
16,that,SCONJ,20.23661231994629,22260,que,SCONJ,31.12919044494629,22260
17,I,PRON,23.609237670898438,22260,les,PRON,32.03597640991211,22260
18,going,VERB,25.03710174560547,22260,hable,VERB,34.0015754699707,22260
19,to,ADP,19.925724029541016,22260,de,ADP,29.644420623779297,22260
20,the,DET,19.942445755004883,24260,las,DET,33.01491928100586,24260
21,to,PART,22.308380126953125,22260,más,ADV,36.4445686340332,24260
22,latest,ADJ,21.673952102661133,24260,recientes,ADJ,35.96929168701172,24260
23,'m,AUX,23.34861183166504,22260,tendencias,NOUN,35.35336685180664,24260
24,philanthropic,ADJ,21.9148006439209,24260,filantrópicas,ADJ,35.414798736572266,24260
25,--,PUNCT,20.354917526245117,24260,",",PUNCT,30.99730110168457,24260
26,trends,NOUN,20.920339584350586,24260,aquélla,NOUN,33.32918167114258,26260
27,you,PRON,24.192874908447266,22260,que,PRON,32.25835037231445,26260
28,the,DET,20.43933868408203,26260,actualmente,ADV,35.98480987548828,26260
29,speak,VERB,24.228805541992188,22260,tiene,VERB,36.15481185913086,26260
30,about,ADP,20.686195373535156,22260,a,ADP,32.58012390136719,26260
31,one,NOUN,18.159143447875977,26260,Wall,PROPN,35.739227294921875,26260
32,that,DET,20.545133590698242,26260,Street,PROPN,35.67022705078125,26260
33,'s,AUX,21.89251708984375,26260,y,CONJ,31.440731048583984,28260
