,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,declared,VERB,22.44918441772461,15977,declaró,VERB,35.89215087890625,16842
1,of,ADP,20.693119049072266,15977,a,ADP,32.59501266479492,16842
2,the,DET,19.54555892944336,15977,la,DET,34.09172821044922,16842
3,mayor,NOUN,17.5745792388916,15977,ciudad,NOUN,31.95467185974121,16842
4,Cape,PROPN,20.289072036743164,15977,zona,ADJ,31.238414764404297,16842
5,Town,PROPN,22.701824188232422,15977,de,ADP,30.009326934814453,16842
6,Town,PROPN,21.00333023071289,15977,desastre,NOUN,26.820934295654297,16842
7,Cape,PROPN,19.391420364379883,15977,",",PUNCT,30.36667251586914,16842
8,officially,ADV,23.020570755004883,15977,oficialmente,ADV,34.385162353515625,16842
9,",",PUNCT,21.643775939941406,15977,",",PUNCT,29.823158264160156,16842
10,local,ADJ,21.55523109436035,15977,ya,ADV,36.179935455322266,20213
11,0,0,0.0,0,que,SCONJ,30.43344497680664,20213
12,a,DET,21.235492706298828,15977,su,DET,34.8582763671875,20213
13,disaster,NOUN,21.49387550354004,15977,suministro,NOUN,31.727872848510742,20213
14,0,0,0.0,0,de,ADP,31.048751831054688,20213
15,0,0,0.0,0,agua,NOUN,29.40475082397461,20213
16,0,0,0.0,0,se,PRON,31.384721755981445,20213
17,0,0,0.0,0,agotaría,VERB,35.204307556152344,20213
18,0,0,0.0,0,en,ADP,33.795936584472656,20213
19,0,0,0.0,0,menos,ADV,34.288673400878906,20213
20,0,0,0.0,0,de,ADP,30.69097328186035,20213
21,0,0,0.0,0,cuatro,NUM,35.98427200317383,20213
22,0,0,0.0,0,meses,NOUN,35.8707389831543,20213
23,0,0,0.0,0,.,PUNCT,33.0624885559082,20213
24,as,SCONJ,22.048870086669922,20435,Los,DET,34.51740264892578,23938
25,it,PRON,24.12055206298828,20435,residentes,NOUN,38.398216247558594,23938
26,had,AUX,24.66732406616211,20435,estaban,AUX,35.8018913269043,23938
27,less,ADJ,21.387773513793945,20435,limitados,ADJ,34.204925537109375,23938
28,than,SCONJ,22.791854858398438,20435,a,ADP,28.712614059448242,23938
29,four,NUM,23.861854553222656,20435,100,NUM,36.913475036621094,23938
