,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,23.90865707397461,12921,Este,PRON,32.181541442871094,12921
1,is,AUX,22.15924835205078,12921,es,AUX,31.15702247619629,12921
2,my,DET,22.405990600585938,12921,mi,DET,32.74427795410156,12921
3,great,ADJ,16.74265480041504,12921,tío,NOUN,31.843713760375977,12921
4,uncle,NOUN,20.378005981445312,12921,abuelo,NOUN,32.64787292480469,12921
5,",",PUNCT,21.896116256713867,12921,",",PUNCT,28.955982208251953,12921
6,my,DET,22.865182876586914,14918,el,DET,35.09132385253906,14918
7,father,NOUN,19.732288360595703,14918,hermano,NOUN,32.865238189697266,14918
8,younger,ADJ,22.6868896484375,14918,menor,ADJ,32.611961364746094,14918
9,'s,PART,23.564611434936523,14918,del,ADP,35.46220016479492,14918
10,father,NOUN,20.810304641723633,14918,padre,NOUN,29.82867431640625,14918
11,'s,PART,23.390710830688477,14918,de,ADP,31.50689125061035,14918
12,His,DET,23.607683181762695,17936,mi,DET,34.1110954284668,14918
13,brother,NOUN,17.52972984313965,14918,padre,NOUN,32.28101348876953,14918
14,.,PUNCT,21.546863555908203,14918,.,PUNCT,32.089908599853516,14918
15,He,PRON,24.278911590576172,20142,Su,DET,32.46736145019531,17936
16,name,NOUN,20.74952507019043,17936,nombre,NOUN,33.453914642333984,17936
17,was,AUX,22.43497085571289,17936,era,AUX,30.168333053588867,17936
18,McKenna,PROPN,22.749608993530273,17936,Joe,PROPN,32.32774353027344,17936
19,Joe,PROPN,20.48336410522461,17936,McKenna,PROPN,34.59321212768555,17936
20,.,PUNCT,18.710739135742188,17936,.,PUNCT,32.32662582397461,17936
21,was,AUX,25.4848690032959,20142,Fue,AUX,32.15447235107422,20142
22,a,DET,25.48031234741211,20142,un,DET,36.56498336791992,20142
23,young,ADJ,22.365489959716797,20142,esposo,ADJ,33.07578659057617,20142
24,semi,ADJ,19.691377639770508,20142,joven,ADJ,33.49842834472656,20142
