,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,22.807994842529297,15260,Este,DET,36.84130096435547,15260
1,cell,NOUN,20.745454788208008,15260,teléfono,NOUN,33.85237121582031,15260
2,phone,NOUN,19.553985595703125,15260,móvil,ADJ,33.51476287841797,15260
3,started,VERB,19.824037551879883,18260,comenzó,VERB,34.54829025268555,18260
4,its,DET,22.820310592651367,18260,su,DET,34.74189376831055,18260
5,trajectory,NOUN,20.705177307128906,18260,camino,NOUN,33.55965042114258,18260
6,in,ADP,20.1235408782959,21260,en,ADP,34.12151336669922,21260
7,an,DET,24.41099739074707,21260,una,DET,34.7056770324707,21260
8,artisanal,ADJ,20.891681671142578,21260,artesanal,ADJ,34.755489349365234,21260
9,mine,NOUN,18.295738220214844,21260,mina,NOUN,33.6308708190918,21260
10,in,ADP,20.775344848632812,23260,al,ADP,34.178863525390625,23260
11,the,DET,22.508270263671875,23260,de,ADP,29.719680786132812,23260
12,Eastern,PROPN,21.16921615600586,23260,Este,PROPN,32.62821960449219,23260
13,Congo,PROPN,22.411422729492188,23260,Congo,PROPN,37.9995231628418,23260
14,.,PUNCT,19.362648010253906,23260,.,PUNCT,32.49248504638672,23260
15,It,PRON,22.934471130371094,25260,que,SCONJ,32.32083511352539,27260
16,'s,AUX,23.516447067260742,25260,Es,AUX,34.9900016784668,25260
17,mined,VERB,22.329004287719727,25260,explotada,VERB,34.8999137878418,25260
18,by,ADP,23.630475997924805,25260,por,ADP,36.4749641418457,25260
19,armed,ADJ,21.933549880981445,25260,armadas,ADJ,33.103511810302734,25260
20,gangs,NOUN,20.962499618530273,25260,bandas,NOUN,34.34785842895508,25260
21,using,VERB,24.878807067871094,27260,emplean,VERB,34.81797409057617,27260
22,slaves,NOUN,20.520923614501953,27260,niños,NOUN,35.60676193237305,27260
23,",",PUNCT,22.436941146850586,27260,.,PUNCT,32.756629943847656,27260
24,child,NOUN,19.87082290649414,27260,esclavos,ADJ,35.19975280761719,27260
