,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Aquay,PROPN,20.97445297241211,13583,Aquay,PROPN,32.98329162597656,13583
1,Wunne,PROPN,22.583389282226562,13583,Wunne,PROPN,37.28921127319336,13583
2,Kesuk,PROPN,23.154376983642578,13583,Kesuk,PROPN,36.262733459472656,13583
3,.,PUNCT,18.898704528808594,13583,.,PUNCT,30.575193405151367,13583
4,Kelsey,PROPN,23.53788185119629,13583,Kelsey,PROPN,32.756614685058594,13583
5,Leonard,PROPN,21.89286994934082,13583,Leonard,PROPN,36.25925064086914,13583
6,Nooweesuonk,PROPN,23.112834930419922,13583,Nooweesuonk,PROPN,35.59075927734375,13583
7,.,PUNCT,19.718774795532227,13583,.,PUNCT,32.32809066772461,13583
8,Hello,INTJ,24.303247451782227,17575,Hola,PROPN,34.151817321777344,17575
9,",",PUNCT,20.715112686157227,17575,",",PUNCT,31.0931396484375,17575
10,good,ADJ,18.68806266784668,17575,buenos,ADJ,33.425254821777344,17575
11,day,NOUN,19.058847427368164,17575,días,NOUN,35.153934478759766,17575
12,",",PUNCT,22.94113540649414,17575,a,ADP,30.694015502929688,17575
13,everyone,PRON,20.499277114868164,17575,todos,PRON,33.52797317504883,17575
14,.,PUNCT,22.017824172973633,17575,.,PUNCT,31.9146728515625,17575
15,'m,AUX,21.44818878173828,19590,Soy,AUX,30.16657257080078,19590
16,from,ADP,20.652074813842773,19590,de,ADP,32.05321502685547,19590
17,the,DET,20.245174407958984,19590,la,DET,31.55258560180664,19590
18,I,PRON,24.446847915649414,19590,nación,NOUN,31.03583526611328,19590
19,Shinnecock,PROPN,21.870357513427734,19590,de,ADP,30.071184158325195,19590
20,Nation,PROPN,22.177579879760742,19590,Shinnecock,PROPN,35.977684020996094,19590
21,.,PUNCT,21.74563980102539,19590,.,PUNCT,32.89019775390625,19590
22,Tabutni,PROPN,20.699861526489258,22359,Gracias,NOUN,30.005281448364258,22359
23,to,ADP,21.987255096435547,22359,a,ADP,32.843204498291016,22359
24,the,DET,22.27520751953125,22359,la,DET,32.43657684326172,22359
25,peoples,NOUN,19.905244827270508,22359,tribu,NOUN,31.362749099731445,22359
26,Cahuilla,PROPN,21.602432250976562,22359,Cahuilla,PROPN,36.2252082824707,22359
27,",",PUNCT,20.27068519592285,22359,",",PUNCT,30.995588302612305,22359
28,on,ADP,20.839065551757812,24931,en,ADP,31.81540298461914,24931
29,whose,DET,20.541183471679688,24931,cuya,PRON,32.61165237426758,24931
30,land,NOUN,21.491262435913086,24931,tierra,NOUN,32.05834197998047,24931
31,we,PRON,25.358503341674805,24931,nos,PRON,31.26980972290039,24931
32,gather,VERB,23.11642074584961,24931,reunimos,VERB,32.04816436767578,24931
33,today,NOUN,20.569612503051758,24931,hoy,ADV,37.29336166381836,24931
34,.,PUNCT,22.701274871826172,24931,.,PUNCT,32.456607818603516,24931
35,I,PRON,24.194684982299805,28374,Me,PRON,32.321170806884766,28374
36,taught,VERB,20.4476318359375,28374,enseñaron,VERB,32.32896041870117,28374
37,was,AUX,24.635238647460938,28374,que,SCONJ,32.47468948364258,28374
38,that,DET,21.810789108276367,28374,el,DET,35.05158615112305,28374
39,water,NOUN,20.496055603027344,28374,agua,NOUN,29.11083221435547,28374
40,is,AUX,23.72396469116211,28374,está,AUX,37.22199249267578,28374
41,alive,ADJ,22.041244506835938,28374,viva,ADJ,33.17353820800781,28374
42,.,PUNCT,20.890869140625,28374,.,PUNCT,32.627037048339844,28374
43,It,PRON,23.18135643005371,31656,Puede,AUX,34.1660270690918,31656
44,can,VERB,24.969188690185547,31656,oír,VERB,34.310699462890625,31656
45,hear,VERB,25.751033782958984,31656,0,0,0.0,0
46,",",PUNCT,21.2559871673584,31656,",",PUNCT,30.331762313842773,31656
47,it,PRON,24.822364807128906,33376,0,0,0.0,0
48,holds,VERB,23.846363067626953,33376,retiene,VERB,31.366891860961914,33376
49,memories,NOUN,21.254831314086914,33376,recuerdos,NOUN,35.10527038574219,33376
50,.,PUNCT,19.52263832092285,33376,.,PUNCT,32.643680572509766,33376
51,And,CCONJ,19.96368408203125,35343,Y,CONJ,32.28849792480469,35343
52,up,ADP,21.998062133789062,35343,por,ADP,31.709293365478516,35343
53,I,PRON,24.075416564941406,35343,ello,PRON,34.983455657958984,35343
54,so,ADV,16.674755096435547,35343,he,AUX,34.78464126586914,35343
55,brought,VERB,25.199434280395508,35343,traído,VERB,32.567626953125,35343
56,a,DET,23.761152267456055,35343,un,DET,35.89445495605469,35343
57,vessel,NOUN,19.28620719909668,35343,recipiente,NOUN,32.580284118652344,35343
