,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,(,PUNCT,19.138301849365234,35000,(,PUNCT,28.748825073242188,35000
1,Laughter,PROPN,20.165264129638672,35000,Risas,PROPN,34.865478515625,35000
2,),PUNCT,20.96363067626953,35000,),PUNCT,32.331058502197266,35000
3,I,PRON,24.399831771850586,39000,ingeniero,ADJ,32.74760437011719,39000
4,'m,AUX,21.888736724853516,39000,soy,AUX,34.357994079589844,39000
5,also,ADV,22.910411834716797,39000,También,ADV,34.48707580566406,39000
6,a,DET,20.130475997924805,39000,de,ADP,32.029930114746094,39000
7,software,NOUN,18.986711502075195,39000,sistemas,NOUN,34.31377029418945,39000
8,engineer,NOUN,20.99234962463379,39000,0,0,0.0,0
9,",",PUNCT,21.742958068847656,39000,",",PUNCT,31.45215606689453,39000
10,and,CCONJ,19.993253707885742,42000,y,CONJ,32.478519439697266,42000
11,I,PRON,25.790813446044922,42000,puedo,AUX,36.346649169921875,42000
12,make,VERB,24.48128318786621,42000,elaborar,VERB,36.47707748413086,42000
13,lots,NOUN,22.391176223754883,42000,clases,NOUN,37.075252532958984,42000
14,of,ADP,24.017253875732422,42000,de,ADP,33.647953033447266,42000
15,different,ADJ,21.716445922851562,42000,varias,DET,35.260738372802734,42000
16,kinds,NOUN,22.38974380493164,42000,arte,NOUN,30.819507598876953,42000
17,of,ADP,24.986347198486328,42000,con,ADP,32.22865676879883,42000
18,art,NOUN,22.680622100830078,42000,computadora,NOUN,29.93886375427246,42000
19,with,ADP,20.78235626220703,42000,0,0,0.0,0
20,the,DET,21.959266662597656,42000,la,DET,31.981321334838867,42000
21,computer,NOUN,19.6341609954834,42000,0,0,0.0,0
22,.,PUNCT,21.981977462768555,42000,.,PUNCT,33.365074157714844,42000
23,And,CCONJ,19.777729034423828,44000,Y,CONJ,33.21645736694336,44000
24,I,PRON,26.462291717529297,44000,que,PRON,32.869388580322266,44000
25,think,VERB,23.73331642150879,44000,pienso,VERB,36.34028625488281,44000
26,the,DET,21.34506607055664,44000,lo,DET,33.40430450439453,44000
27,main,ADJ,20.4793701171875,44000,que,SCONJ,33.099334716796875,44000
28,thing,NOUN,22.293832778930664,44000,más,ADV,34.611507415771484,44000
29,that,DET,19.08687973022461,44000,0,0,0.0,0
30,I,PRON,24.357398986816406,44000,me,PRON,33.06221389770508,44000
31,'m,AUX,23.296186447143555,44000,interesa,VERB,32.76074981689453,44000
32,interested,ADJ,21.061288833618164,44000,0,0,0.0,0
33,in,ADP,20.382993698120117,44000,0,0,0.0,0
34,is,AUX,22.4721622467041,46000,es,AUX,35.43151092529297,46000
35,trying,VERB,23.199636459350586,46000,tratar,AUX,35.367225646972656,46000
36,to,PART,24.84959602355957,46000,0,0,0.0,0
37,find,VERB,26.509933471679688,46000,encontrar,VERB,37.307979583740234,46000
38,a,DET,24.269968032836914,46000,la,DET,35.75090789794922,46000
39,way,NOUN,23.648805618286133,46000,forma,NOUN,32.27009582519531,46000
40,of,ADP,23.24513816833496,46000,de,ADP,31.912078857421875,46000
41,0,0,0.0,0,de,ADP,32.55756759643555,48000
42,making,VERB,22.34680938720703,48000,hacer,VERB,34.114749908447266,48000
43,into,ADP,21.216571807861328,48000,de,ADP,31.586729049682617,48000
44,the,DET,22.581693649291992,48000,las,DET,33.20832061767578,48000
45,computer,NOUN,20.019481658935547,48000,computadores,NOUN,32.811824798583984,48000
46,a,DET,22.886960983276367,48000,una,DET,32.75179672241211,48000
47,mode,NOUN,20.095027923583984,48000,forma,NOUN,33.21840286254883,48000
48,personal,ADJ,21.485389709472656,48000,personal,ADJ,34.83351516723633,48000
49,of,ADP,26.027385711669922,48000,de,ADP,31.048730850219727,48000
50,expression,NOUN,21.346288681030273,48000,expresión,NOUN,28.272541046142578,48000
51,.,PUNCT,22.283647537231445,48000,.,PUNCT,33.50376892089844,48000
52,And,CCONJ,21.007755279541016,51000,Y,CONJ,34.052608489990234,51000
53,many,ADJ,20.19367218017578,51000,0,0,0.0,0
54,of,ADP,22.856731414794922,51000,de,ADP,30.51453399658203,51000
55,you,PRON,21.29684829711914,51000,ustedes,PRON,31.991464614868164,51000
56,out,ADV,21.688859939575195,51000,",",PUNCT,30.742273330688477,51000
57,there,PRON,22.735370635986328,51000,muchos,PRON,34.18156814575195,51000
58,are,AUX,24.9466609954834,51000,0,0,0.0,0
59,the,DET,22.027114868164062,51000,y,CONJ,31.965085983276367,51000
60,heads,NOUN,22.212242126464844,51000,dirigentes,NOUN,33.46865463256836,51000
61,of,ADP,22.798498153686523,51000,de,ADP,29.84972381591797,51000
62,Macromedia,PROPN,20.429243087768555,51000,Microsoft,PROPN,35.3052978515625,51000
63,and,CCONJ,22.16754150390625,51000,0,0,0.0,0
64,Microsoft,PROPN,21.061405181884766,51000,Macromedia,PROPN,35.773075103759766,51000
65,",",PUNCT,21.53925323486328,51000,",",PUNCT,29.80818748474121,51000
66,and,CCONJ,19.691743850708008,56000,0,0,0.0,0
67,in,ADP,19.960891723632812,56000,de,ADP,32.104736328125,56000
68,a,DET,23.590282440185547,56000,alguna,DET,34.543312072753906,56000
69,way,NOUN,21.556516647338867,56000,forma,NOUN,33.741241455078125,56000
70,those,DET,20.01690101623535,56000,mi,DET,36.64216232299805,56000
71,are,AUX,22.743295669555664,56000,son,AUX,33.07001876831055,56000
72,my,DET,20.346839904785156,56000,0,0,0.0,0
73,bane,NOUN,17.598831176757812,56000,pesadilla,NOUN,32.45441436767578,56000
74,:,PUNCT,18.85085105895996,56000,:,PUNCT,33.068641662597656,56000
75,I,PRON,25.142290115356445,58000,0,0,0.0,0
76,think,VERB,22.849655151367188,58000,Creo,VERB,36.02996826171875,58000
77,there,PRON,23.85202407836914,58000,que,SCONJ,32.96234893798828,58000
78,'s,AUX,21.375917434692383,58000,hay,AUX,32.518402099609375,58000
79,a,DET,21.867443084716797,58000,un,DET,36.044132232666016,58000
80,great,ADJ,20.32244873046875,58000,gran,ADJ,36.20265197753906,58000
81,homogenizing,NOUN,21.369430541992188,58000,fuerza,NOUN,32.64305877685547,58000
82,force,NOUN,19.34673500061035,58000,homogenizante,ADJ,34.673072814941406,58000
83,0,0,0.0,0,que,SCONJ,32.07820510864258,61000
84,that,DET,20.577531814575195,61000,el,DET,34.86967849731445,61000
85,software,NOUN,20.129425048828125,61000,software,NOUN,33.02694320678711,61000
86,imposes,VERB,22.635847091674805,61000,impone,VERB,33.82168960571289,61000
87,on,ADP,22.518735885620117,61000,sobre,ADP,32.092620849609375,61000
88,the,DET,22.670270919799805,61000,la,DET,32.3105583190918,61000
89,people,NOUN,19.036224365234375,61000,gente,NOUN,30.824840545654297,61000
90,and,CCONJ,25.423513412475586,61000,y,CONJ,34.502113342285156,61000
91,limits,VERB,21.616601943969727,61000,limita,VERB,33.79176330566406,61000
92,they,PRON,25.269729614257812,61000,su,DET,34.508724212646484,61000
93,way,NOUN,18.88912010192871,61000,forma,NOUN,34.15712356567383,61000
94,0,0,0.0,0,de,ADP,31.676044464111328,61000
95,think,VERB,23.914731979370117,61000,pensar,VERB,36.680397033691406,61000
96,about,ADP,19.33371925354004,67000,sobre,ADP,33.024898529052734,67000
97,0,0,0.0,0,lo,DET,34.185096740722656,67000
98,what,PRON,22.111209869384766,67000,que,PRON,33.47941970825195,67000
99,'s,AUX,23.735395431518555,67000,es,AUX,33.25682067871094,67000
100,possible,ADJ,21.68343734741211,67000,posible,ADJ,35.65717697143555,67000
101,on,ADP,20.659177780151367,67000,en,ADP,35.027008056640625,67000
102,the,DET,21.715641021728516,67000,una,DET,33.75229263305664,67000
103,computer,NOUN,19.709135055541992,67000,computadora,NOUN,31.50385093688965,67000
104,.,PUNCT,21.94011878967285,67000,.,PUNCT,33.02922439575195,67000
105,Of,ADV,20.975160598754883,69000,Por,ADP,33.91300582885742,69000
106,course,ADV,20.885652542114258,69000,supuesto,NOUN,32.294002532958984,69000
107,",",PUNCT,19.569246292114258,69000,",",PUNCT,30.161327362060547,69000
108,it,PRON,22.334049224853516,69000,que,PRON,34.533905029296875,69000
109,'s,AUX,21.084012985229492,69000,es,AUX,34.65092086791992,69000
110,also,ADV,24.085128784179688,69000,también,ADV,34.85213851928711,69000
111,a,DET,23.076993942260742,69000,una,DET,34.880069732666016,69000
112,great,ADJ,20.032726287841797,69000,gran,ADJ,37.1142578125,69000
113,liberating,ADJ,20.135799407958984,69000,liberadora,ADJ,31.83193016052246,69000
114,force,NOUN,20.129785537719727,69000,fuerza,NOUN,33.767520904541016,69000
