,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,'m,AUX,23.28656005859375,13317,Soy,AUX,28.9395751953125,13317
1,a,DET,22.536211013793945,13317,una,DET,32.153621673583984,13317
2,lion,NOUN,20.449251174926758,13317,conservacionista,NOUN,32.25212860107422,13317
3,I,PRON,24.82703971862793,13317,de,ADP,33.48828125,13317
4,conservationist,NOUN,21.35910415649414,13317,leones,NOUN,34.11333465576172,13317
5,.,PUNCT,20.32162094116211,13317,.,PUNCT,33.52536392211914,13317
6,Sounds,VERB,23.3687744140625,15309,Suena,VERB,31.330631256103516,15309
7,cool,ADJ,22.08783531188965,15309,bien,ADV,33.493160247802734,15309
8,",",PUNCT,20.349451065063477,15309,",",PUNCT,31.419801712036133,15309
9,does,AUX,22.734405517578125,15309,¿,PUNCT,29.694334030151367,15309
10,n't,PART,23.697895050048828,15309,no,ADV,31.7788143157959,15309
11,it,PRON,23.152393341064453,15309,0,0,0.0,0
12,?,PUNCT,22.298076629638672,15309,?,PUNCT,31.986522674560547,15309
13,Some,DET,21.709016799926758,17190,Algunas,DET,32.708740234375,17190
14,people,NOUN,21.521087646484375,17190,personas,NOUN,36.231300354003906,17190
15,have,AUX,24.449718475341797,17190,pueden,AUX,34.92658233642578,17190
16,no,DET,22.471281051635742,17190,no,ADV,34.72513961791992,17190
17,may,VERB,23.236183166503906,17190,tener,VERB,35.07313919067383,17190
18,idea,NOUN,20.145845413208008,17190,idea,NOUN,33.43041229248047,17190
19,0,0,0.0,0,de,ADP,30.73210906982422,17190
20,that,DET,21.233020782470703,17190,lo,DET,33.86616897583008,17190
21,what,PRON,19.125215530395508,17190,que,PRON,32.853607177734375,17190
22,means,VERB,22.553346633911133,17190,significa,VERB,34.06613540649414,17190
23,.,PUNCT,20.790632247924805,17190,.,PUNCT,32.185279846191406,17190
24,0,0,0.0,0,Pero,CONJ,33.758644104003906,20345
25,0,0,0.0,0,estoy,AUX,35.555721282958984,20345
26,0,0,0.0,0,segura,ADJ,30.69672203063965,20345
27,0,0,0.0,0,de,ADP,32.74915313720703,20345
28,0,0,0.0,0,que,SCONJ,33.935508728027344,20345
29,0,0,0.0,0,todos,PRON,33.91785430908203,20345
30,0,0,0.0,0,han,AUX,35.96754837036133,20345
31,0,0,0.0,0,oído,VERB,32.56058120727539,20345
32,0,0,0.0,0,hablar,VERB,37.76211929321289,20345
33,0,0,0.0,0,del,ADP,33.08658218383789,20345
34,0,0,0.0,0,león,NOUN,31.146333694458008,20345
35,0,0,0.0,0,Cecil,PROPN,35.20555877685547,20345
36,0,0,0.0,0,.,PUNCT,32.347984313964844,20345
37,[,PUNCT,20.162439346313477,23438,[,VERB,34.38999938964844,23468
38,the,DET,18.49997901916504,23438,El,DET,34.63334274291992,23468
39,Cecil,PROPN,17.530174255371094,23438,león,NOUN,30.438814163208008,23468
40,Lion,PROPN,19.460124969482422,23438,Cecil,PROPN,35.167076110839844,23468
41,(,PUNCT,19.861421585083008,23438,(,PUNCT,32.1737174987793,23468
42,2002,NUM,21.612749099731445,23438,2002,NOUN,33.20485305786133,23468
43,),PUNCT,23.267637252807617,23438,-,PUNCT,33.34589767456055,23468
44,-,SYM,20.71632957458496,23438,2015,NOUN,33.325313568115234,23468
45,],PUNCT,22.303348541259766,23438,),PUNCT,31.891429901123047,23468
46,2015,NUM,21.52381706237793,23438,],ADJ,30.019981384277344,23468
47,(,PUNCT,19.06270408630371,25007,(,PUNCT,28.940481185913086,25007
48,Lion,PROPN,20.102142333984375,25007,Rugido,PROPN,32.94133377075195,25007
49,roaring,VERB,20.7386531829834,25007,de,ADP,30.54948616027832,25007
50,0,0,0.0,0,león,PROPN,30.838638305664062,25007
51,),PUNCT,21.205751419067383,25007,),PUNCT,30.790639877319336,25007
52,He,PRON,23.692974090576172,31744,0,0,0.0,0
53,roars,VERB,23.744915008544922,31744,ruge,NOUN,33.283084869384766,31744
54,no,ADV,22.71595001220703,31744,más,ADV,38.137474060058594,31744
55,more,ADV,19.787630081176758,31744,No,ADV,32.08665466308594,31744
56,.,PUNCT,21.93081283569336,31744,.,PUNCT,33.26853561401367,31744
57,On,ADP,21.655540466308594,34044,de,ADP,31.859962463378906,34044
58,the,DET,23.274545669555664,34044,El,DET,30.346702575683594,34044
59,second,NOUN,20.239545822143555,34044,julio,NOUN,29.980268478393555,34044
60,of,ADP,22.18549346923828,34044,de,ADP,33.63422393798828,34044
61,July,PROPN,21.867490768432617,34044,2,NUM,32.258567810058594,34044
62,",",PUNCT,22.808509826660156,34044,0,0,0.0,0
63,2015,NUM,21.679697036743164,34044,2015,NUM,31.568220138549805,34044
64,",",PUNCT,21.494585037231445,34044,",",PUNCT,31.0834903717041,34044
65,his,DET,23.868362426757812,36696,su,DET,33.68797302246094,36696
66,life,NOUN,20.786916732788086,36696,vida,NOUN,32.89415740966797,36696
67,he,PRON,24.99207305908203,36696,se,PRON,29.696882247924805,36696
68,cut,VERB,19.22856903076172,36696,vio,VERB,35.13499069213867,36696
69,short,ADJ,21.828649520874023,36696,truncada,ADJ,32.93115234375,36696
70,when,ADV,23.572265625,36696,cuando,SCONJ,35.748046875,36696
71,was,AUX,23.396455764770508,36696,fue,AUX,33.950538635253906,36696
72,killed,VERB,22.691593170166016,36696,asesinado,VERB,36.75986099243164,36696
73,was,AUX,23.88738441467285,36696,por,ADP,32.55457305908203,36696
74,a,DET,21.33240509033203,36696,un,DET,35.991172790527344,36696
75,trophy,NOUN,19.526962280273438,36696,cazador,NOUN,31.524930953979492,36696
76,by,ADP,22.98423957824707,36696,de,ADP,31.85259437561035,36696
77,hunter,NOUN,18.140762329101562,36696,trofeos,NOUN,35.045162200927734,36696
78,.,PUNCT,20.734127044677734,36696,.,PUNCT,33.040714263916016,36696
79,They,PRON,25.032672882080078,41069,0,0,0.0,0
80,say,VERB,22.494176864624023,41069,Dicen,VERB,33.85050582885742,41069
81,that,SCONJ,20.25786781311035,41069,que,SCONJ,33.315189361572266,41069
82,you,PRON,24.422588348388672,41069,puedes,AUX,31.284404754638672,41069
83,can,VERB,23.823406219482422,41069,apegarte,VERB,32.814510345458984,41069
84,become,VERB,25.544189453125,41069,0,0,0.0,0
85,attached,VERB,20.571550369262695,41069,estudias,ADJ,33.35752487182617,41069
86,to,ADP,22.320837020874023,41069,a,ADP,34.2166748046875,41069
87,the,DET,23.78542709350586,41069,los,DET,35.127437591552734,41069
88,animals,NOUN,20.62936782836914,41069,animales,NOUN,35.47874069213867,41069
89,you,PRON,22.745634078979492,41069,que,PRON,34.04059982299805,41069
90,study,VERB,20.48180389404297,41069,0,0,0.0,0
91,.,PUNCT,20.93512535095215,41069,.,PUNCT,32.777992248535156,41069
92,me,PRON,24.38432502746582,44919,Ese,PRON,32.67432403564453,44919
93,was,AUX,22.747722625732422,44919,fue,AUX,32.21920394897461,44919
94,the,DET,24.914546966552734,44919,mi,DET,32.83573532104492,44919
95,case,NOUN,18.250425338745117,44919,caso,NOUN,32.64181900024414,44919
96,That,DET,19.568866729736328,44919,el,DET,35.43744659423828,44919
97,lion,NOUN,18.493854522705078,44919,león,NOUN,31.613603591918945,44919
98,Cecil,PROPN,19.37204360961914,44919,Cecil,PROPN,34.34260177612305,44919
99,",",PUNCT,20.563432693481445,44919,",",PUNCT,30.522916793823242,44919
100,with,ADP,19.402429580688477,44919,por,ADP,33.03396987915039,47251
101,the,DET,18.939756393432617,44919,haberlo,AUX,34.704341888427734,47251
102,0,0,0.0,0,conocido,ADJ,32.05854797363281,47251
103,0,0,0.0,0,y,CONJ,32.10744857788086,47251
104,0,0,0.0,0,estudiado,ADJ,33.978057861328125,47251
105,for,ADP,22.65584373474121,44919,por,ADP,32.61526107788086,47251
106,0,0,0.0,0,tres,NUM,35.92216491699219,47251
107,0,0,0.0,0,años,NOUN,36.229427337646484,47251
108,in,ADP,19.095096588134766,49990,en,ADP,32.15111541748047,50350
109,Hwange,PROPN,22.106719970703125,49990,el,DET,33.94650650024414,50350
110,National,PROPN,22.12973403930664,49990,parque,NOUN,32.76652908325195,50350
111,0,0,0.0,0,nacional,ADJ,34.08548355102539,50350
112,0,0,0.0,0,de,ADP,31.416732788085938,50350
113,Park,PROPN,21.22569465637207,49990,Hwange,PROPN,36.67266845703125,50350
114,.,PUNCT,20.01030921936035,49990,.,PUNCT,31.097856521606445,50350
115,I,PRON,24.977087020874023,52411,0,0,0.0,0
116,was,AUX,24.683338165283203,52411,Estaba,AUX,35.11338424682617,52411
117,heartbroken,VERB,19.989055633544922,52411,desconsolada,ADJ,34.76372528076172,52411
118,at,ADP,21.781286239624023,52411,por,ADP,34.57278823852539,52411
119,his,DET,23.754005432128906,52411,su,DET,33.70808029174805,52411
120,death,NOUN,21.711763381958008,52411,muerte,NOUN,30.231487274169922,52411
121,.,PUNCT,21.08163833618164,52411,.,PUNCT,33.005035400390625,52411
122,But,CCONJ,21.201292037963867,56061,Pero,CONJ,32.51784896850586,56061
123,the,DET,22.767271041870117,56061,lo,DET,29.74164390563965,56061
124,good,ADJ,18.191640853881836,56061,bueno,ADJ,35.674842834472656,56061
125,thing,NOUN,21.093984603881836,56061,que,PRON,31.85466957092285,56061
126,to,PART,21.861909866333008,56061,0,0,0.0,0
127,come,VERB,22.526247024536133,56061,surgió,VERB,33.55530548095703,56061
128,out,SCONJ,20.743009567260742,56061,0,0,0.0,0
129,of,ADP,23.144624710083008,56061,de,ADP,31.886409759521484,56061
130,this,DET,23.721830368041992,56061,esta,DET,35.435001373291016,56061
131,tragedy,NOUN,18.85333251953125,56061,tragedia,NOUN,32.78265380859375,56061
132,is,AUX,20.570068359375,58610,es,AUX,36.69213104248047,58610
133,the,DET,20.78863525390625,58610,la,DET,33.18754577636719,58610
134,attention,NOUN,17.85957145690918,58610,atención,NOUN,31.72058868408203,58610
135,that,SCONJ,21.511051177978516,58610,que,PRON,33.062984466552734,58610
136,the,DET,21.350879669189453,58610,0,0,0.0,0
137,story,NOUN,19.684812545776367,58610,0,0,0.0,0
138,brought,VERB,21.84344482421875,58610,concitó,VERB,36.793426513671875,58610
139,towards,ADP,21.19287872314453,60903,por,ADP,34.689701080322266,60903
140,the,DET,23.61792755126953,60903,la,DET,32.915016174316406,60903
141,0,0,0.0,0,difícil,ADJ,35.52001190185547,60903
142,plight,NOUN,17.693449020385742,60903,situación,NOUN,30.286148071289062,60903
143,of,ADP,22.63513946533203,60903,de,ADP,31.50506591796875,60903
144,threatened,VERB,20.631986618041992,60903,los,DET,34.978172302246094,60903
145,animals,NOUN,24.33718490600586,60903,animales,NOUN,36.54839324951172,60903
146,wild,ADJ,22.39505958557129,60903,salvajes,ADJ,36.00468826293945,60903
147,0,0,0.0,0,amenazados,ADJ,33.342960357666016,60903
148,.,PUNCT,20.259794235229492,60903,.,PUNCT,34.31713104248047,60903
149,0,0,0.0,0,Después,ADV,32.64072799682617,64101
150,After,ADP,20.84819221496582,64101,de,ADP,31.51106071472168,64101
151,'s,PART,22.094234466552734,64101,la,DET,30.490299224853516,64101
152,death,NOUN,21.275087356567383,64101,muerte,NOUN,29.57682991027832,64101
153,0,0,0.0,0,de,ADP,29.429183959960938,64101
154,Cecil,PROPN,21.216901779174805,64101,Cecil,PROPN,35.109535217285156,64101
155,",",PUNCT,20.177518844604492,64101,",",PUNCT,30.690860748291016,64101
156,I,PRON,25.661457061767578,66220,empecé,AUX,34.294864654541016,66220
157,began,VERB,25.74513816833496,66220,a,ADP,31.190340042114258,66220
158,to,PART,23.309051513671875,66220,hacerme,PROPN,30.646129608154297,66220
159,ask,VERB,26.917661666870117,66220,0,0,0.0,0
160,myself,PRON,22.823049545288086,66220,0,0,0.0,0
161,these,DET,22.584278106689453,66220,estas,DET,30.35801124572754,66220
162,questions,NOUN,21.151287078857422,66220,preguntas,NOUN,34.85456466674805,66220
163,:,PUNCT,19.71558952331543,66220,:,PUNCT,31.967552185058594,66220
164,0,0,0.0,0,¿,PUNCT,29.589052200317383,69046
165,the,DET,22.946949005126953,69046,Y,CONJ,32.07440948486328,69046
166,if,SCONJ,23.585107803344727,69046,si,SCONJ,35.12482452392578,69046
167,that,DET,22.580467224121094,69046,la,DET,32.89656448364258,69046
168,community,NOUN,20.996917724609375,69046,comunidad,NOUN,32.57505798339844,69046
169,What,PRON,21.364086151123047,69046,que,PRON,33.089447021484375,69046
170,lived,VERB,24.66850471496582,69046,vivía,VERB,34.65080261230469,69046
171,to,ADP,19.663341522216797,69046,al,ADP,34.701820373535156,69046
172,next,ADV,22.90464973449707,69046,lado,NOUN,30.1086368560791,69046
173,the,DET,18.694969177246094,69046,del,ADP,34.73353958129883,69046
174,lion,NOUN,19.367074966430664,69046,león,NOUN,30.995471954345703,69046
175,Cecil,PROPN,19.978010177612305,69046,Cecil,PROPN,34.81212615966797,69046
176,was,AUX,23.13016700744629,73057,hubiese,AUX,33.92049026489258,73057
177,involved,VERB,22.85438346862793,73057,estado,AUX,34.17683792114258,73057
178,protecting,VERB,25.447525024414062,73057,comprometida,ADJ,33.23314666748047,73057
179,in,ADP,21.384031295776367,73057,en,ADP,31.985116958618164,73057
180,him,PRON,22.647645950317383,73057,su,DET,34.4737663269043,73057
181,0,0,0.0,0,protección,NOUN,32.643768310546875,73057
182,?,PUNCT,21.909934997558594,73057,?,PUNCT,33.04895782470703,73057
183,0,0,0.0,0,¿,PUNCT,30.88071060180664,75572
184,What,PRON,22.035263061523438,75572,Qué,PRON,30.933956146240234,75572
185,I,PRON,24.621118545532227,75572,pasaría,VERB,35.74245834350586,75572
186,if,SCONJ,21.989391326904297,75572,si,SCONJ,34.670352935791016,75572
187,had,AUX,24.008968353271484,75572,hubiera,AUX,35.932491302490234,75572
188,met,VERB,21.301973342895508,75572,conocido,VERB,34.73334503173828,75572
189,when,ADV,23.57284164428711,75572,a,ADP,28.53258514404297,75572
190,Cecil,PROPN,20.88408660888672,75572,Cecil,PROPN,35.652740478515625,75572
191,I,PRON,25.536893844604492,75572,cuando,SCONJ,35.057029724121094,75572
192,was,AUX,23.34989356994629,75572,tenía,VERB,36.218379974365234,75572
193,10,NUM,24.996036529541016,75572,10,NUM,34.102020263671875,75572
194,years,NOUN,22.933103561401367,75572,años,NOUN,35.41421127319336,75572
195,",",PUNCT,21.152706146240234,75572,",",PUNCT,32.58204650878906,75572
196,old,ADJ,20.88255500793457,75572,y,CONJ,33.056453704833984,75572
197,instead,ADV,22.118932723999023,75572,no,ADV,32.45633316040039,75572
198,of,ADP,23.017730712890625,75572,a,ADP,32.64331817626953,75572
199,0,0,0.0,0,los,DET,32.56373977661133,75572
200,29,NUM,21.188135147094727,75572,29,NUM,33.5286750793457,75572
201,?,PUNCT,22.8468074798584,75572,?,PUNCT,34.547176361083984,75572
202,0,0,0.0,0,¿,PUNCT,29.732616424560547,81318
203,0,0,0.0,0,Podríamos,AUX,27.762542724609375,81318
204,0,0,0.0,0,haber,AUX,37.742958068847656,81318
205,0,0,0.0,0,cambiado,VERB,33.63096618652344,81318
206,0,0,0.0,0,su,DET,33.66038131713867,81318
207,0,0,0.0,0,destino,NOUN,33.067195892333984,81318
208,0,0,0.0,0,",",PUNCT,29.856760025024414,81318
209,0,0,0.0,0,sea,AUX,31.067752838134766,81318
210,0,0,0.0,0,yo,PRON,32.89375305175781,81318
211,0,0,0.0,0,o,CONJ,34.949771881103516,81318
212,0,0,0.0,0,mis,DET,32.849430084228516,81318
213,0,0,0.0,0,compañeros,NOUN,34.8742790222168,81318
214,0,0,0.0,0,de,ADP,33.69172668457031,81318
215,0,0,0.0,0,clase,NOUN,31.539072036743164,81318
216,0,0,0.0,0,?,PUNCT,32.827327728271484,81318
217,Many,ADJ,22.353179931640625,85212,Muchas,DET,33.74938201904297,85212
218,people,NOUN,23.645463943481445,85212,personas,NOUN,35.239864349365234,85212
219,are,AUX,26.905988693237305,85212,están,AUX,36.170448303222656,85212
220,working,VERB,24.457420349121094,85212,trabajando,VERB,34.90894317626953,85212
221,from,ADP,22.725635528564453,85212,para,ADP,35.69956970214844,85212
222,to,PART,23.600231170654297,85212,evitar,AUX,38.46042251586914,85212
223,stop,VERB,26.748920440673828,85212,que,SCONJ,33.062599182128906,85212
224,0,0,0.0,0,los,DET,34.81325912475586,85212
225,lions,NOUN,21.475322723388672,85212,leones,NOUN,34.15748596191406,85212
226,disappearing,VERB,19.957015991210938,85212,desaparezcan,VERB,36.26997375488281,85212
227,",",PUNCT,21.24452018737793,85212,",",PUNCT,29.857275009155273,85212
228,but,CCONJ,21.185791015625,88950,pero,CONJ,35.85966873168945,88950
229,very,ADV,23.743610382080078,88950,muy,ADV,34.163108825683594,88950
230,few,ADJ,23.969284057617188,88950,pocas,ADJ,34.6104621887207,88950
231,of,ADP,24.552902221679688,88950,de,ADP,33.749752044677734,88950
232,these,DET,23.461580276489258,88950,estas,DET,34.3208122253418,88950
233,people,NOUN,22.071386337280273,88950,personas,NOUN,37.295406341552734,88950
234,are,AUX,24.542837142944336,88950,son,AUX,35.75639343261719,88950
235,native,ADJ,18.944395065307617,88950,nativas,ADJ,35.489830017089844,88950
236,to,ADP,22.0257568359375,88950,de,ADP,32.826019287109375,88950
237,these,DET,22.700471878051758,88950,estos,DET,35.93571853637695,88950
238,countries,NOUN,18.553451538085938,88950,países,NOUN,36.28582763671875,88950
239,or,CCONJ,21.596681594848633,92641,o,CONJ,31.496845245361328,92641
240,from,ADP,21.751436233520508,92641,de,ADP,30.9688663482666,92641
241,the,DET,22.62992286682129,92641,las,DET,30.816940307617188,92641
242,communities,NOUN,18.953134536743164,92641,comunidades,NOUN,32.63495635986328,92641
243,most,ADV,21.294967651367188,92641,más,ADV,38.240081787109375,92641
244,affected,ADJ,21.874296188354492,92641,afectadas,ADJ,33.78197479248047,92641
245,.,PUNCT,22.161582946777344,92641,.,PUNCT,33.5662956237793,92641
246,But,CCONJ,21.255386352539062,95601,Pero,CONJ,32.70410919189453,95601
247,the,DET,21.057985305786133,95601,las,DET,31.68091583251953,95601
248,communities,NOUN,22.231643676757812,95601,comunidades,NOUN,34.03363800048828,95601
249,that,DET,22.854473114013672,95601,que,PRON,33.53630447387695,95601
250,live,VERB,22.89554786682129,95601,viven,VERB,37.28898620605469,95601
251,with,ADP,23.58701515197754,95601,con,ADP,33.10221862792969,95601
252,the,DET,21.966402053833008,95601,los,DET,34.20791244506836,95601
253,lions,NOUN,19.17989158630371,95601,leones,NOUN,33.11532974243164,95601
254,are,AUX,22.449525833129883,98070,son,AUX,33.21989440917969,98070
255,the,DET,21.67973518371582,98070,las,DET,32.90653991699219,98070
256,ones,NOUN,19.5877628326416,98070,mejor,ADJ,33.44513702392578,98070
257,most,ADJ,20.656160354614258,98070,posicionadas,ADJ,33.38865661621094,98070
258,positioned,VERB,22.219968795776367,98070,para,ADP,35.89498519897461,98070
259,help,VERB,25.504114151000977,98070,ayudar,VERB,36.088661193847656,98070
260,best,ADV,19.279294967651367,98070,más,ADV,36.62241744995117,98070
261,to,PART,23.635560989379883,98070,a,ADP,31.94659996032715,98070
262,the,DET,18.35623550415039,98070,los,DET,34.62678909301758,98070
263,lions,NOUN,21.267803192138672,98070,leones,NOUN,33.498077392578125,98070
264,.,PUNCT,22.42872428894043,98070,.,PUNCT,33.44208908081055,98070
265,0,0,0.0,0,La,DET,34.80709457397461,102268
266,people,NOUN,22.522266387939453,102268,gente,NOUN,31.458568572998047,102268
267,Local,ADJ,21.891435623168945,102268,local,ADJ,34.54804992675781,102268
268,be,AUX,24.9936466217041,102268,debe,AUX,35.10248947143555,102268
269,should,VERB,26.250774383544922,102268,estar,VERB,34.770111083984375,102268
270,at,ADP,22.072235107421875,102268,a,ADP,31.601423263549805,102268
271,the,DET,18.609386444091797,102268,la,DET,32.12539291381836,102268
272,forefront,NOUN,17.634008407592773,102268,vanguardia,NOUN,31.00279998779297,102268
273,of,ADP,20.453834533691406,104625,de,ADP,32.81455993652344,104625
274,the,DET,21.972272872924805,104625,las,DET,32.7569694519043,104625
275,solutions,NOUN,18.98410415649414,104625,soluciones,NOUN,34.329002380371094,104625
276,to,ADP,20.343679428100586,104625,a,ADP,33.580204010009766,104625
277,the,DET,23.14187240600586,104625,los,DET,35.907745361328125,104625
278,challenges,NOUN,21.2446231842041,104625,desafíos,NOUN,33.455657958984375,104625
279,0,0,0.0,0,que,PRON,33.33112716674805,104625
280,facing,VERB,27.805192947387695,104625,enfrenta,VERB,35.74588394165039,104625
281,their,DET,24.85904884338379,104625,su,DET,35.1903190612793,104625
282,wildlife,NOUN,20.163846969604492,104625,vida,NOUN,32.68783950805664,104625
283,0,0,0.0,0,silvestre,ADJ,32.26049041748047,104625
284,.,PUNCT,22.088897705078125,104625,.,PUNCT,33.435264587402344,104625
285,Sometimes,ADV,21.465084075927734,108212,A,ADP,35.04888153076172,108212
286,change,NOUN,22.041440963745117,108212,veces,NOUN,34.55927658081055,108212
287,",",PUNCT,19.693796157836914,108212,",",PUNCT,30.58005714416504,108212
288,can,VERB,22.969310760498047,108212,el,DET,34.970943450927734,108212
289,only,ADV,23.976970672607422,108212,cambio,NOUN,30.222082138061523,108212
290,0,0,0.0,0,solo,ADJ,35.50008773803711,108212
291,0,0,0.0,0,puede,AUX,34.58404541015625,108212
292,come,VERB,21.93855094909668,108212,suceder,VERB,34.53837585449219,108212
293,when,ADV,23.553016662597656,110331,cuando,SCONJ,35.666160583496094,110331
294,the,DET,20.215986251831055,110331,las,DET,35.1791877746582,110331
295,people,NOUN,20.545543670654297,110331,personas,NOUN,36.020591735839844,110331
296,most,ADV,20.866172790527344,110331,más,ADV,38.55760192871094,110331
297,affected,ADJ,22.46163558959961,110331,afectadas,ADJ,34.39427947998047,110331
298,and,CCONJ,21.821975708007812,110331,e,CONJ,32.489559173583984,110331
299,charge,NOUN,19.946231842041016,110331,impactadas,NOUN,35.577117919921875,110331
300,impacted,VERB,22.29876708984375,110331,se,PRON,32.18976593017578,110331
301,take,VERB,19.288625717163086,110331,ocupen,VERB,34.59095001220703,110331
302,0,0,0.0,0,de,ADP,31.672260284423828,110331
303,0,0,0.0,0,ello,PRON,33.639495849609375,110331
304,.,PUNCT,20.522613525390625,110331,.,PUNCT,32.3157958984375,110331
305,0,0,0.0,0,Las,DET,31.031431198120117,114077
306,0,0,0.0,0,comunidades,NOUN,34.73052215576172,114077
307,0,0,0.0,0,locales,ADJ,33.443878173828125,114077
308,0,0,0.0,0,juegan,VERB,36.796390533447266,114077
309,0,0,0.0,0,un,DET,36.84978103637695,114077
310,0,0,0.0,0,papel,NOUN,32.32544708251953,114077
311,0,0,0.0,0,importante,ADJ,35.60276412963867,114077
312,Local,ADJ,21.39919090270996,114537,en,ADP,34.03293228149414,116755
313,play,VERB,25.204925537109375,114537,la,DET,33.256534576416016,116755
314,communities,NOUN,23.12122344970703,114537,lucha,NOUN,31.832359313964844,116755
315,0,0,0.0,0,contra,ADP,32.64455795288086,116755
316,an,DET,23.363725662231445,114537,la,DET,34.0976676940918,116755
317,role,NOUN,21.974130630493164,114537,caza,NOUN,29.470369338989258,116755
318,important,ADJ,20.757465362548828,114537,furtiva,ADJ,35.56761932373047,116755
319,0,0,0.0,0,y,CONJ,33.87730026245117,116755
320,0,0,0.0,0,el,DET,35.29489517211914,116755
321,0,0,0.0,0,comercio,NOUN,31.060537338256836,116755
322,0,0,0.0,0,ilegal,ADJ,33.23698806762695,116755
323,0,0,0.0,0,de,ADP,30.580141067504883,116755
324,0,0,0.0,0,vida,NOUN,31.54665184020996,116755
325,0,0,0.0,0,silvestre,PROPN,30.78998565673828,116755
326,0,0,0.0,0,",",PUNCT,29.99945640563965,116755
327,0,0,0.0,0,que,SCONJ,31.663009643554688,120285
328,are,AUX,25.329694747924805,119965,son,AUX,34.492984771728516,120285
329,which,DET,23.531139373779297,119965,las,DET,33.739376068115234,120285
330,major,ADJ,22.024002075195312,119965,principales,ADJ,35.979488372802734,120285
331,threats,NOUN,20.14444923400879,119965,amenazas,NOUN,36.7376594543457,120285
332,and,CCONJ,24.45389175415039,119965,que,PRON,34.82119369506836,120285
333,affecting,VERB,20.91482925415039,119965,afectan,VERB,37.47661590576172,120285
334,other,ADJ,21.72152328491211,119965,a,ADP,34.13612747192383,120285
335,0,0,0.0,0,los,DET,34.226905822753906,120285
336,wildlife,NOUN,19.475858688354492,119965,leones,NOUN,32.85531997680664,120285
337,0,0,0.0,0,y,CONJ,35.45310592651367,120285
338,0,0,0.0,0,otros,DET,35.792781829833984,120285
339,lions,NOUN,20.92037010192871,119965,animales,NOUN,36.92352294921875,120285
340,.,PUNCT,22.530351638793945,119965,.,PUNCT,32.88264465332031,120285
341,0,0,0.0,0,Siendo,AUX,32.82622146606445,124325
342,0,0,0.0,0,una,DET,34.68733596801758,124325
343,0,0,0.0,0,negra,NOUN,33.364784240722656,124325
344,0,0,0.0,0,africana,ADJ,32.497703552246094,124325
345,0,0,0.0,0,que,PRON,34.88777542114258,124325
346,0,0,0.0,0,se,PRON,32.11760330200195,124325
347,0,0,0.0,0,dedica,VERB,34.8560676574707,124325
348,0,0,0.0,0,a,ADP,34.766937255859375,124325
349,0,0,0.0,0,las,DET,32.28023910522461,124325
350,0,0,0.0,0,ciencias,NOUN,34.7374267578125,124325
351,0,0,0.0,0,",",PUNCT,31.78139305114746,124325
352,a,DET,20.956029891967773,124395,las,DET,32.933204650878906,126930
353,woman,NOUN,20.088090896606445,124395,personas,NOUN,36.0983772277832,126930
354,black,ADJ,20.67104721069336,124395,que,PRON,35.05525588989258,126930
355,African,ADJ,23.5826358795166,124395,conozco,VERB,36.51814270019531,126930
356,Being,AUX,25.132793426513672,124395,siempre,ADV,37.14985275268555,126930
357,the,DET,21.965801239013672,124395,tienen,VERB,33.80604553222656,126930
358,sciences,NOUN,21.10813331604004,124395,curiosidad,NOUN,36.45751190185547,126930
359,in,ADP,20.020238876342773,124395,por,ADP,32.907806396484375,126930
360,",",PUNCT,19.798847198486328,124395,saber,VERB,34.343936920166016,126930
