,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,these,DET,21.916948318481445,20260,estos,PRON,32.728675842285156,20260
1,are,AUX,24.582721710205078,20260,son,AUX,33.14517593383789,20260
2,the,DET,23.1074161529541,20260,los,DET,37.913848876953125,20260
3,bears,NOUN,21.172348022460938,20260,osos,NOUN,34.56884002685547,20260
4,dancing,VERB,20.838720321655273,20260,bailarines,ADJ,35.15359115600586,20260
5,.,PUNCT,20.04943084716797,20260,.,PUNCT,33.054508209228516,20260
6,In,ADP,20.254676818847656,22260,En,ADP,31.84446907043457,22260
7,1995,NUM,21.710607528686523,22260,1995,NOUN,33.976318359375,22260
8,",",PUNCT,23.474943161010742,22260,comenzamos,AUX,31.893903732299805,22260
9,we,PRON,24.8593807220459,22260,a,ADP,33.01069641113281,22260
10,started,VERB,26.277114868164062,22260,trabajar,VERB,36.58452224731445,22260
11,working,VERB,24.42372703552246,22260,0,0,0.0,0
12,on,ADP,20.457948684692383,22260,en,ADP,34.109596252441406,22260
13,a,DET,20.166170120239258,22260,un,DET,38.58831787109375,22260
14,two,NUM,22.409454345703125,22260,dos,NUM,34.641258239746094,22260
15,-,PUNCT,22.808000564575195,22260,de,ADP,30.000621795654297,22260
16,year,NOUN,20.894548416137695,22260,investigación,NOUN,28.93023681640625,22260
17,investigative,ADJ,20.16823387145996,22260,de,ADP,31.39293670654297,22260
18,research,NOUN,18.704423904418945,22260,proyecto,NOUN,31.521299362182617,22260
19,project,NOUN,21.073728561401367,22260,años,NOUN,36.45698547363281,22260
20,to,PART,20.923194885253906,25260,0,0,0.0,0
21,try,VERB,25.370136260986328,25260,intentar,AUX,37.439727783203125,25260
22,and,CCONJ,22.17708969116211,25260,0,0,0.0,0
23,find,VERB,23.49839973449707,25260,descubrir,VERB,34.95646667480469,25260
24,out,ADP,21.775405883789062,25260,para,ADP,35.664573669433594,25260
25,what,PRON,21.63694190979004,25260,qué,PRON,31.21085548400879,25260
26,was,AUX,25.704296112060547,25260,estaba,AUX,35.05692672729492,25260
27,going,VERB,24.67061424255371,25260,pasando,VERB,35.393524169921875,25260
28,on,ADP,20.249752044677734,25260,0,0,0.0,0
29,.,PUNCT,22.089616775512695,25260,",",PUNCT,31.458032608032227,25260
30,Because,SCONJ,20.95641326904297,28260,porque,SCONJ,34.86134719848633,28260
31,the,DET,21.886566162109375,28260,los,DET,37.32998275756836,28260
32,sloth,ADJ,19.399127960205078,28260,perezosos,ADJ,33.692115783691406,28260
33,bears,NOUN,20.1175537109375,28260,osos,NOUN,35.011478424072266,28260
34,in,ADP,19.87779998779297,28260,0,0,0.0,0
35,the,DET,21.754323959350586,28260,0,0,0.0,0
36,wild,ADJ,19.034114837646484,28260,salvajes,ADJ,36.16447830200195,28260
37,were,AUX,22.320219039916992,28260,estaban,AUX,35.04129409790039,28260
38,obviously,ADV,26.728349685668945,28260,0,0,0.0,0
39,getting,VERB,24.76156997680664,28260,desapareciendo,VERB,34.412261962890625,28260
40,depleted,VERB,21.022109985351562,28260,0,0,0.0,0
41,because,SCONJ,20.270034790039062,30260,por,ADP,32.966148376464844,30260
42,0,0,0.0,0,culpa,NOUN,30.76580047607422,30260
43,of,ADP,21.74736785888672,30260,de,ADP,30.95159149169922,30260
44,this,DET,21.67411994934082,30260,este,DET,35.45738220214844,30260
45,0,0,0.0,0,fenómeno,NOUN,31.333696365356445,30260
46,.,PUNCT,21.77685546875,30260,.,PUNCT,32.74920654296875,30260
47,This,DET,23.49224853515625,32260,0,0,0.0,0
48,is,AUX,23.71124267578125,32260,son,AUX,32.0860595703125,32260
49,the,DET,20.92313575744629,32260,los,DET,34.38185119628906,32260
50,Qalandar,PROPN,20.69518280029297,32260,Kalandar,PROPN,35.11505126953125,32260
51,community,NOUN,19.718286514282227,32260,comunidad,NOUN,35.72808837890625,32260
52,.,PUNCT,20.809001922607422,32260,.,PUNCT,32.666419982910156,32260
53,They,PRON,24.198068618774414,32260,Estos,PRON,29.327001571655273,32260
54,are,AUX,24.81190299987793,32260,Son,AUX,32.21358108520508,32260
55,a,DET,24.91853904724121,32260,una,DET,35.926292419433594,32260
56,marginalized,ADJ,22.264846801757812,32260,marginal,ADJ,33.43375778198242,32260
57,Islamic,ADJ,21.61359405517578,32260,islámica,ADJ,34.74333953857422,32260
58,community,NOUN,20.022808074951172,32260,0,0,0.0,0
59,who,PRON,21.190624237060547,36260,que,PRON,33.48224639892578,36260
60,live,VERB,22.639699935913086,36260,vive,VERB,37.979957580566406,36260
61,across,ADP,19.963953018188477,36260,en,ADP,34.77568817138672,36260
62,0,0,0.0,0,toda,DET,32.60734939575195,36260
63,India,PROPN,21.012813568115234,36260,India,PROPN,35.95841598510742,36260
64,",",PUNCT,20.052812576293945,36260,",",PUNCT,29.877099990844727,36260
65,and,CCONJ,21.387666702270508,38260,y,CONJ,34.86521911621094,38260
66,have,AUX,19.907808303833008,38260,llevan,VERB,35.20642852783203,38260
67,been,AUX,24.29509925842285,38260,en,ADP,32.82559585571289,38260
68,in,ADP,20.984704971313477,38260,desde,ADP,32.463417053222656,38260
69,India,PROPN,23.13267707824707,38260,India,PROPN,34.86207962036133,38260
