,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,In,ADP,21.350967407226562,16260,En,ADP,31.22728157043457,16260
1,2008,NUM,21.6448974609375,16260,2008,NOUN,33.899322509765625,16260
2,",",PUNCT,23.40964698791504,16260,el,DET,34.80190658569336,16260
3,Cyclone,PROPN,21.637800216674805,16260,ciclón,NOUN,30.736000061035156,16260
4,Nargis,PROPN,21.50604820251465,16260,Nargis,PROPN,35.55656433105469,16260
5,devastated,VERB,20.564775466918945,16260,devastó,VERB,35.78949737548828,16260
6,Myanmar,PROPN,23.31767463684082,16260,Myanmar,PROPN,36.9147834777832,16260
7,.,PUNCT,19.652990341186523,16260,.,PUNCT,32.44205856323242,16260
8,Millions,NOUN,21.269580841064453,21260,Millones,NOUN,31.897478103637695,21260
9,of,ADP,24.402698516845703,21260,de,ADP,32.20417404174805,21260
10,people,NOUN,23.278972625732422,21260,personas,NOUN,33.25589370727539,21260
11,were,AUX,22.76759147644043,21260,tenían,VERB,35.3117561340332,21260
12,in,ADP,20.48902702331543,21260,una,DET,36.18995666503906,21260
13,severe,ADJ,20.36091423034668,21260,severa,ADJ,33.128196716308594,21260
14,need,NOUN,21.14740562438965,21260,necesidad,NOUN,32.874141693115234,21260
15,of,ADP,23.340370178222656,21260,de,ADP,31.98859214782715,21260
16,help,NOUN,19.259151458740234,21260,ayuda,NOUN,30.04301643371582,21260
17,.,PUNCT,23.49386978149414,21260,0,0,0.0,0
18,The,DET,21.519969940185547,25260,La,DET,31.455495834350586,25260
19,U.N.,PROPN,22.64744758605957,25260,ONU,PROPN,33.786865234375,25260
20,wanted,VERB,23.788755416870117,25260,quería,VERB,31.049577713012695,25260
21,to,PART,24.245227813720703,25260,inmediatamente,ADV,34.392581939697266,25260
22,rush,VERB,24.6988582611084,25260,enviar,VERB,36.128578186035156,25260
23,people,NOUN,21.684131622314453,25260,gente,NOUN,30.830547332763672,25260
24,and,CCONJ,25.13152503967285,25260,y,CONJ,32.642398834228516,25260
25,supplies,NOUN,22.364748001098633,25260,provisiones,NOUN,32.70792007446289,25260
26,to,ADP,19.599117279052734,25260,al,ADP,34.60676574707031,25260
27,the,DET,23.972238540649414,25260,0,0,0.0,0
28,area,NOUN,20.138246536254883,25260,área,NOUN,28.39862060546875,25260
29,.,PUNCT,22.51982307434082,25260,.,PUNCT,32.592506408691406,25260
30,But,CCONJ,21.73616600036621,29260,Pero,CONJ,33.21258544921875,29260
31,there,PRON,21.560766220092773,29260,no,ADV,34.88869094848633,29260
32,were,AUX,22.421594619750977,29260,había,AUX,32.83811950683594,29260
33,no,DET,24.099374771118164,29260,0,0,0.0,0
34,maps,NOUN,19.422534942626953,29260,mapas,NOUN,34.59469223022461,29260
35,",",PUNCT,20.01990509033203,29260,",",PUNCT,32.18575668334961,29260
36,no,DET,20.52135467529297,29260,las,DET,33.466346740722656,29260
37,maps,NOUN,17.45524024963379,29260,mapas,NOUN,31.788179397583008,29260
38,of,ADP,23.287002563476562,29260,de,ADP,32.63657760620117,29260
39,roads,NOUN,20.249086380004883,29260,carreteras,NOUN,35.06916809082031,29260
40,",",PUNCT,20.63338279724121,29260,0,0,0.0,0
41,no,DET,22.720285415649414,32260,ningún,DET,32.23537063598633,32260
42,maps,NOUN,19.060434341430664,32260,mapa,NOUN,31.951709747314453,32260
43,showing,VERB,21.509567260742188,32260,indicando,VERB,33.88563537597656,32260
44,no,DET,21.619117736816406,32260,los,DET,34.748023986816406,32260
45,hospitals,NOUN,21.0096378326416,32260,hospitales,NOUN,35.493953704833984,32260
46,",",PUNCT,19.52068519592285,32260,",",PUNCT,30.379962921142578,32260
47,way,NOUN,20.96663475036621,32260,ni,CONJ,34.51834487915039,32260
48,help,NOUN,18.402019500732422,32260,forma,NOUN,32.19413757324219,32260
49,for,ADP,20.55551528930664,32260,para,ADP,34.48210525512695,32260
50,reach,VERB,25.493764877319336,32260,llegar,VERB,36.90048599243164,32260
51,to,PART,24.83199691772461,32260,a,ADP,32.965885162353516,32260
52,the,DET,22.33922004699707,32260,las,DET,34.37153625488281,32260
53,cyclone,NOUN,21.020166397094727,32260,víctimas,NOUN,35.19175338745117,32260
54,0,0,0.0,0,del,ADP,32.725257873535156,32260
55,victims,NOUN,22.313886642456055,32260,ciclón,NOUN,31.34999656677246,32260
56,.,PUNCT,19.38459014892578,32260,.,PUNCT,33.683685302734375,32260
57,When,ADV,23.172042846679688,37260,Cuando,SCONJ,33.65499496459961,37260
58,we,PRON,25.900390625,37260,un,DET,34.31222915649414,37260
59,look,VERB,22.757286071777344,37260,miramos,VERB,33.57181930541992,37260
60,at,ADP,23.399606704711914,37260,de,ADP,30.65256690979004,37260
61,a,DET,23.45369529724121,37260,Los,DET,32.9520149230957,37260
62,map,NOUN,21.65332794189453,37260,mapa,NOUN,28.343664169311523,37260
63,of,ADP,22.916807174682617,37260,de,ADP,29.21755027770996,37260
64,Los,PROPN,22.78556251525879,37260,o,CONJ,30.42311668395996,37260
65,Angeles,PROPN,22.538633346557617,37260,Ángeles,PROPN,36.921897888183594,37260
66,or,CCONJ,21.407821655273438,37260,0,0,0.0,0
67,London,PROPN,21.869564056396484,37260,Londres,PROPN,35.06558609008789,37260
68,",",PUNCT,21.480106353759766,37260,0,0,0.0,0
69,it,PRON,25.050485610961914,40260,0,0,0.0,0
70,is,AUX,26.377437591552734,40260,es,AUX,34.98793029785156,40260
71,hard,ADJ,23.023456573486328,40260,difícil,ADJ,36.842445373535156,40260
72,to,PART,23.761396408081055,40260,de,ADP,32.89157485961914,40260
