,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,When,ADV,23.186189651489258,13026,Cuando,SCONJ,34.882076263427734,13026
1,I,PRON,25.10753631591797,13026,pequeña,ADJ,31.697952270507812,13026
2,was,AUX,24.307775497436523,13026,era,AUX,35.5494499206543,13026
3,a,DET,24.08308219909668,13026,0,0,0.0,0
4,child,NOUN,19.535097122192383,13026,0,0,0.0,0
5,",",PUNCT,21.022428512573242,13026,",",PUNCT,30.944149017333984,13026
6,every,DET,21.462182998657227,14547,cada,DET,34.195945739746094,14547
7,other,ADJ,20.21885108947754,14547,dos,NUM,30.92426300048828,14547
8,Friday,PROPN,20.661243438720703,14547,viernes,NOUN,33.82167053222656,14547
9,",",PUNCT,20.35175132751465,14547,0,0,0.0,0
10,I,PRON,24.656307220458984,15730,me,PRON,32.29005813598633,15730
11,would,VERB,26.424720764160156,15730,iba,VERB,35.00120544433594,15730
12,leave,VERB,26.0638370513916,15730,del,ADP,31.970470428466797,15730
13,mother,NOUN,19.130678176879883,15730,hogar,NOUN,29.696880340576172,15730
14,and,CCONJ,23.104068756103516,15730,de,ADP,30.865144729614258,15730
15,my,DET,23.783632278442383,15730,mi,DET,34.034095764160156,15730
16,stepfather,NOUN,17.953441619873047,15730,madre,NOUN,32.39786911010742,15730
17,'s,PART,20.726974487304688,15730,y,CONJ,33.4336051940918,15730
18,0,0,0.0,0,mi,DET,33.80057907104492,15730
19,home,NOUN,18.214784622192383,15730,padrastro,NOUN,29.16598892211914,15730
20,--,PUNCT,20.102603912353516,15730,",",PUNCT,29.415531158447266,15730
21,an,DET,19.954692840576172,18696,un,DET,36.36886978149414,18696
22,atheist,NOUN,19.933603286743164,18696,hogar,NOUN,33.1860237121582,18696
23,Indian,ADJ,22.79833221435547,18696,indio,ADJ,31.31287956237793,18696
24,and,CCONJ,23.113466262817383,18696,y,CONJ,33.240150451660156,18696
25,British,ADJ,21.004465103149414,18696,británico,ADJ,33.376487731933594,18696
26,",",PUNCT,20.76552391052246,18696,",",PUNCT,29.521718978881836,18696
27,0,0,0.0,0,ateo,ADJ,32.2532958984375,18696
28,",",PUNCT,20.852357864379883,18696,",",PUNCT,28.682992935180664,18696
29,Buddhist,PROPN,20.506858825683594,18696,budista,ADJ,29.681621551513672,18696
30,",",PUNCT,19.469810485839844,18696,",",PUNCT,30.002931594848633,18696
31,agnostic,ADJ,19.66936683654785,23369,agnóstico,ADJ,32.01364517211914,23369
32,",",PUNCT,20.2786865234375,23369,",",PUNCT,29.71936798095703,23369
33,vegetarian,ADJ,20.659587860107422,23369,vegetariano,ADJ,29.802526473999023,23369
34,",",PUNCT,24.350982666015625,23369,",",PUNCT,30.462852478027344,23369
35,new,ADJ,20.847745895385742,23369,new,PROPN,33.84867858886719,23369
36,age,NOUN,19.386186599731445,23369,0,0,0.0,0
37,-,PUNCT,19.98519515991211,23369,0,0,0.0,0
38,y,NOUN,20.888599395751953,23369,0,0,0.0,0
39,sometimes,ADV,19.683528900146484,23369,age,ADV,33.13555908203125,23369
40,",",PUNCT,20.48030662536621,23369,0,0,0.0,0
41,0,0,0.0,0,y,CONJ,34.297611236572266,29047
42,.,PUNCT,20.497934341430664,29047,",",PUNCT,28.216779708862305,29047
43,0,0,0.0,0,a,ADP,32.389503479003906,29047
44,household,NOUN,20.48137855529785,29047,veces,NOUN,33.51852035522461,29047
45,0,0,0.0,0,",",PUNCT,29.608654022216797,29047
46,Democratic,ADJ,20.401981353759766,29047,demócrata,ADJ,32.812564849853516,29047
47,0,0,0.0,0,.,PUNCT,32.1553955078125,29047
48,And,CCONJ,19.354970932006836,31339,Entonces,ADV,34.66810607910156,31339
49,I,PRON,25.477134704589844,31339,me,PRON,31.370155334472656,31339
50,would,VERB,26.72735595703125,31339,iba,VERB,34.2866096496582,31339
51,go,VERB,24.339204788208008,31339,a,ADP,31.942710876464844,31339
52,1.4,NUM,24.238548278808594,31339,la,DET,32.97951889038086,31339
53,miles,NOUN,22.07929229736328,31339,casa,NOUN,31.13423728942871,31339
54,to,ADP,20.600784301757812,31339,de,ADP,30.75715446472168,31339
55,my,DET,23.477201461791992,31339,mi,DET,34.225677490234375,31339
56,father,PROPN,20.216960906982422,31339,padre,NOUN,31.2947940826416,31339
57,and,CCONJ,23.925334930419922,31339,y,CONJ,33.66128921508789,31339
58,stepmother,PROPN,19.121063232421875,31339,mi,DET,33.84418869018555,31339
59,home,NOUN,18.463367462158203,31339,madrastra,NOUN,30.93117332458496,31339
60,'s,PART,21.5118408203125,31339,a,ADP,33.75010681152344,31339
61,0,0,0.0,0,unos,PRON,30.79399299621582,31339
62,0,0,0.0,0,2,NUM,32.2047119140625,31339
63,0,0,0.0,0,km,NOUN,31.36729621887207,31339
64,and,CCONJ,20.923358917236328,35836,y,CONJ,33.90315246582031,35836
65,enter,VERB,21.24131202697754,35836,entraba,VERB,35.77305603027344,35836
66,0,0,0.0,0,en,ADP,34.30033874511719,35836
67,a,DET,22.510225296020508,35836,una,DET,36.119205474853516,35836
68,Evangelical,PROPN,20.41314697265625,35836,familia,NOUN,33.19287872314453,35836
69,white,ADJ,20.07322883605957,35836,blanca,ADJ,33.79336166381836,35836
70,",",PUNCT,20.813295364379883,35836,",",PUNCT,31.208127975463867,35836
71,Christian,PROPN,20.845291137695312,35836,evangélica,PROPN,32.0325927734375,35836
72,0,0,0.0,0,cristiana,ADJ,32.274024963378906,35836
73,",",PUNCT,20.981935501098633,35836,",",PUNCT,31.59285545349121,35836
74,conservative,ADJ,18.160600662231445,39444,conservadora,PROPN,30.372514724731445,39444
75,",",PUNCT,19.71893310546875,39444,",",PUNCT,30.44060516357422,39444
76,Republican,ADJ,20.799694061279297,39444,republicana,ADJ,33.08611297607422,39444
77,",",PUNCT,19.262170791625977,39444,",",PUNCT,31.403823852539062,39444
78,twice,ADV,20.564773559570312,42321,que,SCONJ,30.89118003845215,42321
79,-,PUNCT,19.571592330932617,42321,iba,VERB,32.62995147705078,42321
80,0,0,0.0,0,a,ADP,32.045894622802734,42321
81,a,DET,21.068798065185547,42321,la,DET,32.69820022583008,42321
82,-,PUNCT,21.077306747436523,42321,iglesia,PROPN,33.12689971923828,42321
83,-,PUNCT,24.565324783325195,42321,dos,NUM,34.32948303222656,42321
84,churchgoing,NOUN,19.884235382080078,42321,veces,NOUN,34.93909454345703,42321
85,0,0,0.0,0,por,ADP,33.13630676269531,42321
86,week,NOUN,20.039060592651367,42321,semana,NOUN,29.9237003326416,42321
87,",",PUNCT,20.881229400634766,42321,",",PUNCT,29.864133834838867,42321
88,meat,NOUN,17.705272674560547,44860,carnívora,PROPN,30.455074310302734,44860
89,-,PUNCT,22.807819366455078,44860,.,PUNCT,32.935123443603516,44860
