,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,If,SCONJ,21.834213256835938,12999,Si,SCONJ,32.18120574951172,12999
1,you,PRON,24.357805252075195,12999,0,0,0.0,0
2,want,VERB,24.42876434326172,12999,comprar,VERB,36.85506820678711,12999
3,to,PART,24.011627197265625,12999,cocaína,NOUN,30.06061363220215,12999
4,buy,VERB,24.956371307373047,12999,quieren,VERB,36.872867584228516,12999
5,high,ADJ,21.094762802124023,12999,alta,ADJ,33.77204895019531,12999
6,-,PUNCT,23.217548370361328,12999,de,ADP,30.62447166442871,12999
7,quality,NOUN,19.386972427368164,12999,calidad,NOUN,32.53001403808594,12999
8,",",PUNCT,22.096851348876953,12999,a,ADP,28.4036922454834,12999
9,low,ADJ,21.93041229248047,12999,bajo,ADJ,32.013885498046875,12999
10,-,PUNCT,23.31805419921875,12999,",",PUNCT,29.876726150512695,12999
11,price,NOUN,22.326557159423828,12999,precio,NOUN,30.984294891357422,12999
12,cocaine,NOUN,19.493247985839844,12999,0,0,0.0,0
13,",",PUNCT,20.874130249023438,12999,0,0,0.0,0
14,there,PRON,20.771867752075195,18542,adonde,PRON,31.81067657470703,18542
15,really,ADV,20.95738983154297,18542,solo,ADV,35.03596496582031,18542
16,is,AUX,25.11129379272461,18542,existe,VERB,33.98385238647461,18542
17,only,ADV,22.099159240722656,18542,realmente,ADV,30.121902465820312,18542
18,one,NUM,22.871601104736328,18542,un,DET,35.598026275634766,18542
19,place,NOUN,23.132938385009766,18542,lugar,NOUN,33.267478942871094,18542
20,to,PART,23.24488067626953,18542,0,0,0.0,0
21,go,VERB,23.766130447387695,18542,ir,VERB,32.81180953979492,18542
22,",",PUNCT,19.919204711914062,18542,.,PUNCT,32.82849884033203,18542
23,and,CCONJ,19.46380043029785,21403,mercados,NOUN,36.876216888427734,21403
24,that,DET,18.724830627441406,21403,los,DET,36.21857833862305,21403
25,is,AUX,22.38517189025879,21403,Son,AUX,31.59261131286621,21403
26,the,DET,21.02765464782715,21403,la,DET,34.26915740966797,21403
27,dark,ADJ,20.172603607177734,21403,de,ADP,31.506059646606445,21403
28,net,ADJ,19.188554763793945,21403,anónimos,ADJ,32.70827865600586,21403
29,anonymous,ADJ,21.400142669677734,21403,oscura,ADJ,35.29064178466797,21403
30,markets,NOUN,21.09180450439453,21403,red,NOUN,33.85963821411133,21403
31,.,PUNCT,19.888412475585938,21403,.,PUNCT,32.36204528808594,21403
32,Now,ADV,24.012224197387695,25664,no,ADV,32.432594299316406,25664
33,",",PUNCT,22.154111862182617,25664,0,0,0.0,0
34,you,PRON,21.43059730529785,25664,Uno,PRON,32.77275466918945,25664
35,ca,VERB,23.710222244262695,25664,llegar,VERB,38.1198616027832,25664
36,n't,PART,26.597332000732422,25664,0,0,0.0,0
37,get,AUX,23.865726470947266,25664,puede,AUX,36.70418930053711,25664
38,to,ADP,19.76041603088379,25664,a,ADP,34.63543701171875,25664
39,these,DET,23.344398498535156,25664,estos,DET,35.98585510253906,25664
40,sites,NOUN,21.137718200683594,25664,sitios,NOUN,34.86113739013672,25664
41,with,ADP,20.209583282470703,27312,con,ADP,33.50371551513672,27312
42,a,DET,22.060935974121094,27312,un,DET,36.6813850402832,27312
43,browser,NOUN,22.495729446411133,27312,navegador,NOUN,31.97574806213379,27312
44,normal,ADJ,22.06220817565918,27312,normal,ADJ,34.125831604003906,27312
45,--,PUNCT,19.439754486083984,27312,",",PUNCT,29.51337242126465,27312
46,0,0,0.0,0,con,ADP,32.052982330322266,27312
47,Chrome,PROPN,18.141952514648438,27312,Chrome,PROPN,35.93498611450195,27312
48,or,CCONJ,19.686784744262695,27312,o,CONJ,32.80337905883789,27312
49,Firefox,PROPN,19.96074104309082,27312,Firefox,PROPN,35.68658447265625,27312
50,--,PUNCT,20.030088424682617,27312,",",PUNCT,29.679428100585938,27312
51,because,SCONJ,20.900314331054688,31799,porque,SCONJ,34.23310089111328,31799
52,they,PRON,23.958486557006836,31799,0,0,0.0,0
53,'re,AUX,22.333396911621094,31799,están,AUX,34.35166931152344,31799
54,on,ADP,19.776464462280273,31799,en,ADP,35.51912307739258,31799
55,this,DET,20.96518898010254,31799,esa,DET,36.06147766113281,31799
56,hidden,VERB,20.167728424072266,31799,oculta,ADJ,33.493595123291016,31799
57,part,NOUN,22.663238525390625,31799,parte,NOUN,32.37456512451172,31799
58,of,ADP,23.9263973236084,31799,de,ADP,32.754947662353516,31799
59,the,DET,19.59724235534668,31799,Internet,PROPN,34.378536224365234,31799
60,Internet,NOUN,20.01244354248047,31799,0,0,0.0,0
61,",",PUNCT,19.042415618896484,31799,",",PUNCT,30.506986618041992,31799
62,known,VERB,22.118120193481445,34956,conocida,ADJ,32.96913146972656,34956
63,as,SCONJ,22.46358871459961,34956,como,SCONJ,33.945640563964844,34956
64,Tor,PROPN,19.42438316345215,34956,Tor,PROPN,33.76272201538086,34956
65,hidden,VERB,21.611539840698242,34956,",",PUNCT,30.928199768066406,34956
66,services,NOUN,21.480987548828125,34956,red,NOUN,30.148710250854492,34956
67,0,0,0.0,0,de,ADP,29.66621971130371,34956
68,0,0,0.0,0,anonimato,NOUN,31.01873779296875,34956
69,",",PUNCT,19.77298927307129,34956,",",PUNCT,30.833391189575195,34956
70,where,ADV,18.866313934326172,37082,donde,SCONJ,32.88935852050781,37082
71,a,DET,22.455944061279297,37082,las,DET,32.26555633544922,37082
72,URLs,NOUN,22.426252365112305,37082,URL,PROPN,35.29762649536133,37082
73,are,AUX,23.248842239379883,37082,son,AUX,32.93666076660156,37082
74,string,NOUN,20.98847198486328,37082,serie,NOUN,31.682607650756836,37082
75,of,ADP,23.526161193847656,37082,de,ADP,31.811973571777344,37082
76,numbers,NOUN,22.03516387939453,37082,números,NOUN,34.41852569580078,37082
77,meaningless,ADJ,21.404010772705078,37082,y,CONJ,33.668460845947266,37082
78,letters,NOUN,21.469377517700195,37082,letras,NOUN,33.02424240112305,37082
79,and,CCONJ,23.726964950561523,37082,sin,ADP,33.53131103515625,37082
80,.onion,NOUN,20.152095794677734,37082,sentido,NOUN,33.34170150756836,37082
81,that,DET,22.899280548095703,37082,que,PRON,34.876365661621094,37082
82,end,VERB,21.91182518005371,37082,terminan,VERB,36.97252655029297,37082
83,in,ADP,21.226343154907227,37082,en,ADP,32.32698059082031,37082
84,0,0,0.0,0,.onion,PROPN,31.40938377380371,37082
85,",",PUNCT,22.29737663269043,37082,",",PUNCT,31.711036682128906,37082
86,and,CCONJ,20.971176147460938,41799,y,CONJ,33.083370208740234,41799
87,0,0,0.0,0,a,ADP,32.00297164916992,41799
88,which,DET,23.488262176513672,41799,la,DET,33.698551177978516,41799
89,you,PRON,23.696203231811523,41799,que,PRON,34.33422088623047,41799
90,0,0,0.0,0,se,PRON,33.7508430480957,41799
91,access,VERB,21.159513473510742,41799,accede,VERB,35.935874938964844,41799
92,with,ADP,21.949359893798828,41799,con,ADP,36.56085968017578,41799
93,a,DET,20.781408309936523,41799,un,DET,36.56193161010742,41799
94,browser,NOUN,20.440580368041992,41799,navegador,NOUN,32.087669372558594,41799
95,special,ADJ,20.587779998779297,41799,especial,ADJ,34.04497528076172,41799
96,called,VERB,20.66423988342285,44629,llamado,ADJ,32.75283432006836,44628
97,the,DET,21.064319610595703,44629,el,DET,32.311256408691406,44628
98,Tor,NOUN,20.723554611206055,44629,navegador,NOUN,31.194156646728516,44628
99,browser,NOUN,21.167757034301758,44629,Tor,PROPN,32.913902282714844,44628
100,.,PUNCT,21.841428756713867,44629,.,PUNCT,31.375093460083008,44628
101,Now,ADV,23.491024017333984,46799,El,DET,33.59697341918945,46799
102,",",PUNCT,21.256103515625,46799,0,0,0.0,0
103,the,DET,18.937774658203125,46799,un,DET,36.83393096923828,46799
104,Tor,NOUN,21.24423599243164,46799,navegador,NOUN,31.885799407958984,46799
105,browser,NOUN,22.607967376708984,46799,proyecto,NOUN,31.381879806518555,46799
106,was,AUX,23.326377868652344,46799,era,AUX,32.703731536865234,46799
107,originally,ADV,22.21999168395996,46799,originalmente,ADV,34.28378677368164,46799
108,a,DET,21.95395851135254,46799,la,DET,33.67802810668945,46799
109,U.S.,PROPN,20.542171478271484,46799,Tor,PROPN,33.097999572753906,46799
110,Naval,PROPN,21.92752456665039,46799,de,ADP,30.05685043334961,46799
111,intelligence,NOUN,19.647350311279297,46799,inteligencia,NOUN,32.91997146606445,46799
112,project,NOUN,21.697460174560547,46799,naval,ADJ,34.367652893066406,46799
113,.,PUNCT,21.998191833496094,46799,.,PUNCT,33.53793716430664,46799
114,then,ADV,23.43416404724121,51399,Luego,ADV,32.821258544921875,51399
115,It,PRON,22.558652877807617,51399,se,PRON,33.42976760864258,51399
116,became,VERB,24.858322143554688,51399,convirtió,VERB,37.511924743652344,51399
117,0,0,0.0,0,en,ADP,32.38325881958008,51399
118,source,NOUN,19.876861572265625,51399,código,NOUN,29.913188934326172,51399
119,open,ADJ,17.651294708251953,51399,abierto,ADJ,33.065399169921875,51399
120,",",PUNCT,21.790225982666016,51399,",",PUNCT,30.140289306640625,51399
121,and,CCONJ,20.310171127319336,53304,y,CONJ,34.29246520996094,53304
122,it,PRON,24.722755432128906,53304,a,ADP,33.7652587890625,53304
