,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,My,DET,23.965065002441406,17160,Mi,DET,33.62090301513672,17160
1,thing,NOUN,21.435937881469727,17160,interés,NOUN,33.29349899291992,17160
2,with,ADP,21.044605255126953,17160,con,ADP,32.92080307006836,17160
3,school,NOUN,19.533227920532227,17160,los,DET,34.843589782714844,17160
4,lunch,NOUN,19.993854522705078,17160,almuerzos,NOUN,34.9317741394043,17160
5,is,AUX,22.230030059814453,17160,es,AUX,31.992006301879883,17160
6,",",PUNCT,21.584199905395508,17160,escolares,ADJ,34.885379791259766,17160
7,it,PRON,23.66432762145996,17160,de,ADP,30.916311264038086,17160
8,'s,AUX,21.606290817260742,17160,Soy,AUX,27.491697311401367,19160
9,a,DET,23.076574325561523,17160,un,DET,37.82819366455078,17160
10,social,ADJ,21.427528381347656,17160,social,ADJ,34.21083068847656,17160
11,justice,NOUN,18.608766555786133,17160,justicia,NOUN,30.96624183654785,17160
12,issue,NOUN,19.31394386291504,17160,asunto,NOUN,31.68674659729004,17160
13,.,PUNCT,21.25334358215332,17160,.,PUNCT,33.62186050415039,17160
14,I,PRON,24.785079956054688,19160,Directora,PROPN,36.00141906738281,19160
15,'m,AUX,23.105133056640625,19160,de,ADP,29.522310256958008,19160
16,the,DET,20.804664611816406,19160,la,DET,32.2447395324707,19160
17,Director,PROPN,20.027734756469727,19160,Servicios,PROPN,37.20820617675781,19160
18,of,ADP,21.438575744628906,19160,del,ADP,31.352510452270508,21160
19,Nutrition,PROPN,20.627683639526367,19160,Nutricionales,PROPN,35.60150146484375,19160
20,Services,PROPN,21.711994171142578,19160,Distrito,PROPN,34.5702018737793,21160
21,for,ADP,20.66912269592285,21160,de,ADP,30.558216094970703,21160
22,the,DET,23.37386703491211,21160,90,NUM,34.43180847167969,21160
23,Berkeley,PROPN,21.216228485107422,21160,Unificado,PROPN,35.5316276550293,21160
24,Unified,PROPN,20.240108489990234,21160,Berkeley,PROPN,36.244205474853516,21160
25,School,PROPN,20.331466674804688,21160,Escolar,PROPN,35.18407440185547,21160
26,District,PROPN,19.650136947631836,21160,Tengo,VERB,31.86935043334961,21160
27,.,PUNCT,20.521026611328125,21160,.,PUNCT,31.73073959350586,21160
28,I,PRON,25.196643829345703,21160,empleados,NOUN,36.03035354614258,21160
29,have,AUX,22.618778228759766,21160,y,CONJ,33.19819259643555,24160
30,90,NUM,22.8349666595459,21160,17,NUM,32.637779235839844,24160
31,employees,NOUN,21.28036117553711,21160,localidades,NOUN,32.707275390625,24160
32,and,CCONJ,22.088315963745117,24160,y,CONJ,32.89608383178711,24160
33,17,NUM,22.233078002929688,24160,a,ADP,28.349674224853516,24160
34,locations,NOUN,20.08271026611328,24160,chicos,NOUN,35.689693450927734,24160
35,",",PUNCT,21.083024978637695,24160,",",PUNCT,32.943626403808594,24160
36,"9,600",NUM,22.306743621826172,24160,9.600,NUM,35.425865173339844,24160
37,kids,NOUN,21.96467399597168,24160,comidas,NOUN,34.9149284362793,26160
38,.,PUNCT,20.75160026550293,24160,.,PUNCT,34.16838455200195,24160
39,I,PRON,24.707908630371094,26160,Preparo,PROPN,32.15627670288086,26160
40,'m,AUX,22.479801177978516,26160,al,ADP,35.06333923339844,26160
41,doing,VERB,25.19085121154785,26160,llevo,VERB,33.57181930541992,28160
42,"7,100",NUM,21.856809616088867,26160,7.100,NUM,32.93613052368164,26160
43,meals,NOUN,22.474702835083008,26160,día,NOUN,32.176490783691406,26160
44,a,DET,23.070533752441406,26160,y,CONJ,33.94609069824219,28160
45,day,NOUN,20.70823097229004,26160,años,NOUN,34.00511932373047,28160
46,and,CCONJ,20.01453971862793,28160,haciéndolo,PROPN,32.347286224365234,28160
47,I,PRON,24.726581573486328,28160,2,NUM,33.8454475402832,28160
48,'ve,AUX,22.04385757446289,28160,",",PUNCT,30.79705810546875,28160
49,been,AUX,24.827045440673828,28160,tratando,AUX,34.43846893310547,30160
50,doing,VERB,25.60209846496582,28160,cambiar,VERB,37.10134506225586,30160
51,it,PRON,23.02590560913086,28160,que,PRON,32.22959518432617,30160
52,for,ADP,20.29694175720215,28160,de,ADP,31.876903533935547,30160
53,two,NUM,24.005353927612305,28160,la,DET,34.35870361328125,30160
54,years,NOUN,21.832483291625977,28160,manera,NOUN,32.95750045776367,30160
55,",",PUNCT,19.933820724487305,28160,en,ADP,31.986392974853516,30160
56,trying,VERB,22.49570083618164,30160,alimentamos,VERB,33.861385345458984,30160
57,to,PART,24.70507049560547,30160,a,ADP,33.48154830932617,30160
58,change,VERB,26.252071380615234,30160,nuestros,DET,33.03407669067383,30160
59,how,ADV,21.435596466064453,30160,en,ADP,31.865493774414062,30160
60,we,PRON,25.035531997680664,30160,eso,PRON,33.92654800415039,33160
61,feed,VERB,23.173717498779297,30160,Y,CONJ,31.634191513061523,33160
62,kids,NOUN,20.573217391967773,30160,chicos,NOUN,35.94064712524414,30160
63,in,ADP,21.221107482910156,30160,de,ADP,30.465238571166992,33160
64,America,PROPN,24.290830612182617,30160,EE.UU,PROPN,33.7918815612793,30160
