,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Is,AUX,20.681489944458008,15260,¿,PUNCT,30.69635581970215,15260
1,there,PRON,22.65407943725586,15260,Existe,VERB,31.088102340698242,15260
2,anything,PRON,22.293346405029297,15260,un,DET,34.111148834228516,15260
3,0,0,0.0,0,rasgo,NOUN,33.05409622192383,15260
4,unique,ADJ,20.21776580810547,15260,distintivo,ADJ,34.39817428588867,15260
5,about,ADP,21.336084365844727,15260,del,ADP,33.49380111694336,15260
6,beings,NOUN,20.35553550720215,15260,ser,NOUN,31.68887710571289,15260
7,human,ADJ,20.206390380859375,15260,humano,ADJ,35.64729690551758,15260
8,?,PUNCT,22.471426010131836,15260,?,PUNCT,32.92068862915039,15260
9,There,PRON,20.379392623901367,18260,Sí,ADV,34.4068489074707,18260
10,is,AUX,22.982791900634766,18260,0,0,0.0,0
11,.,PUNCT,20.341917037963867,18260,.,PUNCT,32.85599136352539,18260
12,We,PRON,23.527498245239258,20260,0,0,0.0,0
13,'re,AUX,22.100263595581055,20260,Somos,AUX,27.738271713256836,20260
14,the,DET,22.685388565063477,20260,los,DET,35.471927642822266,20260
15,only,ADJ,19.013992309570312,20260,únicos,ADJ,36.306575775146484,20260
16,creatures,NOUN,19.032472610473633,20260,seres,NOUN,37.458709716796875,20260
17,with,ADP,20.982778549194336,22260,que,SCONJ,30.753854751586914,22260
18,fully,ADV,23.734840393066406,22260,0,0,0.0,0
19,developed,VERB,21.5744686126709,22260,desarrollamos,VERB,33.402244567871094,22260
20,moral,ADJ,22.335763931274414,22260,morales,ADJ,34.80988311767578,22260
21,sentiments,NOUN,22.486705780029297,22260,sentimientos,NOUN,35.422664642333984,22260
22,.,PUNCT,20.106599807739258,22260,.,PUNCT,33.54331970214844,22260
23,as,SCONJ,22.77789306640625,24260,Como,SCONJ,35.165184020996094,24260
24,morality,NOUN,18.59390640258789,24260,seres,NOUN,35.36669158935547,24260
25,'re,AUX,20.87555694580078,24260,sociales,ADJ,34.96874237060547,24260
26,with,ADP,20.208269119262695,24260,",",PUNCT,29.19309425354004,24260
27,We,PRON,23.767187118530273,24260,nos,PRON,33.6449089050293,24260
28,obsessed,VERB,22.61311149597168,24260,obsesiona,VERB,34.631168365478516,24260
29,social,ADJ,19.46958351135254,24260,la,DET,33.85151672363281,24260
30,creatures,NOUN,21.725231170654297,24260,moral,NOUN,32.29911804199219,24260
31,.,PUNCT,20.960477828979492,24260,.,PUNCT,34.02762222290039,24260
32,We,PRON,24.58217430114746,27260,qué,PRON,32.57685089111328,27260
33,need,VERB,21.637048721313477,27260,Necesitamos,VERB,30.33148956298828,27260
34,to,PART,23.6259708404541,27260,por,ADP,33.61214065551758,27260
35,know,VERB,24.47178840637207,27260,0,0,0.0,0
36,why,ADV,22.785558700561523,27260,la,DET,32.52146530151367,27260
37,people,NOUN,22.607616424560547,27260,gente,NOUN,31.197187423706055,27260
38,are,AUX,25.462221145629883,27260,saber,AUX,33.852806091308594,27260
39,doing,VERB,25.91779136657715,27260,comporta,VERB,37.51263427734375,27260
40,what,PRON,21.318756103515625,27260,se,PRON,31.13357925415039,27260
41,they,PRON,25.896728515625,27260,lo,PRON,31.464685440063477,27260
42,'re,AUX,24.28219223022461,27260,como,SCONJ,35.5111198425293,27260
43,doing,VERB,23.875329971313477,27260,hace,VERB,34.86308288574219,27260
44,.,PUNCT,21.04297637939453,27260,.,PUNCT,31.560184478759766,27260
45,with,ADP,21.321657180786133,30260,En,ADP,32.7726936340332,30260
46,And,CCONJ,19.596614837646484,30260,lo,DET,33.39980697631836,30260
47,personally,ADV,25.031049728393555,30260,personal,ADJ,30.091476440429688,30260
48,am,AUX,21.039819717407227,30260,",",PUNCT,28.523473739624023,30260
49,I,PRON,25.236032485961914,30260,me,PRON,32.16539764404297,30260
50,obsessed,VERB,23.104286193847656,30260,obsesiona,VERB,35.04780578613281,30260
51,0,0,0.0,0,la,DET,33.83948516845703,30260
