,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,ADV,17.903179168701172,12160,Así,ADV,35.34443664550781,12160
1,I,PRON,24.770183563232422,12160,que,SCONJ,30.62803840637207,12160
2,thought,VERB,24.609071731567383,12160,pensé,VERB,32.435726165771484,12160
3,",",PUNCT,21.608755111694336,12160,:,PUNCT,31.330814361572266,12160
4,"""",PUNCT,20.222122192382812,12160,"""",PUNCT,32.052433013916016,12160
5,I,PRON,25.30863380432129,12160,0,0,0.0,0
6,will,VERB,25.933475494384766,12160,Hablaré,VERB,32.70826721191406,12160
7,talk,VERB,24.136859893798828,12160,la,DET,31.243038177490234,12160
8,about,ADP,22.308135986328125,12160,sobre,ADP,32.68271255493164,12160
9,death,NOUN,20.873720169067383,12160,muerte,NOUN,28.50067710876465,12160
10,.,PUNCT,20.491687774658203,12160,.,PUNCT,33.51201248168945,12160
11,"""",PUNCT,21.81547737121582,12160,"""",PUNCT,32.5818977355957,12160
12,be,AUX,24.50258445739746,14160,Parecía,AUX,33.64252853393555,14160
13,the,DET,21.94289779663086,14160,la,DET,33.157264709472656,14160
14,passion,NOUN,19.37624168395996,14160,pasión,NOUN,31.875471115112305,14160
15,to,PART,21.544811248779297,14160,de,ADP,29.371049880981445,14160
16,Seemed,VERB,20.291671752929688,14160,hoy,ADV,31.58027458190918,14160
17,0,0,0.0,0,en,ADP,32.93891525268555,14160
18,today,NOUN,20.53145408630371,14160,día,NOUN,32.2627067565918,14160
19,.,PUNCT,22.282020568847656,14160,.,PUNCT,32.31573486328125,14160
20,Actually,ADV,22.672000885009766,16160,no,ADV,33.14979934692383,16160
21,",",PUNCT,20.21857261657715,16160,Pero,CONJ,33.107337951660156,16160
22,it,PRON,23.972232818603516,16160,0,0,0.0,0
23,'s,AUX,22.825468063354492,16160,es,AUX,33.70929718017578,16160
24,not,PART,22.41132926940918,16160,la,DET,31.332998275756836,16160
25,about,ADP,21.227951049804688,16160,sobre,ADP,33.13484573364258,16160
26,death,NOUN,20.65569305419922,16160,muerte,NOUN,29.86888885498047,16160
27,.,PUNCT,21.833894729614258,16160,.,PUNCT,33.208457946777344,16160
28,It,PRON,22.812305450439453,18160,0,0,0.0,0
29,'s,AUX,23.182851791381836,18160,Es,AUX,33.67932891845703,18160
30,inevitable,ADJ,21.61044692993164,18160,inevitable,ADJ,36.089447021484375,18160
31,",",PUNCT,19.342927932739258,18160,",",PUNCT,32.811561584472656,18160
32,terrible,ADJ,20.56390953063965,18160,terrible,ADJ,32.35761260986328,18160
33,",",PUNCT,22.711519241333008,18160,",",PUNCT,30.36958885192871,18160
34,but,CCONJ,22.238245010375977,18160,pero,CONJ,31.37118148803711,18160
35,really,ADV,22.211366653442383,18160,lo,DET,33.20784378051758,18160
36,what,PRON,21.085681915283203,18160,que,PRON,32.74056625366211,18160
37,I,PRON,26.394033432006836,18160,0,0,0.0,0
38,want,VERB,24.394933700561523,18160,hablar,VERB,35.02495193481445,18160
39,to,PART,23.93910789489746,18160,0,0,0.0,0
40,talk,VERB,26.101823806762695,18160,quiero,VERB,31.14928436279297,18160
41,about,ADP,21.622230529785156,18160,de,ADP,31.097192764282227,18160
42,is,AUX,21.4443416595459,18160,es,AUX,33.63066101074219,18160
43,",",PUNCT,19.731464385986328,18160,...,PUNCT,30.02227020263672,18160
44,I,PRON,24.512313842773438,21160,me,PRON,32.23478317260742,21160
45,'m,AUX,22.6047306060791,21160,...,PUNCT,30.13294219970703,21160
46,just,ADV,27.941444396972656,21160,el,DET,35.868072509765625,21160
47,fascinated,VERB,22.71773338317871,21160,fascina,VERB,33.268131256103516,21160
48,by,ADP,23.827905654907227,21160,al,ADP,34.71476745605469,21160
49,the,DET,23.15729331970215,21160,la,DET,34.01716613769531,21160
50,legacy,NOUN,19.44422721862793,21160,legado,NOUN,33.32742691040039,21160
51,people,NOUN,21.61109161376953,21160,gente,NOUN,32.51736831665039,21160
52,leave,VERB,22.00850486755371,21160,deja,VERB,36.25581359863281,21160
53,when,ADV,21.586639404296875,21160,0,0,0.0,0
54,they,PRON,25.3625431060791,21160,que,PRON,32.16044616699219,21160
55,die,VERB,23.088777542114258,21160,morir,VERB,33.47724151611328,21160
56,.,PUNCT,21.476177215576172,21160,.,PUNCT,32.38732147216797,21160
57,That,DET,19.035017013549805,24160,De,ADP,32.12824630737305,24160
58,'s,AUX,23.77950668334961,24160,es,AUX,32.134788513183594,24160
59,what,PRON,23.263303756713867,24160,eso,PRON,34.47080612182617,24160
60,I,PRON,25.884355545043945,24160,que,PRON,32.66350173950195,24160
61,want,VERB,24.37872314453125,24160,quiero,VERB,31.55350685119629,24160
62,to,PART,24.028606414794922,24160,lo,DET,32.65303421020508,24160
63,talk,VERB,26.12763214111328,24160,hablar,VERB,35.54353713989258,24160
64,about,ADP,21.169483184814453,24160,de,ADP,29.026084899902344,24160
65,.,PUNCT,22.24016571044922,24160,.,PUNCT,33.514801025390625,24160
66,So,ADV,17.088090896606445,26160,0,0,0.0,0
67,Art,PROPN,19.35512924194336,26160,Buchwald,PROPN,34.70637130737305,26160
68,Buchwald,PROPN,22.912456512451172,26160,Art,PROPN,32.76493453979492,26160
69,left,VERB,23.989744186401367,26160,dejó,VERB,34.086158752441406,26160
70,his,DET,25.532913208007812,26160,su,DET,34.97220230102539,26160
71,legacy,NOUN,22.807851791381836,26160,legado,NOUN,31.04587173461914,26160
72,of,ADP,23.489486694335938,26160,de,ADP,28.7789249420166,26160
73,humor,NOUN,19.69371795654297,26160,humor,NOUN,31.153091430664062,26160
74,with,ADP,20.293659210205078,26160,con,ADP,33.5001220703125,26160
75,a,DET,21.430158615112305,26160,un,DET,37.377872467041016,26160
76,video,NOUN,20.186864852905273,26160,vídeo,NOUN,33.45864486694336,26160
77,he,PRON,25.768672943115234,30160,que,PRON,33.26786804199219,30160
78,appeared,VERB,23.382259368896484,30160,apareció,VERB,37.57514190673828,30160
79,soon,ADV,22.006244659423828,30160,poco,ADV,33.41282272338867,30160
80,died,VERB,26.93181037902832,30160,después,ADV,33.66331100463867,30160
81,after,ADP,19.17148208618164,30160,de,ADP,31.10359764099121,30160
82,that,DET,19.23322868347168,30160,su,DET,33.60293197631836,30160
83,",",PUNCT,21.923830032348633,30160,muerte,NOUN,29.526691436767578,30160
84,0,0,0.0,0,y,CONJ,34.076942443847656,30160
85,saying,VERB,19.623979568481445,30160,decía,VERB,33.58856964111328,30160
86,",",PUNCT,20.887683868408203,30160,:,PUNCT,31.996702194213867,30160
87,"""",PUNCT,21.337318420410156,32160,"""",PUNCT,31.887954711914062,32160
88,Hi,INTJ,24.429752349853516,32160,Hola,INTJ,32.357234954833984,32160
89,!,PUNCT,20.486984252929688,32160,¡,PUNCT,32.80294418334961,32160
90,I,PRON,24.345905303955078,32160,Soy,PROPN,29.861557006835938,32160
91,'m,AUX,21.26654052734375,32160,acabo,AUX,31.74836540222168,32160
92,Art,PROPN,20.015344619750977,32160,Art,PROPN,32.37367248535156,32160
93,Buchwald,PROPN,20.342145919799805,32160,Buchwald,PROPN,36.97643280029297,32160
94,",",PUNCT,23.153003692626953,32160,!,PUNCT,30.112834930419922,32160
95,and,CCONJ,18.521581649780273,32160,y,CONJ,32.299827575683594,32160
96,I,PRON,25.394878387451172,32160,de,ADP,32.16697311401367,32160
97,just,ADV,25.52400779724121,32160,0,0,0.0,0
98,died,VERB,24.00629425048828,32160,morir,VERB,33.355648040771484,32160
99,.,PUNCT,20.439762115478516,32160,"""",PUNCT,30.930810928344727,32160
100,"""",PUNCT,20.961063385009766,32160,.,PUNCT,32.55288314819336,32160
101,And,CCONJ,20.676830291748047,36160,Y,CONJ,35.356781005859375,36160
102,Mike,PROPN,20.292600631713867,36160,Mike,PROPN,34.43461990356445,36160
103,",",PUNCT,21.185625076293945,36160,",",PUNCT,29.634477615356445,36160
104,who,PRON,21.464805603027344,36160,a,ADP,30.239259719848633,36160
105,I,PRON,26.904869079589844,36160,quien,PRON,31.082298278808594,36160
106,met,VERB,23.614837646484375,36160,conocí,VERB,33.891578674316406,36160
107,at,ADP,23.602113723754883,36160,en,ADP,34.07708740234375,36160
108,a,DET,22.70501708984375,36160,las,DET,30.938552856445312,36160
109,Galapagos,PROPN,22.97403907775879,36160,Galápagos,PROPN,36.19026565551758,36160
110,",",PUNCT,22.399568557739258,36160,",",PUNCT,29.54038429260254,36160
111,0,0,0.0,0,en,ADP,32.90424346923828,36160
112,which,DET,21.50183868408203,36160,un,DET,36.93939971923828,36160
113,trip,NOUN,19.71880340576172,36160,viaje,NOUN,32.02602767944336,36160
114,I,PRON,25.487686157226562,36160,que,PRON,33.058448791503906,36160
115,won,VERB,24.08274269104004,36160,gané,VERB,33.394779205322266,36160
116,at,ADP,22.501771926879883,36160,en,ADP,34.98368453979492,36160
117,TED,PROPN,22.32916831970215,36160,TED,PROPN,35.41830062866211,36160
118,",",PUNCT,19.983291625976562,36160,",",PUNCT,29.883358001708984,36160
119,is,AUX,22.338050842285156,41160,está,AUX,37.197689056396484,41160
120,leaving,VERB,23.391672134399414,41160,dejando,VERB,34.82414627075195,41160
121,notes,NOUN,21.757205963134766,41160,notas,NOUN,34.20322799682617,41160
122,on,ADP,21.355758666992188,41160,en,ADP,32.349037170410156,41160
123,0,0,0.0,0,el,DET,33.2032585144043,41160
124,cyberspace,NOUN,19.56595230102539,41160,ciberespacio,NOUN,31.776262283325195,41160
125,where,ADV,20.8492374420166,41160,en,ADP,31.4985294342041,41160
126,is,AUX,25.15020751953125,41160,las,DET,34.085941314697266,41160
127,he,PRON,24.159473419189453,41160,que,PRON,34.18633270263672,41160
128,chronicling,VERB,22.406051635742188,41160,relata,VERB,34.34111404418945,41160
129,his,DET,21.890005111694336,45160,su,DET,32.742671966552734,45160
130,journey,NOUN,19.982494354248047,45160,viaje,NOUN,32.233489990234375,45160
131,through,ADP,21.42072868347168,45160,a,ADP,33.86466979980469,45160
132,cancer,NOUN,19.471393585205078,45160,través,NOUN,32.293460845947266,45160
133,0,0,0.0,0,del,ADP,33.815914154052734,45160
134,0,0,0.0,0,cáncer,NOUN,31.30156707763672,45160
135,.,PUNCT,22.364879608154297,45160,.,PUNCT,32.59838104248047,45160
136,And,CCONJ,20.47614288330078,48160,Y,CONJ,33.869564056396484,48160
137,my,DET,22.734294891357422,48160,mi,DET,33.84283447265625,48160
138,father,NOUN,19.868213653564453,48160,padre,NOUN,31.984323501586914,48160
139,left,VERB,23.243318557739258,48160,dejó,VERB,35.00682830810547,48160
140,me,PRON,23.520092010498047,48160,me,PRON,32.82793426513672,48160
141,a,DET,21.576261520385742,48160,un,DET,35.860286712646484,48160
142,legacy,NOUN,21.88179588317871,48160,legado,NOUN,30.43134307861328,48160
143,of,ADP,25.137083053588867,48160,de,ADP,28.855255126953125,48160
144,his,DET,23.600608825683594,48160,su,DET,32.47198486328125,48160
145,handwriting,NOUN,21.071035385131836,48160,letra,NOUN,29.49684715270996,48160
146,through,ADP,20.960601806640625,52160,a,ADP,34.00858688354492,52160
147,letters,NOUN,20.844518661499023,52160,través,NOUN,34.15301513671875,52160
148,and,CCONJ,21.33136749267578,52160,de,ADP,32.87751388549805,52160
149,notebook,NOUN,20.664472579956055,52160,cartas,NOUN,33.45429992675781,52160
150,0,0,0.0,0,y,CONJ,33.0723876953125,52160
151,a,DET,21.64456558227539,52160,un,DET,35.56129455566406,52160
152,0,0,0.0,0,cuaderno,NOUN,31.425153732299805,52160
153,.,PUNCT,21.32806968688965,52160,.,PUNCT,32.952552795410156,52160
154,In,ADP,20.739459991455078,54160,En,ADP,33.429901123046875,54160
155,the,DET,21.437061309814453,54160,sus,DET,29.322216033935547,54160
156,last,ADJ,19.691713333129883,54160,últimos,ADJ,32.36948776245117,54160
157,two,NUM,23.43764305114746,54160,dos,NUM,36.61259078979492,54160
158,years,NOUN,23.930265426635742,54160,años,NOUN,36.488853454589844,54160
159,of,ADP,23.301158905029297,54160,de,ADP,32.02640151977539,54160
160,his,DET,24.517824172973633,54160,0,0,0.0,0
161,life,NOUN,19.0896053314209,54160,vida,NOUN,31.33171844482422,54160
162,",",PUNCT,22.606975555419922,54160,",",PUNCT,31.83401870727539,54160
163,when,ADV,22.372833251953125,54160,cuando,SCONJ,34.834197998046875,54160
164,he,PRON,25.053577423095703,54160,enfermo,PROPN,30.764368057250977,54160
165,was,AUX,25.05335235595703,54160,estaba,AUX,33.509552001953125,54160
166,sick,ADJ,20.299039840698242,54160,0,0,0.0,0
167,",",PUNCT,18.328832626342773,54160,",",PUNCT,30.200183868408203,54160
168,he,PRON,24.541545867919922,58160,0,0,0.0,0
169,filled,VERB,24.44330596923828,58160,llenó,VERB,34.29389190673828,58160
170,a,DET,24.36163902282715,58160,un,DET,35.32257843017578,58160
171,notebook,NOUN,20.373252868652344,58160,cuaderno,NOUN,30.12543296813965,58160
172,with,ADP,21.668447494506836,58160,con,ADP,31.938596725463867,58160
173,his,DET,22.00665283203125,58160,sus,DET,32.827056884765625,58160
174,thoughts,NOUN,20.778839111328125,58160,pensamientos,NOUN,34.818416595458984,58160
175,about,ADP,22.40241241455078,58160,sobre,ADP,34.11174011230469,58160
176,me,PRON,26.047903060913086,58160,mí,PRON,33.0836067199707,58160
177,.,PUNCT,20.05742645263672,58160,.,PUNCT,32.807430267333984,58160
178,He,PRON,23.10865592956543,62160,mis,DET,34.50564956665039,62160
179,wrote,VERB,23.198762893676758,62160,Escribió,VERB,33.73906707763672,62160
180,about,ADP,21.306991577148438,62160,sobre,ADP,33.79209899902344,62160
181,my,DET,23.019533157348633,62160,mis,DET,33.64774703979492,62160
182,strengths,NOUN,19.645355224609375,62160,fortalezas,NOUN,34.21406936645508,62160
183,",",PUNCT,23.023696899414062,62160,",",PUNCT,30.00426483154297,62160
184,weaknesses,NOUN,22.51701545715332,62160,debilidades,NOUN,34.885536193847656,62160
185,",",PUNCT,20.32990074157715,62160,",",PUNCT,30.975439071655273,62160
186,and,CCONJ,20.099971771240234,65160,e,CONJ,34.465213775634766,65160
187,0,0,0.0,0,incluyó,VERB,35.820640563964844,65160
188,gentle,ADJ,20.914758682250977,65160,amables,ADJ,33.04263687133789,65160
189,suggestions,NOUN,22.056379318237305,65160,sugerencias,NOUN,31.890018463134766,65160
190,for,ADP,23.38088035583496,65160,para,ADP,34.678993225097656,65160
191,0,0,0.0,0,mi,DET,33.90096664428711,65160
192,improvement,NOUN,18.480226516723633,65160,mejora,NOUN,30.35011100769043,65160
193,",",PUNCT,20.438472747802734,65160,",",PUNCT,29.594636917114258,65160
194,quoting,VERB,23.31894302368164,69160,citando,VERB,32.51228332519531,69160
195,specific,ADJ,22.16864776611328,69160,específicos,ADJ,35.15862274169922,69160
196,incidents,NOUN,20.59026336669922,69160,hechos,NOUN,35.19857406616211,69160
197,",",PUNCT,21.794313430786133,69160,",",PUNCT,30.280494689941406,69160
198,and,CCONJ,20.151769638061523,69160,0,0,0.0,0
199,held,VERB,22.08176612854004,69160,sirviendo,VERB,35.19199752807617,69160
200,a,DET,22.280221939086914,69160,de,ADP,32.14449691772461,69160
201,mirror,NOUN,21.549476623535156,69160,espejo,NOUN,29.473228454589844,69160
202,to,ADP,22.462158203125,69160,a,ADP,33.40945053100586,69160
203,my,DET,23.470619201660156,69160,mi,DET,33.7911376953125,69160
204,life,NOUN,19.542203903198242,69160,vida,NOUN,30.69951629638672,69160
205,.,PUNCT,22.055694580078125,69160,.,PUNCT,33.29362487792969,69160
206,After,ADP,22.138002395629883,75160,Tras,ADP,33.369754791259766,75160
207,he,PRON,25.078073501586914,75160,me,PRON,31.067489624023438,75160
208,died,VERB,27.02545738220215,75160,muerte,NOUN,30.370655059814453,75160
209,",",PUNCT,20.953811645507812,75160,",",PUNCT,29.242469787597656,75160
210,I,PRON,24.422100067138672,75160,nadie,PRON,33.331947326660156,75160
211,realized,VERB,26.008054733276367,75160,dí,PRON,29.620338439941406,75160
212,that,SCONJ,19.37224006652832,75160,que,SCONJ,33.90929412841797,75160
213,no,DET,19.778419494628906,75160,su,DET,32.63165283203125,75160
214,one,NOUN,19.160810470581055,75160,cuenta,NOUN,34.514678955078125,75160
215,writes,VERB,21.896284103393555,75160,escribe,VERB,34.56940460205078,75160
216,to,ADP,20.671342849731445,75160,de,ADP,29.95691680908203,75160
217,me,PRON,26.61692237854004,75160,me,PRON,32.153099060058594,75160
218,anymore,ADV,21.869712829589844,75160,ya,ADV,33.32149887084961,75160
219,.,PUNCT,23.156808853149414,75160,.,PUNCT,32.15770721435547,75160
220,a,DET,23.714942932128906,80160,La,DET,34.28611373901367,80160
221,Handwriting,PROPN,24.31256866455078,80160,escritura,NOUN,32.26953887939453,80160
222,disappearing,ADJ,20.34171485900879,80160,a,ADP,33.683624267578125,80160
223,art,NOUN,21.04998016357422,80160,mano,NOUN,29.241886138916016,80160
224,is,AUX,22.927785873413086,80160,es,AUX,33.25216293334961,80160
225,0,0,0.0,0,un,DET,37.445350646972656,80160
226,0,0,0.0,0,arte,NOUN,34.18791198730469,80160
227,0,0,0.0,0,que,PRON,33.90849685668945,80160
228,0,0,0.0,0,está,AUX,36.968109130859375,80160
229,0,0,0.0,0,desapareciendo,VERB,35.71953201293945,80160
230,.,PUNCT,21.100934982299805,80160,.,PUNCT,34.017295837402344,80160
231,I,PRON,24.60772132873535,83160,Estoy,VERB,32.96248245239258,83160
232,'m,AUX,22.94075584411621,83160,a,ADP,32.16688919067383,83160
233,email,NOUN,17.7764949798584,83160,favor,NOUN,30.815649032592773,83160
234,for,ADP,19.941200256347656,83160,del,ADP,31.855426788330078,83160
235,all,ADV,20.211408615112305,83160,e,CONJ,30.58029556274414,83160
236,and,CCONJ,23.132282257080078,83160,-,PUNCT,32.80290222167969,83160
237,0,0,0.0,0,mail,PROPN,30.33607292175293,83160
238,",",PUNCT,21.381284713745117,83160,",",PUNCT,30.970809936523438,83160
239,while,SCONJ,22.186758041381836,83160,y,CONJ,32.15001678466797,83160
240,0,0,0.0,0,de,ADP,31.957441329956055,83160
241,typing,VERB,22.25351333618164,83160,pensar,VERB,36.38026809692383,83160
242,0,0,0.0,0,al,ADP,33.84695816040039,83160
243,thinking,VERB,20.096603393554688,83160,escribir,VERB,34.3443489074707,83160
244,0,0,0.0,0,en,ADP,33.78280258178711,83160
245,0,0,0.0,0,el,DET,34.236000061035156,83160
246,0,0,0.0,0,teclado,NOUN,31.262239456176758,83160
247,0,0,0.0,0,",",PUNCT,29.284732818603516,83160
248,but,CCONJ,20.509136199951172,86160,pero,CONJ,33.798091888427734,86160
249,why,ADV,21.43235969543457,86160,¿,PUNCT,28.398998260498047,86160
250,up,ADP,22.7605037689209,86160,por,ADP,34.13264465332031,86160
251,0,0,0.0,0,qué,PRON,32.420204162597656,86160
252,give,VERB,20.533771514892578,86160,sustituir,VERB,36.90076446533203,86160
253,0,0,0.0,0,los,DET,36.565338134765625,86160
254,old,ADJ,21.77861976623535,86160,viejos,ADJ,37.44232940673828,86160
255,habits,NOUN,21.631059646606445,86160,hábitos,NOUN,35.028656005859375,86160
256,for,ADP,22.263059616088867,86160,por,ADP,32.27338409423828,86160
257,0,0,0.0,0,los,DET,34.788883209228516,86160
258,new,ADJ,17.95267677307129,86160,nuevos,ADJ,33.991310119628906,86160
259,?,PUNCT,20.85399627685547,86160,?,PUNCT,32.05753707885742,86160
260,Why,ADV,20.938335418701172,89160,no,ADV,33.16876983642578,89160
261,ca,VERB,23.072345733642578,89160,escribir,VERB,37.195037841796875,89160
262,n't,PART,25.72564125061035,89160,Por,ADP,33.07872772216797,89160
263,we,PRON,24.83940315246582,89160,qué,PRON,34.02454376220703,89160
264,have,AUX,22.36711311340332,89160,¿,PUNCT,30.703475952148438,89160
265,letter,NOUN,20.218746185302734,89160,0,0,0.0,0
266,writing,NOUN,21.665315628051758,89160,mano,NOUN,29.61927032470703,89160
267,and,CCONJ,22.4249210357666,89160,y,CONJ,34.09618377685547,89160
268,email,NOUN,17.409488677978516,89160,enviar,VERB,34.06037902832031,89160
269,exchange,NOUN,16.472082138061523,89160,e,CONJ,32.50991439819336,89160
270,in,ADP,20.565567016601562,89160,a,ADP,33.759735107421875,89160
271,our,DET,24.13197898864746,89160,-,PUNCT,32.81430435180664,89160
272,lives,NOUN,20.520462036132812,89160,mails,ADJ,32.619850158691406,89160
