,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,Los,DET,34.140525817871094,18330
1,Trees,NOUN,22.791231155395508,18330,árboles,NOUN,35.35747146606445,18330
2,are,AUX,26.105566024780273,18330,son,AUX,36.26079559326172,18330
3,wonderful,ADJ,19.5355224609375,18330,maravillosas,ADJ,33.87715530395508,18330
4,arenas,NOUN,21.047487258911133,18330,zonas,NOUN,35.14393997192383,18330
5,for,ADP,22.159847259521484,18330,de,ADP,32.727378845214844,18330
6,discovery,NOUN,16.99637794494629,18330,descubrimiento,NOUN,30.780542373657227,18330
7,because,SCONJ,20.548717498779297,22330,a,ADP,34.3201789855957,22330
8,0,0,0.0,0,causa,NOUN,32.055381774902344,22330
9,of,ADP,22.41123390197754,22330,de,ADP,30.28278350830078,22330
10,their,DET,23.44055938720703,22330,su,DET,33.52626419067383,22330
11,tall,ADJ,20.62713050842285,22330,alta,ADJ,33.342796325683594,22330
12,stature,NOUN,17.669353485107422,22330,estatura,NOUN,31.686418533325195,22330
13,",",PUNCT,21.565387725830078,22330,",",PUNCT,29.81063461303711,22330
14,their,DET,21.08452796936035,22330,su,DET,33.65740203857422,22330
15,structure,NOUN,18.27256202697754,22330,estructura,NOUN,31.987014770507812,22330
16,complex,ADJ,19.46543312072754,22330,compleja,ADJ,33.77803421020508,22330
17,",",PUNCT,21.077600479125977,22330,",",PUNCT,30.673906326293945,22330
18,the,DET,19.75802993774414,26330,la,DET,34.144554138183594,26330
19,biodiversity,NOUN,18.58414077758789,26330,biodiversidad,NOUN,34.18083953857422,26330
20,they,PRON,21.38996124267578,26330,que,PRON,33.56393051147461,26330
21,foster,VERB,21.379762649536133,26330,fomentan,VERB,36.59977340698242,26330
22,and,CCONJ,23.024093627929688,26330,y,CONJ,32.884674072265625,26330
23,their,DET,22.191518783569336,26330,su,DET,34.87793731689453,26330
24,beauty,NOUN,21.840951919555664,26330,belleza,NOUN,31.977285385131836,26330
25,quiet,ADJ,20.559602737426758,26330,sutil,ADJ,33.79198455810547,26330
26,.,PUNCT,20.9708194732666,26330,.,PUNCT,33.075286865234375,26330
27,I,PRON,23.66384506225586,30330,Solía,AUX,34.08855056762695,30330
28,used,VERB,22.423595428466797,30330,subir,VERB,35.46575164794922,30330
29,to,PART,23.479568481445312,30330,a,ADP,34.1295166015625,30330
30,climb,VERB,24.5169734954834,30330,los,DET,35.97825241088867,30330
31,trees,NOUN,21.06165885925293,30330,árboles,NOUN,34.310569763183594,30330
32,for,ADP,21.686670303344727,30330,para,ADP,34.46174240112305,30330
33,fun,NOUN,20.09596061706543,30330,divertirme,NOUN,30.9851016998291,30330
34,all,DET,20.96099281311035,30330,todo,DET,34.9021110534668,30330
35,the,DET,21.018396377563477,30330,el,DET,34.757076263427734,30330
36,time,NOUN,17.32293701171875,30330,tiempo,NOUN,32.49454116821289,30330
37,and,CCONJ,20.307466506958008,32330,y,CONJ,34.08831024169922,32330
38,now,ADV,22.00115394592285,32330,ahora,ADV,32.12521743774414,32330
39,",",PUNCT,21.00380516052246,32330,",",PUNCT,31.126541137695312,32330
40,as,SCONJ,21.527212142944336,32330,como,SCONJ,34.98130416870117,32330
41,grown,NOUN,21.46774673461914,32330,adulto,NOUN,29.558990478515625,32330
42,-,PUNCT,23.524490356445312,32330,",",PUNCT,31.08165740966797,32330
43,have,AUX,22.545406341552734,32330,he,AUX,36.484642028808594,32330
44,made,VERB,23.60528564453125,32330,dedicado,VERB,34.950439453125,32330
45,a,DET,22.993131637573242,32330,mi,DET,34.179718017578125,32330
46,up,NOUN,19.124698638916016,32330,vida,NOUN,31.786537170410156,32330
47,I,PRON,24.42507553100586,32330,profesional,ADJ,30.27507781982422,32330
48,",",PUNCT,22.372650146484375,32330,al,ADP,35.24594497680664,32330
49,profession,NOUN,22.74534797668457,32330,estudio,NOUN,29.43048667907715,32330
50,understanding,NOUN,21.19826889038086,32330,de,ADP,31.18894386291504,32330
51,my,DET,22.94472312927246,32330,los,DET,35.119197845458984,32330
52,trees,NOUN,21.033641815185547,32330,árboles,NOUN,34.49897384643555,32330
53,and,CCONJ,22.089473724365234,37330,y,CONJ,30.98699951171875,37330
54,through,ADP,21.631729125976562,37330,de,ADP,31.221153259277344,37330
55,the,DET,22.128267288208008,37330,los,DET,35.410709381103516,37330
56,forests,NOUN,19.7811222076416,37330,bosques,NOUN,33.84408950805664,37330
57,",",PUNCT,20.349870681762695,37330,",",PUNCT,30.748579025268555,37330
58,of,ADP,21.67460060119629,37330,por,ADP,34.002628326416016,37330
59,medium,NOUN,18.736902236938477,37330,medio,NOUN,31.648250579833984,37330
60,0,0,0.0,0,de,ADP,30.13089370727539,37330
61,0,0,0.0,0,la,DET,32.108089447021484,37330
62,science,NOUN,18.402650833129883,37330,ciencia,NOUN,31.887662887573242,37330
63,.,PUNCT,22.914661407470703,37330,.,PUNCT,33.84975051879883,37330
64,The,DET,19.356435775756836,39330,El,DET,35.249000549316406,39330
65,part,NOUN,21.70269012451172,39330,aspecto,NOUN,31.869274139404297,39330
66,most,ADV,22.739896774291992,39330,más,ADV,37.31246566772461,39330
67,mysterious,ADJ,22.30556869506836,39330,misterioso,ADJ,36.26287841796875,39330
68,of,ADP,23.144960403442383,39330,de,ADP,30.321304321289062,39330
69,0,0,0.0,0,los,DET,35.23542785644531,39330
70,forests,NOUN,20.617931365966797,39330,bosques,NOUN,34.11187744140625,39330
71,is,AUX,23.45930290222168,39330,es,AUX,34.887596130371094,39330
72,the,DET,22.791152954101562,39330,el,DET,33.451316833496094,39330
73,tree,NOUN,17.48915672302246,39330,dosel,NOUN,32.35930252075195,39330
74,upper,ADJ,18.87990951538086,39330,forestal,ADJ,32.5510368347168,39330
75,0,0,0.0,0,superior,ADJ,31.405689239501953,39330
76,0,0,0.0,0,de,ADP,31.426944732666016,39330
77,0,0,0.0,0,los,DET,34.74641036987305,39330
78,canopy,NOUN,16.296188354492188,39330,árboles,NOUN,34.80839538574219,39330
79,.,PUNCT,21.17148780822754,39330,.,PUNCT,32.38720703125,39330
80,And,CCONJ,21.452749252319336,43330,Y,CONJ,32.62546920776367,43330
81,Dr.,PROPN,23.456130981445312,43330,el,DET,35.566307067871094,43330
82,0,0,0.0,0,doctor,NOUN,29.722545623779297,43330
83,Erwin,PROPN,21.94001579284668,43330,Terry,PROPN,36.12117004394531,43330
84,Terry,PROPN,22.499881744384766,43330,Erwin,PROPN,35.70517349243164,43330
