,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,want,VERB,23.99570083618164,12537,Quiero,VERB,33.31624221801758,12537
1,to,PART,23.50957679748535,12537,contarles,ADJ,34.016502380371094,12537
2,I,PRON,25.039289474487305,12537,cómo,PRON,31.320756912231445,14159
3,tell,VERB,25.528215408325195,12537,20,NUM,33.41268539428711,14159
4,"20,000",NUM,22.74888038635254,14159,000,NUM,34.559425354003906,14159
5,you,PRON,22.190881729125977,12537,jóvenes,NOUN,34.88313674926758,14159
6,young,ADJ,22.457128524780273,14159,extraordinarios,ADJ,34.77572250366211,14159
7,remarkable,ADJ,22.33034324645996,14159,de,ADP,30.141050338745117,18850
8,how,ADV,21.498126983642578,14159,más,ADV,34.69595718383789,18850
9,from,ADP,19.945144653320312,18850,de,ADP,30.994903564453125,18850
10,100,NUM,24.35877799987793,18850,100,NUM,36.45144271850586,18850
11,people,NOUN,21.137712478637695,14159,países,NOUN,35.4313850402832,18850
12,ended,VERB,21.364591598510742,20706,terminaron,VERB,33.62564468383789,20706
13,over,ADP,20.101171493530273,18850,en,ADP,32.0344352722168,20706
14,Cuba,PROPN,22.668230056762695,20706,Cuba,PROPN,36.275936126708984,20706
15,up,ADP,18.588266372680664,20706,y,CONJ,33.112911224365234,22518
16,are,AUX,22.286596298217773,22518,están,AUX,35.26667022705078,22518
17,transforming,VERB,20.87265968322754,22518,transformando,VERB,35.50167465209961,22518
18,and,CCONJ,21.155969619750977,22518,la,DET,32.09174346923828,22518
19,countries,NOUN,20.446510314941406,18850,salud,NOUN,33.27169418334961,22518
20,in,ADP,21.22930908203125,20706,en,ADP,33.05304718017578,22518
21,health,NOUN,19.020732879638672,22518,sus,DET,31.7382869720459,22518
22,communities,NOUN,22.87582778930664,22518,comunidades,NOUN,34.779178619384766,22518
23,.,PUNCT,20.519489288330078,22518,.,PUNCT,33.75712585449219,22518
24,their,DET,26.121522903442383,22518,El,DET,30.87793731689453,26501
25,Ninety,NUM,21.113924026489258,26321,90,NUM,32.67491912841797,26501
26,percent,NOUN,20.633548736572266,26321,%,SYM,32.85919189453125,26501
27,in,ADP,22.591909408569336,22518,de,ADP,32.0968132019043,26501
28,them,PRON,23.357051849365234,26321,ellos,PRON,33.24892044067383,26501
29,never,ADV,24.700517654418945,26321,nunca,ADV,36.5536994934082,26501
30,have,AUX,21.189697265625,28401,habrían,AUX,32.461544036865234,26501
31,would,VERB,25.334747314453125,26321,salido,ADJ,34.067562103271484,28401
32,of,ADP,24.22035789489746,26321,de,ADP,31.528047561645508,28401
33,home,ADV,21.067569732666016,28401,casa,NOUN,31.466421127319336,28401
34,if,SCONJ,22.86098861694336,29973,si,SCONJ,34.93326950073242,29973
35,at,ADV,20.607389450073242,28401,no,ADV,34.178836822509766,29973
36,were,AUX,26.330644607543945,29973,fuera,AUX,35.81829833984375,29973
37,all,ADV,20.96009063720703,28401,por,ADP,33.38328170776367,29973
38,a,DET,21.965341567993164,29973,las,DET,32.62761688232422,29973
39,it,PRON,23.855894088745117,29973,becas,NOUN,35.10752868652344,29973
40,n't,PART,23.836055755615234,29973,para,ADP,36.01787567138672,29973
41,left,VERB,20.324806213378906,28401,estudiar,VERB,36.28725051879883,29973
42,scholarship,NOUN,20.734371185302734,29973,medicina,NOUN,32.295223236083984,29973
43,for,ADP,20.742095947265625,29973,en,ADP,32.9190788269043,29973
44,Cuba,PROPN,22.4789981842041,29973,Cuba,PROPN,36.762577056884766,29973
45,to,PART,24.574451446533203,29973,y,CONJ,32.74106979370117,33317
46,a,DET,21.702579498291016,33317,el,DET,33.28749465942383,33317
47,medicine,NOUN,19.710010528564453,29973,compromiso,NOUN,31.396516799926758,33317
48,in,ADP,21.93271255493164,29973,de,ADP,31.289392471313477,33317
49,study,VERB,24.79237937927246,29973,volver,VERB,34.729652404785156,33317
50,and,CCONJ,18.843780517578125,33317,a,ADP,32.38957977294922,35128
51,commitment,NOUN,19.944639205932617,33317,lugares,NOUN,33.82698059082031,35128
52,to,PART,21.88028335571289,33317,como,SCONJ,35.816165924072266,35128
53,back,ADV,21.181468963623047,33317,aquellos,PRON,31.706958770751953,35128
54,to,ADP,22.598567962646484,35128,de,ADP,29.90081024169922,35128
55,they,PRON,24.077138900756836,35128,donde,PRON,33.53515625,35128
56,go,VERB,22.759521484375,33317,venían,VERB,35.209571838378906,35128
57,like,SCONJ,19.338884353637695,35128,:,PUNCT,30.889240264892578,35128
58,places,NOUN,21.473421096801758,35128,granjas,NOUN,34.69191360473633,38756
59,the,DET,22.373733520507812,35128,remotas,ADJ,33.589717864990234,38756
60,'d,VERB,22.754470825195312,35128,",",PUNCT,31.065641403198242,38756
61,ones,NOUN,19.136762619018555,35128,montañas,NOUN,33.80173873901367,38756
62,come,VERB,23.053932189941406,35128,y,CONJ,33.91703796386719,38756
63,farmlands,NOUN,21.207429885864258,38756,barrios,NOUN,36.09427261352539,38756
64,,PROPN,20.29009246826172,35128,pobres,ADJ,34.9592399597168,38756
65,from,ADP,22.028919219970703,35128,para,ADP,35.846614837646484,42203
66,remote,PROPN,19.052019119262695,38756,ser,AUX,37.97093963623047,42203
