,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,The,DET,20.5949764251709,16235,El,DET,33.936214447021484,16235
1,Kraken,PROPN,20.117013931274414,16235,Kraken,PROPN,36.61188888549805,16235
2,",",PUNCT,23.135250091552734,16235,era,AUX,32.86122512817383,16235
3,a,DET,22.967117309570312,16235,una,DET,32.743927001953125,16235
4,beast,NOUN,21.3450984954834,16235,bestia,NOUN,32.69294357299805,16235
5,so,ADV,19.414825439453125,16235,tan,ADV,35.57811737060547,16235
6,terrifying,ADJ,20.509082794189453,16235,aterrorizante,ADV,37.147735595703125,16235
7,it,PRON,24.433462142944336,19271,se,PRON,32.98992156982422,19271
8,was,AUX,23.206998825073242,19271,que,SCONJ,33.839454650878906,19271
9,said,VERB,20.24605941772461,19271,decía,VERB,35.87351989746094,19271
10,to,PART,22.644559860229492,19271,que,SCONJ,32.69864273071289,19271
11,devour,NOUN,21.885425567626953,19271,devoraba,VERB,32.58756637573242,19271
12,men,NOUN,20.111661911010742,19271,humanos,NOUN,31.948213577270508,19271
13,and,CCONJ,25.091012954711914,19271,0,0,0.0,0
14,ships,NOUN,20.63444709777832,19271,barcos,NOUN,35.52185821533203,19271
15,and,CCONJ,23.069337844848633,19271,y,CONJ,34.4974250793457,19271
16,whales,NOUN,19.062570571899414,19271,ballenas,NOUN,33.8868408203125,19271
17,",",PUNCT,21.434904098510742,19271,",",PUNCT,31.00848960876465,19271
18,and,CCONJ,19.42087745666504,22368,y,CONJ,35.53822708129883,22368
19,0,0,0.0,0,que,SCONJ,34.62887191772461,22368
20,could,VERB,25.91950225830078,22368,era,AUX,33.762168884277344,22368
21,so,ADV,21.936277389526367,22368,tan,ADV,36.62251281738281,22368
22,enormous,ADJ,20.966064453125,22368,grande,ADJ,36.015899658203125,22368
23,it,PRON,22.269975662231445,22368,que,PRON,33.94767379760742,22368
24,be,AUX,26.467803955078125,22368,podía,AUX,33.03886795043945,22368
25,mistaken,VERB,20.341758728027344,22368,confundirse,PROPN,32.3337287902832,22368
26,for,ADP,22.28017234802246,22368,con,ADP,33.329872131347656,22368
27,an,DET,22.940256118774414,22368,una,DET,34.96061325073242,22368
28,island,NOUN,22.614748001098633,22368,isla,NOUN,32.85374450683594,22368
29,.,PUNCT,21.72784996032715,22368,.,PUNCT,33.457157135009766,22368
30,In,ADP,20.907468795776367,26295,Al,ADP,34.36322784423828,26295
31,assessing,VERB,26.289138793945312,26295,evaluar,VERB,35.277503967285156,26295
32,the,DET,21.447132110595703,26295,los,DET,35.52600860595703,26295
33,merits,NOUN,19.4538516998291,26295,méritos,NOUN,35.64399337768555,26295
34,of,ADP,25.387554168701172,26295,de,ADP,31.907974243164062,26295
35,such,ADJ,21.06172752380371,26295,tales,DET,35.049407958984375,26295
36,tales,NOUN,21.507122039794922,26295,cuentos,NOUN,34.089683532714844,26295
37,",",PUNCT,20.88166046142578,26295,",",PUNCT,30.41937255859375,26295
38,probably,ADV,27.03516960144043,28551,probablemente,ADV,34.2364387512207,28551
39,'s,AUX,21.944665908813477,28551,sea,AUX,37.8022346496582,28551
40,wise,ADJ,21.88390350341797,28551,sabio,ADJ,34.28475570678711,28551
41,keep,VERB,24.339130401611328,28551,tener,VERB,37.33051300048828,28551
42,in,ADP,22.172245025634766,28551,en,ADP,33.388389587402344,28551
43,mind,NOUN,19.80916404724121,28551,mente,NOUN,30.54339027404785,28551
44,that,SCONJ,21.031818389892578,28551,que,SCONJ,34.804656982421875,28551
45,to,PART,24.1983585357666,28551,lo,DET,32.88371276855469,28551
46,it,PRON,23.222057342529297,28551,que,PRON,31.889841079711914,28551
47,saw,VERB,21.107624053955078,28551,vieron,VERB,37.26741409301758,28551
48,'s,PART,20.195796966552734,28551,los,DET,36.36510467529297,28551
49,old,ADJ,19.537412643432617,28551,viejos,ADJ,36.253662109375,28551
50,sailor,NOUN,19.007844924926758,28551,marinos,NOUN,35.853660583496094,28551
51,0,0,0.0,0,",",PUNCT,31.13529396057129,28551
52,that,SCONJ,18.705669403076172,31436,que,SCONJ,32.83163833618164,31436
53,the,DET,21.66592025756836,31436,las,DET,33.615753173828125,31436
54,difference,NOUN,19.42036247253418,31436,historias,NOUN,34.630916595458984,31436
55,between,ADP,22.60407829284668,31436,de,ADP,32.27157211303711,31436
56,fairytale,NOUN,18.853254318237305,31436,mar,NOUN,33.46467971801758,31436
57,only,ADJ,20.037567138671875,31436,solamente,ADV,32.158573150634766,31436
58,a,DET,23.269287109375,31436,se,PRON,33.6501579284668,31436
59,and,CCONJ,22.669347763061523,31436,diferenciaban,VERB,35.720367431640625,31436
60,0,0,0.0,0,de,ADP,31.322750091552734,31436
61,a,DET,19.869281768798828,31436,los,DET,35.953861236572266,31436
