,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.77752685546875,12920,Nací,PROPN,32.40087127685547,12920
1,was,AUX,23.762718200683594,12920,y,CONJ,34.98781204223633,12920
2,born,VERB,23.218442916870117,12920,crecí,VERB,34.641197204589844,12920
3,and,CCONJ,22.398691177368164,12920,0,0,0.0,0
4,raised,VERB,21.625593185424805,12920,0,0,0.0,0
5,in,ADP,20.57709312438965,12920,en,ADP,31.836698532104492,12920
6,Sierra,PROPN,21.215662002563477,12920,Leona,PROPN,36.362186431884766,12920
7,Leone,PROPN,20.65800666809082,12920,Sierra,PROPN,36.27906799316406,12920
8,",",PUNCT,20.551992416381836,12920,",",PUNCT,30.286806106567383,12920
9,a,DET,21.358861923217773,17126,un,DET,34.51898193359375,17126
10,small,ADJ,19.219934463500977,17126,pequeño,ADJ,35.39517593383789,17126
11,and,CCONJ,22.17369270324707,17126,y,CONJ,31.518720626831055,17126
12,very,ADV,26.10898208618164,17126,muy,ADV,36.63209533691406,17126
13,beautiful,ADJ,20.090621948242188,17126,hermoso,ADJ,34.09178924560547,17126
14,country,NOUN,18.74404525756836,17126,país,NOUN,29.991226196289062,17126
15,in,ADP,19.416545867919922,19371,de,ADP,29.889921188354492,17126
16,West,PROPN,22.389883041381836,19371,África,PROPN,34.6981086730957,17126
17,Africa,PROPN,23.037988662719727,19371,occidental,ADJ,32.52684783935547,17126
18,",",PUNCT,20.90069007873535,19371,.,PUNCT,32.39533996582031,17126
19,a,DET,21.763450622558594,21076,Un,DET,33.27278137207031,21076
20,country,NOUN,19.769590377807617,21076,país,NOUN,30.578523635864258,21076
21,rich,ADJ,21.590885162353516,21076,rico,ADJ,33.75958251953125,21076
22,both,DET,19.617963790893555,21076,tanto,ADV,35.712406158447266,21076
23,in,ADP,21.064495086669922,21076,en,ADP,33.285396575927734,21076
24,resources,NOUN,21.871124267578125,21076,recursos,NOUN,35.49216079711914,21076
25,physical,ADJ,21.043336868286133,21076,materiales,ADJ,34.450836181640625,21076
26,and,CCONJ,20.58287239074707,23980,como,SCONJ,35.32551956176758,21076
27,0,0,0.0,0,en,ADP,33.36768341064453,21076
28,talent,NOUN,18.42937469482422,23980,talento,NOUN,33.09575653076172,21076
29,creative,ADJ,18.266822814941406,23980,creativo,ADJ,35.11627197265625,21076
30,.,PUNCT,21.795263290405273,23980,.,PUNCT,32.816673278808594,21076
31,However,ADV,20.63644027709961,26312,tristemente,ADV,36.46469497680664,26242
32,",",PUNCT,21.780574798583984,26312,",",PUNCT,29.597145080566406,26242
33,Sierra,PROPN,21.795684814453125,26312,Sierra,PROPN,35.38871383666992,26242
34,Leone,PROPN,22.199203491210938,26312,Leona,PROPN,34.932342529296875,26242
35,is,AUX,23.556772232055664,26312,es,AUX,34.60501480102539,26242
36,infamous,ADJ,22.343481063842773,26312,conocida,ADJ,33.71799087524414,26242
37,for,ADP,20.313623428344727,28274,Sin,ADP,34.10871887207031,26242
38,a,DET,23.582277297973633,28274,0,0,0.0,0
39,decade,NOUN,18.153324127197266,28274,embargo,NOUN,32.13764572143555,26242
40,-,PUNCT,17.97280502319336,28274,0,0,0.0,0
41,long,ADJ,20.40656280517578,28274,0,0,0.0,0
42,rebel,NOUN,18.841516494750977,28274,0,0,0.0,0
43,war,NOUN,18.497276306152344,28274,0,0,0.0,0
44,in,ADP,17.890914916992188,28274,0,0,0.0,0
45,the,DET,20.67096519470215,28274,0,0,0.0,0
46,',NOUN,17.95794677734375,28274,0,0,0.0,0
47,90s,NOUN,18.913654327392578,28274,0,0,0.0,0
48,when,ADV,22.22219467163086,30688,por,ADP,34.832855224609375,29024
49,were,AUX,24.77065658569336,30688,la,DET,33.686763763427734,29024
50,villages,NOUN,21.150482177734375,30688,guerra,NOUN,33.23270034790039,29024
51,entire,ADJ,19.962026596069336,30688,insurgente,ADJ,31.669090270996094,29024
52,down,ADP,21.349899291992188,30688,de,ADP,31.86925506591797,29024
53,burnt,VERB,22.382442474365234,30688,10,NUM,34.25501251220703,29024
54,0,0,0.0,0,años,NOUN,34.7180290222168,29024
55,.,PUNCT,21.621299743652344,30688,",",PUNCT,31.24350929260254,29024
56,0,0,0.0,0,de,ADP,31.47483253479004,29024
57,0,0,0.0,0,los,DET,33.04883575439453,29024
58,0,0,0.0,0,90,NOUN,34.942657470703125,29024
59,0,0,0.0,0,",",PUNCT,32.50830841064453,29024
60,0,0,0.0,0,en,ADP,34.4892463684082,31868
61,An,DET,21.852380752563477,33778,la,DET,34.109039306640625,31868
62,"8,000",NUM,21.480810165405273,33778,que,PRON,34.30998992919922,31868
63,estimated,ADJ,22.296606063842773,33778,poblados,ADJ,34.29788589477539,31868
64,men,NOUN,20.8929386138916,33778,enteros,NOUN,32.82161331176758,31868
65,women,NOUN,20.871442794799805,33778,fueron,AUX,34.70829391479492,31868
66,and,CCONJ,24.3250789642334,33778,reducidos,VERB,34.48283386230469,31868
67,0,0,0.0,0,a,ADP,33.218936920166016,31868
68,children,NOUN,19.67624282836914,33778,cenizas,NOUN,33.259422302246094,31868
69,",",PUNCT,23.532400131225586,33778,.,PUNCT,33.14503860473633,31868
70,had,AUX,20.94576072692871,37990,En,ADP,32.495540618896484,34708
71,their,DET,24.387033462524414,37990,este,DET,37.659568786621094,34708
72,arms,NOUN,23.065258026123047,37990,período,NOUN,33.49751663208008,34708
73,and,CCONJ,23.394744873046875,37990,",",PUNCT,29.644319534301758,34708
74,0,0,0.0,0,se,PRON,33.35051345825195,34708
75,amputated,VERB,21.87558364868164,37990,calcula,VERB,36.277366638183594,34708
76,during,ADP,22.92291831970215,37990,que,SCONJ,31.124610900878906,34708
77,this,DET,24.32664680480957,37990,8000,NUM,33.906593322753906,34708
78,time,NOUN,20.9831600189209,37990,hombres,NOUN,34.1212158203125,34708
79,.,PUNCT,21.308589935302734,37990,",",PUNCT,31.161287307739258,34708
80,legs,NOUN,21.334117889404297,37990,mujeres,NOUN,35.44997024536133,34708
81,0,0,0.0,0,y,CONJ,33.4637336730957,34708
82,0,0,0.0,0,niños,NOUN,35.47105407714844,34708
83,As,SCONJ,22.102779388427734,42256,Mientras,SCONJ,33.7483024597168,42256
84,ran,VERB,23.810352325439453,42256,escapábamos,VERB,36.87419891357422,42256
85,and,CCONJ,20.443296432495117,42256,con,ADP,34.75179672241211,42256
86,my,DET,21.479141235351562,42256,mi,DET,34.442710876464844,42256
87,family,NOUN,19.36481475830078,42256,familia,NOUN,31.73072624206543,42256
88,for,ADP,21.366886138916016,42256,de,ADP,31.249645233154297,42256
89,I,PRON,25.60943031311035,42256,uno,PRON,31.50164222717285,42256
