,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Good,ADJ,19.32961082458496,12973,Buenos,ADJ,33.18754577636719,12973
1,morning,NOUN,18.127838134765625,12973,días,NOUN,33.992881774902344,12973
2,.,PUNCT,21.791719436645508,12973,.,PUNCT,32.010318756103516,12973
3,My,DET,23.852338790893555,14068,Mi,DET,31.880626678466797,14068
4,name,NOUN,20.804420471191406,14068,nombre,NOUN,31.898237228393555,14068
5,is,AUX,23.913267135620117,14068,es,AUX,31.213584899902344,14068
6,Eric,PROPN,21.190425872802734,14068,Eric,PROPN,35.09397888183594,14068
7,Li,PROPN,22.078733444213867,14068,Li,PROPN,33.33774948120117,14068
8,",",PUNCT,21.74942970275879,14068,",",PUNCT,29.029048919677734,14068
9,and,CCONJ,18.759525299072266,14068,y,CONJ,32.39781951904297,14068
10,I,PRON,25.145967483520508,14068,nací,PROPN,32.453365325927734,14068
11,was,AUX,23.45403480529785,14068,aquí,ADV,35.756038665771484,14068
12,born,VERB,23.866981506347656,14068,.,PUNCT,32.325523376464844,14068
13,here,ADV,20.276029586791992,14068,Más,ADV,34.069732666015625,19094
14,But,CCONJ,21.375455856323242,19094,bien,ADV,33.83625030517578,19094
15,.,PUNCT,22.436519622802734,14068,",",PUNCT,31.496427536010742,19094
16,no,INTJ,21.795347213745117,19094,no,ADV,31.503419876098633,19094
17,n't,PART,24.831945419311523,19094,nací,PROPN,34.15437316894531,19094
18,where,ADV,19.67148780822754,21803,allí,ADV,34.3339958190918,19094
19,",",PUNCT,21.42798614501953,19094,",",PUNCT,30.877439498901367,19094
20,there,ADV,18.923627853393555,19094,así,ADV,34.823394775390625,21803
21,was,AUX,24.277549743652344,19094,era,AUX,34.101497650146484,21803
22,I,PRON,23.537494659423828,19094,donde,PRON,30.911710739135742,21803
23,born,VERB,21.6296443939209,19094,nací,PROPN,31.20654296875,21803
24,.,PUNCT,22.669574737548828,19094,:,PUNCT,31.17757225036621,21803
25,was,AUX,25.046619415283203,21803,Shanghái,PROPN,33.80924606323242,24335
26,:,PUNCT,19.125904083251953,21803,",",PUNCT,28.701759338378906,24335
27,was,AUX,23.158729553222656,21803,en,ADP,32.904998779296875,24335
28,This,DET,22.481731414794922,21803,el,DET,35.372093200683594,24335
29,born,VERB,23.080432891845703,21803,pináculo,NOUN,31.55961036682129,24335
30,at,ADP,20.42156410217285,24335,de,ADP,28.4575138092041,24335
31,the,DET,21.413127899169922,24335,la,DET,32.06985092163086,24335
32,Shanghai,PROPN,21.945358276367188,24335,Revolución,PROPN,37.01381301879883,24335
33,Revolution,PROPN,20.862333297729492,24335,Cultural,PROPN,35.60477828979492,24335
34,",",PUNCT,21.939664840698242,24335,.,PUNCT,33.496917724609375,24335
35,the,DET,20.236204147338867,24335,Mi,DET,33.2181396484375,28308
36,height,NOUN,18.57778549194336,24335,abuela,NOUN,33.749820709228516,28308
37,I,PRON,23.756521224975586,21803,me,PRON,31.83788299560547,28308
38,Cultural,PROPN,21.649057388305664,24335,dice,VERB,35.545963287353516,28308
39,.,PUNCT,19.48351287841797,24335,que,SCONJ,32.59169006347656,28308
40,tells,VERB,24.896745681762695,28308,oyó,VERB,32.42157745361328,28308
41,My,DET,22.753686904907227,28308,el,DET,36.233863830566406,29933
42,grandmother,NOUN,22.244117736816406,28308,sonido,NOUN,29.758771896362305,29933
43,of,ADP,22.731544494628906,24335,de,ADP,30.37831687927246,29933
44,me,PRON,23.539934158325195,28308,los,DET,36.51816177368164,29933
45,sound,NOUN,18.29762077331543,30142,disparos,NOUN,35.518943786621094,29933
46,she,PRON,26.24370574951172,28308,junto,ADJ,32.075965881347656,29933
47,of,ADP,22.546642303466797,30142,con,ADP,32.5521240234375,29933
48,the,DET,21.360858917236328,30142,mis,DET,31.91961669921875,29933
49,first,ADJ,19.20651626586914,30142,primeros,ADJ,32.453582763671875,29933
50,gunfire,NOUN,19.95657730102539,30142,llantos,NOUN,33.48166275024414,29933
51,along,ADP,18.153522491455078,30142,.,PUNCT,33.34994125366211,29933
52,that,SCONJ,21.799930572509766,28308,Cuando,SCONJ,34.07701873779297,33155
53,with,ADP,19.743013381958008,30142,fui,AUX,32.65143585205078,33155
54,heard,VERB,23.354787826538086,28308,creciendo,VERB,35.52376174926758,33155
55,.,PUNCT,21.29981803894043,30142,",",PUNCT,30.637800216674805,33155
56,I,PRON,24.210351943969727,33155,me,PRON,30.94223403930664,33155
57,When,ADV,23.119606018066406,33155,contaron,VERB,35.02200698852539,33155
58,my,DET,22.457765579223633,30142,una,DET,35.395687103271484,33155
59,cries,NOUN,22.1072940826416,30142,historia,NOUN,32.96936798095703,33155
60,was,AUX,25.72415542602539,33155,que,SCONJ,32.07719421386719,36910
61,growing,VERB,23.449012756347656,33155,explicaba,VERB,34.5943603515625,36910
62,a,DET,21.521495819091797,33155,todo,DET,33.3787727355957,36910
63,",",PUNCT,22.45918846130371,33155,lo,DET,32.83314895629883,36910
64,I,PRON,23.856693267822266,33155,que,PRON,32.88623046875,36910
65,told,VERB,22.27710723876953,33155,necesitaba,VERB,34.965858459472656,36910
66,explained,VERB,23.235082626342773,36910,saber,VERB,35.42837905883789,36910
67,up,ADP,20.588136672973633,33155,sobre,ADP,32.64442825317383,36910
68,that,DET,20.0104923248291,36910,la,DET,32.86332702636719,36910
69,story,NOUN,19.90970802307129,33155,humanidad,NOUN,33.1231803894043,36910
70,I,PRON,24.657390594482422,36910,.,PUNCT,32.441349029541016,36910
71,was,AUX,23.049325942993164,33155,Fue,AUX,31.690486907958984,40515
72,ever,ADV,24.606239318847656,36910,así,ADV,33.423038482666016,40515
73,.,PUNCT,20.92049789428711,36910,.,PUNCT,32.63296127319336,40515
74,all,DET,18.257307052612305,36910,Todas,DET,33.84176254272461,41954
75,to,PART,22.782222747802734,36910,las,DET,33.2206916809082,41954
76,humanity,NOUN,19.52103614807129,36910,sociedades,NOUN,36.012699127197266,41954
77,know,VERB,23.643220901489258,36910,humanas,ADJ,35.542022705078125,41954
78,It,PRON,24.91362953186035,40515,se,PRON,32.584678649902344,41954
79,needed,VERB,21.173595428466797,36910,desarrollan,VERB,36.053226470947266,41954
80,about,ADP,22.07914161682129,36910,en,ADP,35.39582443237305,41954
81,this,DET,21.947921752929688,40515,una,DET,35.395606994628906,41954
82,like,SCONJ,21.669818878173828,40515,progresión,NOUN,32.760345458984375,41954
83,human,ADJ,19.77617645263672,41954,lineal,ADJ,34.02775955200195,41954
84,.,PUNCT,21.20091438293457,40515,",",PUNCT,30.751487731933594,41954
85,went,VERB,25.589908599853516,40515,comenzando,VERB,35.6495361328125,45212
86,in,ADP,22.319438934326172,41954,con,ADP,32.1937255859375,45212
87,All,DET,20.360301971435547,41954,la,DET,33.76826477050781,45212
88,societies,NOUN,22.920555114746094,41954,sociedad,NOUN,33.16455078125,45212
89,linear,ADJ,19.462570190429688,41954,primitiva,ADJ,33.97632598876953,45212
90,",",PUNCT,20.97933006286621,41954,",",PUNCT,31.990854263305664,45212
91,develop,VERB,20.384153366088867,41954,luego,ADV,34.14029312133789,45212
92,beginning,VERB,22.3902530670166,45212,la,DET,34.50980758666992,45212
93,progression,NOUN,21.311717987060547,41954,sociedad,NOUN,32.599918365478516,45212
94,primitive,ADJ,19.361637115478516,45212,esclavista,ADJ,34.18238067626953,45212
95,with,ADP,21.73917579650879,45212,",",PUNCT,30.255346298217773,45212
96,society,NOUN,19.237266540527344,45212,feudalismo,NOUN,31.544708251953125,48804
97,",",PUNCT,22.74864959716797,45212,",",PUNCT,29.605302810668945,48804
98,slave,NOUN,19.430002212524414,45212,capitalismo,NOUN,29.031326293945312,48804
99,",",PUNCT,21.673418045043945,48804,",",PUNCT,30.03878402709961,48804
100,society,NOUN,19.868179321289062,45212,socialismo,NOUN,31.708236694335938,48804
101,",",PUNCT,21.263376235961914,45212,",",PUNCT,30.935270309448242,48804
102,feudalism,NOUN,19.07485008239746,48804,y,CONJ,33.30484390258789,51835
103,then,ADV,21.324922561645508,45212,finalmente,ADV,35.61404037475586,51835
104,capitalism,NOUN,20.28357696533203,48804,",",PUNCT,30.663402557373047,51835
105,",",PUNCT,22.539642333984375,48804,¿,PUNCT,29.568254470825195,51835
106,guess,VERB,20.10948944091797,51835,adivinen,VERB,36.40941619873047,51835
107,and,CCONJ,21.254302978515625,51835,dónde,PRON,33.501251220703125,51835
108,socialism,NOUN,19.801027297973633,48804,terminamos,NOUN,36.07158279418945,51835
109,",",PUNCT,21.513769149780273,48804,?,PUNCT,32.11593246459961,51835
110,",",PUNCT,19.262887954711914,51835,¡,PUNCT,33.256351470947266,54179
111,finally,ADV,21.420873641967773,51835,Comunismo,INTJ,29.89957618713379,54179
112,we,PRON,24.607892990112305,51835,!,PUNCT,29.97189712524414,54179
113,where,ADV,21.36180877685547,51835,Tarde,ADV,32.60054016113281,57303
114,end,VERB,23.96196746826172,51835,o,CONJ,32.215518951416016,57303
115,Sooner,ADV,19.744678497314453,57303,temprano,ADV,32.01353073120117,57303
116,?,PUNCT,21.825122833251953,51835,",",PUNCT,28.252248764038086,57303
117,up,ADP,21.822959899902344,51835,toda,DET,32.61866760253906,57303
118,or,CCONJ,21.048933029174805,57303,la,DET,30.466081619262695,57303
119,Communism,NOUN,21.03948974609375,54179,humanidad,NOUN,33.2925910949707,57303
120,!,PUNCT,21.820634841918945,54179,",",PUNCT,28.96918487548828,57303
121,later,ADV,19.30014419555664,57303,independientemente,ADV,32.49835968017578,61015
122,of,ADP,22.52308464050293,57303,de,ADP,32.015869140625,61015
123,all,DET,19.61722183227539,57303,la,DET,32.110374450683594,61015
124,humanity,NOUN,18.95461082458496,57303,cultura,NOUN,30.669618606567383,61015
125,",",PUNCT,18.481653213500977,57303,",",PUNCT,31.21942138671875,61015
126,regardless,ADV,20.64765167236328,61015,idioma,NOUN,29.449121475219727,61015
127,",",PUNCT,20.48434066772461,57303,",",PUNCT,29.48318099975586,61015
128,culture,NOUN,18.692583084106445,61015,nacionalidad,NOUN,30.741640090942383,61015
129,",",PUNCT,22.512662887573242,61015,",",PUNCT,28.821260452270508,61015
130,will,VERB,21.22160530090332,63781,llegará,VERB,33.841026306152344,63781
131,of,ADP,20.472373962402344,61015,a,ADP,34.363037109375,63781
132,",",PUNCT,23.051843643188477,61015,esta,DET,35.78507995605469,63781
133,nationality,NOUN,19.433780670166016,61015,etapa,NOUN,34.622230529785156,63781
134,",",PUNCT,20.24305534362793,61015,final,ADJ,35.882625579833984,63781
135,at,ADP,21.919157028198242,63781,de,ADP,30.436731338500977,66237
136,language,NOUN,19.8392276763916,61015,desarrollo,NOUN,31.147884368896484,66237
137,final,ADJ,20.74847984313965,63781,político,ADJ,32.26655960083008,66237
138,arrive,VERB,22.58301544189453,63781,y,CONJ,33.854610443115234,66237
139,political,ADJ,18.9757137298584,66237,social,ADJ,34.539588928222656,66237
140,.,PUNCT,22.171308517456055,66237,.,PUNCT,33.42375946044922,66237
141,this,DET,22.98105812072754,63781,Los,DET,34.695159912109375,68670
142,stage,NOUN,20.4993896484375,63781,pueblos,NOUN,33.8838005065918,68670
143,of,ADP,20.815858840942383,66237,del,ADP,33.22136688232422,68670
144,development,NOUN,19.095430374145508,66237,mundo,NOUN,31.635326385498047,68670
145,social,ADJ,19.61693000793457,66237,entero,ADJ,33.804161071777344,68670
146,and,CCONJ,23.30194664001465,66237,se,PRON,31.582788467407227,68670
147,will,VERB,25.949600219726562,68670,unificarán,VERB,34.3159065246582,68670
148,entire,ADJ,19.607879638671875,68670,en,ADP,33.60572052001953,70926
149,The,DET,21.352500915527344,68670,este,DET,36.28474044799805,70926
150,world,NOUN,19.578149795532227,68670,paraíso,NOUN,34.74782943725586,70926
151,'s,PART,22.69277000427246,68670,en,ADP,31.58165740966797,70926
152,this,DET,24.33952522277832,70926,la,DET,31.870935440063477,70926
153,be,AUX,26.269437789916992,68670,Tierra,PROPN,36.001644134521484,70926
154,peoples,NOUN,21.0246639251709,68670,y,CONJ,34.52186584472656,73190
155,unified,VERB,20.819711685180664,68670,vivirán,VERB,33.666160583496094,73190
156,paradise,NOUN,21.81065559387207,70926,felices,ADJ,33.66331100463867,73190
157,in,ADP,21.184099197387695,70926,para,ADP,34.337249755859375,73190
158,ever,ADV,22.007213592529297,73190,siempre,ADV,35.20969772338867,73190
159,Earth,PROPN,21.350305557250977,70926,.,PUNCT,32.742462158203125,73190
160,and,CCONJ,20.047191619873047,73190,Pero,CONJ,33.06662368774414,75958
161,happily,ADV,21.89183807373047,73190,antes,ADV,34.3283805847168,75958
162,on,ADP,20.194223403930664,70926,de,ADP,31.970054626464844,75958
163,live,VERB,20.863168716430664,73190,llegar,VERB,36.8934326171875,75958
164,after,ADV,17.51749038696289,73190,allí,ADV,34.66271209716797,75958
165,.,PUNCT,21.416118621826172,73190,",",PUNCT,32.51227569580078,75958
166,But,CCONJ,23.246980667114258,75958,estamos,AUX,33.830230712890625,75958
167,we,PRON,24.67831039428711,75958,metidos,ADJ,33.89524459838867,75958
168,before,ADP,21.578022003173828,75958,en,ADP,34.66400909423828,78245
169,get,VERB,23.472675323486328,75958,una,DET,34.411705017089844,78245
170,there,ADV,19.13717269897461,75958,lucha,NOUN,32.72863006591797,78245
171,in,ADP,19.448545455932617,78245,entre,ADP,32.181739807128906,78245
172,we,PRON,23.45792007446289,75958,el,DET,32.5383186340332,78245
173,'re,AUX,22.08938980102539,75958,bien,NOUN,31.9935245513916,78245
174,engaged,VERB,21.428733825683594,75958,y,CONJ,30.80553436279297,78245
175,a,DET,24.28296661376953,78245,el,DET,33.77082061767578,78245
176,struggle,NOUN,21.442584991455078,78245,mal,NOUN,30.563678741455078,78245
177,",",PUNCT,21.75760269165039,75958,",",PUNCT,28.281179428100586,78245
178,and,CCONJ,24.088979721069336,78245,el,DET,34.91201400756836,80686
179,good,NOUN,18.880348205566406,78245,bien,NOUN,31.78200912475586,80686
180,between,ADP,22.46666717529297,78245,del,ADP,33.9580192565918,80686
181,evil,NOUN,17.18280792236328,78245,socialismo,NOUN,30.95149803161621,80686
182,against,ADP,20.341270446777344,80686,contra,ADP,30.296777725219727,80686
183,the,DET,19.033077239990234,80686,el,DET,34.34450912475586,80686
184,good,NOUN,16.261171340942383,80686,mal,NOUN,30.35199546813965,80686
185,of,ADP,19.229904174804688,80686,del,ADP,34.74988555908203,80686
186,socialism,NOUN,20.840194702148438,80686,capitalismo,NOUN,29.54462242126465,80686
187,",",PUNCT,22.423452377319336,78245,",",PUNCT,28.842565536499023,80686
188,the,DET,23.201658248901367,80686,y,CONJ,32.30784225463867,83827
189,the,DET,21.058155059814453,83827,el,DET,33.942222595214844,83827
190,evil,NOUN,19.098642349243164,80686,bien,NOUN,33.18562316894531,83827
191,shall,VERB,20.11015510559082,83827,triunfará,VERB,31.981319427490234,83827
192,",",PUNCT,21.363222122192383,80686,.,PUNCT,32.537353515625,83827
193,and,CCONJ,18.831180572509766,83827,Esta,PRON,31.15433692932129,85774
194,capitalism,NOUN,19.170989990234375,80686,era,NOUN,34.333580017089844,85774
