,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,23.3238525390625,12580,Aquí,ADV,33.488773345947266,12580
1,is,AUX,24.40376091003418,12580,pueden,AUX,35.39479064941406,12580
2,looked,VERB,22.754968643188477,12580,ver,VERB,35.322174072265625,12580
3,what,PRON,20.006912231445312,12580,cómo,PRON,34.756690979003906,12580
4,like,SCONJ,19.91021728515625,12580,fue,AUX,33.788997650146484,12580
5,my,DET,20.79266929626465,12580,mi,DET,34.45750427246094,12580
6,week,NOUN,21.702571868896484,12580,semana,NOUN,33.01781463623047,12580
7,last,ADJ,22.3106689453125,12580,pasada,ADJ,33.566444396972656,12580
8,.,PUNCT,22.07476806640625,12580,.,PUNCT,34.38656234741211,12580
9,What,PRON,21.854463577270508,16500,Lo,DET,32.87555694580078,16500
10,I,PRON,24.83132553100586,16500,que,PRON,29.66550636291504,16500
11,did,AUX,24.240314483642578,16500,hice,VERB,33.92485809326172,16500
12,",",PUNCT,20.4511775970459,16500,",",PUNCT,28.362245559692383,16500
13,who,PRON,22.285438537597656,18220,0,0,0.0,0
14,I,PRON,25.29197883605957,18220,quién,PRON,32.91752624511719,18220
15,was,AUX,25.38784408569336,18220,estuve,PROPN,31.9519100189209,18220
16,with,ADP,17.512208938598633,18220,con,ADP,33.18846130371094,18220
17,",",PUNCT,19.67784881591797,18220,",",PUNCT,28.701383590698242,18220
18,the,DET,19.98992156982422,20060,las,DET,33.62561798095703,20060
19,main,ADJ,19.041484832763672,20060,principales,ADJ,34.405967712402344,20060
20,sensations,NOUN,20.007413864135742,20060,sensaciones,NOUN,37.010929107666016,20060
21,I,PRON,25.189733505249023,20060,que,SCONJ,31.20907211303711,20060
22,had,AUX,24.63973045349121,20060,0,0,0.0,0
23,for,ADP,20.674787521362305,20060,durante,ADP,35.684295654296875,20060
24,every,DET,21.920127868652344,20060,el,DET,34.63266372680664,20060
25,waking,VERB,20.698749542236328,20060,tuve,VERB,33.44337463378906,20060
26,hour,NOUN,20.838241577148438,20060,día,NOUN,32.42525863647461,20060
27,...,PUNCT,19.309524536132812,20060,...,PUNCT,29.785593032836914,20060
28,If,SCONJ,21.60859489440918,23900,Si,SCONJ,33.25947189331055,23900
29,the,DET,22.956724166870117,23900,el,DET,36.239925384521484,23900
30,feeling,NOUN,21.071308135986328,23900,sentimiento,NOUN,32.33847427368164,23900
31,came,VERB,21.40972137451172,23900,0,0,0.0,0
32,as,SCONJ,20.469877243041992,23900,produjo,AUX,36.12861251831055,23900
33,I,PRON,23.908435821533203,23900,se,PRON,33.230491638183594,23900
34,thought,VERB,21.899789810180664,23900,pensando,VERB,35.21985626220703,23900
35,of,ADP,19.29608726501465,23900,en,ADP,33.42989730834961,23900
36,my,DET,20.78630828857422,23900,mi,DET,35.1953125,23900
37,dad,NOUN,18.34639549255371,23900,padre,NOUN,33.20613098144531,23900
38,who,PRON,23.539684295654297,26420,que,PRON,33.23133850097656,26420
39,passed,VERB,23.85622787475586,26420,falleció,VERB,35.69759750366211,26420
40,away,ADP,24.009931564331055,26420,hace,AUX,37.096046447753906,26420
41,recently,ADV,24.743465423583984,26420,poco,ADV,35.02448654174805,26420
42,",",PUNCT,20.62311553955078,26420,",",PUNCT,33.14875793457031,26420
43,or,CCONJ,20.97643280029297,28220,o,CONJ,32.75436782836914,28220
44,if,SCONJ,21.310230255126953,28220,si,SCONJ,35.17055130004883,28220
45,I,PRON,24.617258071899414,28220,hubiera,AUX,35.553707122802734,28220
46,could,VERB,24.672821044921875,28220,evitar,VERB,35.95058059692383,28220
47,have,AUX,24.595874786376953,28220,podido,AUX,33.09603500366211,28220
48,just,ADV,25.044160842895508,28220,por,ADP,34.46763229370117,28220
49,definitely,ADV,25.344724655151367,28220,completo,NOUN,31.786203384399414,28220
50,avoided,VERB,22.124650955200195,28220,0,0,0.0,0
51,the,DET,21.726104736328125,28220,las,DET,34.243507385253906,28220
52,worries,NOUN,20.713193893432617,28220,preocupaciones,NOUN,34.34001159667969,28220
53,and,CCONJ,23.94499969482422,28220,y,CONJ,34.35247802734375,28220
54,anxieties,NOUN,22.476314544677734,28220,ansiedades,NOUN,33.30480194091797,28220
55,.,PUNCT,21.846128463745117,28220,.,PUNCT,32.76862716674805,28220
56,And,CCONJ,20.4566707611084,32299,Si,SCONJ,33.3422966003418,32299
57,if,SCONJ,20.546682357788086,32299,que,SCONJ,32.41318130493164,32299
58,you,PRON,24.723426818847656,32299,0,0,0.0,0
59,think,VERB,22.363506317138672,32299,creen,VERB,38.03805160522461,32299
60,I,PRON,25.19583511352539,32299,poco,ADV,34.213096618652344,32299
61,'m,AUX,23.647686004638672,32299,soy,AUX,32.17884826660156,32299
62,a,DET,23.63445281982422,32299,un,DET,30.807838439941406,32299
63,little,ADJ,20.29944610595703,32299,obsesiva,ADJ,31.987445831298828,32299
64,obsessive,NOUN,19.042253494262695,32299,0,0,0.0,0
65,",",PUNCT,20.02403450012207,32299,",",PUNCT,31.447521209716797,32299
66,you,PRON,22.916074752807617,34260,0,0,0.0,0
67,'re,AUX,22.281917572021484,34260,tengan,VERB,34.060523986816406,34260
68,probably,ADV,25.270156860351562,34260,probablemente,ADV,34.56300354003906,34260
69,right,ADJ,23.054855346679688,34260,razón,NOUN,32.33498001098633,34260
70,.,PUNCT,21.32781219482422,34260,.,PUNCT,32.91062927246094,34260
71,But,CCONJ,22.117935180664062,36140,Pero,CONJ,32.11294937133789,36140
72,this,DET,23.027475357055664,36140,lo,DET,29.854764938354492,36140
73,",",PUNCT,21.06928825378418,36140,cierto,ADJ,33.940757751464844,36140
74,clearly,ADV,21.5357666015625,36140,es,AUX,33.810420989990234,36140
75,visualization,NOUN,21.41306495666504,36140,que,SCONJ,34.785037994384766,36140
76,from,ADP,21.95871925354004,36140,al,ADP,31.915861129760742,36140
77,",",PUNCT,21.71890640258789,36140,ver,VERB,34.055240631103516,36140
78,0,0,0.0,0,esto,PRON,33.09822082519531,36140
79,you,PRON,23.347623825073242,38420,podrán,AUX,31.523910522460938,38420
80,can,VERB,22.797771453857422,38420,conocerme,ADV,32.18457794189453,38420
81,learn,VERB,25.454599380493164,38420,ver,VERB,35.017494201660156,38420
82,much,ADV,23.24517250061035,38420,mucho,ADV,35.279884338378906,38420
83,more,ADJ,21.71946907043457,38420,mejor,ADJ,36.85520553588867,38420
84,about,ADP,21.69875144958496,38420,al,ADP,31.888376235961914,38420
85,me,PRON,23.684181213378906,38420,esto,PRON,33.495967864990234,38420
86,than,SCONJ,22.026565551757812,38420,que,SCONJ,32.93154525756836,38420
87,from,ADP,20.50908851623535,38420,otro,PRON,32.499061584472656,38420
88,this,DET,21.090492248535156,38420,0,0,0.0,0
89,other,ADJ,18.490074157714844,38420,0,0,0.0,0
90,one,NOUN,19.499387741088867,38420,0,0,0.0,0
91,",",PUNCT,21.085506439208984,38420,",",PUNCT,29.921985626220703,38420
92,images,NOUN,21.70473861694336,41740,que,SCONJ,32.778934478759766,41740
93,are,AUX,23.4888916015625,41740,es,AUX,33.57514572143555,41740
94,with,ADP,21.08098793029785,41740,a,ADP,30.563650131225586,41740
95,which,DET,23.26426124572754,41740,lo,DET,34.12701416015625,41740
96,you,PRON,21.81071662902832,41740,que,PRON,34.699981689453125,41740
97,probably,ADV,24.60378074645996,41740,probablemente,ADV,34.80820846557617,41740
98,'re,AUX,22.471240997314453,41740,estén,AUX,34.84049987792969,41740
99,more,ADV,22.0159854888916,41740,más,ADV,37.424922943115234,41740
100,familiar,ADJ,23.41319465637207,41740,acostumbrados,ADJ,36.16376876831055,41740
101,and,CCONJ,20.76517105102539,44740,y,CONJ,35.58528137207031,44740
102,which,DET,23.209089279174805,44740,que,SCONJ,32.03805160522461,44740
103,you,PRON,26.064655303955078,44740,0,0,0.0,0
104,possibly,ADV,24.3206729888916,44740,tengan,VERB,36.52763748168945,44740
105,even,ADV,24.103517532348633,44740,posiblemente,ADV,36.67643356323242,44740
106,have,AUX,19.147619247436523,44740,0,0,0.0,0
107,on,ADP,19.765783309936523,44740,en,ADP,35.10531997680664,44740
108,your,DET,22.76647186279297,44740,sus,DET,32.49398422241211,44740
109,phone,NOUN,20.44805335998535,44740,teléfonos,NOUN,32.7052001953125,44740
110,right,ADV,21.034080505371094,44740,ahora,ADV,32.89992141723633,44740
111,now,ADV,24.97351837158203,44740,0,0,0.0,0
112,.,PUNCT,21.775959014892578,44740,.,PUNCT,32.65279006958008,44740
113,Bar,NOUN,20.117904663085938,47580,Gráficas,NOUN,31.908527374267578,47580
114,for,ADP,22.252153396606445,47580,de,ADP,30.6209774017334,47580
115,charts,NOUN,21.283424377441406,47580,barras,NOUN,33.65410232543945,47580
116,you,PRON,24.84848403930664,47580,que,PRON,34.86044692993164,47580
117,walked,VERB,23.160106658935547,47580,cuentan,VERB,38.58081817626953,47580
118,the,DET,22.801225662231445,47580,tus,DET,33.05047607421875,47580
119,steps,NOUN,20.584270477294922,47580,pasos,NOUN,35.06015396118164,47580
120,",",PUNCT,19.93293571472168,47580,",",PUNCT,31.142536163330078,47580
121,pie,NOUN,18.098007202148438,49820,circulares,NOUN,33.34513473510742,49820
122,charts,NOUN,20.604890823364258,49820,0,0,0.0,0
123,for,ADP,22.77437400817871,49820,para,ADP,32.94056701660156,49820
124,the,DET,22.75945472717285,49820,la,DET,31.83109474182129,49820
125,quality,NOUN,19.590972900390625,49820,calidad,NOUN,31.012632369995117,49820
126,of,ADP,21.497846603393555,49820,de,ADP,29.166067123413086,49820
127,your,DET,21.602197647094727,49820,tu,DET,31.47743797302246,49820
128,sleep,NOUN,18.87183952331543,49820,sueño,NOUN,31.043546676635742,49820
129,--,PUNCT,19.55872917175293,49820,",",PUNCT,29.58075523376465,49820
130,the,DET,20.33437156677246,52220,tu,DET,32.310951232910156,52220
131,path,NOUN,18.62647247314453,52220,trayectoria,NOUN,31.730682373046875,52220
132,of,ADP,21.676959991455078,52220,al,ADP,34.63511276245117,52220
133,your,DET,20.119722366333008,52220,correr,VERB,35.105594635009766,52220
134,morning,NOUN,18.871044158935547,52220,temprano,ADV,35.34063720703125,52220
135,runs,NOUN,21.62351417541504,52220,0,0,0.0,0
136,.,PUNCT,21.296649932861328,52220,.,PUNCT,33.861392974853516,52220
137,In,ADP,19.695449829101562,55100,En,ADP,33.719024658203125,55100
138,my,DET,23.792125701904297,55100,mi,DET,31.519121170043945,55100
139,day,NOUN,20.241119384765625,55100,día,NOUN,32.13459777832031,55100
140,I,PRON,23.545366287231445,55100,a,ADP,32.54803466796875,55100
141,job,NOUN,20.93435287475586,55100,día,NOUN,33.40411376953125,55100
142,",",PUNCT,22.13315773010254,55100,",",PUNCT,32.04607009887695,55100
143,work,VERB,22.951547622680664,55100,trabajo,NOUN,33.08257293701172,55100
144,with,ADP,21.027759552001953,55100,con,ADP,34.035858154296875,55100
145,data,NOUN,19.576534271240234,55100,datos,NOUN,33.77162170410156,55100
146,.,PUNCT,20.3668212890625,55100,.,PUNCT,32.783416748046875,55100
147,run,VERB,24.60938262939453,57420,Tengo,VERB,33.87116622924805,57420
148,a,DET,22.768720626831055,57420,una,DET,35.02030944824219,57420
149,data,NOUN,19.950214385986328,57420,compañía,NOUN,30.270797729492188,57420
150,I,PRON,25.273683547973633,57420,de,ADP,29.78961944580078,57420
151,visualization,NOUN,17.117965698242188,57420,diseño,NOUN,28.925121307373047,57420
152,0,0,0.0,0,de,ADP,31.266902923583984,57420
153,company,NOUN,18.623655319213867,57420,visualización,NOUN,29.4891300201416,57420
154,",",PUNCT,20.58430290222168,57420,de,ADP,31.060941696166992,57420
155,design,NOUN,18.559158325195312,57420,datos,NOUN,33.69035339355469,57420
156,we,PRON,23.633485794067383,59940,donde,PRON,31.33805274963379,59946
157,design,VERB,21.04595184326172,59940,ideamos,VERB,35.083614349365234,59946
158,and,CCONJ,21.32697868347168,59940,y,CONJ,33.6337776184082,59946
159,and,CCONJ,23.00716209411621,59940,creamos,ADJ,33.284183502197266,59946
160,ways,NOUN,21.694108963012695,59940,métodos,NOUN,35.827552795410156,59946
161,develop,VERB,23.208284378051758,59940,que,PRON,34.29240417480469,59946
162,make,VERB,25.06390953063965,59940,hacen,VERB,37.05624008178711,59946
163,accessible,ADJ,20.51530647277832,59940,accesible,ADJ,33.68761444091797,59946
164,to,PART,23.55169105529785,59940,la,DET,33.59272766113281,59946
165,information,NOUN,20.80604362487793,59940,información,NOUN,29.708356857299805,59946
166,through,ADP,21.708717346191406,63300,mediante,ADP,32.41564178466797,63300
167,representations,NOUN,20.6885929107666,63300,representaciones,NOUN,35.92359161376953,63300
168,visual,ADJ,22.177200317382812,63300,visuales,ADJ,35.67136001586914,63300
169,.,PUNCT,21.5634708404541,63300,.,PUNCT,33.4161262512207,63300
170,my,DET,22.219118118286133,65420,Lo,DET,32.87856674194336,65420
171,What,PRON,20.400680541992188,65420,que,PRON,32.53984069824219,65420
172,me,PRON,24.363054275512695,65420,me,PRON,33.863006591796875,65420
173,has,AUX,23.643646240234375,65420,ha,AUX,36.00484848022461,65420
174,taught,VERB,23.633514404296875,65420,enseñado,VERB,33.77586364746094,65420
175,0,0,0.0,0,mi,DET,35.231727600097656,65420
176,job,NOUN,20.633312225341797,65420,trabajo,NOUN,33.595794677734375,65420
177,over,ADP,21.86478614807129,65420,en,ADP,34.32124328613281,65420
178,the,DET,21.89358901977539,65420,estos,DET,34.67728805541992,65420
