,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,23.986906051635742,13000,Dediqué,PROPN,30.823999404907227,12898
1,dedicated,VERB,22.262353897094727,13000,entender,VERB,35.13950729370117,12898
2,the,DET,21.33316421508789,13000,los,DET,35.5394172668457,12898
3,past,ADJ,16.747507095336914,13000,últimos,ADJ,33.881839752197266,12898
4,two,NUM,23.591991424560547,13000,dos,NUM,36.218406677246094,12898
5,years,NOUN,23.319637298583984,13000,años,NOUN,36.40410614013672,12898
6,to,ADP,20.353607177734375,13000,a,ADP,33.645938873291016,12898
7,understanding,NOUN,21.388452529907227,13000,0,0,0.0,0
8,how,ADV,21.746936798095703,15233,cómo,PRON,34.24076461791992,15233
9,0,0,0.0,0,las,DET,33.164215087890625,15233
10,people,NOUN,24.5552978515625,15233,personas,NOUN,36.371826171875,15233
11,achieve,VERB,22.981523513793945,15233,cumplen,VERB,36.619873046875,15233
12,their,DET,24.904874801635742,15233,sus,DET,33.96356964111328,15233
13,dreams,NOUN,22.107389450073242,15233,sueños,NOUN,35.09663772583008,15233
14,.,PUNCT,20.98311424255371,15233,.,PUNCT,33.66520309448242,15233
15,When,ADV,22.98343849182129,17598,Si,SCONJ,33.54832458496094,17303
16,we,PRON,25.726945877075195,17598,0,0,0.0,0
17,think,VERB,22.908872604370117,17598,pensamos,VERB,36.311676025390625,17303
18,about,ADP,22.915283203125,17598,en,ADP,34.17633056640625,17303
19,the,DET,21.11348533630371,17598,los,DET,35.02906799316406,17303
20,dreams,NOUN,20.456785202026367,17598,sueños,NOUN,34.79279708862305,17303
21,we,PRON,24.18390464782715,17598,que,PRON,32.299808502197266,17303
22,have,AUX,23.473657608032227,17598,tenemos,VERB,35.01512145996094,17303
23,",",PUNCT,20.202713012695312,17598,",",PUNCT,29.039976119995117,17303
24,and,CCONJ,18.48080062866211,19599,y,CONJ,33.83367919921875,19349
25,the,DET,20.15420913696289,19599,la,DET,34.18006896972656,19349
26,dent,NOUN,17.500770568847656,19599,huella,NOUN,33.74666213989258,19349
27,we,PRON,25.224987030029297,19599,que,PRON,32.19766616821289,19349
28,want,VERB,23.08960723876953,19599,queremos,VERB,31.31405258178711,19349
29,to,PART,23.465248107910156,19599,0,0,0.0,0
30,leave,VERB,25.170724868774414,19599,dejar,VERB,36.15657424926758,19349
31,in,ADP,20.09929084777832,19599,en,ADP,33.307167053222656,19349
32,the,DET,22.84156036376953,19599,el,DET,34.02106475830078,19349
33,universe,NOUN,16.526111602783203,19599,universo,NOUN,30.51835823059082,19349
34,",",PUNCT,20.270816802978516,19599,",",PUNCT,29.61281394958496,19349
35,it,PRON,24.61910057067871,22132,0,0,0.0,0
36,is,AUX,26.034313201904297,22132,la,DET,33.219600677490234,21991
37,striking,VERB,21.817214965820312,22132,sorprende,VERB,35.2812385559082,21991
38,to,PART,21.703914642333984,22132,0,0,0.0,0
39,see,VERB,24.63132095336914,22132,0,0,0.0,0
40,how,ADV,22.54724884033203,22132,0,0,0.0,0
41,big,ADJ,21.382709503173828,22132,existente,ADJ,34.64837646484375,21991
42,of,ADP,21.966066360473633,22132,0,0,0.0,0
43,an,DET,22.75223159790039,22132,0,0,0.0,0
44,overlap,NOUN,20.456159591674805,22132,superposición,NOUN,31.51620864868164,21991
45,there,PRON,24.062313079833984,22132,0,0,0.0,0
46,is,AUX,23.416427612304688,22132,0,0,0.0,0
47,between,ADP,24.228647232055664,25677,0,0,0.0,0
48,the,DET,23.324302673339844,25677,0,0,0.0,0
49,dreams,NOUN,21.129934310913086,25677,0,0,0.0,0
50,that,DET,22.329694747924805,25677,0,0,0.0,0
51,we,PRON,24.69705581665039,25677,0,0,0.0,0
52,have,AUX,23.92902183532715,25677,0,0,0.0,0
53,",",PUNCT,21.26999855041504,25677,0,0,0.0,0
54,and,CCONJ,21.36240005493164,25677,0,0,0.0,0
55,projects,NOUN,21.030803680419922,25677,0,0,0.0,0
56,that,DET,21.94603157043457,25677,0,0,0.0,0
57,never,ADV,23.814565658569336,25677,0,0,0.0,0
58,happen,VERB,19.64504051208496,25677,0,0,0.0,0
59,.,PUNCT,21.65477180480957,25677,0,0,0.0,0
60,(,PUNCT,19.138301849365234,29323,(,PUNCT,28.748825073242188,29051
61,Laughter,PROPN,20.165264129638672,29323,Risas,PROPN,34.865478515625,29051
62,),PUNCT,20.96363067626953,29323,),PUNCT,32.331058502197266,29051
63,So,ADV,18.103490829467773,30515,0,0,0.0,0
64,I,PRON,25.28843116760254,30515,0,0,0.0,0
65,'m,AUX,21.582475662231445,30515,0,0,0.0,0
66,here,ADV,19.343658447265625,30515,0,0,0.0,0
67,to,PART,22.915456771850586,30515,0,0,0.0,0
68,talk,VERB,24.79456329345703,30515,0,0,0.0,0
69,to,ADP,20.23306655883789,30515,0,0,0.0,0
70,you,PRON,23.740446090698242,30515,0,0,0.0,0
71,today,NOUN,21.16489601135254,30515,0,0,0.0,0
72,about,ADV,20.914443969726562,32321,Por,ADP,32.53519058227539,30565
73,five,NUM,21.43459701538086,32321,eso,PRON,34.17233657836914,30565
74,ways,NOUN,21.7537899017334,32321,0,0,0.0,0
75,how,ADV,22.634353637695312,32321,hoy,ADV,35.010215759277344,30565
76,not,PART,22.311792373657227,32321,a,ADP,32.67732620239258,30565
77,to,PART,24.16118812561035,32321,hablarles,ADJ,35.416351318359375,30565
78,follow,VERB,25.031993865966797,32321,vengo,VERB,35.061492919921875,30565
79,your,DET,24.177766799926758,32321,0,0,0.0,0
80,dreams,NOUN,21.076047897338867,32321,0,0,0.0,0
81,.,PUNCT,21.018590927124023,32321,0,0,0.0,0
82,One,NUM,20.29071617126465,37223,Uno,PRON,32.44735336303711,36913
83,:,PUNCT,20.53067398071289,37223,:,PUNCT,32.33546447753906,36913
84,Believe,VERB,20.890708923339844,37223,Creer,VERB,34.740440368652344,36913
85,in,ADP,22.24605369567871,37223,en,ADP,33.65677261352539,36913
86,0,0,0.0,0,el,DET,35.20880126953125,36913
87,success,NOUN,20.032472610473633,37223,éxito,NOUN,31.215717315673828,36913
88,overnight,ADJ,19.135149002075195,37223,repentino,ADJ,34.61655807495117,36913
89,.,PUNCT,21.544391632080078,37223,.,PUNCT,32.985225677490234,36913
90,You,PRON,23.79894256591797,41549,",",PUNCT,30.63758659362793,41356
91,know,VERB,23.753833770751953,41549,Conocen,VERB,32.3250846862793,41356
92,the,DET,20.769662857055664,41549,la,DET,31.822181701660156,41356
93,story,NOUN,17.48065185546875,41549,historia,NOUN,32.454002380371094,41356
94,",",PUNCT,19.425918579101562,41549,¿,PUNCT,31.419111251831055,41356
95,right,ADJ,21.436689376831055,41549,no,ADV,31.617511749267578,41356
96,?,PUNCT,21.790180206298828,41549,?,PUNCT,31.993913650512695,41356
97,The,DET,22.126291275024414,43285,El,DET,32.93449020385742,43005
98,tech,NOUN,18.956079483032227,43285,tecnólogo,NOUN,31.77247428894043,43005
99,guy,NOUN,19.92363739013672,43285,app,NOUN,31.144813537597656,43005
100,built,VERB,20.804931640625,43285,hace,AUX,36.250911712646484,43005
101,a,DET,23.43341064453125,43285,una,DET,30.867321014404297,43005
102,mobile,ADJ,20.34541130065918,43285,rápido,ADJ,30.58366584777832,43005
103,app,NOUN,19.856029510498047,43285,móvil,NOUN,30.599334716796875,43005
104,and,CCONJ,21.956289291381836,43285,",",PUNCT,29.584327697753906,43005
105,sold,VERB,24.710529327392578,43285,vende,VERB,31.42963981628418,43005
106,it,PRON,24.080223083496094,43285,que,PRON,33.92450714111328,43005
107,very,ADV,23.36732292175293,43285,la,DET,32.69580841064453,43005
108,fast,ADV,22.072547912597656,43285,y,CONJ,32.672061920166016,43005
109,for,ADP,19.439682006835938,43285,gana,VERB,34.68840408325195,43005
110,a,DET,22.098461151123047,43285,mucho,DET,34.03987503051758,43005
111,lot,NOUN,22.460573196411133,43285,dinero,NOUN,32.81924819946289,43005
112,of,ADP,25.340850830078125,43285,0,0,0.0,0
113,money,NOUN,20.788145065307617,43285,0,0,0.0,0
114,.,PUNCT,22.646804809570312,43285,.,PUNCT,32.21258544921875,43005
115,You,PRON,23.910625457763672,48765,que,SCONJ,32.2629280090332,48580
116,know,VERB,23.72064208984375,48765,Puede,VERB,31.884130477905273,48580
117,",",PUNCT,20.72298240661621,48765,sea,AUX,34.400390625,48580
118,the,DET,20.948923110961914,48765,la,DET,33.8443717956543,48580
119,story,NOUN,17.67807388305664,48765,historia,NOUN,33.87974548339844,48580
120,may,VERB,22.34331512451172,48765,real,ADJ,32.104408264160156,48580
121,seem,VERB,24.405786514282227,48765,pero,CONJ,36.55360412597656,48580
122,real,ADJ,20.86423110961914,48765,apuesto,ADJ,33.71609115600586,48580
123,",",PUNCT,22.055681228637695,48765,",",PUNCT,30.53476905822754,48580
124,but,CCONJ,20.637859344482422,48765,a,ADP,29.305830001831055,48580
125,I,PRON,25.343050003051758,48765,que,SCONJ,31.970333099365234,48580
126,bet,VERB,24.001859664916992,48765,0,0,0.0,0
127,it,PRON,23.542072296142578,48765,0,0,0.0,0
128,'s,AUX,21.52474021911621,48765,está,AUX,35.03325271606445,48580
129,incomplete,ADJ,21.459917068481445,48765,incompleta,ADJ,32.026851654052734,48580
130,.,PUNCT,21.70293617248535,48765,.,PUNCT,32.64680480957031,48580
131,If,SCONJ,21.333887100219727,52648,Si,SCONJ,32.93355178833008,52467
132,you,PRON,25.12061882019043,52648,uno,PRON,32.75065231323242,52467
133,go,VERB,23.330333709716797,52648,investiga,VERB,34.75700759887695,52467
134,investigate,VERB,20.19831657409668,52648,0,0,0.0,0
135,further,ADV,20.063232421875,52648,poco,ADV,32.6402587890625,52467
136,",",PUNCT,19.79591178894043,52648,",",PUNCT,32.70206069946289,52467
137,the,DET,21.630128860473633,54725,un,DET,29.86285400390625,52467
138,guy,NOUN,19.7337646484375,54725,0,0,0.0,0
139,has,AUX,25.42233657836914,54725,0,0,0.0,0
140,done,VERB,21.85380744934082,54725,0,0,0.0,0
141,30,NUM,21.3277530670166,54725,0,0,0.0,0
142,apps,NOUN,21.680362701416016,54725,0,0,0.0,0
143,before,ADV,20.973041534423828,54725,más,ADV,36.874969482421875,52467
144,and,CCONJ,20.149349212646484,56845,ese,DET,37.493492126464844,54767
145,he,PRON,23.12224769592285,56845,0,0,0.0,0
146,has,AUX,24.780113220214844,56845,había,AUX,34.7967643737793,54767
147,done,VERB,21.824739456176758,56845,creado,VERB,32.861328125,54767
148,a,DET,23.337722778320312,56845,30,NUM,32.4849853515625,54767
149,master,NOUN,20.042110443115234,56845,tipo,NOUN,33.12590408325195,54767
150,'s,PART,19.97861671447754,56845,antes,ADV,35.669559478759766,54767
151,on,ADP,18.37626075744629,56845,apps,VERB,34.368831634521484,54767
152,the,DET,20.73532485961914,56845,0,0,0.0,0
153,topic,NOUN,18.230205535888672,56845,0,0,0.0,0
