,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,The,DET,21.81292152404785,12645,La,DET,33.81645202636719,12645
1,school,NOUN,17.372665405273438,12645,escuela,NOUN,31.028541564941406,12645
2,of,ADP,21.4597225189209,12645,de,ADP,31.29764175415039,12645
3,architecture,NOUN,20.535358428955078,12645,arquitectura,NOUN,29.536619186401367,12645
4,at,ADP,20.48117446899414,12645,en,ADP,32.421260833740234,12645
5,that,DET,18.952924728393555,12645,la,DET,35.069725036621094,12645
6,I,PRON,25.49127960205078,12645,que,PRON,34.03915786743164,12645
7,studied,VERB,23.631837844848633,12645,estudié,PROPN,33.47404098510742,12645
8,some,ADV,19.558574676513672,12645,hace,AUX,34.94009017944336,12645
9,ago,ADV,20.656387329101562,12645,unos,PRON,31.419849395751953,12645
10,30,NUM,23.186580657958984,12645,30,NUM,35.27129364013672,12645
11,years,NOUN,23.78509521484375,12645,años,NOUN,35.72401428222656,12645
12,happened,VERB,22.256357192993164,16999,resultó,VERB,35.039215087890625,17025
13,be,AUX,23.942110061645508,16999,estar,AUX,36.52760314941406,17025
14,to,PART,21.1340274810791,16999,al,ADP,34.68385696411133,17025
15,the,DET,23.454612731933594,16999,otro,DET,34.196720123291016,17025
16,street,NOUN,18.60329246520996,16999,lado,NOUN,29.885391235351562,17025
17,across,ADP,21.701427459716797,16999,de,ADP,31.430606842041016,17025
18,the,DET,22.312938690185547,16999,la,DET,32.61793518066406,17025
19,art,NOUN,19.904104232788086,16999,calle,NOUN,28.94126319885254,17025
20,from,ADP,19.922260284423828,16999,de,ADP,31.36530303955078,17025
21,0,0,0.0,0,la,DET,31.675626754760742,17025
22,wonderful,ADJ,19.484344482421875,16999,maravillosa,ADJ,33.298370361328125,17025
23,gallery,NOUN,19.135601043701172,16999,galería,NOUN,33.07330322265625,17025
24,0,0,0.0,0,de,ADP,32.670501708984375,17025
25,0,0,0.0,0,arte,NOUN,30.978057861328125,17025
26,0,0,0.0,0,diseñada,AUX,34.67390060424805,20832
27,0,0,0.0,0,por,ADP,32.00992202758789,20832
28,0,0,0.0,0,el,DET,34.718631744384766,20832
29,0,0,0.0,0,gran,ADJ,36.93196487426758,20832
30,0,0,0.0,0,arquitecto,NOUN,31.337692260742188,20832
31,0,0,0.0,0,Louis,PROPN,34.63714599609375,20832
32,0,0,0.0,0,Kahn,PROPN,36.99423599243164,20832
33,0,0,0.0,0,.,PUNCT,31.755821228027344,20832
34,I,PRON,24.736955642700195,24977,Me,PRON,32.29035949707031,24977
35,love,VERB,24.061962127685547,24977,encanta,VERB,35.404693603515625,24977
36,the,DET,22.81584930419922,24977,el,DET,36.40442657470703,24977
37,building,NOUN,20.331371307373047,24977,edificio,NOUN,30.891666412353516,24977
38,I,PRON,25.651304244995117,24977,y,CONJ,33.39409637451172,24977
39,and,CCONJ,19.687814712524414,24977,solía,AUX,32.92736053466797,24977
40,used,VERB,22.66617774963379,24977,visitarlo,VERB,33.849735260009766,24977
41,quite,ADV,22.878450393676758,24977,muy,ADV,35.43936538696289,24977
42,to,PART,23.822877883911133,24977,a,ADP,32.1891975402832,24977
43,0,0,0.0,0,menudo,NOUN,31.15125846862793,24977
44,",",PUNCT,20.794029235839844,24977,.,PUNCT,34.54726028442383,24977
45,it,PRON,21.91805076599121,24977,Un,DET,32.986812591552734,28654
46,often,ADV,23.00582504272461,24977,día,NOUN,33.704673767089844,28654
47,.,PUNCT,22.448694229125977,24977,",",PUNCT,32.367679595947266,28654
48,visit,VERB,26.240758895874023,24977,vi,VERB,31.971351623535156,28654
49,0,0,0.0,0,al,ADP,35.87782287597656,28654
50,0,0,0.0,0,guardia,NOUN,31.361974716186523,28654
51,0,0,0.0,0,de,ADP,32.03860092163086,28654
52,0,0,0.0,0,seguridad,NOUN,31.789981842041016,28654
53,0,0,0.0,0,pasar,VERB,35.13639450073242,28654
54,0,0,0.0,0,la,DET,33.735877990722656,28654
55,0,0,0.0,0,mano,NOUN,30.40882682800293,28654
56,0,0,0.0,0,sobre,ADP,32.790809631347656,28654
57,0,0,0.0,0,el,DET,35.1484375,28654
58,0,0,0.0,0,muro,NOUN,29.599937438964844,28654
59,0,0,0.0,0,de,ADP,31.007829666137695,28654
60,0,0,0.0,0,hormigón,PROPN,29.185157775878906,28654
61,0,0,0.0,0,.,PUNCT,31.84935760498047,28654
62,And,CCONJ,20.45677375793457,36852,Y,CONJ,33.07640075683594,36852
63,was,AUX,24.1983585357666,36852,fue,AUX,33.37456130981445,36852
64,the,DET,23.632612228393555,36852,la,DET,34.708763122558594,36852
65,way,NOUN,19.626569747924805,36852,forma,NOUN,34.0499153137207,36852
66,it,PRON,24.479997634887695,36852,en,ADP,31.544939041137695,36852
67,he,PRON,24.197158813476562,36852,que,PRON,35.20781707763672,36852
68,it,PRON,23.24384880065918,36852,lo,PRON,32.488441467285156,36852
69,did,AUX,26.021053314208984,36852,hizo,VERB,35.38335037231445,36852
70,",",PUNCT,19.942028045654297,36852,",",PUNCT,30.05762481689453,36852
71,0,0,0.0,0,la,DET,34.018035888671875,36852
72,0,0,0.0,0,expresión,NOUN,31.366910934448242,36852
73,0,0,0.0,0,en,ADP,31.519699096679688,36852
74,0,0,0.0,0,su,DET,32.94679260253906,36852
75,0,0,0.0,0,rostro,NOUN,30.866796493530273,36852
76,0,0,0.0,0,...,PUNCT,30.903472900390625,36852
77,something,PRON,21.72327995300293,41254,Algo,PRON,34.3202018737793,41254
78,me,PRON,25.10359001159668,41254,me,PRON,32.43602752685547,41254
79,touched,VERB,24.275354385375977,41254,llegó,VERB,35.921756744384766,41254
80,.,PUNCT,20.188617706298828,41254,.,PUNCT,31.76158905029297,41254
81,I,PRON,25.04105567932129,43901,Pude,AUX,32.517181396484375,43901
82,could,VERB,25.240707397460938,43901,ver,AUX,36.47018051147461,43901
83,that,SCONJ,18.818416595458984,43901,que,SCONJ,32.607791900634766,43901
84,the,DET,20.281700134277344,43901,el,DET,33.220252990722656,43901
85,security,NOUN,17.705087661743164,43901,guardia,NOUN,32.74679183959961,43901
86,see,VERB,24.665163040161133,43901,de,ADP,32.85500717163086,43901
87,guard,NOUN,20.032480239868164,43901,seguridad,NOUN,31.59684944152832,43901
88,was,AUX,22.769765853881836,43901,estaba,AUX,35.56095886230469,43901
89,moved,VERB,21.430850982666016,43901,conmovido,ADJ,35.49171829223633,43901
90,by,ADP,21.487323760986328,43901,por,ADP,32.12073516845703,43901
91,the,DET,22.721540451049805,43901,el,DET,35.970420837402344,43901
92,building,NOUN,19.539968490600586,43901,edificio,NOUN,31.718198776245117,43901
93,and,CCONJ,18.61641502380371,49511,y,CONJ,35.37448501586914,49511
94,that,SCONJ,19.530113220214844,49511,que,SCONJ,32.678470611572266,49511
95,has,AUX,23.6782169342041,49511,la,DET,32.61421585083008,49511
96,architecture,NOUN,20.013669967651367,49511,arquitectura,NOUN,32.27950668334961,49511
97,0,0,0.0,0,tiene,VERB,36.65333938598633,49511
98,that,DET,22.16673469543457,49511,esa,DET,35.89896011352539,49511
99,capacity,NOUN,18.204917907714844,49511,capacidad,NOUN,35.278587341308594,49511
100,0,0,0.0,0,de,ADP,31.307710647583008,49511
101,0,0,0.0,0,conmover,VERB,33.9127082824707,49511
102,0,0,0.0,0,.,PUNCT,32.617374420166016,49511
103,I,PRON,24.96746826171875,55349,Podía,AUX,32.309326171875,55349
104,could,VERB,25.357013702392578,55349,verlo,VERB,33.57027053833008,55349
105,",",PUNCT,19.696592330932617,55349,",",PUNCT,30.83014678955078,55349
106,it,PRON,23.115848541259766,55349,y,CONJ,33.57048416137695,55349
107,see,VERB,25.953990936279297,55349,recuerdo,VERB,33.74250793457031,55349
108,and,CCONJ,19.70461082458496,55349,haber,AUX,36.41160202026367,55349
109,remember,VERB,23.537372589111328,55349,pensado,VERB,34.34012985229492,55349
110,0,0,0.0,0,:,PUNCT,33.58171844482422,55349
111,",",PUNCT,21.449718475341797,55349,"""",PUNCT,30.09366798400879,55349
112,0,0,0.0,0,Guau,INTJ,31.398588180541992,55349
113,0,0,0.0,0,.,PUNCT,31.474918365478516,55349
114,0,0,0.0,0,¿,PUNCT,30.90015983581543,55349
115,I,PRON,26.527799606323242,55349,Cómo,PRON,31.09659194946289,55349
116,thinking,VERB,19.51548957824707,55349,hace,VERB,35.66365051269531,55349
117,0,0,0.0,0,eso,PRON,32.80036163330078,55349
118,0,0,0.0,0,la,DET,32.522464752197266,55349
119,0,0,0.0,0,arquitectura,NOUN,31.742122650146484,55349
120,0,0,0.0,0,?,PUNCT,34.218807220458984,55349
121,0,0,0.0,0,"""",PUNCT,32.2671012878418,55349
122,At,ADP,22.000722885131836,63175,En,ADP,32.52886199951172,63175
123,0,0,0.0,0,la,DET,32.20417022705078,63175
124,school,NOUN,17.63399887084961,63175,escuela,NOUN,31.532480239868164,63175
125,I,PRON,23.815706253051758,63175,estaba,AUX,35.03807830810547,63175
126,was,AUX,25.361045837402344,63175,aprendiendo,AUX,33.37712860107422,63175
127,learning,VERB,23.06172752380371,63175,a,ADP,33.2130241394043,63175
128,design,VERB,23.857759475708008,63175,diseñar,VERB,35.23777770996094,63175
129,",",PUNCT,23.035118103027344,63175,",",PUNCT,30.39769172668457,63175
130,to,PART,21.02419090270996,63175,pero,CONJ,34.14356994628906,67285
131,0,0,0.0,0,aquí,ADV,34.70376968383789,67285
132,",",PUNCT,22.06319236755371,63175,",",PUNCT,29.708091735839844,67285
133,0,0,0.0,0,aquí,ADV,35.39690399169922,67285
134,0,0,0.0,0,hubo,AUX,34.06683349609375,67285
135,0,0,0.0,0,una,DET,34.007991790771484,67285
136,0,0,0.0,0,reacción,NOUN,32.570369720458984,67285
137,0,0,0.0,0,del,ADP,34.081512451171875,67285
138,0,0,0.0,0,corazón,NOUN,31.71438980102539,67285
139,0,0,0.0,0,.,PUNCT,32.61159896850586,67285
140,And,CCONJ,20.752273559570312,71779,Y,CONJ,31.345895767211914,71779
141,it,PRON,23.62000274658203,71779,me,PRON,32.769412994384766,71779
142,touched,VERB,26.522565841674805,71779,llegó,VERB,36.48771667480469,71779
143,to,ADP,20.053388595581055,71779,a,ADP,33.845462799072266,71779
144,the,DET,21.94318199157715,71779,lo,DET,32.53911590576172,71779
145,me,PRON,24.40374183654785,71779,más,ADV,35.344688415527344,71779
146,core,NOUN,18.555503845214844,71779,hondo,ADJ,35.34917068481445,71779
147,.,PUNCT,21.51466941833496,71779,.,PUNCT,32.876548767089844,71779
148,You,PRON,24.07686424255371,77349,Saben,PROPN,35.85323715209961,77349
149,",",PUNCT,20.6844425201416,77349,",",PUNCT,30.837331771850586,77349
150,you,PRON,22.041118621826172,77349,Uds.,PROPN,33.971710205078125,77349
151,know,VERB,23.61358642578125,77349,aspiran,VERB,32.95685577392578,77349
152,for,ADP,21.452472686767578,77349,a,ADP,34.440391540527344,77349
153,aspire,VERB,19.15033721923828,77349,alcanzar,VERB,37.54291534423828,77349
154,0,0,0.0,0,la,DET,33.14476013183594,77349
155,beauty,NOUN,18.72420883178711,77349,belleza,NOUN,32.17295455932617,77349
156,",",PUNCT,20.210433959960938,77349,",",PUNCT,30.18600845336914,77349
157,0,0,0.0,0,la,DET,34.10593032836914,82616
158,0,0,0.0,0,sensualidad,NOUN,32.42002868652344,82616
159,0,0,0.0,0,",",PUNCT,29.230670928955078,82616
160,0,0,0.0,0,la,DET,32.5052375793457,82616
161,0,0,0.0,0,atmósfera,NOUN,30.79807472229004,82616
162,0,0,0.0,0,",",PUNCT,30.375953674316406,82616
163,0,0,0.0,0,la,DET,33.558692932128906,82616
164,0,0,0.0,0,respuesta,NOUN,32.42605209350586,82616
165,0,0,0.0,0,emocional,ADJ,33.39979553222656,82616
166,0,0,0.0,0,.,PUNCT,33.743011474609375,82616
167,That,DET,19.767982482910156,89550,Ese,PRON,32.16766357421875,89550
168,'s,AUX,22.335308074951172,89550,es,AUX,30.723081588745117,89550
169,the,DET,21.89937400817871,89550,el,DET,32.16168975830078,89550
170,realm,NOUN,19.40443229675293,89550,reino,NOUN,30.623077392578125,89550
171,of,ADP,22.139610290527344,89550,de,ADP,30.321243286132812,89550
172,the,DET,20.653060913085938,89550,lo,DET,32.23760986328125,89550
173,ineffable,ADJ,18.270709991455078,89550,inefable,ADJ,30.242521286010742,89550
174,0,0,0.0,0,y,CONJ,32.398887634277344,89550
175,0,0,0.0,0,lo,DET,33.26841735839844,89550
176,0,0,0.0,0,inconmensurable,ADJ,32.842674255371094,89550
177,0,0,0.0,0,.,PUNCT,32.70988845825195,89550
178,And,CCONJ,19.061981201171875,93901,Y,CONJ,32.738006591796875,93927
179,what,PRON,24.37921714782715,93901,eso,PRON,33.243255615234375,93927
180,'s,AUX,23.31126594543457,93901,es,AUX,32.74323272705078,93927
181,for,ADP,21.424482345581055,93901,por,ADP,31.321224212646484,93927
182,that,DET,20.204843521118164,93901,lo,DET,34.145225524902344,93927
183,you,PRON,25.212247848510742,93901,que,PRON,31.174224853515625,93927
184,0,0,0.0,0,Uds.,PROPN,34.13551330566406,93927
185,live,VERB,22.497779846191406,93901,viven,VERB,32.661781311035156,93927
186,:,PUNCT,18.680917739868164,93901,:,PUNCT,31.812862396240234,93927
187,0,0,0.0,0,una,DET,34.17715072631836,93927
188,0,0,0.0,0,oportunidad,NOUN,32.97793960571289,93927
189,0,0,0.0,0,para,ADP,34.09825897216797,93927
190,0,0,0.0,0,intentar,VERB,36.34107971191406,93927
191,0,0,0.0,0,.,PUNCT,33.63235855102539,93927
192,0,0,0.0,0,En,ADP,31.67572593688965,99663
193,chance,NOUN,22.01063346862793,96791,2003,NOUN,33.93791961669922,99663
194,to,PART,24.139806747436523,96791,hubo,AUX,33.07212829589844,99663
195,a,DET,22.079744338989258,96791,una,DET,34.61605453491211,99663
196,.,PUNCT,21.46072769165039,96791,convocatoria,NOUN,33.44911575317383,99663
197,0,0,0.0,0,abierta,ADJ,34.70511245727539,99663
198,0,0,0.0,0,para,ADP,33.7497444152832,99663
199,try,VERB,25.44500732421875,96791,enviar,VERB,37.3348274230957,99663
200,0,0,0.0,0,diseños,NOUN,35.980709075927734,99663
201,for,ADP,20.805789947509766,103179,para,ADP,33.78487014770508,103193
202,the,DET,19.980270385742188,103179,el,DET,32.844276428222656,103193
203,Bahá'í,ADJ,20.341712951660156,103179,Templo,PROPN,35.69969177246094,103193
204,Temple,PROPN,21.86135482788086,103179,Bahá'í,PROPN,35.16046142578125,103193
205,for,ADP,22.804611206054688,103179,en,ADP,32.20209503173828,103193
206,South,PROPN,20.876310348510742,103179,América,PROPN,37.19769287109375,103193
207,0,0,0.0,0,del,ADP,33.718894958496094,103193
208,America,PROPN,22.461946487426758,103179,Sur,PROPN,35.48834228515625,103193
209,.,PUNCT,20.59837532043457,103179,.,PUNCT,32.27024459838867,103193
210,This,DET,23.45265007019043,105325,el,DET,33.67921829223633,105361
211,was,AUX,24.221145629882812,105325,Era,AUX,34.02888107299805,105361
212,the,DET,24.72909164428711,105325,0,0,0.0,0
213,first,ADJ,19.928754806518555,105325,primer,ADJ,34.84918975830078,105361
214,temple,NOUN,19.468656539916992,105325,templo,NOUN,33.15639877319336,105361
215,in,ADP,20.620956420898438,105325,en,ADP,33.61698913574219,105361
216,all,DET,21.254968643188477,105325,toda,DET,30.679344177246094,105361
217,of,ADP,21.762292861938477,105325,del,ADP,33.8227653503418,105361
218,South,PROPN,19.367124557495117,105325,Sur,PROPN,35.458438873291016,105361
219,America,PROPN,22.733360290527344,105325,América,PROPN,35.87189483642578,105361
220,.,PUNCT,20.57080078125,105325,.,PUNCT,32.281063079833984,105361
221,It,PRON,23.714418411254883,108347,0,0,0.0,0
222,'s,AUX,22.78516387939453,108347,Es,AUX,33.79269790649414,108373
223,a,DET,21.97163963317871,108347,un,DET,37.92119216918945,108373
224,continental,ADJ,20.9946231842041,108347,continental,ADJ,32.81655502319336,108373
225,temple,NOUN,22.00938606262207,108347,templo,NOUN,32.66399383544922,108373
226,",",PUNCT,22.363426208496094,108347,",",PUNCT,30.356056213378906,108373
227,a,DET,21.290298461914062,110255,un,DET,37.567413330078125,110311
228,milestone,NOUN,19.606046676635742,110255,hito,NOUN,32.72654724121094,110311
229,hugely,ADV,22.1645450592041,110255,muy,ADV,37.99415969848633,110311
230,important,ADJ,21.336017608642578,110255,importante,ADJ,36.20256042480469,110311
231,for,ADP,20.416173934936523,110255,para,ADP,34.15617752075195,110311
232,the,DET,19.706890106201172,110255,la,DET,32.394187927246094,110311
233,community,NOUN,20.465730667114258,110255,comunidad,NOUN,32.371543884277344,110311
234,Bahá'í,ADJ,18.7440128326416,110255,bahá'í,PROPN,35.6944580078125,110311
235,",",PUNCT,21.87957763671875,110255,",",PUNCT,30.898719787597656,110311
236,because,SCONJ,19.89678382873535,113458,porque,SCONJ,36.08432388305664,113524
237,would,VERB,23.329410552978516,113458,este,PRON,33.39591598510742,113524
238,be,AUX,24.381404876708984,113458,sería,AUX,30.947364807128906,113524
239,this,DET,25.217222213745117,113458,el,DET,33.37049865722656,113524
240,last,ADJ,19.908557891845703,113458,último,ADJ,30.606794357299805,113524
241,of,ADP,22.95688247680664,113458,de,ADP,31.66274642944336,113524
242,the,DET,22.288869857788086,113458,los,DET,35.15975570678711,113524
243,continental,ADJ,20.378366470336914,113458,templos,ADJ,33.325782775878906,113524
244,temples,NOUN,20.56370735168457,113458,continentales,NOUN,35.29059600830078,113524
245,0,0,0.0,0,y,CONJ,34.66746139526367,117624
246,0,0,0.0,0,abriría,VERB,34.89494705200195,117624
247,the,DET,20.72858428955078,113458,la,DET,33.74960708618164,117624
248,0,0,0.0,0,puerta,NOUN,32.29655456542969,117624
249,0,0,0.0,0,a,ADP,31.398046493530273,117624
250,0,0,0.0,0,la,DET,32.96969985961914,117624
251,0,0,0.0,0,construcción,NOUN,31.09926414489746,117624
252,0,0,0.0,0,de,ADP,31.507022857666016,117624
253,0,0,0.0,0,templos,NOUN,32.489105224609375,117624
254,0,0,0.0,0,nacionales,ADJ,34.67300796508789,117624
255,0,0,0.0,0,y,CONJ,33.073814392089844,117624
256,0,0,0.0,0,locales,ADJ,34.98784255981445,117624
257,around,ADP,20.054584503173828,121294,en,ADP,32.17552185058594,121320
258,the,DET,22.794166564941406,121294,todo,DET,35.65938186645508,121320
259,0,0,0.0,0,el,DET,35.95356750488281,121320
260,world,NOUN,18.508371353149414,121294,mundo,NOUN,31.774805068969727,121320
261,.,PUNCT,21.86214828491211,121294,.,PUNCT,31.760332107543945,121320
262,And,CCONJ,19.70649528503418,122643,Y,CONJ,33.93989181518555,122709
263,the,DET,23.36612319946289,122643,la,DET,34.8043098449707,122709
