,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Well,INTJ,24.40491485595703,15260,que,SCONJ,33.579933166503906,15260
1,we,PRON,23.21511459350586,15260,Todos,PRON,33.00948715209961,15260
2,all,DET,21.211456298828125,15260,la,DET,30.260177612304688,15260
3,know,VERB,24.186954498291016,15260,sabemos,VERB,34.63766860961914,15260
4,the,DET,21.182615280151367,15260,World,PROPN,36.57979965209961,15260
5,World,PROPN,21.364517211914062,15260,Wide,PROPN,36.96660614013672,15260
6,Wide,PROPN,19.073408126831055,15260,Web,PROPN,33.92356872558594,15260
7,Web,NOUN,21.14948081970215,15260,0,0,0.0,0
8,has,AUX,21.87137222290039,17260,ha,AUX,36.53797149658203,17260
9,transformed,VERB,22.329328536987305,17260,transformado,VERB,34.76426315307617,17260
10,absolutely,ADV,26.267244338989258,17260,por,ADP,34.01884841918945,17260
11,publishing,NOUN,23.82360076904297,17260,completo,NOUN,30.65230941772461,17260
12,",",PUNCT,23.48198127746582,17260,los,DET,36.32240295410156,17260
13,broadcasting,NOUN,21.238296508789062,17260,medios,NOUN,37.6422119140625,17260
14,0,0,0.0,0,escritos,ADJ,34.09468078613281,17260
15,0,0,0.0,0,y,CONJ,34.91255569458008,17260
16,0,0,0.0,0,audiovisuales,ADJ,35.12800598144531,17260
17,",",PUNCT,20.973419189453125,17260,",",PUNCT,31.749540328979492,17260
18,0,0,0.0,0,el,DET,35.257659912109375,21260
19,commerce,NOUN,19.78015899658203,21260,comercio,NOUN,31.01705551147461,21260
20,and,CCONJ,24.948301315307617,21260,y,CONJ,30.966405868530273,21260
21,0,0,0.0,0,las,DET,33.38479232788086,21260
22,connectivity,NOUN,19.83115577697754,21260,conexiones,NOUN,36.198974609375,21260
23,social,ADJ,18.947254180908203,21260,sociales,ADJ,35.6625862121582,21260
24,",",PUNCT,20.27667999267578,21260,",",PUNCT,30.3306941986084,21260
25,but,CCONJ,21.367849349975586,23260,pero,CONJ,33.87963104248047,23260
26,where,ADV,22.69753074645996,23260,¿,PUNCT,31.405458450317383,23260
27,did,AUX,22.11260986328125,23260,es,AUX,32.10425567626953,23260
28,it,PRON,21.78120994567871,23260,cuál,PRON,32.345855712890625,23260
29,all,DET,21.212507247924805,23260,su,DET,34.71705627441406,23260
