,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Do,AUX,22.210660934448242,15260,¿,PUNCT,29.304475784301758,15260
1,you,PRON,24.180294036865234,15260,0,0,0.0,0
2,remember,VERB,23.930686950683594,15260,Recuerdan,VERB,32.740997314453125,15260
3,the,DET,20.378007888793945,15260,la,DET,31.946088790893555,15260
4,story,NOUN,19.1607608795166,15260,historia,NOUN,31.18085289001465,15260
5,of,ADP,18.020246505737305,17260,de,ADP,30.632110595703125,17260
6,Odysseus,PROPN,18.236665725708008,17260,Odiseo,PROPN,36.07900619506836,17260
7,and,CCONJ,21.203643798828125,17260,y,CONJ,30.866609573364258,17260
8,the,DET,19.741962432861328,17260,las,DET,33.063438415527344,17260
9,Sirens,NOUN,19.4926815032959,17260,sirenas,NOUN,35.5323371887207,17260
10,0,0,0.0,0,",",PUNCT,30.888566970825195,17260
11,from,ADP,21.46823501586914,19260,de,ADP,33.262943267822266,19260
12,high,ADJ,18.114831924438477,19260,la,DET,32.411102294921875,19260
13,school,NOUN,18.25484275817871,19260,escuela,NOUN,30.669527053833008,19260
14,or,CCONJ,26.50583839416504,19260,0,0,0.0,0
15,junior,ADJ,20.751867294311523,19260,secundaria,ADJ,32.3678092956543,19260
16,high,ADJ,17.367212295532227,19260,0,0,0.0,0
17,school,NOUN,18.310365676879883,19260,0,0,0.0,0
18,?,PUNCT,21.12990379333496,19260,?,PUNCT,34.01498031616211,19260
19,There,PRON,21.048341751098633,21260,0,0,0.0,0
20,was,AUX,21.97676658630371,21260,héroe,NOUN,32.05558395385742,21260
21,this,DET,25.03004264831543,21260,El,DET,35.13064193725586,21260
22,hero,NOUN,20.162418365478516,21260,casa,NOUN,31.09857940673828,21260
23,",",PUNCT,19.318092346191406,21260,a,ADP,31.148937225341797,21260
24,Odysseus,PROPN,18.931713104248047,21260,Odiseo,PROPN,32.884281158447266,21260
25,",",PUNCT,19.948862075805664,21260,0,0,0.0,0
26,who,PRON,23.105566024780273,21260,0,0,0.0,0
27,'s,AUX,23.409278869628906,21260,0,0,0.0,0
