,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,'s,AUX,21.01262855529785,13240,He,AUX,34.04351043701172,13240
1,Here,ADV,21.325660705566406,13240,aquí,ADV,35.346656799316406,13240
2,a,DET,22.769731521606445,13240,un,DET,36.9006462097168,13240
3,fact,NOUN,22.45484161376953,13240,hecho,NOUN,32.8487548828125,13240
4,startling,ADJ,21.610841751098633,13240,sorprendente,ADJ,33.096290588378906,13240
5,:,PUNCT,20.318857192993164,13240,:,PUNCT,31.273540496826172,13240
6,in,ADP,19.96522331237793,15095,en,ADP,34.03009796142578,15095
7,the,DET,21.253276824951172,15095,los,DET,34.98550796508789,15095
8,45,NUM,22.233978271484375,15095,45,NUM,36.384376525878906,15095
9,years,NOUN,22.993385314941406,15095,años,NOUN,35.738197326660156,15095
10,since,SCONJ,20.77813148498535,15095,desde,ADP,34.00286865234375,15095
11,the,DET,21.211795806884766,15095,la,DET,34.30504608154297,15095
12,introduction,NOUN,19.5136661529541,15095,introducción,NOUN,30.661684036254883,15095
13,of,ADP,22.310935974121094,15095,de,ADP,31.618728637695312,15095
14,the,DET,20.050193786621094,15095,los,DET,36.32255554199219,15095
15,teller,NOUN,20.099132537841797,15095,cajeros,NOUN,34.47395706176758,15095
16,automated,VERB,20.5979061126709,15095,automáticos,ADJ,34.62778091430664,15095
17,",",PUNCT,20.086627960205078,15095,",",PUNCT,29.802156448364258,15095
18,those,DET,22.599706649780273,18840,esas,DET,32.99718475341797,18840
19,machine,NOUN,17.66582489013672,15095,máquinas,NOUN,35.233070373535156,18840
20,vending,VERB,21.52204132080078,18840,expendedoras,ADJ,34.68519973754883,18840
21,that,DET,22.623245239257812,18840,que,PRON,33.483055114746094,18840
22,dispense,VERB,18.0916805267334,18840,dispensan,VERB,35.710731506347656,18840
23,machines,NOUN,21.346149444580078,18840,dinero,NOUN,33.33750534057617,18840
24,of,ADP,22.87615394592285,21720,en,ADP,34.795654296875,18840
25,cash,NOUN,19.115453720092773,18840,efectivo,NOUN,29.339767456054688,18840
26,",",PUNCT,20.712244033813477,18840,",",PUNCT,30.830785751342773,18840
27,the,DET,21.5635986328125,21720,el,DET,35.75654602050781,21720
28,number,NOUN,19.751211166381836,21720,número,NOUN,29.817766189575195,21720
29,human,ADJ,18.384130477905273,21720,de,ADP,30.60392951965332,21720
30,bank,NOUN,19.52060890197754,21720,cajeros,NOUN,32.102500915527344,21720
31,in,ADP,22.58271026611328,21720,de,ADP,31.3243408203125,21720
32,employed,VERB,20.801334381103516,21720,banco,PROPN,30.86908531188965,21720
33,United,PROPN,21.60337257385254,21720,humanos,PROPN,32.35668182373047,21720
34,tellers,NOUN,21.374353408813477,21720,empleados,NOUN,34.342124938964844,21720
35,from,ADP,20.495132446289062,26200,en,ADP,33.434906005859375,21720
36,States,PROPN,20.65155792236328,21720,EE,PROPN,34.51866149902344,21720
37,the,DET,22.097326278686523,21720,.,PUNCT,32.15735626220703,21720
38,roughly,ADV,25.373245239257812,24920,UU,PROPN,30.696453094482422,21720
39,",",PUNCT,19.313425064086914,24920,.,PUNCT,32.73059844970703,21720
40,a,DET,19.65624237060547,26200,se,PRON,34.274742126464844,24920
41,has,AUX,21.772186279296875,24920,ha,AUX,36.422733306884766,24920
42,doubled,VERB,22.16699981689453,24920,duplicado,VERB,34.92404556274414,24920
43,a,DET,23.16803741455078,26200,",",PUNCT,30.205177307128906,24920
44,of,ADP,22.97370719909668,26200,de,ADP,30.38881492614746,26200
45,about,ADV,19.131267547607422,26200,alrededor,ADV,33.610084533691406,26200
46,million,NUM,21.712039947509766,26200,de,ADP,30.9979248046875,26200
47,a,DET,20.16071319580078,26200,un,DET,35.662357330322266,26200
48,quarter,NOUN,21.686996459960938,26200,cuarto,NOUN,31.107681274414062,26200
49,to,ADP,20.34600067138672,26200,de,ADP,30.374319076538086,26200
50,half,NOUN,22.642412185668945,26200,millón,NOUN,32.181251525878906,26200
51,a,DET,20.2925968170166,26200,a,ADP,31.83507537841797,26200
52,A,DET,23.778785705566406,29520,un,DET,32.84844970703125,26200
53,million,NUM,21.678464889526367,26200,medio,NUM,35.67924880981445,26200
54,quarter,NOUN,20.98224639892578,29520,millón,NOUN,33.12037658691406,26200
55,.,PUNCT,22.015039443969727,26200,.,PUNCT,32.32402038574219,26200
56,of,ADP,23.07787322998047,29520,De,ADP,32.88848876953125,29520
57,a,DET,20.442913055419922,29520,un,DET,35.75878143310547,29520
58,million,NUM,22.556575775146484,29520,cuarto,NOUN,30.80181884765625,29520
59,in,ADP,22.02444839477539,29520,de,ADP,30.888263702392578,29520
60,1970,NUM,22.57175064086914,29520,millón,NOUN,32.4580078125,29520
61,to,ADP,19.9044132232666,29520,en,ADP,33.28268814086914,29520
62,half,NOUN,22.341915130615234,29520,1970,NOUN,33.96828842163086,29520
63,a,DET,18.24529457092285,29520,a,ADP,30.896326065063477,29520
64,about,ADV,18.98599624633789,29520,alrededor,ADV,31.954849243164062,29520
65,a,DET,20.434656143188477,29520,de,ADP,30.329853057861328,29520
66,million,NUM,23.084585189819336,29520,medio,NUM,35.32202911376953,29520
67,today,NOUN,22.8194580078125,29520,millón,NOUN,31.78431510925293,29520
68,with,ADP,20.424579620361328,32580,de,ADP,31.2717227935791,29520
69,since,SCONJ,22.92673110961914,32580,hoy,ADV,31.448963165283203,29520
70,",",PUNCT,22.16912078857422,29520,",",PUNCT,28.508342742919922,29520
71,added,VERB,21.956710815429688,32580,con,ADP,32.80617141723633,32890
72,"100,000",NUM,21.047243118286133,32580,100,NUM,34.735565185546875,32890
73,2000,NUM,20.390783309936523,32580,000,NUM,32.80126953125,32890
74,year,NOUN,18.754526138305664,32580,añadidos,ADJ,34.953857421875,32890
75,in,ADP,21.806852340698242,36840,desde,ADP,35.80372619628906,32890
76,the,DET,22.18211555480957,32580,el,DET,32.28899002075195,32890
77,facts,NOUN,19.14100456237793,36840,año,NOUN,32.13261795043945,32890
78,revealed,VERB,21.798391342163086,36840,2000,NUM,34.90951156616211,32890
79,",",PUNCT,22.346406936645508,36840,.,PUNCT,32.61588668823242,32890
80,These,DET,23.243610382080078,36840,Estos,DET,29.59627914428711,36840
81,book,NOUN,21.167577743530273,36840,hechos,NOUN,33.08573913574219,36840
