,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.763471603393555,26000,Hoy,ADV,34.15886306762695,26000
1,'m,AUX,23.224576950073242,26000,a,ADP,33.55082321166992,26000
2,going,VERB,25.01806640625,26000,voy,VERB,34.1487922668457,26000
3,to,PART,22.653606414794922,26000,hablarles,ADJ,34.397178649902344,26000
4,talk,VERB,24.906936645507812,26000,convertir,VERB,35.768394470214844,28000
5,to,ADP,19.882709503173828,26000,de,ADP,31.920215606689453,26000
6,you,PRON,23.37020492553711,26000,el,DET,35.69496536254883,28000
7,today,NOUN,20.418418884277344,26000,miedo,NOUN,32.22908401489258,28000
8,about,ADP,20.4638671875,26000,en,ADP,32.67243194580078,28000
9,hopefully,ADV,21.668373107910156,28000,acerca,ADV,34.22272491455078,26000
10,converting,VERB,22.5565242767334,28000,vamos,VERB,34.65473556518555,31000
11,fear,NOUN,20.476959228515625,28000,Cuando,SCONJ,33.15964126586914,31000
12,into,ADP,22.225839614868164,28000,con,ADP,33.365821838378906,31000
13,hope,NOUN,19.73932647705078,28000,esperanza,NOUN,29.40085792541504,28000
14,.,PUNCT,22.961206436157227,28000,",",PUNCT,30.516508102416992,31000
15,When,ADV,23.163410186767578,31000,actualmente,ADV,34.23841857910156,31000
16,we,PRON,26.488876342773438,31000,cuando,SCONJ,35.29393005371094,34000
17,go,VERB,22.00111198425293,31000,llegamos,VERB,34.88115692138672,34000
18,to,ADP,19.21973991394043,31000,al,ADP,34.25048828125,34000
19,the,DET,23.11911392211914,31000,el,DET,35.42194366455078,31000
20,physician,NOUN,19.411884307861328,31000,especialista,NOUN,31.58426284790039,31000
21,today,NOUN,22.218809127807617,31000,consultorio,NOUN,31.38279151916504,34000
22,--,PUNCT,20.713489532470703,31000,",",PUNCT,30.64042854309082,34000
23,when,ADV,23.90166473388672,34000,y,CONJ,33.29036331176758,34000
24,we,PRON,26.422916412353516,34000,que,PRON,36.020179748535156,36000
25,go,VERB,22.073974609375,34000,entramos,VERB,31.51243782043457,34000
26,to,ADP,18.918888092041016,34000,hay,AUX,34.656490325927734,36000
27,the,DET,22.642398834228516,34000,no,ADV,32.693206787109375,36000
28,doctor,NOUN,18.03021812438965,34000,palabras,NOUN,34.53731918334961,36000
29,'s,PART,21.49076271057129,34000,queremos,VERB,34.01262664794922,36000
30,office,NOUN,17.13988494873047,34000,palabras,NOUN,33.06351852416992,39000
31,and,CCONJ,22.542192459106445,34000,.,PUNCT,32.6919059753418,36000
32,we,PRON,24.366519927978516,34000,Hay,AUX,33.184059143066406,39000
33,walk,VERB,23.060440063476562,34000,escuchar,VERB,34.70059585571289,36000
34,in,ADV,18.288036346435547,34000,a,ADP,34.53734588623047,39000
35,",",PUNCT,19.3995361328125,34000,.,PUNCT,32.128318786621094,39000
36,there,PRON,22.041166305541992,36000,que,PRON,32.195133209228516,39000
37,are,AUX,24.039670944213867,36000,tenemos,VERB,34.266395568847656,39000
38,words,NOUN,24.509885787963867,36000,temor,NOUN,33.71198272705078,39000
39,that,DET,21.64365577697754,36000,las,DET,33.71078109741211,39000
40,we,PRON,25.116243362426758,36000,genuino,ADJ,31.797805786132812,39000
41,just,ADV,25.87287139892578,36000,Diabetes,NOUN,33.52846145629883,41000
42,do,AUX,22.42804527282715,36000,",",PUNCT,30.487781524658203,41000
43,n't,PART,24.216033935546875,36000,",",PUNCT,31.775020599365234,41000
44,want,VERB,23.952045440673828,36000,cancer,VERB,35.46001052856445,41000
45,to,PART,23.200441360473633,36000,Parkinson,PROPN,34.06216812133789,41000
46,hear,VERB,25.83877182006836,36000,Alzheimer,PROPN,35.81773376464844,41000
47,.,PUNCT,22.299184799194336,36000,",",PUNCT,30.366546630859375,41000
48,There,PRON,21.379772186279297,39000,",",PUNCT,29.89664649963379,41000
49,are,AUX,24.691646575927734,39000,falla,PROPN,34.24566650390625,45000
50,words,NOUN,24.589672088623047,39000,cardiaca,PROPN,31.450149536132812,45000
51,that,DET,21.02129364013672,39000,las,DET,31.63471221923828,47000
52,we,PRON,24.13227081298828,39000,cuales,PRON,32.54613494873047,47000
53,'re,AUX,23.3975830078125,39000,pulmonar,VERB,32.7567138671875,45000
54,truly,ADV,25.964073181152344,39000,relativamente,ADV,31.380598068237305,47000
55,afraid,ADJ,23.165630340576172,39000,falla,VERB,31.996049880981445,45000
56,of,ADP,19.504629135131836,39000,de,ADP,32.330322265625,47000
57,.,PUNCT,20.693939208984375,39000,.,PUNCT,34.48384475708008,45000
58,Diabetes,NOUN,21.753799438476562,41000,poco,ADV,35.51557540893555,47000
59,",",PUNCT,22.3736515045166,41000,",",PUNCT,30.872020721435547,45000
60,cancer,NOUN,20.397510528564453,41000,puede,AUX,32.51649475097656,47000
61,",",PUNCT,20.121797561645508,41000,.,PUNCT,32.786869049072266,47000
62,Parkinson,PROPN,22.481876373291016,41000,hacerse,PROPN,34.03847122192383,47000
63,'s,PART,19.95319938659668,41000,Y,CONJ,32.05310821533203,55000
64,",",PUNCT,20.785993576049805,41000,lo,DET,34.69041442871094,55000
65,Alzheimer,PROPN,21.626890182495117,41000,que,PRON,32.12532043457031,55000
66,'s,PART,19.13694953918457,41000,quiero,VERB,31.994976043701172,55000
67,",",PUNCT,19.359127044677734,41000,establecer,VERB,36.56968307495117,55000
68,heart,NOUN,17.635398864746094,45000,el,DET,34.19282150268555,55000
69,failure,NOUN,19.975444793701172,45000,día,NOUN,31.810747146606445,55000
70,",",PUNCT,23.521087646484375,45000,de,ADP,30.195011138916016,55000
71,lung,NOUN,19.061248779296875,45000,hoy,ADV,31.910518646240234,55000
72,failure,NOUN,19.002758026123047,45000,manera,NOUN,35.36027908325195,57000
73,--,PUNCT,21.220123291015625,45000,diferente,ADJ,36.4110221862793,57000
74,for,ADP,22.229387283325195,47000,de,ADP,32.332923889160156,57000
75,which,DET,23.38956069946289,47000,una,DET,33.441715240478516,57000
76,there,PRON,23.15485191345215,47000,cómo,PRON,33.77182388305664,57000
77,'s,AUX,22.94646453857422,47000,es,AUX,31.619434356689453,55000
78,relatively,ADV,25.02518081665039,47000,enfermedades,NOUN,36.13400650024414,57000
79,little,ADJ,23.464275360107422,47000,debilitantes,ADJ,36.04922866821289,57000
80,that,DET,20.289140701293945,47000,estas,DET,33.37899398803711,57000
81,can,VERB,23.612648010253906,47000,tratar,VERB,35.37818908691406,57000
82,be,AUX,26.68623924255371,47000,es,AUX,34.652320861816406,61000
83,done,VERB,24.6767635345459,47000,por,ADP,34.37299346923828,61000
