,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,So,CCONJ,17.876699447631836,12620,Bueno,INTJ,33.09266662597656,12620
1,I,PRON,24.555063247680664,12620,0,0,0.0,0
2,'ve,AUX,21.825319290161133,12620,estaba,AUX,37.41657257080078,12620
3,been,AUX,23.804548263549805,12620,es,AUX,33.36943817138672,12620
4,"""",PUNCT,23.21305274963379,12620,que,SCONJ,32.72032928466797,12620
5,futuring,VERB,20.53775978088379,12620,futureando,VERB,34.71737289428711,12620
6,",",PUNCT,21.664216995239258,12620,",",PUNCT,30.00089454650879,12620
7,"""",PUNCT,23.10727882385254,12620,...,PUNCT,30.88004493713379,12620
8,which,DET,21.852455139160156,12620,un,DET,35.26814651489258,12620
9,is,AUX,23.37902069091797,12620,inventé,PROPN,32.721435546875,12620
10,a,DET,23.09566307067871,12620,0,0,0.0,0
11,term,NOUN,18.081031799316406,12620,término,NOUN,33.05851745605469,12620
12,I,PRON,24.669435501098633,12620,que,PRON,33.501861572265625,12620
13,made,VERB,25.929370880126953,12620,0,0,0.0,0
14,up,ADP,19.553436279296875,12620,0,0,0.0,0
15,--,PUNCT,20.82927703857422,12620,0,0,0.0,0
16,(,PUNCT,19.138301849365234,16020,(,PUNCT,28.748825073242188,16020
17,Laughter,PROPN,20.165264129638672,16020,Risas,PROPN,34.865478515625,16020
18,),PUNCT,20.96363067626953,16020,),PUNCT,32.331058502197266,16020
19,I,PRON,24.161043167114258,17300,Y,CONJ,32.81687545776367,17300
20,'ve,AUX,22.065458297729492,17300,estoy,AUX,37.190147399902344,17300
21,been,AUX,25.807897567749023,17300,hace,AUX,35.16624069213867,17300
22,futuring,VERB,24.290599822998047,17300,futureando,VERB,35.12313461303711,17300
23,for,ADP,20.705406188964844,17300,desde,ADP,34.56984329223633,17300
24,about,ADV,21.343761444091797,17300,0,0,0.0,0
25,20,NUM,24.447792053222656,17300,20,NUM,36.49492263793945,17300
26,years,NOUN,22.670652389526367,17300,años,NOUN,35.822444915771484,17300
27,",",PUNCT,19.941143035888672,17300,",",PUNCT,31.39090919494629,17300
28,and,CCONJ,21.729907989501953,21380,y,CONJ,32.58542251586914,21380
29,when,ADV,23.264537811279297,21380,cuando,SCONJ,34.983455657958984,21380
30,I,PRON,22.973949432373047,21380,empecé,AUX,34.050567626953125,21380
31,first,ADV,23.509614944458008,21380,por,ADP,35.3587532043457,21380
32,started,VERB,22.437841415405273,21380,primera,ADJ,33.87192153930664,21380
33,",",PUNCT,21.340314865112305,21380,",",PUNCT,29.777950286865234,21380
34,I,PRON,24.20888900756836,21380,me,PRON,32.12628173828125,21380
35,would,VERB,27.094236373901367,21380,vez,NOUN,30.36141586303711,21380
36,sit,VERB,24.90044593811035,21380,sentaba,VERB,36.44987869262695,21380
37,down,ADP,22.976762771606445,21380,con,ADP,34.06072235107422,21380
38,with,ADP,24.10430908203125,21380,0,0,0.0,0
39,people,NOUN,21.266202926635742,21380,gente,NOUN,30.763591766357422,21380
40,",",PUNCT,21.153371810913086,21380,0,0,0.0,0
41,and,CCONJ,20.72467041015625,24740,y,CONJ,33.568424224853516,24740
42,0,0,0.0,0,les,PRON,32.57521438598633,24740
43,say,VERB,21.20863151550293,24740,decía,VERB,34.931663513183594,24740
44,"""",PUNCT,21.132579803466797,24740,:,PUNCT,32.93387222290039,24740
45,",",PUNCT,21.018091201782227,24740,"""",PUNCT,31.89162826538086,24740
46,Hey,INTJ,22.082265853881836,24740,Oye,VERB,30.773799896240234,24740
47,",",PUNCT,20.044790267944336,24740,",",PUNCT,31.269702911376953,24740
48,let,VERB,21.830055236816406,24740,hablemos,VERB,29.95488166809082,24740
49,0,0,0.0,0,de,ADP,30.353023529052734,24740
50,",",PUNCT,22.186372756958008,24740,lo,DET,33.3558235168457,24740
51,'s,PRON,20.538631439208984,24740,que,PRON,32.46477127075195,24740
52,talk,VERB,21.34246063232422,24740,pasará,VERB,35.12741470336914,24740
53,out,ADV,19.801891326904297,24740,en,ADP,32.72877502441406,24740
54,20,NUM,22.717514038085938,24740,10,NUM,32.26189422607422,24740
55,.,PUNCT,22.034587860107422,24740,",",PUNCT,32.48884963989258,24740
56,10,NUM,23.286619186401367,24740,20,NUM,34.37738037109375,24740
