,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.766759872436523,19330,Les,PRON,28.567424774169922,19330
1,'m,AUX,23.198278427124023,19330,voy,AUX,34.93257141113281,19330
2,going,VERB,24.862506866455078,19330,a,ADP,34.218666076660156,19330
3,to,PART,22.609983444213867,19330,sobre,ADP,32.55739974975586,19330
4,tell,VERB,25.05887222290039,19330,contar,VERB,35.47990417480469,19330
5,you,PRON,24.929649353027344,19330,uno,PRON,32.473018646240234,19330
6,about,ADP,20.924245834350586,19330,de,ADP,31.680206298828125,19330
7,one,NUM,20.482995986938477,19330,más,ADV,38.76534652709961,19330
8,of,ADP,24.76140594482422,19330,del,ADP,33.86286926269531,19330
9,the,DET,23.056705474853516,19330,los,DET,36.43122482299805,19330
10,world,NOUN,17.935203552246094,19330,problemas,NOUN,35.79680633544922,19330
11,'s,PART,21.843120574951172,19330,0,0,0.0,0
12,largest,ADJ,21.591543197631836,19330,grandes,ADJ,35.13726043701172,19330
13,problems,NOUN,19.95069694519043,19330,mundo,NOUN,31.053247451782227,19330
14,and,CCONJ,19.980140686035156,23330,y,CONJ,33.25350570678711,23330
15,how,ADV,21.951440811157227,23330,puede,AUX,34.602115631103516,23330
16,it,PRON,24.766132354736328,23330,cómo,PRON,35.25104904174805,23330
17,can,VERB,24.835765838623047,23330,resuelto,VERB,33.4088249206543,23330
18,be,AUX,24.849308013916016,23330,ser,AUX,37.89122009277344,23330
19,solved,VERB,21.6500244140625,23330,0,0,0.0,0
20,.,PUNCT,21.708242416381836,23330,.,PUNCT,34.256126403808594,23330
21,I,PRON,24.656234741210938,27330,Me,PRON,31.95686912536621,27330
22,'d,VERB,22.880447387695312,27330,gustaría,VERB,32.344783782958984,27330
23,like,VERB,20.872297286987305,27330,empezar,VERB,35.9726448059082,27330
24,to,PART,23.386249542236328,27330,0,0,0.0,0
25,start,VERB,26.611774444580078,27330,0,0,0.0,0
26,with,ADP,22.404932022094727,27330,con,ADP,34.807899475097656,27330
27,a,DET,21.620203018188477,27330,un,DET,35.334007263183594,27330
28,little,ADJ,20.103227615356445,27330,pequeño,ADJ,36.32590866088867,27330
29,experiment,NOUN,20.869272232055664,27330,experimento,NOUN,32.197998046875,27330
30,.,PUNCT,21.610713958740234,27330,.,PUNCT,32.229366302490234,27330
31,Could,VERB,23.953020095825195,31330,Podrían,AUX,30.69239044189453,31330
32,you,PRON,23.824459075927734,31330,aquellos,PRON,30.70677375793457,31330
33,put,VERB,23.28647804260254,31330,levantar,VERB,37.790809631347656,31330
34,your,DET,24.610740661621094,31330,la,DET,32.73469161987305,31330
35,hand,NOUN,20.59809684753418,31330,mano,NOUN,31.008668899536133,31330
36,up,ADP,22.47079086303711,31330,de,ADP,31.554767608642578,31330
37,if,SCONJ,21.261016845703125,31330,o,CONJ,32.85696029663086,31330
38,you,PRON,23.657602310180664,31330,que,PRON,34.680015563964844,31330
39,wear,VERB,23.71486473083496,31330,usan,VERB,34.83895492553711,31330
40,glasses,NOUN,24.55866050720215,31330,lentes,NOUN,34.80758285522461,31330
41,or,CCONJ,22.74416732788086,31330,0,0,0.0,0
42,contact,NOUN,20.486406326293945,31330,contacto,NOUN,29.832563400268555,31330
43,lenses,NOUN,21.15819549560547,31330,lentes,NOUN,34.97831726074219,31330
44,",",PUNCT,21.72203254699707,31330,",",PUNCT,30.620464324951172,31330
45,or,CCONJ,21.41913604736328,37330,o,CONJ,32.622283935546875,37330
46,you,PRON,23.423086166381836,37330,si,SCONJ,34.88742446899414,37330
47,'ve,AUX,21.627168655395508,37330,han,AUX,34.943519592285156,37330
48,laser,VERB,21.831260681152344,37330,tenido,VERB,34.847328186035156,37330
49,had,AUX,22.26845359802246,37330,una,DET,34.43251037597656,37330
50,surgery,NOUN,19.73851776123047,37330,cirugía,NOUN,32.92750930786133,37330
51,refractive,ADJ,20.436168670654297,37330,refractiva,ADJ,36.202510833740234,37330
52,0,0,0.0,0,con,ADP,35.295982360839844,37330
53,0,0,0.0,0,laser,NOUN,30.3344669342041,37330
54,?,PUNCT,21.71306610107422,37330,?,PUNCT,33.1133918762207,37330
55,Now,ADV,23.84345245361328,40330,Desafortunadamente,ADV,34.708839416503906,40330
56,",",PUNCT,22.376794815063477,40330,",",PUNCT,30.835521697998047,40330
57,unfortunately,ADV,21.249914169311523,40330,son,AUX,34.77054977416992,40330
58,",",PUNCT,21.180892944335938,40330,demasiados,VERB,31.860294342041016,40330
59,there,PRON,23.343002319335938,40330,0,0,0.0,0
60,are,AUX,24.908227920532227,40330,poder,AUX,35.533634185791016,40330
61,too,ADV,24.918088912963867,40330,hacer,VERB,34.65532684326172,40330
62,many,ADJ,23.950109481811523,40330,correcta,ADJ,34.50502395629883,40330
63,of,ADP,22.849225997924805,40330,para,ADP,34.78224182128906,40330
64,you,PRON,22.345256805419922,40330,0,0,0.0,0
65,for,ADP,20.767332077026367,40330,0,0,0.0,0
66,me,PRON,23.918439865112305,40330,0,0,0.0,0
67,to,PART,20.959531784057617,40330,0,0,0.0,0
68,do,AUX,23.322404861450195,40330,0,0,0.0,0
69,the,DET,21.429296493530273,40330,una,DET,35.80876159667969,40330
70,statistics,NOUN,19.860851287841797,40330,estadística,NOUN,35.07682800292969,40330
71,properly,ADV,20.97327995300293,40330,0,0,0.0,0
72,.,PUNCT,21.63939666748047,40330,0,0,0.0,0
73,But,CCONJ,21.957504272460938,47330,Pero,CONJ,30.94849395751953,47330
74,it,PRON,24.747156143188477,47330,al,ADP,34.43748092651367,47330
75,looks,VERB,25.466684341430664,47330,parecer,AUX,34.642845153808594,47330
76,like,SCONJ,20.779556274414062,47330,0,0,0.0,0
77,--,PUNCT,21.39835548400879,47330,--,PUNCT,31.002153396606445,47330
78,I,PRON,23.543628692626953,47330,0,0,0.0,0
79,'m,AUX,23.332801818847656,47330,estoy,AUX,36.05217742919922,47330
80,guessing,VERB,22.39691162109375,47330,estimando,VERB,35.1629524230957,47330
81,--,PUNCT,19.674976348876953,47330,--,PUNCT,32.17333984375,47330
82,that,SCONJ,20.316146850585938,47330,que,SCONJ,34.11345291137695,47330
83,it,PRON,24.98045539855957,47330,0,0,0.0,0
84,'ll,VERB,22.71161651611328,47330,%,SYM,32.32918167114258,47330
85,be,AUX,23.673709869384766,47330,son,AUX,33.28075408935547,47330
86,about,ADV,21.68973731994629,47330,alrededor,ADV,36.647769927978516,47330
87,60,NUM,22.983137130737305,47330,60,NUM,31.230514526367188,47330
88,percent,NOUN,20.81355094909668,47330,0,0,0.0,0
89,of,ADP,23.788673400878906,47330,de,ADP,31.803483963012695,47330
90,the,DET,21.215280532836914,47330,0,0,0.0,0
91,room,NOUN,17.816394805908203,47330,0,0,0.0,0
92,because,SCONJ,19.676084518432617,52330,porque,SCONJ,34.99045944213867,52330
93,that,DET,20.910816192626953,52330,eso,PRON,35.18096160888672,52330
94,'s,AUX,22.96588706970215,52330,es,AUX,32.6957893371582,52330
95,roughly,ADV,24.051084518432617,52330,más,ADV,35.865997314453125,52330
96,0,0,0.0,0,o,CONJ,33.93242263793945,52330
97,0,0,0.0,0,menos,ADV,35.74283218383789,52330
98,the,DET,21.322769165039062,52330,la,DET,33.6742057800293,52330
99,fraction,NOUN,17.664039611816406,52330,fracción,NOUN,32.49477767944336,52330
100,of,ADP,22.452417373657227,52330,de,ADP,31.6428165435791,52330
101,0,0,0.0,0,la,DET,33.58687973022461,52330
102,population,NOUN,19.07061004638672,52330,población,NOUN,31.449337005615234,52330
103,0,0,0.0,0,del,ADP,33.65262222290039,52330
104,world,NOUN,19.836095809936523,52330,mundo,NOUN,32.19230270385742,52330
105,developed,ADJ,20.200654983520508,52330,desarrollado,ADJ,34.8049201965332,52330
106,that,DET,19.39905548095703,58330,que,PRON,33.81856918334961,58330
107,have,AUX,20.801780700683594,58330,tiene,VERB,37.50334167480469,58330
108,some,DET,24.099456787109375,58330,alguna,DET,35.87832260131836,58330
109,sort,NOUN,19.517866134643555,58330,forma,NOUN,34.2564697265625,58330
110,of,ADP,21.5480899810791,58330,de,ADP,32.13262939453125,58330
111,vision,NOUN,20.988662719726562,58330,corrección,NOUN,30.809627532958984,58330
112,correction,NOUN,18.414941787719727,58330,visual,ADJ,32.888057708740234,58330
113,.,PUNCT,21.140621185302734,58330,.,PUNCT,33.568485260009766,58330
114,The,DET,21.1788272857666,62330,La,DET,30.889997482299805,62330
115,World,PROPN,20.840246200561523,62330,Organización,PROPN,37.136138916015625,62330
116,Health,PROPN,20.902406692504883,62330,Mundial,PROPN,35.05724334716797,62330
117,0,0,0.0,0,de,ADP,29.913732528686523,62330
118,0,0,0.0,0,la,DET,28.816673278808594,62330
119,Organization,PROPN,21.7607364654541,62330,Salud,PROPN,36.89238357543945,62330
120,estimates,VERB,21.653154373168945,62330,estima,VERB,34.93318557739258,62330
121,--,PUNCT,18.402626037597656,62330,--,PUNCT,32.5787353515625,62330
122,well,INTJ,24.516141891479492,67330,bueno,INTJ,33.541019439697266,67330
123,",",PUNCT,20.37462615966797,67330,",",PUNCT,29.37234878540039,67330
124,various,ADJ,24.426952362060547,67330,en,ADP,34.837100982666016,67330
125,estimates,NOUN,22.463638305664062,67330,realidad,NOUN,31.754064559936523,67330
126,they,PRON,24.762237548828125,67330,ellos,PRON,30.784727096557617,67330
127,make,VERB,25.275758743286133,67330,tienen,VERB,38.22608184814453,67330
128,the,DET,22.274433135986328,67330,distintas,DET,36.680641174316406,67330
129,number,NOUN,20.386337280273438,67330,estimaciones,NOUN,36.582515716552734,67330
130,of,ADP,24.407018661499023,67330,sobre,ADP,34.6960563659668,67330
131,0,0,0.0,0,el,DET,34.15308380126953,67330
132,people,NOUN,22.869741439819336,67330,número,NOUN,29.095489501953125,67330
133,of,ADP,21.53948402404785,67330,de,ADP,30.616575241088867,67330
134,glasses,NOUN,21.793907165527344,67330,personas,NOUN,36.24319076538086,67330
135,who,PRON,24.50560760498047,67330,que,PRON,35.71364212036133,67330
136,need,VERB,22.9251651763916,67330,necesitan,VERB,36.87322998046875,67330
137,0,0,0.0,0,lentes,NOUN,34.6118049621582,67330
138,--,PUNCT,20.000789642333984,67330,--,PUNCT,31.310070037841797,67330
139,the,DET,20.319643020629883,71330,la,DET,34.05878829956055,71330
140,estimate,NOUN,20.883665084838867,71330,estimación,NOUN,33.639217376708984,71330
141,0,0,0.0,0,más,ADV,36.73454666137695,71330
142,lowest,ADJ,20.993410110473633,71330,baja,ADJ,32.83616638183594,71330
143,is,AUX,23.691673278808594,71330,es,AUX,34.34309005737305,71330
144,150,NUM,21.553190231323242,71330,de,ADP,30.611913681030273,71330
145,million,NUM,23.20037269592285,71330,150,NUM,37.30550003051758,71330
146,people,NOUN,21.355562210083008,71330,millones,NOUN,35.6191520690918,71330
147,0,0,0.0,0,de,ADP,32.47066879272461,71330
148,0,0,0.0,0,personas,NOUN,34.763832092285156,71330
