,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,Después,ADV,33.107948303222656,12921
1,After,ADP,22.42328453063965,12921,de,ADP,28.81139373779297,12921
2,cutting,VERB,25.534366607666016,12921,cortarse,NOUN,32.29845428466797,12921
3,her,DET,21.8372859954834,12921,el,DET,33.592098236083984,12921
4,arm,NOUN,22.27683448791504,12921,brazo,NOUN,31.933176040649414,12921
5,with,ADP,20.99400520324707,12921,con,ADP,32.8996467590332,12921
6,a,DET,22.60454559326172,12921,un,DET,37.39332962036133,12921
7,glass,NOUN,20.255748748779297,12921,cristal,NOUN,32.79487228393555,12921
8,broken,VERB,21.183168411254883,12921,roto,ADJ,32.1911506652832,12921
9,",",PUNCT,21.348360061645508,12921,",",PUNCT,30.90321159362793,12921
10,she,PRON,26.220073699951172,15349,ella,PRON,32.85158157348633,15349
11,fell,VERB,25.4340763092041,15349,cayó,VERB,34.206199645996094,15349
12,into,ADP,20.320405960083008,15349,en,ADP,35.56752395629883,15349
13,a,DET,21.771289825439453,15349,un,DET,38.74884796142578,15349
14,sleep,NOUN,19.708951950073242,15349,sueño,NOUN,33.4085578918457,15349
15,fitful,ADJ,18.265705108642578,15349,agitado,ADJ,34.2989616394043,15349
16,",",PUNCT,22.72242546081543,15349,y,CONJ,33.804344177246094,15349
17,exhausted,ADJ,20.168254852294922,15349,agotado,ADJ,33.88309860229492,15349
18,on,ADP,20.412508010864258,15349,en,ADP,32.16535949707031,15349
19,the,DET,20.812091827392578,15349,la,DET,33.16112518310547,15349
20,railway,NOUN,17.268022537231445,15349,estación,NOUN,32.18558883666992,15349
21,station,NOUN,18.228939056396484,15349,del,ADP,33.607059478759766,15349
22,platform,NOUN,18.172990798950195,15349,ferrocarril,NOUN,30.512788772583008,15349
23,.,PUNCT,20.953134536743164,15349,.,PUNCT,31.902679443359375,15349
24,Early,ADV,20.64151954650879,21649,Temprano,ADV,34.11996078491211,21649
25,in,ADP,20.672155380249023,21649,en,ADP,34.5171012878418,21649
26,the,DET,23.31781768798828,21649,la,DET,32.27155685424805,21649
27,morning,NOUN,17.906583786010742,21649,mañana,NOUN,31.857141494750977,21649
28,",",PUNCT,20.791414260864258,21649,",",PUNCT,29.37187957763672,21649
29,when,ADV,22.2613525390625,21649,cuando,SCONJ,34.15205001831055,21649
30,0,0,0.0,0,se,PRON,31.774168014526367,21649
31,opened,VERB,23.14785385131836,21649,abrieron,VERB,33.77455520629883,21649
