,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,(,PUNCT,19.256803512573242,12903,(,PUNCT,27.318307876586914,12903
1,Clicking,NOUN,20.55549430847168,12903,Chasquidos,PROPN,35.394081115722656,12903
2,),PUNCT,21.030393600463867,12903,),PUNCT,31.496292114257812,12903
3,I,PRON,24.75489616394043,19804,Nací,PROPN,30.453563690185547,19804
4,was,AUX,23.747262954711914,19804,0,0,0.0,0
5,born,VERB,24.021934509277344,19804,0,0,0.0,0
6,with,ADP,22.85371971130371,19804,con,ADP,32.73072052001953,19804
7,bilateral,ADJ,18.92662811279297,19804,bilateral,ADJ,34.47148132324219,19804
8,retinoblastoma,NOUN,17.912065505981445,19804,retinoblastoma,NOUN,29.944637298583984,19804
9,",",PUNCT,21.010395050048828,19804,",",PUNCT,29.974411010742188,19804
10,retinal,ADJ,20.44650650024414,24420,cáncer,NOUN,32.65464782714844,24420
11,0,0,0.0,0,de,ADP,31.402931213378906,24420
12,cancer,NOUN,19.594669342041016,24420,retina,NOUN,31.017581939697266,24420
13,.,PUNCT,21.934885025024414,24420,.,PUNCT,33.863426208496094,24420
14,was,AUX,24.035234451293945,27313,Me,PRON,30.614194869995117,27313
15,removed,VERB,21.099761962890625,27313,extirparon,VERB,34.15349197387695,27313
16,My,DET,22.93585777282715,27313,el,DET,35.96269226074219,27313
17,eye,NOUN,20.125886917114258,27313,ojo,NOUN,32.252967834472656,27313
18,right,ADJ,19.93629264831543,27313,derecho,ADJ,33.1207275390625,27313
19,at,ADP,22.889047622680664,30419,a,ADP,34.32057189941406,30419
20,0,0,0.0,0,los,DET,33.740745544433594,30419
21,seven,NUM,22.99444007873535,30419,siete,NUM,35.84577941894531,30419
22,months,NOUN,21.76323890686035,30419,meses,NOUN,36.54631805419922,30419
23,of,ADP,24.020721435546875,30419,de,ADP,32.56217575073242,30419
24,age,NOUN,20.733293533325195,30419,edad,NOUN,30.30050277709961,30419
25,.,PUNCT,21.992469787597656,30419,.,PUNCT,33.436405181884766,30419
26,I,PRON,24.01884651184082,33336,Tenía,VERB,32.47481155395508,33336
27,was,AUX,22.791160583496094,33336,0,0,0.0,0
28,13,NUM,25.96030616760254,33336,13,NUM,34.532554626464844,33336
29,months,NOUN,22.523849487304688,33336,meses,NOUN,36.07376480102539,33336
30,when,ADV,22.7498836517334,33336,cuando,SCONJ,33.18739700317383,33336
31,they,PRON,26.312320709228516,33336,me,PRON,31.58865737915039,33336
32,removed,VERB,25.072546005249023,33336,extirparon,VERB,35.1247673034668,33336
33,my,DET,21.72565460205078,33336,el,DET,35.88866424560547,33336
34,left,ADJ,19.259952545166016,33336,izquierdo,ADJ,33.69438171386719,33336
35,eye,NOUN,19.819101333618164,33336,ojo,NOUN,32.844268798828125,33336
36,.,PUNCT,22.958599090576172,33336,.,PUNCT,32.33009719848633,33336
37,The,DET,22.29047203063965,38003,Lo,DET,32.37080764770508,38003
38,first,ADJ,19.78639793395996,38003,primero,ADJ,33.57581329345703,38003
39,thing,NOUN,20.709806442260742,38003,hice,VERB,34.12532424926758,38003
40,I,PRON,25.4769229888916,38003,que,PRON,32.6575927734375,38003
41,did,AUX,25.543373107910156,38003,al,ADP,33.68504333496094,38003
42,upon,SCONJ,18.993227005004883,38003,0,0,0.0,0
43,awakening,VERB,21.411165237426758,38003,despertar,VERB,34.38002395629883,38003
44,from,ADP,20.96847915649414,38003,de,ADP,32.2000846862793,38003
45,that,DET,19.458206176757812,38003,esa,DET,33.925132751464844,38003
46,last,ADJ,20.37133026123047,38003,última,ADJ,35.36948013305664,38003
47,surgery,NOUN,20.416292190551758,38003,cirugía,NOUN,32.650508880615234,38003
48,was,AUX,22.311803817749023,43148,fue,AUX,34.66782760620117,43148
49,to,PART,23.19086456298828,43148,0,0,0.0,0
50,climb,VERB,22.382966995239258,43148,salir,VERB,36.25649642944336,43148
51,out,SCONJ,22.025617599487305,43148,0,0,0.0,0
52,of,ADP,22.25187873840332,43148,de,ADP,31.41077995300293,43148
53,my,DET,20.817768096923828,43148,la,DET,32.5566291809082,43148
54,crib,NOUN,20.94365882873535,43148,cuna,NOUN,31.335874557495117,43148
55,and,CCONJ,20.784626007080078,46780,y,CONJ,33.333492279052734,46780
56,begin,VERB,22.249187469482422,46780,empezar,AUX,36.14429473876953,46780
57,0,0,0.0,0,a,ADP,34.381805419921875,46780
58,wandering,VERB,24.763126373291016,46780,deambular,VERB,33.48686218261719,46780
59,around,ADP,22.11102867126465,46780,por,ADP,32.93936538696289,46780
60,the,DET,19.793542861938477,46780,la,DET,33.11617660522461,46780
61,care,NOUN,20.01700210571289,46780,sala,NOUN,32.49195098876953,46780
62,nursery,NOUN,20.06137466430664,46780,de,ADP,32.456119537353516,46780
63,intensive,ADJ,18.150554656982422,46780,cuidados,ADJ,32.81965255737305,46780
64,0,0,0.0,0,intensivos,ADJ,32.967742919921875,46780
65,",",PUNCT,21.7591609954834,46780,",",PUNCT,30.869644165039062,46780
66,probably,ADV,22.478317260742188,51829,probablemente,ADV,34.33901596069336,51829
67,for,ADP,19.39443016052246,51829,en,ADP,32.92343521118164,51829
68,one,NOUN,18.98983383178711,51829,busca,NOUN,31.54306983947754,51829
69,to,ADP,22.110504150390625,51829,de,ADP,29.916181564331055,51829
70,the,DET,20.49878692626953,51829,la,DET,33.89797592163086,51829
71,did,AUX,25.510038375854492,51829,persona,NOUN,34.153358459472656,51829
72,who,PRON,24.705219268798828,51829,que,PRON,33.45733642578125,51829
73,this,DET,20.234542846679688,51829,me,PRON,33.112083435058594,51829
74,looking,VERB,23.153078079223633,51829,hizo,VERB,36.22539138793945,51829
75,me,PRON,25.8773250579834,51829,esto,PRON,33.90523910522461,51829
76,.,PUNCT,20.22478675842285,51829,.,PUNCT,33.76633071899414,51829
77,(,PUNCT,19.138301849365234,55208,(,PUNCT,28.748825073242188,55208
78,Laughter,PROPN,20.165264129638672,55208,Risas,PROPN,34.865478515625,55208
79,),PUNCT,20.96363067626953,55208,),PUNCT,32.331058502197266,55208
80,Evidently,ADV,21.13793182373047,58966,Evidentemente,ADV,34.75554275512695,58966
81,",",PUNCT,21.019460678100586,58966,",",PUNCT,32.71702575683594,58966
82,wandering,VERB,24.887266159057617,58966,deambular,VERB,32.73030471801758,58966
83,around,ADP,22.63125228881836,58966,por,ADP,32.865562438964844,58966
84,the,DET,20.31435775756836,58966,la,DET,34.103050231933594,58966
85,nursery,NOUN,18.740467071533203,58966,unidad,NOUN,32.928321838378906,58966
86,0,0,0.0,0,de,ADP,30.157697677612305,58966
87,0,0,0.0,0,pediatría,NOUN,31.885801315307617,58966
88,not,PART,22.71343994140625,62127,no,ADV,34.17101287841797,62127
89,was,AUX,23.98668670654297,62127,fue,AUX,34.658302307128906,62127
90,a,DET,21.89398956298828,62127,un,DET,38.80780792236328,62127
91,problem,NOUN,21.224096298217773,62127,problema,NOUN,32.29841232299805,62127
92,for,ADP,23.259567260742188,62127,para,ADP,32.61393356323242,62127
93,me,PRON,24.50273323059082,62127,mí,PRON,32.409915924072266,62127
94,without,ADP,19.61949348449707,62127,sin,ADP,33.48050308227539,62127
95,eyes,NOUN,22.170120239257812,62127,ojos,NOUN,34.689212799072266,62127
96,.,PUNCT,20.375343322753906,62127,.,PUNCT,32.463199615478516,62127
97,The,DET,23.056013107299805,65702,El,DET,35.99129104614258,65702
98,problem,NOUN,20.074962615966797,65702,problema,NOUN,32.10612106323242,65702
99,was,AUX,25.990036010742188,65702,era,AUX,32.089935302734375,65702
100,getting,VERB,23.69685935974121,65702,que,SCONJ,31.829347610473633,65702
101,0,0,0.0,0,me,PRON,32.28557205200195,65702
102,caught,VERB,21.124378204345703,65702,descubrieran,VERB,36.23725509643555,65702
103,.,PUNCT,21.31505012512207,65702,.,PUNCT,34.26738357543945,65702
104,'s,AUX,22.34961700439453,69557,Son,AUX,31.68292236328125,69557
105,It,PRON,23.163677215576172,69557,las,DET,34.62919235229492,69557
106,impressions,NOUN,21.367294311523438,69557,impresiones,NOUN,34.538665771484375,69557
107,about,ADP,21.673471450805664,69557,sobre,ADP,32.98321533203125,69557
108,0,0,0.0,0,la,DET,32.16788101196289,69557
109,blindness,NOUN,17.35360336303711,69557,ceguera,NOUN,30.22137451171875,69557
110,that,DET,19.93241310119629,72731,0,0,0.0,0
