,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,25.317241668701172,16160,En,ADP,33.62367248535156,16160
1,'m,AUX,22.635761260986328,16160,estoy,AUX,34.09907150268555,16160
2,kind,ADV,22.67848777770996,16160,un,DET,33.30934524536133,16160
3,of,ADV,22.310461044311523,16160,poco,ADV,35.76622772216797,16160
4,tired,ADJ,20.268714904785156,16160,cansado,ADJ,35.747642517089844,16160
5,of,ADP,22.55485725402832,16160,de,ADP,31.460294723510742,16160
6,talking,VERB,24.711698532104492,16160,hablar,VERB,36.786136627197266,16160
7,about,ADP,21.143970489501953,16160,sobre,ADP,31.509017944335938,16160
8,simplicity,NOUN,19.846071243286133,16160,realidad,NOUN,32.17036056518555,16160
9,",",PUNCT,21.579160690307617,16160,",",PUNCT,27.29012680053711,16160
10,actually,ADV,20.75605010986328,16160,la,DET,33.69922637939453,16160
11,",",PUNCT,20.32447052001953,16160,simplicidad,NOUN,32.35972595214844,16160
12,so,ADV,18.405282974243164,19160,así,ADV,36.56819152832031,19160
13,I,PRON,24.44066619873047,19160,que,SCONJ,30.99059295654297,19160
14,thought,VERB,23.52031135559082,19160,pensé,VERB,33.07724380493164,19160
15,I,PRON,23.85667610168457,19160,que,SCONJ,33.41812515258789,19160
16,'d,VERB,22.4859676361084,19160,podría,AUX,31.352529525756836,19160
17,make,VERB,24.4256534576416,19160,hacer,VERB,34.18557357788086,19160
18,my,DET,23.718420028686523,19160,mi,DET,34.25943374633789,19160
19,life,NOUN,20.787578582763672,19160,vida,NOUN,32.030521392822266,19160
20,more,ADV,20.36701202392578,19160,mucho,ADV,34.465641021728516,19160
21,complex,ADJ,21.546218872070312,19160,más,ADV,34.523094177246094,19160
22,",",PUNCT,21.73261260986328,19160,",",PUNCT,30.768945693969727,19160
23,as,SCONJ,22.5128173828125,19160,a,ADP,32.85293197631836,19160
24,a,DET,23.09819221496582,19160,un,DET,36.45404815673828,19160
25,serious,ADJ,21.525217056274414,19160,complicada,ADJ,34.29513931274414,19160
26,play,NOUN,23.290624618530273,19160,manera,NOUN,33.371490478515625,19160
27,.,PUNCT,21.260547637939453,19160,de,ADP,30.618860244750977,19160
28,So,CCONJ,20.370864868164062,22160,juego,NOUN,33.02964782714844,19160
