,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Value,NOUN,23.013078689575195,12865,Creación,NOUN,31.514612197875977,12865
1,creation,NOUN,21.121313095092773,12865,de,ADP,31.77128791809082,12865
2,.,PUNCT,20.937774658203125,12865,.,PUNCT,32.11164474487305,12865
3,Wealth,NOUN,20.04220199584961,14682,valor,NOUN,32.727149963378906,12865
4,creation,NOUN,20.461002349853516,14682,Creación,NOUN,32.088565826416016,14682
5,.,PUNCT,20.886884689331055,14682,.,PUNCT,33.69758224487305,14682
6,These,DET,21.241403579711914,16007,de,ADP,32.0986442565918,14682
7,are,AUX,25.391767501831055,16007,son,AUX,34.45998001098633,16007
8,really,ADV,27.669124603271484,16007,riqueza,NOUN,29.296173095703125,14682
9,powerful,ADJ,23.506961822509766,16007,poderosas,ADJ,35.483482360839844,16007
10,words,NOUN,21.730911254882812,16007,palabras,NOUN,34.561607360839844,16007
11,.,PUNCT,21.596025466918945,16007,.,PUNCT,33.250240325927734,16007
12,Maybe,ADV,21.526945114135742,17665,muy,ADV,39.12070083618164,16007
13,you,PRON,24.2127685546875,17665,Estas,PRON,30.39390754699707,16007
14,think,VERB,21.991214752197266,17665,Tal,NOUN,32.69355773925781,17665
15,of,ADP,23.664796829223633,17665,en,ADP,33.310028076171875,17665
16,finance,NOUN,19.338428497314453,17665,vez,NOUN,33.06911087036133,17665
17,",",PUNCT,22.107463836669922,17665,",",PUNCT,32.06875991821289,17665
18,you,PRON,23.031536102294922,17665,Uds.,PROPN,34.359169006347656,17665
19,think,VERB,20.522380828857422,17665,piensan,VERB,36.096656799316406,17665
20,of,ADP,22.233488082885742,17665,en,ADP,34.402130126953125,17665
21,innovation,NOUN,18.773706436157227,17665,finanzas,NOUN,33.559574127197266,17665
22,",",PUNCT,20.351404190063477,17665,",",PUNCT,30.25945472717285,17665
23,you,PRON,23.417953491210938,20380,innovación,NOUN,29.433629989624023,17665
24,think,VERB,21.02341651916504,20380,piensan,VERB,36.80388641357422,17665
25,of,ADP,22.72449493408203,20380,en,ADP,33.72488784790039,20460
26,creativity,NOUN,18.001815795898438,20380,creatividad,NOUN,29.5263614654541,20460
27,.,PUNCT,22.042604446411133,20380,.,PUNCT,33.34679412841797,20460
28,But,CCONJ,21.425033569335938,22249,o,CONJ,31.164886474609375,20460
29,who,PRON,21.03225326538086,22249,Pero,CONJ,32.860050201416016,22249
30,are,AUX,24.319705963134766,22249,son,AUX,34.05065155029297,22249
31,the,DET,21.909557342529297,22249,los,DET,35.564300537109375,22249
32,value,NOUN,19.99281883239746,22249,quiénes,NOUN,32.081298828125,22249
33,creators,NOUN,21.426300048828125,22249,creadores,NOUN,35.584529876708984,22249
34,?,PUNCT,21.089111328125,22249,¿,PUNCT,30.637617111206055,22249
35,If,SCONJ,22.089908599853516,24463,Si,SCONJ,33.694786071777344,24463
36,we,PRON,23.000455856323242,24463,de,ADP,31.805864334106445,22249
37,use,VERB,24.962656021118164,24463,usamos,VERB,31.16015625,24463
38,that,DET,21.959470748901367,24463,esa,DET,32.98505401611328,24463
39,word,NOUN,16.818115234375,24463,valor,NOUN,32.94614791870117,22249
40,",",PUNCT,21.09800910949707,24463,?,PUNCT,31.203025817871094,22249
41,we,PRON,24.426002502441406,24463,palabra,NOUN,34.16769027709961,24463
42,must,VERB,26.193023681640625,24463,insinuamos,VERB,33.656028747558594,24463
43,be,AUX,26.579004287719727,24463,",",PUNCT,32.59843063354492,24463
44,implying,VERB,23.72095489501953,24463,crean,VERB,33.751731872558594,24463
45,that,SCONJ,19.45071792602539,24463,que,SCONJ,33.30215835571289,24463
46,some,DET,22.84071922302246,24463,algunas,DET,34.590545654296875,24463
47,people,NOUN,22.996845245361328,24463,personas,NOUN,36.210880279541016,24463
48,are,AUX,25.707599639892578,24463,no,ADV,34.77001190185547,24463
49,n't,PART,26.287960052490234,24463,valor,NOUN,33.57344055175781,24463
50,creating,VERB,21.490217208862305,24463,.,PUNCT,31.907180786132812,24463
51,value,NOUN,18.00102996826172,24463,Quiénes,NOUN,31.573322296142578,28423
52,.,PUNCT,20.910377502441406,24463,¿,PUNCT,30.894712448120117,28423
53,Who,PRON,21.10443878173828,28423,?,PUNCT,34.13508987426758,28423
54,are,AUX,24.066659927368164,28423,son,AUX,33.06183624267578,28423
55,they,PRON,21.128929138183594,28423,a,ADP,32.884124755859375,29606
56,?,PUNCT,23.678659439086914,28423,¿,PUNCT,29.336034774780273,29606
57,The,DET,21.83781623840332,29606,Los,DET,34.26475524902344,29606
58,couch,NOUN,20.59893035888672,29606,adictos,NOUN,34.83009338378906,29606
59,potatoes,NOUN,20.26435661315918,29606,tele,NOUN,32.25688171386719,29606
60,?,PUNCT,20.925739288330078,29606,?,PUNCT,32.51884460449219,29606
61,The,DET,21.54347038269043,30863,la,DET,33.86464309692383,29606
62,value,NOUN,20.31490707397461,30863,de,ADP,31.96770477294922,30863
63,extractors,NOUN,21.658966064453125,30863,extractores,NOUN,35.4995231628418,30863
