,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,As,SCONJ,23.310758590698242,12460,Como,SCONJ,35.72906494140625,12460
1,patients,NOUN,21.8797607421875,12460,pacientes,NOUN,35.34309387207031,12460
2,",",PUNCT,20.78415298461914,12460,",",PUNCT,31.109535217285156,12460
3,but,CCONJ,21.445886611938477,13700,pero,CONJ,33.10325241088867,13700
4,often,ADV,20.934236526489258,13700,a,ADP,31.029813766479492,13700
5,we,PRON,26.52810287475586,13700,menudo,NOUN,31.589313507080078,13700
6,forget,VERB,22.02796173095703,13700,olvidamos,VERB,32.442447662353516,13700
7,the,DET,21.016498565673828,13700,los,DET,36.92573165893555,13700
8,names,NOUN,21.457456588745117,13700,nombres,NOUN,37.21874237060547,13700
9,of,ADP,26.212764739990234,13700,de,ADP,31.84734344482422,13700
10,our,DET,23.374162673950195,13700,nuestros,DET,34.37069320678711,13700
11,nurses,NOUN,20.592885971069336,13700,enfermeros,NOUN,34.583473205566406,13700
12,.,PUNCT,19.801555633544922,13700,.,PUNCT,32.3315544128418,13700
13,I,PRON,26.24637794494629,21420,Yo,PRON,31.97867774963379,21420
14,remember,VERB,24.4700984954834,21420,recuerdo,VERB,35.58583068847656,21420
15,one,NUM,20.101282119750977,21420,una,PRON,27.32560157775879,21420
16,.,PUNCT,21.800865173339844,21420,.,PUNCT,32.07315444946289,21420
17,I,PRON,24.27819061279297,23220,0,0,0.0,0
18,had,AUX,22.818649291992188,23220,Hace,AUX,35.53965759277344,23220
19,breast,NOUN,22.0250244140625,23220,años,NOUN,36.232513427734375,23220
20,cancer,NOUN,17.886171340942383,23220,cáncer,NOUN,32.8336181640625,23220
21,a,DET,20.915889739990234,23220,unos,DET,32.41293716430664,23220
22,few,ADJ,21.574758529663086,23220,tuve,VERB,32.68739318847656,23220
23,years,NOUN,21.249000549316406,23220,mama,NOUN,30.4171085357666,23220
24,ago,ADV,20.906957626342773,23220,de,ADP,34.68025588989258,23220
25,",",PUNCT,21.896493911743164,23220,",",PUNCT,30.564722061157227,23220
26,and,CCONJ,20.492454528808594,25460,y,CONJ,32.039154052734375,25460
27,somehow,ADV,18.126195907592773,25460,0,0,0.0,0
28,I,PRON,25.649065017700195,25460,alguna,DET,35.11958312988281,25460
29,managed,VERB,24.45891761779785,25460,superar,VERB,36.58304977416992,25460
30,to,PART,24.014568328857422,25460,manera,NOUN,33.68054962158203,25460
31,get,AUX,25.03826141357422,25460,logré,ADJ,33.45991516113281,25460
32,through,ADP,23.187618255615234,25460,de,ADP,31.264455795288086,25460
33,the,DET,22.827924728393555,25460,las,DET,33.70430374145508,25460
34,surgeries,NOUN,18.900259017944336,25460,cirugías,NOUN,35.453914642333984,25460
35,and,CCONJ,18.88744354248047,28940,y,CONJ,32.54024887084961,28940
36,the,DET,22.50456428527832,28940,el,DET,35.56235122680664,28940
37,beginning,NOUN,19.03566551208496,28940,comienzo,NOUN,31.95305824279785,28940
38,of,ADP,23.522354125976562,28940,del,ADP,34.20045471191406,28940
39,the,DET,22.46116065979004,28940,0,0,0.0,0
40,treatment,NOUN,20.08418083190918,28940,tratamiento,NOUN,32.784698486328125,28940
41,just,ADV,23.03561019897461,28940,bien,ADV,35.58753204345703,28940
42,fine,ADV,19.985334396362305,28940,muy,ADV,35.52283477783203,28940
43,.,PUNCT,21.210664749145508,28940,.,PUNCT,31.936058044433594,28940
44,I,PRON,25.015644073486328,31660,Podía,AUX,32.00150680541992,31660
45,could,VERB,25.249055862426758,31660,ocultar,VERB,34.770748138427734,31660
