,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,is,AUX,24.16827392578125,13146,Hay,AUX,36.746826171875,13146
1,There,PRON,21.127361297607422,13146,algo,PRON,34.8437614440918,13146
2,something,PRON,21.37459373474121,13146,que,PRON,31.64944839477539,13146
3,need,VERB,23.239486694335938,13146,necesitamos,VERB,35.07456588745117,13146
4,we,PRON,23.467910766601562,13146,con,ADP,35.03784942626953,13146
5,desperately,ADV,25.948102951049805,13146,desesperación,NOUN,31.089990615844727,13146
6,0,0,0.0,0,",",PUNCT,30.560928344726562,13146
7,that,SCONJ,20.574615478515625,15968,algo,PRON,36.117733001708984,15968
8,we,PRON,24.501628875732422,15968,que,PRON,33.578250885009766,15968
9,can,VERB,24.627973556518555,15968,no,ADV,32.778228759765625,15968
10,not,PART,25.024534225463867,15968,podemos,AUX,35.45598602294922,15968
11,stop,VERB,25.16181182861328,15968,dejar,AUX,35.97661590576172,15968
12,0,0,0.0,0,de,ADP,32.34986114501953,15968
13,doing,VERB,21.875402450561523,15968,hacer,VERB,35.68564224243164,15968
14,:,PUNCT,18.318750381469727,15968,:,PUNCT,30.510583877563477,15968
15,it,PRON,24.920272827148438,18912,0,0,0.0,0
16,is,AUX,24.88641357421875,18912,0,0,0.0,0
17,breathing,VERB,20.936498641967773,18912,respirar,VERB,35.745548248291016,18912
18,.,PUNCT,21.503984451293945,18912,.,PUNCT,33.27183532714844,18912
19,Do,AUX,22.39487075805664,20596,¿,PUNCT,29.009632110595703,20596
20,you,PRON,24.44194984436035,20596,0,0,0.0,0
21,want,VERB,25.283710479736328,20596,intentarlo,VERB,32.59144973754883,20596
22,to,PART,22.88554573059082,20596,0,0,0.0,0
23,try,VERB,26.210100173950195,20596,Quieren,VERB,33.68470764160156,20596
24,?,PUNCT,20.689844131469727,20596,?,PUNCT,31.771265029907227,20596
25,Why,ADV,22.892955780029297,22234,¿,PUNCT,30.716508865356445,22234
26,n't,PART,25.075210571289062,22234,Por,ADP,33.044918060302734,22234
27,we,PRON,25.35239601135254,22234,qué,PRON,33.76776885986328,22234
28,together,ADV,22.731653213500977,22234,no,ADV,33.415985107421875,22234
29,stop,VERB,23.891178131103516,22234,intentamos,VERB,35.41776657104492,22234
30,do,AUX,24.294662475585938,22234,dejar,AUX,35.928977966308594,22234
31,0,0,0.0,0,de,ADP,31.167428970336914,22234
32,breathing,VERB,23.93238639831543,22234,respirar,VERB,37.562049865722656,22234
33,0,0,0.0,0,juntos,ADJ,33.0068473815918,22234
34,for,ADP,20.124467849731445,25026,por,ADP,32.390625,25026
35,",",PUNCT,18.189163208007812,25026,",",PUNCT,31.827852249145508,25026
36,let,VERB,20.347637176513672,25026,digamos,VERB,32.137813568115234,25026
37,'s,PRON,20.98579216003418,25026,unos,PRON,32.92878341674805,25026
38,say,VERB,23.423227310180664,25026,0,0,0.0,0
39,",",PUNCT,21.09735107421875,25026,",",PUNCT,32.08428192138672,25026
40,even,ADV,19.364152908325195,25026,0,0,0.0,0
41,10,NUM,23.728891372680664,25026,diez,NUM,34.25963592529297,25026
42,seconds,NOUN,23.674068450927734,25026,segundos,NOUN,35.36127853393555,25026
43,.,PUNCT,22.070110321044922,25026,.,PUNCT,32.53612518310547,25026
44,Is,AUX,19.840505599975586,28206,Está,AUX,35.9678840637207,28206
45,that,DET,19.853609085083008,28206,¿,PUNCT,28.94671630859375,28206
46,OK,ADJ,22.260046005249023,28206,bien,ADV,35.00847625732422,28206
47,?,PUNCT,21.232101440429688,28206,?,PUNCT,32.11203384399414,28206
48,Let,VERB,21.62681770324707,29388,Hagámoslo,PROPN,33.193172454833984,29388
49,'s,PRON,21.62046241760254,29388,0,0,0.0,0
50,do,AUX,23.71976661682129,29388,0,0,0.0,0
51,it,PRON,22.698827743530273,29388,0,0,0.0,0
52,.,PUNCT,21.81801986694336,29388,.,PUNCT,32.30017852783203,29388
53,Get,AUX,22.08736228942871,30849,Preparados,NOUN,33.779808044433594,30849
54,ready,ADJ,24.002614974975586,30849,listos,ADJ,31.860071182250977,30849
55,...,PUNCT,20.504003524780273,30849,",",PUNCT,29.57411003112793,30849
56,OK,INTJ,22.990333557128906,30849,",",PUNCT,31.91209602355957,30849
57,",",PUNCT,22.301067352294922,30849,¡,PUNCT,32.11681365966797,30849
58,now,ADV,21.565000534057617,30849,ya,ADV,36.14970397949219,30849
59,!,PUNCT,22.517786026000977,30849,!,PUNCT,32.250694274902344,30849
60,Oof,ADJ,20.61622428894043,51248,Uf,INTJ,32.12251663208008,51248
61,",",PUNCT,22.138608932495117,51248,¡,PUNCT,33.74009323120117,51248
62,difficult,ADJ,20.552757263183594,51248,Difícil,ADJ,31.951656341552734,51248
63,",",PUNCT,23.194782257080078,51248,!,PUNCT,29.067501068115234,51248
64,is,AUX,22.718305587768555,51248,",",PUNCT,31.29142189025879,51248
65,n't,PART,23.372556686401367,51248,¿,PUNCT,30.73993682861328,51248
66,it,PRON,21.3577880859375,51248,no,ADV,31.67121696472168,51248
67,?,PUNCT,22.577899932861328,51248,?,PUNCT,31.961116790771484,51248
68,Well,INTJ,24.7618465423584,54411,Bueno,INTJ,33.49151611328125,54411
69,",",PUNCT,19.210180282592773,54411,",",PUNCT,31.109909057617188,54411
70,this,DET,21.03483772277832,54411,este,PRON,30.73851203918457,54411
71,is,AUX,23.04667091369629,54411,es,AUX,31.6986026763916,54411
72,an,DET,24.512834548950195,54411,un,DET,38.30195999145508,54411
73,incredible,ADJ,19.469072341918945,54411,increíble,ADJ,36.63236999511719,54411
74,number,NOUN,21.667997360229492,54411,número,NOUN,34.847190856933594,54411
75,that,DET,21.009334564208984,57660,que,PRON,32.80328369140625,54411
76,will,VERB,25.276426315307617,57660,los,PRON,32.89513397216797,54411
77,again,ADV,25.211938858032227,57660,va,AUX,36.660926818847656,54411
