,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,This,DET,23.414199829101562,12389,Este,PRON,32.4173469543457,12389
1,is,AUX,23.979793548583984,12389,es,AUX,30.588619232177734,12389
2,the,DET,21.776399612426758,12389,el,DET,33.956722259521484,12389
3,Natural,PROPN,21.954893112182617,12389,museo,NOUN,28.39012908935547,12389
4,0,0,0.0,0,de,ADP,30.632972717285156,12389
5,Museum,PROPN,19.661603927612305,12389,Historia,PROPN,35.67802429199219,12389
6,History,PROPN,20.035499572753906,12389,Natural,PROPN,34.776790618896484,12389
7,in,ADP,22.60422706604004,12389,de,ADP,30.239707946777344,12389
8,Rotterdam,PROPN,22.92528533935547,12389,Rotterdam,PROPN,36.78866195678711,12389
9,",",PUNCT,19.857437133789062,12389,",",PUNCT,29.626628875732422,12389
10,where,ADV,21.398195266723633,15629,0,0,0.0,0
11,I,PRON,24.06662940979004,15629,donde,PRON,31.861743927001953,15629
12,work,VERB,22.695510864257812,15629,trabajo,VERB,35.194400787353516,15629
13,as,SCONJ,24.290233612060547,15629,como,SCONJ,35.33418655395508,15629
14,a,DET,23.5515079498291,15629,0,0,0.0,0
15,curator,NOUN,20.93414306640625,15629,curador,NOUN,31.84139060974121,15629
16,.,PUNCT,22.130477905273438,15629,.,PUNCT,31.915903091430664,15629
17,It,PRON,23.204269409179688,18189,0,0,0.0,0
18,'s,AUX,21.621997833251953,18189,0,0,0.0,0
19,my,DET,21.927274703979492,18189,la,DET,33.68821716308594,18189
20,job,NOUN,20.154508590698242,18189,colección,NOUN,31.0224666595459,18189
21,to,PART,23.49087142944336,18189,y,CONJ,32.97843933105469,18189
22,make,VERB,24.20136260986328,18189,Cuido,VERB,33.091922760009766,18189
23,sure,ADJ,20.732032775878906,18189,0,0,0.0,0
24,the,DET,20.875890731811523,18189,0,0,0.0,0
25,collection,NOUN,19.64642333984375,18189,trato,NOUN,32.071048736572266,18189
26,stays,VERB,22.431175231933594,18189,0,0,0.0,0
27,okay,ADJ,20.66880989074707,18189,0,0,0.0,0
28,",",PUNCT,20.11901092529297,18189,0,0,0.0,0
29,and,CCONJ,18.200740814208984,21237,0,0,0.0,0
30,that,SCONJ,19.722408294677734,21237,que,SCONJ,30.587188720703125,21237
31,it,PRON,24.857620239257812,21237,0,0,0.0,0
32,grows,VERB,23.823755264282227,21237,crezca,VERB,35.15076446533203,21237
33,",",PUNCT,20.9597225189209,21237,.,PUNCT,32.35398483276367,21237
34,and,CCONJ,19.781972885131836,23213,0,0,0.0,0
35,basically,ADV,19.584314346313477,23213,que,SCONJ,33.57225799560547,23213
36,it,PRON,25.76361656188965,23213,Eso,PRON,33.86323547363281,23213
37,means,VERB,21.408246994018555,23213,colecciono,VERB,30.160696029663086,23213
38,I,PRON,25.907541275024414,23213,0,0,0.0,0
39,collect,VERB,23.124319076538086,23213,significa,VERB,34.92487716674805,23213
40,dead,ADJ,21.29414939880371,23213,muertos,ADJ,35.53899002075195,23213
41,animals,NOUN,22.765825271606445,23213,animales,NOUN,34.887691497802734,23213
