,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,0,0,0.0,0,Uno,PRON,32.32307815551758,12706
1,of,ADP,21.722673416137695,12706,de,ADP,30.937644958496094,12706
2,my,DET,19.828304290771484,12706,los,DET,34.445255279541016,12706
3,memories,NOUN,20.305044174194336,12706,recuerdos,NOUN,35.221858978271484,12706
4,most,ADV,20.68124771118164,12706,más,ADV,36.34331130981445,12706
5,wonderful,ADJ,19.444761276245117,12706,maravillosos,ADJ,38.53661346435547,12706
6,of,ADP,24.274572372436523,12706,de,ADP,31.763080596923828,12706
7,Some,DET,20.75362205505371,12706,mi,DET,33.44089126586914,12706
8,childhood,NOUN,21.254810333251953,12706,infancia,NOUN,27.723377227783203,12706
9,are,AUX,20.92741584777832,15417,es,AUX,34.78044891357422,15417
10,of,ADP,22.502056121826172,15417,0,0,0.0,0
11,spending,VERB,20.788129806518555,15417,pasar,VERB,36.39360046386719,15417
12,time,NOUN,20.182668685913086,15417,tiempo,NOUN,35.571964263916016,15417
13,with,ADP,21.238798141479492,15417,con,ADP,34.00236511230469,15417
14,my,DET,21.41445541381836,15417,mi,DET,34.546363830566406,15417
15,grandmother,NOUN,19.801464080810547,15417,abuela,NOUN,31.27977752685547,15417
16,",",PUNCT,19.76544189453125,15417,",",PUNCT,31.176101684570312,15417
17,Mamar,PROPN,19.903993606567383,15417,Mamar,PROPN,34.733001708984375,15417
18,",",PUNCT,21.77249526977539,15417,",",PUNCT,30.108448028564453,15417
19,in,ADP,19.72627067565918,18968,en,ADP,32.18849182128906,18968
20,our,DET,22.917705535888672,18968,nuestra,DET,33.71907043457031,18968
21,four,NUM,23.97679328918457,18968,cuatro,NUM,35.6641731262207,18968
22,-,PUNCT,21.38695526123047,18968,de,ADP,32.05542755126953,18968
23,family,NOUN,22.725269317626953,18968,casa,NOUN,32.48847198486328,18968
24,home,NOUN,19.150989532470703,18968,familias,NOUN,35.31648254394531,18968
25,in,ADP,19.62887954711914,18968,en,ADP,33.565948486328125,18968
26,Brooklyn,PROPN,21.700368881225586,18968,Brooklyn,PROPN,36.376922607421875,18968
27,",",PUNCT,21.194032669067383,18968,",",PUNCT,30.577342987060547,18968
28,New,PROPN,22.062061309814453,18968,Nueva,PROPN,35.6292610168457,18968
29,York,PROPN,21.07963752746582,18968,York,PROPN,36.48903274536133,18968
30,.,PUNCT,20.118343353271484,18968,.,PUNCT,32.652488708496094,18968
31,Her,DET,22.676237106323242,22768,Su,DET,31.343584060668945,22768
32,apartment,NOUN,20.4798526763916,22768,apartamento,NOUN,32.79725646972656,22768
33,was,AUX,23.261978149414062,22768,era,AUX,33.55067443847656,22768
34,an,DET,24.600616455078125,22768,un,DET,34.53352355957031,22768
35,oasis,NOUN,20.51974105834961,22768,oasis,NOUN,32.886810302734375,22768
36,.,PUNCT,22.22262191772461,22768,.,PUNCT,31.698514938354492,22768
37,It,PRON,24.498912811279297,25843,0,0,0.0,0
38,was,AUX,24.91417694091797,25843,podía,AUX,33.39472961425781,25843
39,a,DET,24.42842674255371,25843,a,ADP,35.15739822387695,25843
40,place,NOUN,22.546113967895508,25843,escondidas,NOUN,32.34345245361328,25843
41,where,ADV,21.329191207885742,25843,Ahí,ADV,32.809547424316406,25843
42,I,PRON,24.610383987426758,25843,0,0,0.0,0
43,could,VERB,25.280189514160156,25843,tomar,VERB,36.05135726928711,25843
44,sneak,VERB,24.282917022705078,25843,0,0,0.0,0
45,a,DET,24.276954650878906,25843,una,DET,33.43159866333008,25843
46,cup,NOUN,22.16365623474121,25843,café,NOUN,32.42068862915039,25843
47,of,ADP,24.443845748901367,25843,de,ADP,29.977798461914062,25843
48,coffee,NOUN,19.384384155273438,25843,taza,NOUN,33.67124557495117,25843
49,",",PUNCT,20.551849365234375,25843,",",PUNCT,30.609533309936523,25843
50,which,DET,21.052560806274414,27888,que,SCONJ,32.61909103393555,27888
51,was,AUX,24.111665725708008,27888,era,AUX,36.19416427612305,27888
52,really,ADV,26.376615524291992,27888,en,ADP,34.65279769897461,27888
53,warm,ADJ,20.6441650390625,27888,caliente,ADJ,34.1699104309082,27888
54,milk,NOUN,19.31637191772461,27888,leche,NOUN,31.046855926513672,27888
55,with,ADP,21.872568130493164,27888,con,ADP,34.103248596191406,27888
56,just,ADV,23.20431900024414,27888,poco,PRON,32.80021667480469,27888
57,a,DET,20.813478469848633,27888,un,DET,32.4731559753418,27888
58,touch,NOUN,20.94645118713379,27888,realidad,NOUN,33.61710739135742,27888
59,of,ADP,24.799299240112305,27888,de,ADP,28.82085418701172,27888
60,caffeine,NOUN,19.82512092590332,27888,cafeína,NOUN,30.717798233032227,27888
61,.,PUNCT,22.704023361206055,27888,.,PUNCT,33.60543441772461,27888
62,She,PRON,24.40268325805664,31769,Ella,PRON,31.340295791625977,31769
63,loved,VERB,25.541889190673828,31769,amaba,VERB,36.677188873291016,31769
64,0,0,0.0,0,la,DET,33.00574493408203,31769
65,life,NOUN,19.882062911987305,31769,vida,NOUN,31.79310417175293,31769
66,.,PUNCT,21.845256805419922,31769,.,PUNCT,33.9035758972168,31769
67,And,CCONJ,20.337127685546875,34303,Y,CONJ,32.77372741699219,34303
68,although,SCONJ,20.780942916870117,34303,aunque,SCONJ,36.99938201904297,34303
69,she,PRON,24.581466674804688,34303,había,AUX,34.77251052856445,34303
70,worked,VERB,24.192785263061523,34303,trabajado,VERB,32.65445327758789,34303
71,in,ADP,22.05350112915039,34303,en,ADP,34.51832962036133,34303
72,a,DET,22.61743927001953,34303,una,DET,34.72264099121094,34303
73,factory,NOUN,18.850555419921875,34303,fábrica,NOUN,32.41230392456055,34303
74,",",PUNCT,19.649246215820312,34303,",",PUNCT,30.907123565673828,34303
75,she,PRON,25.47566795349121,36798,0,0,0.0,0
76,saved,VERB,25.81965446472168,36798,ahorró,VERB,36.47020721435547,36798
77,her,DET,21.530176162719727,36798,sus,DET,33.12953186035156,36798
78,pennies,NOUN,19.82387351989746,36798,centavos,NOUN,33.833805084228516,36798
79,and,CCONJ,21.528095245361328,36798,y,CONJ,37.54141616821289,36798
80,she,PRON,26.060245513916016,36798,0,0,0.0,0
81,traveled,VERB,24.478214263916016,36798,viajó,VERB,34.198631286621094,36798
82,to,ADP,20.231292724609375,36798,a,ADP,31.32097816467285,36798
83,Europe,PROPN,22.980754852294922,36798,Europa,PROPN,38.444576263427734,36798
84,.,PUNCT,20.346668243408203,36798,.,PUNCT,31.610010147094727,36798
85,And,CCONJ,19.919565200805664,39970,Y,CONJ,32.62326431274414,39970
86,I,PRON,26.953500747680664,39970,0,0,0.0,0
87,remember,VERB,24.667251586914062,39970,contemplar,VERB,36.43367385864258,39970
88,poring,VERB,21.43427085876465,39970,recuerdo,VERB,34.662078857421875,39970
89,over,ADP,22.204330444335938,39970,con,ADP,33.622257232666016,39970
90,those,DET,23.2640323638916,39970,aquellas,DET,35.75764846801758,39970
91,pictures,NOUN,21.11511993408203,39970,fotos,NOUN,35.02212905883789,39970
92,with,ADP,21.735685348510742,39970,0,0,0.0,0
93,her,PRON,20.808732986450195,39970,ella,PRON,32.729373931884766,39970
94,and,CCONJ,21.195598602294922,43299,y,CONJ,33.239627838134766,43299
95,then,ADV,21.78923225402832,43299,luego,ADV,36.395713806152344,43299
96,dancing,VERB,22.763887405395508,43299,bailar,VERB,34.665931701660156,43299
97,0,0,0.0,0,juntas,ADJ,33.842628479003906,43299
98,with,ADP,18.90166664123535,43299,al,ADP,34.74425506591797,43299
