,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,You,PRON,24.017683029174805,15260,Ustedes,PRON,32.90726089477539,15260
1,know,VERB,24.238170623779297,15260,saben,VERB,36.52091598510742,15260
2,",",PUNCT,20.65345573425293,15260,que,SCONJ,33.893341064453125,15260
3,0,0,0.0,0,lo,DET,33.1518440246582,15260
4,I,PRON,25.21810531616211,15260,que,PRON,31.867185592651367,15260
5,what,PRON,20.64031982421875,15260,yo,PRON,33.838924407958984,15260
6,do,AUX,23.53933334350586,15260,hago,VERB,34.179901123046875,15260
7,is,AUX,21.69687271118164,15260,es,AUX,32.404483795166016,15260
8,write,VERB,20.291790008544922,15260,escribir,VERB,35.277530670166016,15260
9,for,ADP,23.75441551208496,15260,para,ADP,33.341922760009766,15260
10,0,0,0.0,0,los,DET,36.41252517700195,15260
11,children,NOUN,21.531938552856445,15260,niños,NOUN,35.502586364746094,15260
12,",",PUNCT,21.357656478881836,15260,",",PUNCT,30.74202537536621,15260
13,and,CCONJ,20.10462188720703,18260,y,CONJ,34.447723388671875,18260
14,I,PRON,24.9185733795166,18260,",",PUNCT,29.090906143188477,18260
15,0,0,0.0,0,de,ADP,31.361970901489258,18260
16,0,0,0.0,0,hecho,NOUN,30.548919677734375,18260
17,America,PROPN,22.101364135742188,18260,",",PUNCT,28.743406295776367,18260
18,probably,ADV,22.76370620727539,18260,probablemente,ADV,30.68920135498047,18260
19,'m,AUX,22.042631149291992,18260,soy,AUX,32.8013801574707,18260
20,'s,PART,18.776193618774414,18260,el,DET,35.372406005859375,18260
21,0,0,0.0,0,autor,NOUN,30.367578506469727,18260
22,0,0,0.0,0,para,ADP,33.8514289855957,18260
23,0,0,0.0,0,niños,NOUN,33.74378967285156,18260
24,0,0,0.0,0,",",PUNCT,31.044984817504883,18260
25,most,ADV,18.708524703979492,20260,más,ADV,36.640419006347656,20260
26,widely,ADV,23.037723541259766,20260,leído,ADJ,35.559181213378906,20260
27,read,VERB,20.38730239868164,20260,0,0,0.0,0
28,children,NOUN,19.914594650268555,20260,los,DET,34.39604949951172,20260
29,'s,PART,24.69797706604004,20260,EEUU,PROPN,34.935821533203125,20260
30,author,NOUN,19.041194915771484,20260,0,0,0.0,0
31,",",PUNCT,20.16481590270996,20260,.,PUNCT,33.835330963134766,20260
32,in,ADP,22.068267822265625,20260,en,ADP,33.09925842285156,20260
33,fact,NOUN,20.815532684326172,20260,0,0,0.0,0
