,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Bryn,PROPN,23.073604583740234,12461,Bryn,PROPN,34.09537887573242,12461
1,Freedman,PROPN,20.37641716003418,12461,Freedman,PROPN,34.46874237060547,12461
2,:,PUNCT,19.836566925048828,12461,:,PUNCT,30.60260772705078,12461
3,So,ADV,19.576221466064453,12461,Ud.,PROPN,32.9351806640625,12461
4,you,PRON,22.68635368347168,12461,0,0,0.0,0
5,said,VERB,21.696563720703125,12461,indica,VERB,35.20722198486328,12461
6,that,SCONJ,18.336589813232422,12461,que,SCONJ,33.28458023071289,12461
7,in,ADP,20.632848739624023,12461,en,ADP,32.58928298950195,12461
8,the,DET,21.764583587646484,12461,el,DET,32.677001953125,12461
9,20th,ADJ,20.217220306396484,12461,siglo,NOUN,33.995357513427734,12461
10,century,NOUN,19.291217803955078,12461,XX,NOUN,35.09495544433594,12461
11,",",PUNCT,19.857906341552734,12461,",",PUNCT,29.53127670288086,12461
12,global,ADJ,20.33819007873535,15896,mundial,ADJ,34.736358642578125,15896
13,power,NOUN,19.508220672607422,15896,poder,NOUN,33.11620330810547,15896
14,was,AUX,23.090978622436523,15896,estuvo,AUX,35.048927307128906,15896
15,in,ADP,21.775358200073242,15896,en,ADP,31.61262321472168,15896
16,the,DET,22.786420822143555,15896,el,DET,34.768856048583984,15896
17,hands,NOUN,20.05854034423828,15896,manos,NOUN,32.19564437866211,15896
18,of,ADP,21.989675521850586,15896,del,ADP,34.724021911621094,15896
19,government,NOUN,19.729129791259766,15896,gobierno,PROPN,33.03567886352539,15896
20,.,PUNCT,21.634382247924805,15896,.,PUNCT,31.746747970581055,15896
21,At,ADP,20.856237411499023,18741,Al,ADP,36.20073318481445,18741
22,the,DET,23.140485763549805,18741,0,0,0.0,0
23,beginning,NOUN,19.445266723632812,18741,inicio,NOUN,28.250234603881836,18741
24,of,ADP,25.24152374267578,18741,de,ADP,30.999221801757812,18741
25,this,DET,21.991701126098633,18741,este,DET,35.61243438720703,18741
26,digital,ADJ,22.441810607910156,18741,digital,ADJ,32.85113525390625,18741
27,century,NOUN,19.156898498535156,18741,siglo,NOUN,33.70817565917969,18741
28,",",PUNCT,20.858261108398438,18741,",",PUNCT,29.088970184326172,18741
29,it,PRON,22.870832443237305,21234,0,0,0.0,0
30,really,ADV,24.288766860961914,21234,las,DET,32.21958923339844,21234
31,moved,VERB,20.824012756347656,21234,pasó,VERB,36.75327682495117,21234
32,to,ADP,22.18189239501953,21234,a,ADP,32.92862319946289,21234
33,corporations,NOUN,20.591346740722656,21234,corporaciones,NOUN,36.22053527832031,21234
34,and,CCONJ,18.399267196655273,23019,y,CONJ,34.20045852661133,23019
35,that,SCONJ,18.764196395874023,23019,",",PUNCT,28.608257293701172,23019
36,in,ADP,19.56362533569336,23019,en,ADP,32.86133575439453,23019
37,the,DET,22.976892471313477,23019,el,DET,34.996971130371094,23019
