,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,A,DET,22.30249786376953,16841,una,DET,32.13225555419922,12880
1,hundred,NUM,20.98625946044922,16841,contarles,ADJ,31.19059181213379,12880
2,years,NOUN,20.221189498901367,16841,historia,NOUN,32.018375396728516,12880
3,ago,ADV,20.664899826049805,16841,0,0,0.0,0
4,",",PUNCT,22.545215606689453,16841,.,PUNCT,33.85306930541992,12880
5,we,PRON,23.759103775024414,16841,muerte,NOUN,27.913806915283203,12880
6,tended,VERB,24.166608810424805,16841,Quisiera,VERB,30.288707733154297,12880
7,to,PART,22.20138168334961,16841,y,CONJ,33.525001525878906,12880
8,die,VERB,20.349153518676758,16841,0,0,0.0,0
9,of,ADP,22.20426368713379,16841,sobre,ADP,33.62818908691406,12880
10,infectious,ADJ,22.44767189025879,16841,0,0,0.0,0
11,diseases,NOUN,21.757404327392578,16841,arquitectura,NOUN,32.7352409362793,12880
12,like,SCONJ,20.800884246826172,16841,0,0,0.0,0
13,pneumonia,PROPN,20.315099716186523,16841,0,0,0.0,0
14,",",PUNCT,21.45702362060547,16841,0,0,0.0,0
15,that,SCONJ,20.008113861083984,21471,que,SCONJ,32.046546936035156,21460
16,",",PUNCT,20.396316528320312,21471,",",PUNCT,29.407882690429688,21460
17,if,SCONJ,21.43376922607422,21471,si,SCONJ,33.062076568603516,21460
18,they,PRON,25.62259864807129,21471,0,0,0.0,0
19,took,VERB,24.723766326904297,21471,progresaban,VERB,33.46662521362305,21460
20,hold,NOUN,17.94513511657715,21471,con,ADP,31.769010543823242,21460
21,",",PUNCT,19.42056655883789,21471,",",PUNCT,29.466609954833984,21460
22,would,VERB,24.353879928588867,21471,acababan,VERB,33.34010696411133,21460
23,take,VERB,27.38807487487793,21471,rápido,ADJ,35.26497268676758,21460
24,us,PRON,24.9582462310791,21471,nosotros,PRON,29.63174057006836,21460
25,away,ADV,22.206674575805664,21471,muy,ADV,35.60341262817383,21460
26,quite,ADV,21.56422233581543,21471,0,0,0.0,0
27,quickly,ADV,21.93924903869629,21471,0,0,0.0,0
28,.,PUNCT,21.70892906188965,21471,.,PUNCT,32.63235855102539,21460
29,We,PRON,25.69344139099121,24768,Lo,DET,32.23866653442383,24750
30,tended,VERB,23.607301712036133,24768,frecuente,ADJ,31.219270706176758,24750
31,to,PART,23.044981002807617,24768,era,AUX,34.90565872192383,24750
32,die,VERB,21.851909637451172,24768,morir,VERB,33.91990661621094,24750
33,at,ADP,23.223588943481445,24768,en,ADP,32.8552360534668,24750
34,home,NOUN,20.16383934020996,24768,casa,NOUN,31.887767791748047,24750
35,",",PUNCT,20.464733123779297,24768,",",PUNCT,31.075225830078125,24750
36,in,ADP,19.4951229095459,24768,en,ADP,31.376665115356445,24750
37,our,DET,24.18520164489746,24768,la,DET,33.046295166015625,24750
38,own,ADJ,21.265094757080078,24768,cuidados,ADJ,32.57798767089844,24750
39,beds,NOUN,22.361833572387695,24768,cama,NOUN,30.955652236938477,24750
40,",",PUNCT,20.93054962158203,24768,",",PUNCT,30.22083854675293,24750
