,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Visible,ADJ,20.08769989013672,12687,Visible,PROPN,31.233306884765625,12457
1,from,ADP,23.223604202270508,12687,desde,ADP,33.372955322265625,12457
2,0,0,0.0,0,el,DET,34.28903579711914,12457
3,space,NOUN,20.283143997192383,12687,espacio,NOUN,30.526662826538086,12457
4,",",PUNCT,22.287059783935547,12687,",",PUNCT,28.36241340637207,12457
5,the,DET,19.313488006591797,13866,el,DET,35.20435333251953,13866
6,Okavango,PROPN,19.483793258666992,13866,delta,NOUN,30.686134338378906,13866
7,0,0,0.0,0,del,ADP,33.75497817993164,13866
8,Delta,PROPN,20.979721069335938,13866,Okavango,PROPN,36.34681701660156,13866
9,is,AUX,21.905885696411133,15517,es,AUX,33.338890075683594,15517
10,'s,PART,21.326900482177734,15517,el,DET,34.00628662109375,15517
11,wilderness,NOUN,18.524290084838867,15517,humedal,NOUN,31.944625854492188,15517
12,largest,ADJ,22.557666778564453,15517,natural,ADJ,33.52534103393555,15517
13,0,0,0.0,0,más,ADV,36.88298034667969,15517
14,intact,ADJ,19.883216857910156,15517,extenso,ADJ,35.86771011352539,15517
15,wetland,NOUN,18.916900634765625,15517,de,ADP,29.04077911376953,15517
16,Africa,PROPN,22.394699096679688,15517,África,PROPN,33.88578796386719,15517
17,0,0,0.0,0,que,PRON,33.64845657348633,15517
18,0,0,0.0,0,se,PRON,32.73229217529297,15517
19,remaining,VERB,21.571849822998047,15517,conserva,VERB,32.80588150024414,15517
20,0,0,0.0,0,intacto,ADJ,30.129947662353516,15517
21,.,PUNCT,21.48065185546875,15517,.,PUNCT,32.71592712402344,15517
22,This,DET,23.022178649902344,20255,Este,DET,35.31913375854492,20255
23,delta,NOUN,20.941068649291992,20255,delta,NOUN,30.544475555419922,20255
24,landlocked,ADJ,18.387847900390625,20255,resplandeciente,ADJ,33.22090148925781,20255
25,in,ADP,20.66562271118164,20255,en,ADP,33.63172912597656,20255
26,Botswana,PROPN,21.24492645263672,20255,Botsuana,PROPN,37.02347946166992,20255
27,is,AUX,20.970706939697266,20255,",",PUNCT,29.13438606262207,20255
28,the,DET,22.258203506469727,20255,un,DET,34.67950439453125,20255
29,jewel,NOUN,19.09711456298828,20255,país,NOUN,31.17591094970703,20255
30,0,0,0.0,0,que,PRON,34.80082321166992,20255
31,the,DET,20.861488342285156,20255,no,ADV,33.95227813720703,20255
32,shining,VERB,22.671401977539062,20255,tiene,VERB,35.466373443603516,20255
33,Kalahari,PROPN,19.62803840637207,20255,salida,NOUN,34.17615509033203,20255
34,of,ADP,22.914587020874023,20255,al,ADP,33.29723358154297,20255
35,0,0,0.0,0,mar,NOUN,31.39471435546875,20255
36,",",PUNCT,19.825002670288086,20255,",",PUNCT,30.451425552368164,20255
37,more,ADV,22.336441040039062,26120,más,ADV,35.4096565246582,26120
38,valuable,ADJ,20.70508575439453,26120,valiosa,ADJ,34.4662971496582,26120
39,than,SCONJ,19.183805465698242,26120,que,SCONJ,33.05118179321289,26120
40,diamonds,NOUN,24.140705108642578,26120,los,DET,34.53218460083008,26120
41,0,0,0.0,0,diamantes,ADJ,34.33890151977539,26120
42,to,ADP,21.00272560119629,26120,para,ADP,33.90029525756836,26120
43,the,DET,23.128751754760742,26120,el,DET,33.46847152709961,26120
44,largest,ADJ,22.021093368530273,26120,mayor,ADJ,35.3335075378418,26120
45,world,NOUN,18.097183227539062,26120,productor,NOUN,32.668678283691406,26120
46,'s,PART,21.080062866210938,26120,de,ADP,30.591819763183594,26120
47,producer,NOUN,19.149261474609375,26120,diamantes,NOUN,32.2931022644043,26120
48,0,0,0.0,0,del,ADP,33.88340377807617,26120
49,diamond,NOUN,20.561302185058594,26120,mundo,NOUN,30.242050170898438,26120
50,0,0,0.0,0,",",PUNCT,29.828140258789062,26120
51,and,CCONJ,20.963388442993164,30573,y,CONJ,34.49799346923828,30573
52,celebrated,VERB,22.547595977783203,30573,declarado,ADJ,32.212921142578125,30573
53,in,ADP,23.279430389404297,30573,en,ADP,32.08087921142578,30573
54,2014,NUM,20.61400604248047,30573,2014,NOUN,34.46167755126953,30573
55,as,SCONJ,21.558183670043945,32986,Patrimonio,VERB,31.98004150390625,32986
56,our,DET,22.73344612121582,32986,la,DET,27.562442779541016,32986
57,planet,NOUN,19.531904220581055,32986,1000,NOUN,33.260276794433594,32986
58,'s,PART,22.743864059448242,32986,de,ADP,29.983306884765625,32986
59,1000th,ADJ,18.634510040283203,32986,número,NOUN,28.652469635009766,32986
60,UNESCO,PROPN,21.756336212158203,32986,Humanidad,PROPN,35.9810905456543,32986
61,World,PROPN,21.262990951538086,32986,por,ADP,35.52104187011719,32986
