,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Liu,PROPN,21.061683654785156,14383,Liu,PROPN,28.408369064331055,14383
1,Bolin,PROPN,21.684091567993164,14383,Bolin,PROPN,34.69405746459961,14383
2,:,PUNCT,21.010578155517578,14383,:,PUNCT,31.669937133789062,14383
3,By,ADP,21.11327362060547,14383,Al,ADP,34.065467834472656,14383
4,making,VERB,25.693004608154297,14383,hacerme,NOUN,32.7624626159668,14383
5,myself,PRON,21.589282989501953,14383,0,0,0.0,0
6,invisible,ADJ,22.2348690032959,14383,invisible,ADJ,32.6744384765625,14383
7,",",PUNCT,19.597431182861328,14383,",",PUNCT,30.54554557800293,14383
8,I,PRON,24.43537139892578,18278,trato,AUX,32.24631118774414,18278
9,try,VERB,23.856111526489258,18278,de,ADP,31.18813133239746,18278
10,to,PART,23.48000144958496,18278,relación,NOUN,30.34234046936035,18278
11,question,VERB,25.17967414855957,18278,cuestionar,VERB,37.408592224121094,18278
12,the,DET,21.138883590698242,18278,la,DET,34.638099670410156,18278
13,inter,ADV,20.859209060668945,18278,de,ADP,32.22509765625,18278
14,-,ADJ,21.897808074951172,18278,mutua,ADJ,33.52100372314453,18278
15,canceling,VERB,19.88595199584961,18278,0,0,0.0,0
16,relationship,NOUN,18.693124771118164,18278,cancelación,NOUN,31.759876251220703,18278
17,between,ADP,23.249509811401367,21223,entre,ADP,33.03947830200195,21223
18,our,DET,23.778728485107422,21223,nuestra,DET,33.91196823120117,21223
19,civilization,NOUN,19.047719955444336,21223,civilización,NOUN,31.794200897216797,21223
20,and,CCONJ,23.61512565612793,21223,y,CONJ,32.54640197753906,21223
21,its,DET,21.758712768554688,21223,su,DET,33.80860137939453,21223
22,development,NOUN,18.807640075683594,21223,desarrollo,NOUN,32.55946731567383,21223
23,.,PUNCT,21.166330337524414,21223,.,PUNCT,31.707223892211914,21223
24,Interpreter,NOUN,19.293256759643555,25102,hacerme,NOUN,32.62255096435547,25102
25,:,PUNCT,20.342830657958984,25102,:,PUNCT,33.30228042602539,25102
26,By,ADP,21.29309844970703,25102,Al,ADP,33.62932586669922,25102
27,making,VERB,25.739177703857422,25102,Intérprete,PROPN,29.545602798461914,25102
28,myself,PRON,21.585044860839844,25102,trato,AUX,31.429569244384766,25102
29,invisible,ADJ,22.396316528320312,25102,invisible,ADJ,32.50685119628906,25102
30,",",PUNCT,19.817615509033203,25102,",",PUNCT,31.17787742614746,25102
31,I,PRON,23.68744468688965,25102,de,ADP,33.055809020996094,25102
32,try,VERB,23.51653289794922,25102,explorar,VERB,35.39847183227539,25102
33,to,PART,23.57770347595215,25102,y,CONJ,31.957151412963867,25102
34,explore,VERB,26.39949607849121,25102,cuestionar,VERB,34.54396057128906,25102
35,and,CCONJ,22.623048782348633,25102,0,0,0.0,0
36,question,VERB,19.713817596435547,25102,0,0,0.0,0
37,the,DET,19.45966911315918,27278,la,DET,34.18714141845703,27278
38,and,CCONJ,23.195552825927734,27278,relación,NOUN,30.29010009765625,27278
39,contradictory,ADJ,17.847585678100586,27278,contradictoria,ADJ,33.309226989746094,27278
40,0,0,0.0,0,y,CONJ,34.605743408203125,27278
41,inter,VERB,23.092557907104492,27278,que,PRON,31.839160919189453,27278
42,-,ADJ,22.879928588867188,27278,a,ADP,32.71635818481445,27278
43,relationship,NOUN,18.679790496826172,27278,menudo,NOUN,31.491056442260742,27278
44,0,0,0.0,0,se,PRON,31.91878890991211,27278
45,canceling,VERB,20.37513542175293,27278,cancela,VERB,33.40378189086914,27278
46,often,ADV,22.16790008544922,27278,mutuamente,ADV,32.6927375793457,27278
47,between,ADP,23.249509811401367,31270,entre,ADP,33.03947830200195,31270
48,our,DET,23.778728485107422,31270,nuestra,DET,33.91196823120117,31270
49,civilization,NOUN,19.047719955444336,31270,civilización,NOUN,31.794200897216797,31270
50,and,CCONJ,23.61512565612793,31270,y,CONJ,32.54640197753906,31270
51,its,DET,21.758712768554688,31270,su,DET,33.80860137939453,31270
52,development,NOUN,18.807640075683594,31270,desarrollo,NOUN,32.55946731567383,31270
53,.,PUNCT,21.166330337524414,31270,.,PUNCT,31.707223892211914,31270
54,LB,PROPN,18.961599349975586,36622,LB,NOUN,32.267333984375,36622
55,:,PUNCT,18.889280319213867,36622,:,PUNCT,31.548471450805664,36622
56,This,DET,23.713293075561523,36622,Esta,PRON,29.60980224609375,36622
57,is,AUX,22.23719596862793,36622,es,AUX,32.68266296386719,36622
58,my,DET,23.072067260742188,36622,mi,DET,34.17259979248047,36622
59,first,ADJ,18.820117950439453,36622,primera,ADJ,34.181060791015625,36622
60,work,NOUN,19.830156326293945,36622,obra,NOUN,32.919891357421875,36622
61,",",PUNCT,23.199176788330078,36622,",",PUNCT,31.47076988220215,36622
62,created,VERB,20.435041427612305,36622,creada,ADJ,34.864013671875,36622
