,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,I,PRON,24.801557540893555,16260,0,0,0.0,0
1,heard,VERB,26.36582374572754,16260,Escuché,VERB,28.215604782104492,16260
2,this,DET,23.0245418548584,16260,esta,DET,34.74756622314453,16260
3,amazing,ADJ,20.519142150878906,16260,fascinante,ADJ,34.888214111328125,16260
4,story,NOUN,21.505226135253906,16260,historia,NOUN,33.045433044433594,16260
5,about,ADP,21.7476863861084,16260,de,ADP,32.18110656738281,16260
6,Miuccia,PROPN,21.9304256439209,16260,Prada,PROPN,37.82121658325195,16260
7,Prada,PROPN,23.067277908325195,16260,Miucha,PROPN,35.5070686340332,16260
8,.,PUNCT,19.468961715698242,16260,.,PUNCT,32.64014434814453,16260
9,She,PRON,22.74069595336914,18260,de,ADP,32.29027557373047,18260
10,'s,AUX,22.689538955688477,18260,Es,AUX,34.677066802978516,18260
11,an,DET,22.843294143676758,18260,una,DET,33.151519775390625,18260
12,Italian,ADJ,22.006149291992188,18260,italiana,ADJ,33.1909294128418,18260
13,fashion,NOUN,20.19751739501953,18260,moda,NOUN,32.763328552246094,18260
14,designer,NOUN,19.81891632080078,18260,diseñadora,NOUN,32.01148986816406,18260
15,.,PUNCT,21.238128662109375,18260,.,PUNCT,33.09355545043945,18260
16,She,PRON,24.50855827331543,20260,Va,AUX,32.48570251464844,20260
17,goes,VERB,23.98221778869629,20260,0,0,0.0,0
18,to,ADP,21.17092514038086,20260,a,ADP,33.62628936767578,20260
19,this,DET,22.540727615356445,20260,cierta,DET,34.639522552490234,20260
20,vintage,ADJ,20.099363327026367,20260,vintage,ADJ,32.35286331176758,20260
21,store,NOUN,22.089651107788086,20260,tienda,NOUN,32.19565200805664,20260
22,in,ADP,18.668264389038086,20260,en,ADP,32.10372543334961,20260
23,Paris,PROPN,23.479297637939453,20260,París,PROPN,37.050479888916016,20260
24,with,ADP,20.115907669067383,22260,con,ADP,34.611473083496094,22260
25,a,DET,22.468847274780273,22260,una,DET,34.6067008972168,22260
26,friend,NOUN,20.75020980834961,22260,amiga,NOUN,31.225311279296875,22260
27,of,ADP,25.943822860717773,22260,0,0,0.0,0
28,hers,PRON,23.14150619506836,22260,0,0,0.0,0
29,.,PUNCT,20.832500457763672,22260,.,PUNCT,33.512596130371094,22260
30,She,PRON,22.470195770263672,24260,0,0,0.0,0
31,'s,AUX,23.300630569458008,24260,Está,AUX,37.78910827636719,24260
32,rooting,VERB,23.712282180786133,24260,rebuscando,VERB,35.343475341796875,24260
33,around,ADV,21.001361846923828,24260,0,0,0.0,0
34,",",PUNCT,21.342334747314453,24260,.,PUNCT,34.54866409301758,24260
35,she,PRON,25.141590118408203,24260,0,0,0.0,0
36,finds,VERB,25.399005889892578,24260,Encuentra,VERB,32.87493133544922,24260
37,this,DET,23.348875045776367,24260,una,DET,34.10005569458008,24260
38,one,NUM,22.008268356323242,24260,0,0,0.0,0
39,jacket,NOUN,21.71586036682129,24260,chaqueta,NOUN,33.17379379272461,24260
40,by,ADP,23.425806045532227,24260,de,ADP,31.618196487426758,24260
41,Balenciaga,PROPN,21.197118759155273,24260,Balenciaga,PROPN,35.20111083984375,24260
42,--,PUNCT,21.438953399658203,24260,.,PUNCT,31.364103317260742,24260
43,she,PRON,24.317493438720703,28260,Le,PRON,31.408790588378906,28260
44,loves,VERB,24.818071365356445,28260,encanta,VERB,34.273414611816406,28260
45,it,PRON,24.312759399414062,28260,0,0,0.0,0
46,.,PUNCT,21.323320388793945,28260,.,PUNCT,31.747159957885742,28260
47,She,PRON,22.202707290649414,30260,La,DET,34.80018997192383,30260
48,'s,AUX,22.37298583984375,30260,vuelve,NOUN,32.692440032958984,30260
49,turning,VERB,24.88068389892578,30260,del,ADP,33.852867126464844,30260
50,it,PRON,22.9514102935791,30260,revés,NOUN,31.709867477416992,30260
51,inside,ADV,21.35692596435547,30260,0,0,0.0,0
52,out,ADV,22.021163940429688,30260,0,0,0.0,0
53,.,PUNCT,21.736557006835938,30260,.,PUNCT,31.908750534057617,30260
54,She,PRON,21.903573989868164,32260,Le,PRON,29.70537567138672,32260
55,'s,AUX,23.86591339111328,32260,0,0,0.0,0
56,looking,VERB,22.016088485717773,32260,mira,VERB,36.81828689575195,32260
57,at,ADP,22.69634437561035,32260,todas,DET,34.0376091003418,32260
58,the,DET,22.030372619628906,32260,las,DET,30.853925704956055,32260
59,seams,NOUN,21.155418395996094,32260,costuras,NOUN,33.93777847290039,32260
60,.,PUNCT,19.494848251342773,32260,.,PUNCT,32.396148681640625,32260
61,She,PRON,21.919557571411133,32260,Le,PRON,31.051881790161133,32260
62,'s,AUX,23.569854736328125,32260,0,0,0.0,0
63,looking,VERB,22.252708435058594,32260,mira,VERB,35.335933685302734,32260
64,at,ADP,23.08713722229004,32260,0,0,0.0,0
65,the,DET,22.2200984954834,32260,la,DET,31.253646850585938,32260
66,construction,NOUN,19.67802619934082,32260,hechura,NOUN,30.101593017578125,32260
67,.,PUNCT,22.064437866210938,32260,.,PUNCT,33.105995178222656,32260
68,Her,DET,21.86823844909668,35260,Su,DET,31.76878547668457,35260
69,friend,NOUN,22.09473991394043,35260,amiga,NOUN,32.516963958740234,35260
70,it,PRON,22.641836166381836,35260,le,PRON,32.66300964355469,35260
71,says,VERB,23.45591163635254,35260,dice,VERB,34.480796813964844,35260
72,"""",PUNCT,21.88703727722168,35260,",",PUNCT,28.55184555053711,35260
73,Buy,VERB,17.892677307128906,35260,',SYM,33.09696578979492,35260
74,",",PUNCT,21.402917861938477,35260,',SYM,31.515121459960938,35260
75,0,0,0.0,0,Cómpratela,PROPN,33.32841110229492,35260
76,already,ADV,25.82356071472168,35260,ya,ADV,32.34361267089844,35260
77,"""",PUNCT,21.24107551574707,35260,"""",PUNCT,32.92190170288086,35260
78,.,PUNCT,21.150188446044922,35260,.,PUNCT,33.20663833618164,35260
79,She,PRON,24.773876190185547,37260,Ella,PRON,31.890594482421875,37260
80,said,VERB,23.79570198059082,37260,contesta,ADJ,33.84825134277344,37260
81,",",PUNCT,22.5650577545166,37260,",",PUNCT,29.892654418945312,37260
82,"""",PUNCT,20.181283950805664,37260,',SYM,31.92159080505371,37260
83,I,PRON,24.979576110839844,37260,Me,PRON,30.444660186767578,37260
84,'ll,VERB,22.774763107299805,37260,0,0,0.0,0
85,buy,VERB,24.414644241333008,37260,compraré,PROPN,27.932701110839844,37260
86,it,PRON,21.937253952026367,37260,la,PRON,30.67852783203125,37260
87,",",PUNCT,21.20591163635254,37260,",",PUNCT,32.03239440917969,37260
88,but,CCONJ,21.33810806274414,37260,pero,CONJ,31.487146377563477,37260
89,I,PRON,24.862489700317383,37260,la,PRON,31.27814292907715,37260
90,'m,AUX,22.16489028930664,37260,voy,AUX,34.25184631347656,37260
91,also,ADV,24.01198959350586,37260,también,ADV,35.78331756591797,37260
92,going,VERB,25.835800170898438,37260,copiar,VERB,36.1032829284668,37260
93,to,PART,23.077594757080078,37260,a,ADP,34.72810745239258,37260
94,replicate,VERB,26.43202781677246,37260,0,0,0.0,0
95,it,PRON,21.098024368286133,37260,0,0,0.0,0
96,.,PUNCT,20.611125946044922,37260,.,PUNCT,33.53310012817383,37260
97,"""",PUNCT,22.347475051879883,37260,"""",PUNCT,32.281707763671875,37260
