,en,en,en,en,es,es,es,es
,0,1,2,3,0,1,2,3
0,Hello,INTJ,24.253530502319336,13952,Hola,PROPN,33.095359802246094,13952
1,",",PUNCT,21.712932586669922,13952,",",PUNCT,32.306522369384766,13952
2,friends,NOUN,20.22901153564453,13952,amigos,NOUN,34.39341354370117,13952
3,.,PUNCT,19.684263229370117,13952,.,PUNCT,33.57859802246094,13952
4,I,PRON,24.797399520874023,15667,0,0,0.0,0
5,'m,AUX,24.106414794921875,15667,Estoy,AUX,35.49942398071289,15667
6,happy,ADJ,22.714599609375,15667,feliz,ADJ,34.25040054321289,15667
7,to,PART,22.740522384643555,15667,de,ADP,31.7193546295166,15667
8,see,VERB,23.94953727722168,15667,0,0,0.0,0
9,all,DET,20.517322540283203,15667,aquí,ADV,32.77109909057617,15667
10,of,ADP,21.34361457824707,15667,a,ADP,31.3398494720459,15667
11,you,PRON,21.47478485107422,15667,todos,PRON,31.572446823120117,15667
12,here,ADV,21.963687896728516,15667,hoy,ADV,36.15890884399414,15667
13,today,NOUN,20.618722915649414,15667,verlos,NOUN,32.00894546508789,15667
14,.,PUNCT,22.29073143005371,15667,.,PUNCT,31.86785888671875,15667
15,This,DET,22.8468017578125,18746,lo,DET,32.7861328125,18746
16,is,AUX,24.20797348022461,18746,es,AUX,32.158878326416016,18746
17,actually,ADV,26.839628219604492,18746,exactamente,ADV,34.36674880981445,18746
18,exactly,ADV,23.56328582763672,18746,0,0,0.0,0
19,what,PRON,21.424036026000977,18746,que,PRON,32.20856475830078,18746
20,I,PRON,25.85648536682129,18746,Esto,PRON,33.734554290771484,18746
21,say,VERB,22.78438377380371,18746,digo,VERB,36.24076843261719,18746
22,to,ADP,21.654577255249023,18746,a,ADP,32.060951232910156,18746
23,the,DET,23.25432014465332,18746,la,DET,32.77220153808594,18746
24,people,NOUN,21.865278244018555,18746,gente,NOUN,33.423484802246094,18746
25,who,PRON,24.60075569152832,18746,nos,PRON,33.459930419921875,18746
26,visit,VERB,24.039670944213867,18746,visita,VERB,34.30186080932617,18746
27,us,PRON,23.54634666442871,18746,que,PRON,32.394065856933594,18746
28,at,ADP,20.90776252746582,21913,en,ADP,34.09992218017578,21913
29,the,DET,19.249021530151367,21913,la,DET,33.727027893066406,21913
30,La,PROPN,21.581674575805664,21913,biblioteca,NOUN,34.07394027709961,21913
31,Crosse,PROPN,22.666587829589844,21913,pública,ADJ,34.248416900634766,21913
32,Public,PROPN,19.97833824157715,21913,La,DET,30.647937774658203,21913
33,Library,PROPN,19.141345977783203,21913,Crosse,PROPN,36.47285461425781,21913
34,.,PUNCT,21.04385757446289,21913,.,PUNCT,33.59361267089844,21913
35,And,CCONJ,20.107284545898438,23795,Y,CONJ,32.23984909057617,23795
36,I,PRON,25.635732650756836,23795,lo,PRON,30.629430770874023,23795
37,say,VERB,24.64948844909668,23795,digo,VERB,34.73070526123047,23795
38,it,PRON,22.28656578063965,23795,lo,PRON,31.1463565826416,23795
39,because,SCONJ,18.20504379272461,23795,porque,SCONJ,35.887325286865234,23795
40,I,PRON,25.14971923828125,23795,en,ADP,34.77357864379883,23795
41,mean,VERB,23.619770050048828,23795,creo,VERB,36.54753112792969,23795
42,it,PRON,22.70058250427246,23795,serio,NOUN,32.78977584838867,23795
43,.,PUNCT,21.538354873657227,23795,.,PUNCT,33.819244384765625,23795
44,The,DET,22.86319351196289,26668,Los,DET,34.49416732788086,26668
45,children,NOUN,21.690261840820312,26668,niños,NOUN,36.06071853637695,26668
46,who,PRON,26.693836212158203,26668,que,PRON,33.533077239990234,26668
47,come,VERB,24.1921443939209,26668,entran,VERB,36.4900016784668,26668
48,into,ADP,19.22187614440918,26668,a,ADP,32.1883659362793,26668
49,our,DET,22.880313873291016,26668,nuestra,DET,34.14332580566406,26668
50,library,NOUN,20.10431671142578,26668,biblioteca,NOUN,34.37134552001953,26668
51,are,AUX,22.15920639038086,26668,son,AUX,31.445322036743164,26668
52,my,DET,20.773588180541992,26668,mis,DET,33.07675552368164,26668
53,friends,NOUN,18.829978942871094,26668,amigos,NOUN,35.017051696777344,26668
54,0,0,0.0,0,",",PUNCT,30.93488311767578,26668
55,in,ADP,20.602846145629883,29635,y,CONJ,31.799917221069336,29635
56,that,DET,21.879764556884766,29635,0,0,0.0,0
57,I,PRON,24.159130096435547,29635,me,PRON,32.07622528076172,29635
58,care,VERB,22.99567985534668,29635,preocupo,VERB,33.406639099121094,29635
59,about,ADP,23.348167419433594,29635,por,ADP,33.96036911010742,29635
60,their,DET,23.690410614013672,29635,sus,DET,33.3018798828125,29635
61,needs,NOUN,20.231351852416992,29635,necesidades,NOUN,34.41703796386719,29635
62,and,CCONJ,23.63638687133789,29635,y,CONJ,33.912513732910156,29635
63,their,DET,22.591262817382812,29635,su,DET,34.6500244140625,29635
64,futures,NOUN,20.65098762512207,29635,futuro,NOUN,33.366085052490234,29635
65,.,PUNCT,19.837717056274414,29635,.,PUNCT,32.405696868896484,29635
66,I,PRON,24.964065551757812,32779,0,0,0.0,0
67,want,VERB,25.635639190673828,32779,Quiero,VERB,33.986236572265625,32779
68,them,PRON,23.166719436645508,32779,que,SCONJ,32.95389175415039,32779
69,to,PART,21.556068420410156,32779,y,CONJ,35.263587951660156,32779
70,be,AUX,24.693130493164062,32779,sean,AUX,33.13025665283203,32779
71,happy,ADJ,23.33807373046875,32779,felices,ADJ,34.2291259765625,32779
72,and,CCONJ,22.78970718383789,32779,exitosos,NOUN,33.87586212158203,32779
73,successful,ADJ,21.017240524291992,32779,0,0,0.0,0
74,.,PUNCT,22.380964279174805,32779,.,PUNCT,33.25187301635742,32779
75,I,PRON,24.52510643005371,35509,0,0,0.0,0
76,hope,VERB,21.521854400634766,35509,Espero,VERB,32.947166442871094,35509
77,that,SCONJ,20.212120056152344,35509,que,SCONJ,32.157135009765625,35509
78,they,PRON,24.6470890045166,35509,que,PRON,33.39634704589844,35509
79,'ll,VERB,22.92613410949707,35509,encuentren,VERB,36.83937072753906,35509
80,find,VERB,24.81021499633789,35509,o,CONJ,33.70272445678711,35509
81,great,ADJ,21.015466690063477,35509,grandes,ADJ,35.30765914916992,35509
82,books,NOUN,21.553810119628906,35509,películas,NOUN,35.97395706176758,35509
83,or,CCONJ,21.690410614013672,35509,0,0,0.0,0
84,a,DET,19.34601593017578,35509,0,0,0.0,0
85,movie,NOUN,20.117204666137695,35509,libros,NOUN,36.646724700927734,35509
86,that,DET,21.108531951904297,35509,0,0,0.0,0
87,delights,VERB,23.985071182250977,35509,deleiten,VERB,35.947410583496094,35509
88,them,PRON,25.17587661743164,35509,los,PRON,30.58295249938965,35509
89,.,PUNCT,21.69218635559082,35509,.,PUNCT,31.698715209960938,35509
90,Or,CCONJ,19.347503662109375,39699,O,CONJ,33.65019226074219,39699
91,the,DET,20.52387046813965,39699,la,DET,34.34176254272461,39699
92,solution,NOUN,19.410614013671875,39699,solución,NOUN,31.155101776123047,39699
93,to,ADP,21.544921875,39699,a,ADP,31.269899368286133,39699
94,a,DET,24.751184463500977,39699,un,DET,39.0967903137207,39699
